交易日期,证券代码,股票名称,收盘价,开盘价,最高价,最低价,涨跌幅,换手率,成交量,成交额,前收盘价,流通市值
1999-11-10,sh600000,浦发银行,27.75,29.5,29.8,27.0,177.5,0.59,1740850,4859102435.0,10.0,315535924207.0
1999-11-11,sh600000,浦发银行,27.71,27.58,28.38,27.53,-0.14,0.1,294034,821582199.0000001,27.75,315535924207.0
1999-11-12,sh600000,浦发银行,28.05,27.86,28.3,27.77,1.23,0.05,150079,421591623.0,27.71,315535924207.0
1999-11-15,sh600000,浦发银行,27.75,28.2,28.25,27.7,-1.07,0.04,119210,332952812.00000006,28.05,315535924207.0
1999-11-16,sh600000,浦发银行,26.55,27.88,27.97,26.48,-4.32,0.08,232231,628908296.0,27.75,315535924207.0
1999-11-17,sh600000,浦发银行,27.18,26.5,27.18,26.37,2.37,0.03,100525,268995055.0,26.55,315535924207.0
1999-11-18,sh600000,浦发银行,27.02,27.2,27.58,26.78,-0.59,0.03,84465,229577877.99999997,27.18,315535924207.0
1999-11-19,sh600000,浦发银行,26.88,27.5,27.53,26.8,-0.52,0.02,53749,145887121.0,27.02,315535924207.0
1999-11-22,sh600000,浦发银行,26.45,26.88,26.95,26.3,-1.6,0.02,55354,147086153.0,26.88,315535924207.0
1999-11-23,sh600000,浦发银行,26.45,26.45,26.55,26.1,0.0,0.01,38439,101224493.0,26.45,315535924207.0
1999-11-24,sh600000,浦发银行,26.43,26.44,26.55,26.01,-0.08,0.01,40980,107344461.0,26.45,315535924207.0
1999-11-25,sh600000,浦发银行,26.4,26.3,26.66,26.02,-0.11,0.02,57252,150528185.0,26.43,315535924207.0
1999-11-26,sh600000,浦发银行,26.45,26.43,26.66,26.15,0.19,0.01,22826,60508933.99999999,26.4,315535924207.0
1999-11-29,sh600000,浦发银行,26.33,26.45,26.83,26.22,-0.45,0.01,26812,71099577.0,26.45,315535924207.0
1999-11-30,sh600000,浦发银行,26.4,26.3,26.5,26.11,0.27,0.01,23713,62335740.99999999,26.33,315535924207.0
1999-12-01,sh600000,浦发银行,26.6,26.31,26.9,26.21,0.76,0.01,28651,76287992.0,26.4,315535924207.0
