交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,流通市值
2015-03-20,14.18,14.18,14.18,14.18,315,446670.0,0.0,43.96,4.33,0.08,18674117313.6
2015-03-23,15.6,15.6,15.6,15.6,101,157560.0,0.0,10.01,1.42,0.03,20544162912.0
2015-03-24,17.16,17.16,17.16,17.16,215,368940.0,0.0,10.0,1.56,0.05,22598579203.2
2015-03-25,18.88,18.88,18.88,18.88,215,406373.0,0.0,10.02,1.72,0.05,24863704857.6
2015-03-26,20.77,20.77,20.77,20.77,1852,3846604.0,0.0,10.01,1.89,0.46,27352709210.399998
2015-03-27,22.85,22.85,22.85,21.51,188738,423544272.0,6.45,10.01,2.08,47.18,30091930932.0
2015-03-30,23.98,25.14,25.14,23.54,144234,357839120.0,7.0,10.02,2.29,36.06,33107708692.8
2015-03-31,27.0,27.65,27.65,25.5,104883,281923600.0,8.55,9.98,2.51,26.22,36413211828.0
2015-04-01,29.83,30.42,30.42,29.51,38426,115422767.0,3.29,10.02,2.77,9.61,40061117678.4
2015-04-02,33.46,33.46,33.46,33.46,5713,19117070.0,0.0,9.99,3.04,1.43,44064595579.200005
2015-04-03,36.81,36.81,36.81,33.46,58731,215265486.0,10.01,10.01,3.35,14.68,48476322871.200005
2015-04-07,40.2,35.72,40.49,35.6,221847,827451840.0,13.28,-2.96,-1.09,55.46,47040865334.4
2015-04-08,35.0,37.34,38.5,34.35,188130,676087520.0,11.62,4.54,1.62,47.03,49174297636.8
2015-04-09,35.98,34.67,36.34,33.61,124600,434750928.0,7.31,-7.15,-2.67,31.15,45658085138.4
2015-04-10,34.03,35.29,37.0,33.8,94595,335497984.0,9.23,1.79,0.62,23.65,46474583920.799995
2015-04-13,34.9,37.33,38.29,34.71,139373,513648672.0,10.14,5.78,2.04,34.84,49161128301.6
2015-04-14,36.5,36.57,38.6,35.5,100026,368764480.0,8.3,-2.04,-0.76,25.01,48160258826.4
2015-04-15,36.37,40.23,40.23,35.6,146863,561063712.0,12.66,10.01,3.66,36.72,52980235509.6
2015-04-16,38.0,39.65,41.8,36.6,121701,481526160.0,12.93,-1.44,-0.58,30.43,52216414068.0
2015-04-17,38.7,36.75,39.65,36.16,103860,389668880.0,8.8,-7.31,-2.9,25.97,48397306860.0
2015-04-20,36.05,33.45,36.28,33.33,77015,269152928.0,8.03,-8.98,-3.3,19.25,44051426244.0
2015-04-21,33.49,34.4,34.7,33.49,39114,133540729.0,3.62,2.84,0.95,9.78,45302513088.0
2015-04-22,34.6,35.94,36.9,34.16,54211,193484305.0,7.97,4.48,1.54,13.55,47330590708.799995
2015-04-23,35.8,39.53,39.53,35.35,148044,563273680.0,11.63,9.99,3.59,37.01,52058382045.6
2015-04-24,41.8,43.48,43.48,40.51,141355,604035152.0,7.51,9.99,3.95,35.34,57260269449.6
2015-04-27,43.0,42.95,45.26,41.0,126755,550580784.0,9.8,-1.22,-0.53,31.69,56562294684.0
