交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2009-10-30,35.0,40.25,62.38,34.11,168493.0,691750420.0,123.5,75.84,17.36,87.76
2009-11-02,36.23,40.25,42.49,36.23,92048.0,359029243.0,15.55,0.0,0.0,47.94
2009-11-03,38.9,36.49,39.97,36.23,65296.0,243128189.0,9.29,-9.34,-3.76,34.01
2009-11-04,36.98,37.29,38.17,36.52,37674.0,140487910.0,4.52,2.19,0.8,19.62
2009-11-05,36.97,37.82,39.2,35.9,46419.0,174680862.0,8.85,1.42,0.53,24.18
2009-11-06,37.25,36.46,37.91,36.0,32109.0,117957486.0,5.05,-3.6,-1.36,16.72
2009-11-09,36.59,35.74,36.85,35.48,18784.0,67471403.0,3.76,-1.97,-0.72,9.78
2009-11-10,35.87,35.82,36.56,35.52,18681.0,67259959.0,2.91,0.22,0.08,9.73
2009-11-11,35.75,36.05,36.16,35.05,17830.0,63363832.0,3.1,0.64,0.23,9.29
2009-11-12,35.98,36.46,36.67,35.85,17405.0,63144844.0,2.27,1.14,0.41,9.07
2009-11-13,36.46,38.56,39.9,36.38,47325.0,181090296.0,9.65,5.76,2.1,24.65
2009-11-16,38.99,38.88,38.99,37.82,28054.0,108227381.0,3.03,0.83,0.32,14.61
2009-11-17,38.56,38.54,39.67,38.19,22926.0,88924252.0,3.81,-0.87,-0.34,11.94
2009-11-18,38.38,39.9,40.27,38.21,36287.0,142895741.0,5.35,3.53,1.36,18.9
2009-11-19,39.9,41.95,43.85,39.59,51186.0,213827925.0,10.68,5.14,2.05,26.66
2009-11-20,41.21,41.43,42.58,40.82,28176.0,116989209.0,4.2,-1.24,-0.52,14.67
2009-11-23,41.7,42.65,43.41,41.45,21257.0,90252554.0,4.73,2.94,1.22,11.07
2009-11-24,44.81,40.8,45.88,39.01,45451.0,196671681.0,16.11,-4.34,-1.85,23.67
2009-11-25,40.2,42.88,43.48,39.5,39249.0,163020338.0,9.75,5.1,2.08,20.44
2009-11-26,42.4,42.3,43.46,41.0,36873.0,155544906.0,5.74,-1.35,-0.58,19.2
2009-11-27,41.88,42.97,43.94,41.0,35761.0,152694596.0,6.95,1.58,0.67,18.63
2009-11-30,43.01,43.39,43.93,41.1,29613.0,126679004.0,6.59,0.98,0.42,15.42
2009-12-01,43.39,44.88,45.88,42.8,41388.0,184397445.0,7.1,3.43,1.49,21.56
2009-12-02,44.55,46.21,47.28,44.0,44603.0,203735423.0,7.31,2.96,1.33,23.23
2009-12-03,46.0,48.28,48.28,45.31,46624.0,220738775.0,6.43,4.48,2.07,24.28
2009-12-04,46.59,43.69,47.8,43.45,48018.0,215440863.0,9.01,-9.51,-4.59,25.01
2009-12-07,43.02,43.73,44.4,42.52,25484.0,111102964.0,4.3,0.09,0.04,13.27
2009-12-08,43.79,45.01,45.5,43.56,27906.0,124669717.0,4.44,2.93,1.28,14.53
2009-12-09,44.43,45.2,46.52,44.21,33520.0,152797439.0,5.13,0.42,0.19,17.46
2009-12-10,45.01,44.08,45.8,43.8,21505.0,95491765.0,4.42,-2.48,-1.12,11.2
2009-12-11,44.0,42.05,44.07,41.38,24549.0,104929368.0,6.1,-4.61,-2.03,12.79
2009-12-14,42.08,41.39,42.49,40.2,13633.0,56232627.0,5.45,-1.57,-0.66,7.1
2009-12-15,41.87,41.75,42.5,41.42,10593.0,44374425.0,2.61,0.87,0.36,5.52
2009-12-16,41.33,39.88,41.65,39.51,17177.0,69301788.0,5.13,-4.48,-1.87,8.95
2009-12-17,39.4,37.8,40.25,37.5,16383.0,62949140.0,6.9,-5.22,-2.08,8.53
2009-12-18,37.8,38.72,39.6,36.26,19276.0,72808280.0,8.84,2.43,0.92,10.04
2009-12-21,38.68,39.05,39.24,37.86,10592.0,41166773.0,3.56,0.85,0.33,5.52
2009-12-22,39.45,37.01,39.45,36.81,9562.0,36148581.0,6.76,-5.22,-2.04,4.98
2009-12-23,36.9,38.06,38.45,36.76,12526.0,47509787.0,4.57,2.84,1.05,6.52
2009-12-24,37.5,38.81,39.0,37.22,12100.0,46492763.0,4.68,1.97,0.75,6.3
2009-12-25,38.2,37.4,38.77,37.37,13653.0,51458355.0,3.61,-3.63,-1.41,7.11
2009-12-28,37.65,37.64,38.3,37.21,7027.0,26561755.0,2.91,0.64,0.24,3.66
2009-12-29,37.9,37.9,38.28,37.25,8003.0,30171270.0,2.74,0.69,0.26,4.17
2009-12-30,38.01,39.5,41.06,38.01,22645.0,89875330.0,8.05,4.22,1.6,11.79
2009-12-31,39.44,39.16,39.52,38.5,11052.0,43052954.0,2.58,-0.86,-0.34,5.76
2010-01-04,39.7,39.3,39.7,39.05,7253.0,28525215.0,1.66,0.36,0.14,3.78
2010-01-05,39.6,38.86,39.6,38.34,7484.0,28943678.0,3.21,-1.12,-0.44,3.9
2010-01-06,38.68,37.51,38.9,37.5,12787.0,48593528.0,3.6,-3.47,-1.35,6.66
2010-01-07,37.6,37.84,38.58,37.55,14073.0,53565612.0,2.75,0.88,0.33,7.33
2010-01-08,37.0,36.53,37.66,36.02,10724.0,39365942.0,4.33,-3.46,-1.31,5.59
2010-01-11,36.41,36.18,36.96,35.7,9917.0,35975479.0,3.45,-0.96,-0.35,5.16
2010-01-12,36.16,36.95,36.96,36.14,7864.0,28894002.0,2.27,2.13,0.77,4.1
2010-01-13,36.23,37.22,37.28,36.2,7688.0,28394763.0,2.92,0.73,0.27,4.0
2010-01-14,37.6,38.7,39.35,37.35,18946.0,73121626.0,5.37,3.98,1.48,9.87
2010-01-15,38.97,38.52,39.38,38.05,10602.0,40815393.0,3.44,-0.47,-0.18,5.52
2010-01-18,38.85,38.36,38.85,38.2,6433.0,24704226.0,1.69,-0.42,-0.16,3.35
2010-01-19,38.36,37.5,38.5,37.41,7901.0,29813875.0,2.84,-2.24,-0.86,4.12
2010-01-20,37.18,36.59,37.98,36.01,10316.0,37923281.0,5.25,-2.43,-0.91,5.37
2010-01-21,36.48,36.68,36.94,36.4,4224.0,15486884.0,1.48,0.25,0.09,2.2
2010-01-22,36.0,34.75,36.28,34.4,9774.0,34340446.0,5.13,-5.26,-1.93,5.09
2010-01-25,34.2,33.5,34.2,32.86,7687.0,25761481.0,3.86,-3.6,-1.25,4.0
2010-01-26,33.51,32.32,34.19,31.5,8095.0,26795819.0,8.03,-3.52,-1.18,4.22
2010-01-27,32.38,32.26,32.9,32.0,4725.0,15312730.0,2.78,-0.19,-0.06,2.46
2010-01-28,31.73,31.73,32.39,31.3,6698.0,21240060.0,3.38,-1.64,-0.53,3.49
2010-01-29,31.8,32.48,32.87,31.74,8511.0,27676028.0,3.56,2.36,0.75,4.43
2010-02-01,29.23,29.5,31.0,29.23,39046.0,115389732.0,5.45,-9.17,-2.98,16.27
2010-02-02,29.4,28.85,29.98,28.7,15586.0,45625909.0,4.34,-2.2,-0.65,6.49
2010-02-03,28.82,28.43,29.18,27.0,15410.0,42874154.0,7.56,-1.46,-0.42,6.42
2010-02-04,28.01,28.42,28.9,27.81,9324.0,26552389.0,3.83,-0.04,-0.01,3.89
2010-02-05,28.0,28.4,29.07,27.4,8732.0,24847655.0,5.88,-0.07,-0.02,3.64
2010-02-08,28.45,29.04,29.5,28.45,8834.0,25712194.0,3.7,2.25,0.64,3.68
2010-02-09,29.04,29.0,29.08,28.61,4608.0,13286643.0,1.62,-0.14,-0.04,1.92
2010-02-10,29.39,30.05,30.23,29.0,17716.0,52540077.0,4.24,3.62,1.05,7.38
2010-02-11,30.09,30.66,30.99,29.81,15454.0,47063823.0,3.93,2.03,0.61,6.44
2010-02-12,30.71,31.06,31.22,30.3,9710.0,29830563.0,3.0,1.3,0.4,4.05
2010-02-22,31.0,31.9,32.25,30.53,17923.0,56997767.0,5.54,2.7,0.84,7.47
2010-02-23,35.09,35.09,35.09,35.09,11355.0,39843151.0,0.0,10.0,3.19,4.73
2010-02-24,37.0,37.03,38.38,36.13,41689.0,155510465.0,6.41,5.53,1.94,17.37
2010-02-25,36.61,37.15,38.21,36.61,25521.0,95524258.0,4.32,0.32,0.12,10.63
2010-02-26,36.96,37.9,38.88,36.92,26335.0,99990327.0,5.28,2.02,0.75,10.97
2010-03-01,38.02,38.33,38.87,37.1,25771.0,98261400.0,4.67,1.13,0.43,10.74
2010-03-02,38.36,39.34,39.98,38.33,26841.0,105279259.0,4.3,2.64,1.01,11.18
2010-03-03,39.01,38.79,41.16,38.5,42593.0,170505510.0,6.76,-1.4,-0.55,17.75
2010-03-04,38.65,37.01,38.7,37.0,27950.0,105768266.0,4.38,-4.59,-1.78,11.65
2010-03-05,37.26,38.5,38.5,37.15,19572.0,74273579.0,3.65,4.03,1.49,8.15
2010-03-08,38.8,39.33,39.97,38.5,17442.0,68805657.0,3.82,2.16,0.83,7.27
2010-03-09,39.4,41.32,42.0,39.0,34599.0,140867724.0,7.63,5.06,1.99,14.42
2010-03-11,40.4,41.1,41.6,39.49,25446.0,103077617.0,5.11,-0.53,-0.22,10.6
2010-03-12,41.44,41.1,42.65,40.6,26403.0,110406111.0,4.99,0.0,0.0,11.0
2010-03-15,41.17,42.5,43.0,40.8,22745.0,96159926.0,5.35,3.41,1.4,9.48
2010-03-16,42.49,40.85,43.3,40.5,21654.0,90597907.0,6.59,-3.88,-1.65,9.02
2010-03-17,41.0,41.52,41.55,40.21,16731.0,68655812.0,3.28,1.64,0.67,6.97
2010-03-18,41.66,41.18,42.3,40.6,17209.0,71357344.0,4.09,-0.82,-0.34,7.17
2010-03-19,41.39,42.39,42.81,41.03,22378.0,94635755.0,4.32,2.94,1.21,9.32
2010-03-22,42.45,42.49,43.4,42.13,16985.0,72779667.0,3.0,0.24,0.1,7.08
2010-03-23,42.3,43.0,43.29,41.6,18949.0,80544537.0,3.98,1.2,0.51,7.9
2010-03-24,43.01,44.0,44.84,42.8,22622.0,99786601.0,4.74,2.33,1.0,9.43
2010-03-25,44.09,45.61,46.49,43.58,23608.0,107218529.0,6.61,3.66,1.61,9.84
2010-03-26,44.59,47.99,48.39,44.0,33072.0,152206451.0,9.63,5.22,2.38,13.78
2010-03-29,48.29,47.51,48.6,45.62,29825.0,140663066.0,6.21,-1.0,-0.48,12.43
2010-03-30,47.08,48.84,49.88,47.08,18929.0,92518131.0,5.89,2.8,1.33,7.89
2010-03-31,48.7,52.8,53.68,48.2,26167.0,134330199.0,11.22,8.11,3.96,10.9
2010-04-01,52.81,51.5,53.99,51.02,23854.0,126131340.0,5.63,-2.46,-1.3,9.94
2010-04-02,50.2,49.62,50.9,48.6,26203.0,130492785.0,4.47,-3.65,-1.88,10.92
2010-04-06,49.3,50.88,50.88,49.2,17502.0,87966684.0,3.39,2.54,1.26,7.29
2010-04-07,50.89,50.9,51.8,49.52,18110.0,91651024.0,4.48,0.04,0.02,7.55
2010-04-08,50.8,49.58,52.35,49.58,18705.0,95554235.0,5.44,-2.59,-1.32,7.79
2010-04-09,49.3,50.68,51.19,48.95,16424.0,82736816.0,4.52,2.22,1.1,6.84
2010-04-12,50.68,53.12,53.38,50.61,19259.0,100688288.0,5.47,4.81,2.44,8.02
2010-04-13,53.53,47.81,53.88,47.81,33979.0,167631468.0,11.43,-10.0,-5.31,14.16
2010-04-14,46.9,46.7,47.6,45.22,20519.0,95129621.0,4.98,-2.32,-1.11,8.55
2010-04-15,44.5,43.63,45.69,43.0,45250.0,200600698.0,5.76,-6.57,-3.07,18.85
2010-04-16,43.0,44.2,44.4,42.71,28379.0,124417206.0,3.87,1.31,0.57,11.82
2010-04-19,43.8,46.01,46.29,43.27,35163.0,159085329.0,6.83,4.1,1.81,14.65
2010-04-20,46.58,48.12,48.68,45.9,31951.0,151988330.0,6.04,4.59,2.11,13.31
2010-04-21,47.32,48.94,49.21,46.6,26847.0,129579839.0,5.42,1.7,0.82,11.19
2010-04-22,48.78,48.95,49.9,48.01,17126.0,83759278.0,3.86,0.02,0.01,7.14
2010-04-23,48.85,49.1,49.79,48.2,15991.0,78396504.0,3.25,0.31,0.15,6.66
2010-04-26,50.3,45.69,50.98,44.99,18580.0,90305435.0,12.2,-6.95,-3.41,7.74
2010-04-27,45.2,43.41,46.38,42.0,15698.0,68809493.0,9.59,-4.99,-2.28,6.54
2010-04-28,42.8,43.6,44.6,42.12,9125.0,39981392.0,5.71,0.44,0.19,3.8
2010-04-29,43.95,42.88,44.68,42.88,8121.0,35661338.0,4.13,-1.65,-0.72,3.38
2010-04-30,42.55,42.22,43.35,40.9,8611.0,36062604.0,5.71,-1.54,-0.66,3.59
2010-05-04,41.0,43.5,43.5,41.0,8670.0,37136771.0,5.92,3.03,1.28,3.61
