交易日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,流通市值
2019-11-22,6.64,7.96,7.96,6.64,2254,1790305.0,23.87,43.94,2.43,0.54,2967480334.52
2019-11-25,8.76,8.76,8.76,8.76,542,474669.0,0.0,10.05,0.8,0.13,3265719564.12
2019-11-26,9.64,9.64,9.64,9.64,959,924273.0,0.0,10.05,0.88,0.23,3593782716.6800003
2019-11-27,10.6,10.6,10.6,10.6,1885,1998534.0,0.0,9.96,0.96,0.45,3951669792.2
2019-11-28,11.66,11.66,11.66,11.66,1889,2202620.0,0.0,10.0,1.06,0.45,4346836771.42
2019-11-29,12.83,12.83,12.83,12.83,4327,5551233.0,0.0,10.03,1.17,1.04,4783011644.71
2019-12-02,14.11,14.11,14.11,14.11,3382,4771945.0,0.0,9.98,1.28,0.81,5260194412.07
2019-12-03,15.52,15.52,15.52,15.52,5351,8304022.0,0.0,9.99,1.41,1.28,5785841054.24
2019-12-04,17.07,17.07,17.07,17.07,4239,7236126.0,0.0,9.99,1.55,1.01,6363679561.59
2019-12-05,18.78,18.78,18.78,18.78,3474,6524303.0,0.0,10.02,1.71,0.83,7001165914.860001
2019-12-06,19.95,20.66,20.66,19.82,334533,679382240.0,4.47,10.01,1.88,80.07,7702028104.42
2019-12-09,19.75,19.2,19.9,18.68,199780,387885648.0,5.91,-7.07,-1.46,47.82,7157741510.4
2019-12-10,19.28,20.1,20.47,19.22,205327,406153312.0,6.51,4.69,0.9,49.14,7493260643.700001
2019-12-11,20.1,20.33,21.18,19.72,176088,358992784.0,7.26,1.14,0.23,42.15,7579004422.209999
2019-12-12,20.34,20.33,21.2,18.8,162858,330609648.0,11.81,0.0,0.0,38.98,7579004422.209999
2019-12-13,20.09,20.19,20.8,19.8,126991,256582329.0,4.92,-0.69,-0.14,30.4,7526812557.030001
2019-12-16,20.57,20.39,20.77,19.81,134521,272037952.0,4.75,0.99,0.2,32.2,7601372364.43
2019-12-17,20.3,21.99,22.32,20.02,171619,356288064.0,11.28,7.85,1.6,41.08,8197850823.629999
2019-12-18,21.4,21.99,22.5,21.05,167144,361798320.0,6.59,0.0,0.0,40.01,8197850823.629999
2019-12-19,21.69,19.79,21.7,19.79,134514,275428160.0,8.69,-10.0,-2.2,32.2,7377692942.23
2019-12-20,18.92,18.2,19.3,18.08,136126,254267680.0,6.16,-8.03,-1.59,32.58,6784942473.4
2019-12-23,18.26,18.33,18.57,17.89,84061,153620638.0,3.74,0.71,0.13,20.12,6833406348.209999
2019-12-24,18.23,17.76,18.45,17.3,86212,153508947.0,6.27,-3.11,-0.57,20.63,6620910897.120001
2019-12-25,17.5,18.1,18.29,17.5,86491,155116237.0,4.45,1.91,0.34,20.7,6747662569.700001
2019-12-26,18.15,18.4,18.93,17.9,99747,183459990.0,5.69,1.66,0.3,23.87,6859502280.799999
2019-12-27,18.16,18.26,19.2,18.16,94992,177024202.0,5.65,-0.76,-0.14,22.74,6807310415.620001
2019-12-30,18.79,16.63,18.79,16.43,161597,277662624.0,12.92,-8.93,-1.63,38.68,6199647985.309999
2019-12-31,16.53,16.19,16.59,16.11,92964,151364045.0,2.89,-2.65,-0.44,22.25,6035616409.030001
2020-01-02,16.28,16.59,16.59,16.2,86145,141332929.0,2.41,2.47,0.4,20.62,6184736023.83
2020-01-03,16.68,16.64,16.88,16.47,85053,141868697.0,2.47,0.3,0.05,20.36,6203375975.68
2020-01-06,16.27,16.55,16.76,16.15,60616,99949026.0,3.67,-0.54,-0.09,14.51,6169824062.35
2020-01-07,16.6,16.71,16.85,16.55,62958,105221353.0,1.81,0.97,0.16,15.07,6229471908.27
2020-01-08,16.51,16.16,16.65,16.13,68647,112138947.0,3.11,-3.29,-0.55,16.43,6024432437.92
2020-01-09,16.39,16.44,16.59,16.23,46017,75374021.0,2.23,1.73,0.28,11.01,6128816168.280001
2020-01-10,16.37,16.6,16.93,16.22,71480,118562711.0,4.32,0.97,0.16,17.11,6188464014.200001
2020-01-13,16.38,16.72,16.92,16.32,67450,112435225.0,3.61,0.72,0.12,16.14,6233199898.639999
2020-01-14,16.75,17.1,17.15,16.59,73746,124112901.0,3.35,2.27,0.38,17.65,6374863532.700001
2020-01-15,17.0,16.94,17.3,16.79,60668,103209404.0,2.98,-0.94,-0.16,14.52,6315215686.780001
2020-01-16,16.82,16.54,17.01,16.39,44989,75039438.0,3.66,-2.36,-0.4,10.77,6166096071.98
2020-01-17,16.4,16.58,16.92,16.26,42397,70211459.0,3.99,0.24,0.04,10.15,6181008033.459999
2020-01-20,16.45,16.37,16.63,16.18,33254,54289906.0,2.71,-1.27,-0.21,7.96,6102720235.690001
2020-01-21,16.37,16.18,16.6,16.17,29245,47766524.0,2.63,-1.16,-0.19,7.0,6031888418.66
2020-01-22,16.01,15.63,16.04,15.18,38355,60140554.0,5.32,-3.4,-0.55,9.18,5826848948.31
2020-01-23,15.4,14.79,15.86,14.49,39143,59338593.0,8.77,-5.37,-0.84,9.37,5513697757.23
2020-02-03,13.31,13.31,13.31,13.31,6891,9171921.0,0.0,-10.01,-1.48,1.65,4961955182.47
2020-02-04,11.98,12.41,12.98,11.98,76405,93660070.0,7.51,-6.76,-0.9,18.29,4626436049.17
2020-02-05,12.45,12.6,12.85,12.38,58539,73914768.0,3.79,1.53,0.19,14.01,4697267866.2
2020-02-06,12.74,13.06,13.17,12.74,58064,75032051.0,3.41,3.65,0.46,13.9,4868755423.22
2020-02-07,13.07,13.22,13.35,12.86,49218,64602884.0,3.75,1.23,0.16,11.78,4928403269.14
2020-02-10,13.21,13.48,13.59,13.0,53019,70734622.0,4.46,1.97,0.26,12.69,5025331018.76
2020-02-11,13.44,13.49,13.64,13.31,36409,49098352.0,2.45,0.07,0.01,8.71,5029059009.13
2020-02-12,13.16,13.49,13.56,13.16,33308,44722257.0,2.97,0.0,0.0,7.97,5029059009.13
2020-02-13,13.62,13.27,13.72,13.27,33521,45033669.0,3.34,-1.63,-0.22,8.02,4947043220.99
2020-02-14,13.18,13.45,13.51,13.15,36956,49203430.0,2.71,1.36,0.18,8.85,5014147047.65
2020-02-17,13.9,14.13,14.37,13.8,73799,103630060.0,4.24,5.06,0.68,17.66,5267650392.81
2020-02-18,14.4,14.93,15.15,14.13,75734,111689524.0,7.22,5.66,0.8,18.13,5565889622.41
2020-02-19,14.79,14.58,15.18,14.55,53826,79470774.0,4.22,-2.34,-0.35,12.88,5435409959.46
2020-02-20,14.66,14.53,14.87,14.22,52241,75595624.0,4.46,-0.34,-0.05,12.5,5416770007.61
2020-02-21,14.7,14.69,14.88,14.53,41897,61587988.0,2.41,1.1,0.16,10.03,5476417853.53
2020-02-24,14.66,14.48,14.66,14.32,39784,57501763.0,2.31,-1.43,-0.21,9.52,5398130055.76
2020-02-25,13.95,13.95,14.19,13.55,50477,70051646.0,4.42,-3.66,-0.53,12.08,5200546566.15
2020-02-26,13.68,13.89,14.07,13.56,38372,53018396.0,3.66,-0.43,-0.06,9.18,5178178623.93
2020-02-27,13.95,13.75,14.09,13.69,24016,33205684.0,2.88,-1.01,-0.14,5.75,5125986758.75
2020-02-28,13.23,12.54,13.31,12.48,44853,58041191.0,6.04,-8.8,-1.21,10.74,4674899923.98
2020-03-02,12.78,13.37,13.44,12.77,32265,42209036.0,5.34,6.62,0.83,7.72,4984323124.69
2020-03-03,13.43,13.34,13.73,13.19,32047,43177401.0,4.04,-0.22,-0.03,7.67,4973139153.58
2020-03-04,13.44,14.67,14.67,13.32,49585,71121074.0,10.12,9.97,1.33,11.87,5468961872.79
2020-03-05,15.63,16.14,16.14,15.27,189777,298736688.0,5.93,10.02,1.47,45.42,6016976457.18
2020-03-06,15.1,15.55,15.81,15.1,140030,216514753.0,4.4,-3.66,-0.59,33.52,5797025025.35
2020-03-09,15.0,16.1,16.99,14.78,160632,259710973.0,14.21,3.54,0.55,38.45,6002064495.700001
2020-03-10,15.5,15.19,15.98,14.49,120871,180872835.0,9.25,-5.65,-0.91,28.93,5662817372.03
2020-03-11,14.99,14.74,15.49,14.65,80587,121257460.0,5.53,-2.96,-0.45,19.29,5495057805.38
2020-03-12,14.22,13.96,14.4,13.73,70209,98419074.0,4.55,-5.29,-0.78,16.8,5204274556.52
2020-03-13,12.97,13.23,13.44,12.71,66972,87366880.0,5.23,-5.23,-0.73,16.03,4932131259.51
2020-03-16,13.3,12.47,13.5,12.41,49691,64885207.0,8.24,-5.74,-0.76,11.89,4648803991.39
2020-03-17,12.59,13.05,13.14,12.12,52886,66967614.0,8.18,4.65,0.58,12.66,4865027432.85
2020-03-18,12.94,12.69,13.3,12.64,43905,57103959.0,5.06,-2.76,-0.36,10.51,4730819779.53
2020-03-19,12.78,13.05,13.15,12.35,42886,55175577.0,6.3,2.84,0.36,10.26,4865027432.85
2020-03-20,13.06,13.35,13.56,12.95,46268,61455424.0,4.67,2.3,0.3,11.07,4976867143.95
2020-03-23,13.0,12.91,13.2,12.76,32838,42715292.0,3.3,-3.3,-0.44,7.86,4812835567.67
2020-03-24,13.3,13.06,13.49,12.65,29879,38991330.0,6.51,1.16,0.15,7.15,4868755423.22
2020-03-25,13.31,13.55,13.55,13.08,48085,64038623.0,3.6,3.75,0.49,11.51,5051426951.35
2020-03-26,13.36,14.14,14.49,13.16,89995,125078363.0,9.82,4.35,0.59,21.54,5271378383.18
2020-03-27,14.14,15.55,15.55,14.01,120377,179740518.0,10.89,9.97,1.41,28.81,5797025025.35
