stock_code,个股_开盘价,个股_收盘价,个股_最高价,个股_成交量,个股_涨跌幅,个股_成交额,个股_换手率,个股_振幅,个股_流通市值,个股_RSI,个股_MACD,个股_MACD_signal,个股_BB_upper,个股_BB_middle,个股_BB_lower,行业_开盘价,行业_收盘价,行业_最高价,行业_最低价,行业_成交量,行业_涨跌幅,指数_上证指数,指数_沪深300,指数_深证成指,指数_创业板指,指数_中证500,情绪_sentiment_0,情绪_sentiment_1
sz300465,15.9,15.73,15.97,153746.0,-0.69,242996872.0,3.46,1.89,6980177385.610001,51.30784708249497,0.1487740098907988,0.2996714466691126,17.432941767211368,16.2875,15.142058232788635,1572.58,1545.64,1573.11,1541.07,5823139.0,-0.43,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh688098,6.52,6.52,6.58,52989.0,0.46,34507241.0,1.29,2.0,2677398880.0,70.40816326530611,0.1381611884457392,0.11282990733215885,6.554420540791297,6.226999999999999,5.899579459208701,11750.52,11417.53,11757.97,11399.41,29376759.0,-0.71,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000423,51.16,50.99,51.47,96851.0,-0.31,494470108.98,1.51,1.49,32787492154.15,49.07251264755481,-0.8447197452465645,-1.0487360556268677,52.84453456739066,50.8035,48.76246543260934,2327.04,2301.03,2329.66,2300.17,12909302.0,-0.34,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh600282,4.85,4.73,4.87,425181.0,-1.87,203459267.0,0.69,3.11,29160880482.030003,73.61111111111123,0.12638343302031174,0.10061800837868441,4.862041351163121,4.477,4.091958648836879,9870.16,9837.51,9893.74,9818.6,9960546.0,-0.78,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh603221,11.48,11.34,11.55,35370.0,-1.13,40419586.0,1.46,2.01,2747341800.0,54.54545454545453,0.10717572333815184,0.08792468562601381,11.666268870326567,11.2105,10.754731129673432,9521.72,9449.16,9608.11,9443.32,10928674.0,-0.25,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300436,67.43,72.7,73.79,161954.0,4.72,1157425663.0,11.85,9.16,9939530841.3,78.65900383141762,9.500791265816403,8.382414895647475,85.53787846207959,56.175,26.8121215379204,17841.59,17902.32,18066.13,17825.64,22178987.0,0.28,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz000566,6.85,6.53,7.14,1607847.0,-6.31,1092220754.55,13.79,9.18,7613390556.490001,58.06451612903227,0.1855324945267549,0.12832595081149062,6.865815762959118,6.226,5.586184237040882,1228.09,1213.21,1228.53,1209.11,7710634.0,-0.95,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sh605098,36.18,35.99,36.44,10821.0,-0.53,39173893.0,0.91,1.33,4291847089.0,56.62650602409645,0.037583695183023735,-0.04752900714033688,36.25725840007953,35.71900000000001,35.18074159992049,7467.45,7436.18,7511.95,7431.15,16640091.0,-0.06,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz002057,11.53,10.66,11.53,2306117.0,1.72,2593388302.77,30.61,9.35,8031509604.56,80.59071729957807,0.33746716489150685,0.22969589471235405,10.230518213058458,9.382000000000001,8.533481786941545,29143.66,28951.25,29255.76,28914.67,13671772.0,-0.58,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz300618,36.6,36.35,37.35,131051.0,-0.36,480728407.0,4.83,3.43,9862509553.3,55.679702048417134,0.5214971459536528,0.5211078975427418,36.69210648306271,35.677499999999995,34.66289351693728,4382.79,4406.93,4449.01,4382.79,48702431.0,0.31,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
sz001217,12.12,11.86,12.26,84474.0,-1.66,101108403.0,2.57,3.73,3896994640.92,47.4489795918367,0.04205253931069919,0.03554152437832107,12.123197890426228,11.732,11.34080210957377,4921.73,4892.85,4983.61,4888.27,20381546.0,0.2,3582.3,4119.77,11059.04,2310.67,6196.76,0.85,-0.93
