交易日期,代码,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,前收盘价,开盘涨跌幅
2010-06-01,zs399006,986.02,973.23,994.79,948.12,1356285.0,4924176896.0,0.0,0.0,0.0,0.03,,
2010-06-02,zs399006,967.61,997.12,997.12,952.61,1074627.0,4001206272.0,4.57,2.45,23.89,0.02,973.23,-0.58
2010-06-03,zs399006,1002.35,998.39,1026.7,997.78,1616805.0,6240835584.0,2.9,0.13,1.27,0.03,997.12,0.52
2010-06-04,zs399006,989.68,1027.68,1027.68,986.5,1500295.0,5269440512.0,4.12,2.93,29.29,0.03,998.39,-0.87
2010-06-07,zs399006,1005.03,1069.47,1075.22,1001.7,2655275.0,9106095104.0,7.15,4.07,41.79,0.05,1027.68,-2.2
2010-06-08,zs399006,1067.32,1067.15,1075.5,1050.96,1976720.0,6621994496.0,2.29,-0.22,-2.32,0.04,1069.47,-0.2
2010-06-09,zs399006,1070.85,1077.82,1102.1,1069.43,2541568.0,8994866176.0,3.06,1.0,10.67,0.05,1067.15,0.35
2010-06-10,zs399006,1077.68,1117.48,1119.11,1076.28,2197404.0,8242731008.0,3.97,3.68,39.66,0.04,1077.82,-0.01
2010-06-11,zs399006,1122.44,1122.2,1128.23,1118.71,2224874.0,8449039360.0,0.85,0.42,4.72,0.04,1117.48,0.44
2010-06-17,zs399006,1126.13,1064.84,1129.69,1064.84,1764283.0,6757409280.0,5.78,-5.11,-57.36,0.03,1122.2,0.35
2010-06-18,zs399006,1052.07,1000.28,1053.14,993.17,1630650.0,5827721216.0,5.63,-6.06,-64.56,0.03,1064.84,-1.2
2010-06-21,zs399006,991.96,1040.8,1043.16,976.41,1574797.0,5604269568.0,6.67,4.05,40.52,0.03,1000.28,-0.83
2010-06-22,zs399006,1037.04,1034.99,1057.36,1033.65,1427162.0,5067480064.0,2.28,-0.56,-5.81,0.03,1040.8,-0.36
2010-06-23,zs399006,1026.86,1047.34,1056.35,1023.74,1257359.0,4608672256.0,3.15,1.19,12.35,0.02,1034.99,-0.79
2010-06-24,zs399006,1046.76,1050.6,1059.75,1041.54,1069132.0,3904947968.0,1.74,0.31,3.26,0.02,1047.34,-0.06
2010-06-25,zs399006,1046.21,1016.28,1046.21,999.16,1237298.0,4515664384.0,4.48,-3.27,-34.32,0.02,1050.6,-0.42
