概念代码,概念名称,最新指数,涨跌幅,涨跌额,成交量,成交额,振幅,主力净流入,主力净流入占比,上涨家数,下跌家数
BK0816,昨日连板,239.93,5.15,11.75,15739217.0,23952785770.0,1.21,-1223376400.0,-5.11,14.0,4.0
BK1051,昨日连板_含一字,77586.96,4.89,3618.9,16392272.0,25365475435.0,2.06,-1458167296.0,-5.75,16.0,5.0
BK0578,稀土永磁,3088.53,3.69,109.77,57091105.0,76753391667.0,5.73,2140598784.0,2.79,47.0,9.0
BK1050,昨日涨停_含一字,1698.97,2.65,43.87,73692014.0,109541774333.0,1.78,-7270082816.0,-6.64,50.0,27.0
BK0815,昨日涨停,4579.23,2.62,117.05,73038959.0,108129084668.0,1.53,-7035292160.0,-6.51,48.0,26.0
BK0706,人脑工程,5364.3,1.84,96.77,13893508.0,23543132699.0,2.26,-580022896.0,-2.46,23.0,10.0
BK1137,存储芯片,1495.4,1.82,26.66,19251504.0,48714952598.0,2.59,2364062464.0,4.85,44.0,14.0
BK0954,盲盒经济,1324.22,1.75,22.77,3534780.0,5044373142.0,2.31,222500944.0,4.41,11.0,1.0
BK1054,DRG/DIP,1248.3,1.44,17.73,8137389.0,10821718111.0,2.73,-171231520.0,-1.58,11.0,8.0
BK0643,上海自贸,3460.27,1.34,45.69,10730858.0,16843359264.0,1.67,79061984.0,0.47,26.0,8.0
BK1048,IGBT概念,889.05,1.32,11.59,14400724.0,33979299975.0,2.55,1010480640.0,2.97,21.0,18.0
BK1183,谷子经济,1200.0,1.25,14.76,24771089.0,29533314830.0,1.43,842140304.0,2.85,41.0,31.0
BK0969,汽车芯片,1254.36,1.21,14.98,15196320.0,41979694398.0,2.14,651266560.0,1.55,36.0,25.0
BK1175,玻璃基板,1564.9,1.19,18.37,11315169.0,16671213029.0,1.71,-336497552.0,-2.02,17.0,15.0
BK0990,快递概念,1104.49,1.19,12.94,15666294.0,13225346449.0,1.64,520526816.0,3.94,27.0,13.0
BK0891,国产芯片,3573.81,1.17,41.43,114706417.0,256199177194.0,1.67,2762090496.0,1.08,205.0,159.0
BK1023,培育钻石,1617.76,1.14,18.25,3586458.0,6555637888.0,1.68,-102742048.0,-1.57,7.0,6.0
BK0917,半导体概念,1864.08,1.14,20.95,88368905.0,215667147155.0,1.69,1950064384.0,0.9,200.0,158.0
BK0946,EDA概念,1320.67,1.07,13.96,3002230.0,9141884529.0,1.8,-90582496.0,-0.99,7.0,5.0
BK0964,6G概念,1572.6,1.06,16.52,11592912.0,20541297117.0,1.35,-248436016.0,-1.21,12.0,17.0
