行业代码,行业名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高价,最低价,开盘价,昨收价,总市值,流通市值,主力净流入,主力净流入占比,总股本,更新时间
BK1027,小金属,2696.93,2.94,77.0,25937593.0,59778924351.0,5.55,2715.39,2569.94,2633.68,2619.93,935729696000.0,825638528000.0,678783488.0,1.14,-1122571008.0,1754552381
BK0734,珠宝首饰,496.42,2.77,13.39,3471515.0,4252587583.0,3.25,497.23,481.51,482.25,483.03,176258903000.0,150441865000.0,456677600.0,10.74,-373488512.0,1754552381
BK1036,半导体,1629.93,1.9,30.32,28283257.0,121637973239.0,3.06,1648.58,1599.67,1599.84,1599.61,4967432192000.0,3583052240000.0,4467165952.0,3.67,-2400876288.0,1754552381
BK1041,医疗器械,1014.39,1.83,18.19,15504456.0,31377490587.0,3.31,1029.91,996.95,996.99,996.2,1438142336000.0,1247216528000.0,1750462640.0,5.58,-1282047232.0,1754552381
BK0732,贵金属,1542.7,1.64,24.82,5388760.0,7984510285.0,2.15,1544.02,1511.39,1518.54,1517.88,421674672000.0,368249744000.0,456774944.0,5.72,-361451264.0,1754552381
BK1015,能源金属,540.0,1.5,7.97,4809277.0,12687210155.0,3.25,540.0,522.73,533.52,532.03,379435600000.0,329731968000.0,717577712.0,5.66,-903292720.0,1754552381
BK0422,物流行业,7729.95,1.37,104.27,13301802.0,13104112389.0,1.6,7745.99,7624.06,7624.55,7625.68,978870544000.0,845444928000.0,671113136.0,5.12,-459039360.0,1754552381
BK1035,美容护理,1042.46,0.92,9.55,2506361.0,6274461380.0,1.89,1047.18,1027.7,1035.89,1032.91,311140880000.0,240087648000.0,-58608672.0,-0.93,-18707728.0,1754552381
BK0433,农牧饲渔,15344.89,0.88,133.46,16493911.0,15224064187.0,1.04,15352.71,15194.33,15210.66,15211.43,1087652608000.0,920121712000.0,206245856.0,1.35,-144507392.0,1754552381
BK1020,非金属材料,1547.25,0.84,12.85,5374184.0,11594573366.0,1.79,1550.09,1522.6,1536.2,1534.4,443121136000.0,345191840000.0,-282356368.0,-2.44,501918384.0,1754552381
BK0539,综合行业,11771.28,0.71,83.54,4554442.0,5400535086.0,0.81,11771.28,11676.06,11693.72,11687.74,208077557000.0,200954926000.0,101553760.0,1.88,-91877040.0,1754552381
BK1028,燃气,1688.0,0.68,11.48,3541822.0,2960622746.0,1.65,1692.39,1664.74,1675.32,1676.52,288915568000.0,258395727000.0,-16084144.0,-0.54,53097600.0,1754552381
BK0438,食品饮料,29458.81,0.66,194.38,16363116.0,19049403441.0,1.01,29460.78,29166.41,29228.38,29264.43,1663903184000.0,1404909136000.0,68070544.0,0.36,75547392.0,1754552381
BK1034,电源设备,2408.59,0.66,15.74,10866665.0,14952805078.0,1.5,2411.45,2375.67,2395.49,2392.85,476754496000.0,364551648000.0,-208681056.0,-1.4,321346272.0,1754552381
BK0451,房地产开发,13282.12,0.61,80.0,23775348.0,15044326361.0,0.97,13291.85,13163.62,13198.56,13202.12,1070164512000.0,958733552000.0,-162205104.0,-1.08,47851936.0,1754552381
BK0440,家用轻工,49412.25,0.6,295.26,4647798.0,6881369759.0,1.03,49597.08,49091.54,49091.54,49116.99,324162944000.0,254377173000.0,136006288.0,1.98,-25852208.0,1754552381
BK0458,仪器仪表,19741.62,0.58,112.91,7493909.0,13985194136.0,1.14,19759.99,19536.02,19652.38,19628.71,386750096000.0,291974144000.0,5708000.0,0.04,8363360.0,1754552381
BK0484,贸易行业,10840.73,0.56,60.65,7314622.0,6881818424.0,0.75,10855.43,10774.59,10781.38,10780.08,331319456000.0,261559725000.0,-128257568.0,-1.86,204092000.0,1754552381
BK0735,计算机设备,1516.17,0.51,7.65,11589707.0,23697055634.0,1.23,1520.85,1502.37,1507.4,1508.52,973788816000.0,881612016000.0,-732693392.0,-3.09,730844160.0,1754552381
BK0424,水泥建材,29004.91,0.49,142.41,11333461.0,10438492722.0,1.21,29231.5,28882.38,29192.56,28862.5,374712048000.0,323673504000.0,212045760.0,2.03,-113993744.0,1754552381
BK0425,工程建设,25354.35,0.49,123.76,25482492.0,16522312822.0,0.87,25401.2,25182.75,25331.11,25230.59,1474852592000.0,1271397088000.0,322849600.0,1.95,-113093632.0,1754552381
BK0470,造纸印刷,10236.95,0.43,43.92,6240181.0,5472615285.0,0.53,10262.32,10208.8,10239.46,10193.03,254274272000.0,222617237000.0,-164512864.0,-3.01,151884240.0,1754552381
BK0538,化学制品,28941.12,0.43,122.67,24220813.0,33605236917.0,0.62,28991.29,28811.4,28866.79,28818.45,1430482128000.0,1257986688000.0,-907522000.0,-2.7,952667392.0,1754552381
BK0736,通信服务,1205.98,0.34,4.14,10211455.0,11815937893.0,0.94,1210.65,1199.35,1207.24,1201.84,3448401328000.0,1093916976000.0,-393850352.0,-3.33,196339232.0,1754552381
BK0475,银行,4392.38,0.32,14.17,34030147.0,26650822934.0,1.13,4401.74,4352.3,4379.78,4378.21,15950683648000.0,10774545408000.0,135484160.0,0.51,340786688.0,1754552381
BK1038,光学光电子,1707.21,0.3,5.12,27333663.0,28481820310.0,0.9,1712.71,1697.45,1702.25,1702.09,1120252832000.0,983007760000.0,-146269472.0,-0.51,200896768.0,1754552381
BK0482,商业百货,17907.77,0.3,53.28,14263139.0,9926767372.0,0.91,17984.46,17821.33,17844.11,17854.49,580738544000.0,533968928000.0,71875552.0,0.72,-33511648.0,1754552381
BK1037,消费电子,1734.29,0.29,5.01,32033687.0,73127863485.0,1.43,1754.27,1729.6,1735.87,1729.28,2427466416000.0,2121235312000.0,-9601536.0,-0.01,1512118272.0,1754552381
BK0473,证券,155486.28,0.28,437.34,31723488.0,32374143573.0,1.57,156693.89,154263.29,155181.46,155048.94,3641959008000.0,2993859376000.0,-420488960.0,-1.3,58240256.0,1754552381
BK0464,石油行业,5939.74,0.27,16.14,5942195.0,4330609857.0,0.84,5948.57,5898.74,5923.52,5923.6,3692732016000.0,2178143392000.0,-281457424.0,-6.5,211882064.0,1754552381
BK1045,房地产服务,1210.97,0.26,3.2,3859873.0,1976018858.0,0.85,1213.94,1203.65,1207.24,1207.77,93586001000.0,87659169000.0,-52247891.0,-2.64,39471168.0,1754552381
BK1043,专业服务,1490.66,0.23,3.4,4421784.0,8189840444.0,0.8,1494.4,1482.54,1491.7,1487.26,247676937000.0,193424460000.0,-273874496.0,-3.34,151979168.0,1754552381
BK0477,酿酒行业,50731.27,0.21,105.18,2664354.0,12244872882.0,0.66,50895.51,50561.54,50630.86,50626.09,3388147632000.0,3266148848000.0,-4019744.0,-0.03,37525280.0,1754552381
BK1017,采掘行业,1392.37,0.21,2.86,4576036.0,3605970916.0,0.91,1393.56,1380.95,1389.55,1389.51,318346320000.0,267527091000.0,-60432880.0,-1.68,65228128.0,1754552381
BK0450,航运港口,10953.59,0.2,22.16,10336973.0,5404624888.0,0.87,10965.37,10870.18,10930.57,10931.43,1053148880000.0,852174848000.0,-138851632.0,-2.57,118430640.0,1754552381
BK0421,铁路公路,9226.76,0.2,18.44,4883778.0,3182986960.0,0.55,9239.65,9188.72,9223.17,9208.32,742408000000.0,661346544000.0,-80553488.0,-2.53,38672992.0,1754552381
BK0726,工程咨询服务,879.29,0.18,1.59,5470798.0,7828163089.0,1.11,882.6,872.83,880.01,877.7,209321618000.0,172389063000.0,-143843680.0,-1.84,91805360.0,1754552381
BK0448,通信设备,17217.02,0.14,24.2,31488088.0,87084842066.0,1.06,17235.85,17052.79,17185.55,17192.82,2000754448000.0,1702599760000.0,-3446389504.0,-3.96,2878607360.0,1754552381
BK1039,电子化学品,1827.42,0.09,1.7,5318546.0,10137577434.0,1.33,1833.66,1809.42,1825.7,1825.72,314638464000.0,239806764000.0,98523712.0,0.97,-72963360.0,1754552381
BK1019,化学原料,948.46,0.08,0.77,13483661.0,15828166754.0,0.94,951.67,942.76,951.18,947.69,914534416000.0,830421200000.0,-547503488.0,-3.46,366506752.0,1754552381
BK0478,有色金属,19999.27,0.07,14.88,32349103.0,27387371415.0,1.54,20105.14,19797.91,20056.29,19984.39,1780308400000.0,1502750352000.0,-702677920.0,-2.57,765868800.0,1754552381
BK0447,互联网服务,30543.24,0.07,22.62,51465500.0,75403042703.0,1.15,30774.11,30423.2,30554.76,30520.62,1902456640000.0,1652563024000.0,-1690568960.0,-2.24,1125755392.0,1754552381
BK0428,电力行业,17198.64,0.06,11.05,27167148.0,18068039954.0,0.77,17222.31,17090.82,17193.68,17187.59,3341865472000.0,2774184448000.0,-628058368.0,-3.48,475335168.0,1754552381
BK0436,纺织服装,13018.71,0.05,6.48,18077162.0,14797828134.0,0.73,13043.53,12949.13,13008.77,13012.23,545471744000.0,495267904000.0,-26757248.0,-0.18,197798144.0,1754552381
BK0420,航空机场,4875.42,0.03,1.53,5752750.0,3123308929.0,0.76,4876.74,4839.83,4872.09,4873.89,748901088000.0,521746624000.0,-143538912.0,-4.6,100687472.0,1754552381
BK0729,船舶制造,1170.44,-0.01,-0.15,19391911.0,23454982916.0,3.28,1192.99,1154.64,1192.99,1170.59,486142896000.0,426460832000.0,-2530101616.0,-10.79,1980764928.0,1754552381
BK0737,软件开发,1302.95,-0.03,-0.42,43189256.0,88550967574.0,1.39,1308.58,1290.43,1301.47,1303.37,2547409280000.0,2131652464000.0,-3242186240.0,-3.66,2605059328.0,1754552381
BK1032,风电设备,1268.29,-0.06,-0.73,5836575.0,8986715615.0,1.04,1272.36,1259.12,1266.01,1269.02,343374432000.0,275069600000.0,-259810432.0,-2.89,163416912.0,1754552381
BK0486,文化传媒,10803.84,-0.1,-10.8,30198229.0,27888202393.0,0.65,10851.18,10780.99,10808.11,10814.64,1128427200000.0,1026919952000.0,-445931296.0,-1.6,459730944.0,1754552381
BK1029,汽车整车,1734.04,-0.11,-1.85,12464680.0,15932336211.0,0.8,1739.4,1725.5,1734.69,1735.89,2263422496000.0,1490544992000.0,-401241920.0,-2.52,523783344.0,1754552381
BK1046,游戏,1480.52,-0.12,-1.77,12178576.0,16331690109.0,0.98,1483.79,1469.27,1477.31,1482.29,491222608000.0,446141696000.0,-550601616.0,-3.37,511021296.0,1754552381
BK0454,塑料制品,17941.79,-0.12,-21.82,13995528.0,24469339031.0,0.85,18019.91,17866.94,17964.63,17963.61,530714528000.0,435680176000.0,-1001950768.0,-4.09,825032704.0,1754552381
BK0728,环保行业,496.49,-0.12,-0.61,17128247.0,15318951879.0,0.81,498.3,494.28,497.99,497.1,692717056000.0,578451856000.0,-243990960.0,-1.59,-67791872.0,1754552381
BK0429,交运设备,11258.97,-0.17,-19.36,6791102.0,12014176905.0,0.79,11298.53,11209.72,11298.3,11278.33,731025472000.0,583791584000.0,-909453584.0,-7.57,699184816.0,1754552381
BK0733,包装材料,1192.14,-0.18,-2.09,4927167.0,3417933219.0,0.63,1194.76,1187.29,1193.39,1194.23,140410981000.0,123230107000.0,-161049736.0,-4.71,121887552.0,1754552381
BK0546,玻璃玻纤,41727.38,-0.18,-75.26,5023581.0,5499657435.0,1.04,41987.78,41551.55,41698.63,41802.64,380904096000.0,318469184000.0,-209150368.0,-3.8,184924704.0,1754552381
BK0485,旅游酒店,15861.73,-0.18,-28.72,6899908.0,7004151109.0,0.83,15900.24,15769.05,15849.06,15890.45,365412128000.0,328604112000.0,-227951520.0,-3.25,245596304.0,1754552381
BK0427,公用事业,8580.69,-0.19,-16.18,2036227.0,1290813156.0,0.7,8602.85,8542.92,8599.61,8596.87,189419194000.0,178931414000.0,-42692847.0,-3.31,26498112.0,1754552381
BK0456,家电行业,24156.87,-0.21,-50.82,15866415.0,23018725815.0,0.43,24213.48,24108.78,24212.26,24207.69,1978865584000.0,1733136864000.0,-561309952.0,-2.44,499962624.0,1754552381
BK0725,装修装饰,612.87,-0.23,-1.39,3677587.0,3287045469.0,0.89,616.92,611.44,616.92,614.26,139202094000.0,126651472000.0,-117891188.0,-3.59,23406688.0,1754552381
