日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2015-05-21,1014.24,1038.34,1044.09,1013.17,3877043.0,17123324672.0,3.09,3.83,38.34,0.1,BK0714,concept,5G概念
2015-05-22,1061.18,1037.99,1065.89,1017.07,4432838.0,19880747008.0,4.7,-0.03,-0.35,0.12,BK0714,concept,5G概念
2015-05-25,1030.34,1056.52,1058.8,1020.52,3944388.0,17127031808.0,3.69,1.79,18.53,0.11,BK0714,concept,5G概念
2015-05-26,1063.22,1102.27,1105.21,1061.46,3981426.0,18162166016.0,4.14,4.33,45.75,0.11,BK0714,concept,5G概念
2015-05-27,1108.36,1107.66,1115.7,1080.55,4063046.0,18845809152.0,3.19,0.49,5.39,0.11,BK0714,concept,5G概念
2015-05-28,1096.84,1013.83,1103.83,1013.26,4586670.0,20875378688.0,8.18,-8.47,-93.83,0.12,BK0714,concept,5G概念
2015-05-29,1013.23,1023.74,1051.41,965.53,3757270.0,16552955648.0,8.47,0.98,9.91,0.1,BK0714,concept,5G概念
2015-06-01,1031.7,1070.54,1074.12,1030.98,3506587.0,16359893760.0,4.21,4.57,46.8,0.09,BK0714,concept,5G概念
2015-06-02,1072.58,1116.84,1117.53,1072.36,4339460.0,21513541376.0,4.22,4.32,46.3,0.12,BK0714,concept,5G概念
2015-06-03,1109.52,1107.22,1113.44,1072.35,4462188.0,23314453760.0,3.68,-0.86,-9.62,0.12,BK0714,concept,5G概念
2015-06-04,1103.82,1078.82,1104.33,1008.73,4336489.0,22007188992.0,8.63,-2.56,-28.4,0.12,BK0714,concept,5G概念
2015-06-05,1090.17,1072.78,1101.72,1057.14,3822932.0,18990761472.0,4.13,-0.56,-6.04,0.1,BK0714,concept,5G概念
2015-06-08,1068.65,1044.92,1070.81,1031.89,3897155.0,18029617664.0,3.63,-2.6,-27.86,0.1,BK0714,concept,5G概念
2015-06-09,1042.7,1055.16,1071.46,1034.78,3554344.0,15394791168.0,3.51,0.98,10.24,0.1,BK0714,concept,5G概念
2015-06-10,1055.67,1094.4,1105.21,1046.12,3971743.0,17877955072.0,5.6,3.72,39.24,0.11,BK0714,concept,5G概念
2015-06-11,1090.99,1098.66,1104.83,1085.89,3711281.0,16850662400.0,1.73,0.39,4.26,0.1,BK0714,concept,5G概念
