日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,3857.29,3798.25,3889.45,3794.99,15611979.0,17539883947.88,2.45,-1.39,-53.37,0.07,BK0499,concept,AH股
2010-01-05,3812.52,3837.46,3868.65,3764.13,19150816.0,22845217706.28,2.75,1.03,39.21,0.09,BK0499,concept,AH股
2010-01-06,3831.78,3789.92,3846.0,3779.75,17633968.0,22202100014.36,1.73,-1.24,-47.54,0.08,BK0499,concept,AH股
2010-01-07,3784.0,3706.71,3805.43,3687.86,18915931.0,23154448109.51,3.1,-2.2,-83.21,0.08,BK0499,concept,AH股
2010-01-08,3691.05,3715.01,3732.31,3662.83,13695192.0,17044148108.87,1.87,0.22,8.3,0.06,BK0499,concept,AH股
2010-01-11,3889.22,3739.51,3913.44,3700.34,22262907.0,25788730255.0,5.74,0.66,24.5,0.1,BK0499,concept,AH股
2010-01-12,3732.2,3783.46,3799.01,3681.95,21377450.0,25547166985.22,3.13,1.18,43.95,0.09,BK0499,concept,AH股
2010-01-13,3698.87,3632.74,3737.02,3594.5,28370277.0,32374761581.86,3.77,-3.98,-150.72,0.13,BK0499,concept,AH股
2010-01-14,3645.4,3651.26,3678.4,3603.75,18417255.0,21052366611.78,2.05,0.51,18.52,0.08,BK0499,concept,AH股
2010-01-15,3654.68,3655.49,3684.86,3616.44,15932200.0,17966548940.17,1.87,0.12,4.23,0.07,BK0499,concept,AH股
2010-01-18,3638.89,3654.76,3666.16,3609.48,17521509.0,20175856331.3,1.55,-0.02,-0.73,0.08,BK0499,concept,AH股
2010-01-19,3657.32,3660.64,3699.1,3640.62,18251184.0,20444084661.65,1.6,0.16,5.88,0.08,BK0499,concept,AH股
2010-01-20,3671.84,3569.93,3682.06,3556.31,22198751.0,24417801149.52,3.44,-2.48,-90.71,0.1,BK0499,concept,AH股
2010-01-21,3588.74,3605.44,3631.93,3557.17,17153284.0,19369893430.1,2.09,0.99,35.51,0.08,BK0499,concept,AH股
2010-01-22,3569.37,3629.31,3675.76,3536.62,27006696.0,27869954922.06,3.86,0.66,23.87,0.12,BK0499,concept,AH股
2010-01-25,3598.05,3595.9,3675.27,3574.21,13414190.0,13738117071.53,2.78,-0.92,-33.41,0.06,BK0499,concept,AH股
2010-01-26,3593.28,3560.87,3627.03,3527.13,14878743.0,15423807793.27,2.78,-0.97,-35.03,0.07,BK0499,concept,AH股
2010-01-27,3563.34,3504.26,3577.23,3477.01,13695799.0,14539363657.0,2.81,-1.59,-56.61,0.06,BK0499,concept,AH股
2010-01-28,3498.13,3486.55,3520.44,3441.38,12526857.0,13128628483.18,2.26,-0.51,-17.71,0.06,BK0499,concept,AH股
2010-01-29,3468.86,3474.37,3514.07,3450.98,11642059.0,12790958405.55,1.81,-0.35,-12.18,0.05,BK0499,concept,AH股
