日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-03-25,1012.27,925.49,1012.27,924.5,19348116.0,27436131616.0,8.78,-7.45,-74.51,5.88,BK1172,concept,AI语料
2024-03-26,916.98,886.35,930.37,880.88,16068786.0,22574201023.0,5.35,-4.23,-39.14,4.89,BK1172,concept,AI语料
2024-03-27,876.99,853.41,894.98,844.33,14962831.0,20108924899.0,5.71,-3.72,-32.94,4.55,BK1172,concept,AI语料
2024-03-28,843.53,888.05,894.77,842.27,14337827.0,21247108112.0,6.15,4.06,34.64,4.36,BK1172,concept,AI语料
2024-03-29,875.71,865.69,880.8,856.88,11858777.0,17089660212.0,2.69,-2.52,-22.36,3.61,BK1172,concept,AI语料
2024-04-01,868.12,895.6,896.52,862.61,12580562.0,19201400886.0,3.92,3.46,29.91,3.83,BK1172,concept,AI语料
2024-04-02,888.44,854.01,888.44,845.89,12014385.0,17088505688.0,4.75,-4.64,-41.59,3.65,BK1172,concept,AI语料
2024-04-03,845.94,814.86,846.13,813.79,8874120.0,12460654286.0,3.79,-4.58,-39.15,2.7,BK1172,concept,AI语料
2024-04-08,810.98,804.13,816.44,796.87,7668840.0,10776342616.0,2.4,-1.32,-10.73,2.33,BK1172,concept,AI语料
2024-04-09,804.16,805.44,810.67,790.46,6515764.0,9103800683.0,2.51,0.16,1.31,1.98,BK1172,concept,AI语料
2024-04-10,800.27,777.84,800.85,772.2,7527014.0,9718078193.0,3.56,-3.43,-27.6,2.29,BK1172,concept,AI语料
2024-04-11,772.81,811.06,825.23,772.81,10505684.0,14879941992.0,6.74,4.27,33.22,3.19,BK1172,concept,AI语料
2024-04-12,803.08,792.47,808.01,790.86,7656921.0,10910235195.0,2.11,-2.29,-18.59,2.33,BK1172,concept,AI语料
2024-04-15,786.41,766.0,794.13,752.37,8740612.0,11336721697.0,5.27,-3.34,-26.47,2.66,BK1172,concept,AI语料
2024-04-16,754.55,715.35,759.75,714.95,8710146.0,10337703843.0,5.85,-6.61,-50.65,2.65,BK1172,concept,AI语料
2024-04-17,728.28,762.76,765.97,728.28,8809533.0,10776322215.0,5.27,6.63,47.41,2.68,BK1172,concept,AI语料
2024-04-18,758.32,754.25,771.27,741.85,8565894.0,11225833505.0,3.86,-1.12,-8.51,2.6,BK1172,concept,AI语料
2024-04-19,747.93,736.95,757.14,735.29,7379920.0,9287749691.0,2.9,-2.29,-17.3,2.24,BK1172,concept,AI语料
2024-04-22,720.04,719.63,728.68,704.69,5922883.0,7878416316.0,3.26,-2.35,-17.32,1.8,BK1172,concept,AI语料
2024-04-23,726.02,738.01,746.73,726.02,7784975.0,10139602217.0,2.88,2.55,18.38,2.37,BK1172,concept,AI语料
2024-04-24,737.74,766.09,769.43,729.38,9558568.0,12174512920.0,5.43,3.8,28.08,2.91,BK1172,concept,AI语料
2024-04-25,749.98,754.44,763.04,746.81,7613850.0,9946391584.0,2.12,-1.52,-11.65,2.31,BK1172,concept,AI语料
2024-04-26,753.89,781.93,792.17,753.89,10611657.0,14123265856.0,5.07,3.64,27.49,3.23,BK1172,concept,AI语料
2024-04-29,788.17,806.68,812.99,788.17,11735266.0,14328036244.0,3.17,3.17,24.75,3.57,BK1172,concept,AI语料
2024-04-30,805.22,797.39,812.49,789.61,8765847.0,11197206696.0,2.84,-1.15,-9.29,2.67,BK1172,concept,AI语料
2024-05-06,808.1,796.58,814.5,792.32,9404879.0,11352784799.0,2.78,-0.1,-0.81,2.86,BK1172,concept,AI语料
2024-05-07,802.87,801.3,827.75,797.38,10375638.0,13831498883.0,3.81,0.59,4.72,3.15,BK1172,concept,AI语料
2024-05-08,790.55,771.56,790.74,767.75,9625516.0,11147689265.0,2.87,-3.71,-29.74,2.93,BK1172,concept,AI语料
2024-05-09,769.11,774.42,780.64,769.11,6371313.0,7501943528.0,1.49,0.37,2.86,1.94,BK1172,concept,AI语料
2024-05-10,777.45,764.03,784.97,761.08,7098030.0,8946783480.0,3.08,-1.34,-10.39,2.16,BK1172,concept,AI语料
2024-05-13,759.25,748.89,759.25,742.52,6922708.0,9208143370.0,2.19,-1.98,-15.14,2.1,BK1172,concept,AI语料
2024-05-14,759.52,757.18,766.95,746.17,6415248.0,8777636377.0,2.77,1.11,8.29,1.95,BK1172,concept,AI语料
2024-05-15,754.02,743.15,758.49,742.63,5641542.0,7782998131.0,2.09,-1.85,-14.03,1.72,BK1172,concept,AI语料
2024-05-16,746.1,751.19,761.2,743.94,6257414.0,7767629062.0,2.32,1.08,8.04,1.9,BK1172,concept,AI语料
2024-05-17,748.52,749.73,751.83,737.26,5522642.0,6834949487.0,1.94,-0.19,-1.46,1.68,BK1172,concept,AI语料
2024-05-20,746.01,756.32,759.85,737.34,6432302.0,8302778903.0,3.0,0.88,6.59,1.96,BK1172,concept,AI语料
2024-05-21,755.59,753.64,765.11,751.39,6277413.0,7278956035.0,1.81,-0.35,-2.68,1.91,BK1172,concept,AI语料
2024-05-22,749.89,763.75,764.05,742.37,6518174.0,7355944295.0,2.88,1.34,10.11,1.98,BK1172,concept,AI语料
2024-05-23,760.06,738.3,760.07,735.9,6250937.0,7449492061.0,3.16,-3.33,-25.45,1.9,BK1172,concept,AI语料
2024-05-24,736.96,719.93,743.83,719.8,5749662.0,6703188637.0,3.25,-2.49,-18.37,1.75,BK1172,concept,AI语料
2024-05-27,719.38,719.04,722.05,699.84,6648466.0,6773043885.0,3.09,-0.12,-0.89,2.02,BK1172,concept,AI语料
2024-05-28,714.56,699.39,714.56,698.48,4443452.0,4860860376.0,2.24,-2.73,-19.65,1.35,BK1172,concept,AI语料
2024-05-29,700.25,701.33,710.36,696.73,4464565.0,4515536492.0,1.95,0.28,1.94,1.36,BK1172,concept,AI语料
2024-05-30,697.73,701.51,707.88,688.04,4356673.0,4481675571.0,2.83,0.03,0.18,1.32,BK1172,concept,AI语料
2024-05-31,701.51,706.82,711.96,700.66,4104120.0,4484826091.0,1.61,0.76,5.31,1.25,BK1172,concept,AI语料
2024-06-03,706.31,700.91,713.45,693.66,6285893.0,5499184469.0,2.8,-0.84,-5.91,1.91,BK1172,concept,AI语料
2024-06-04,691.3,685.47,692.06,678.19,6664583.0,5712038874.0,1.98,-2.2,-15.44,2.03,BK1172,concept,AI语料
2024-06-05,679.79,663.41,683.03,663.41,6082433.0,5473036929.0,2.86,-3.22,-22.06,1.85,BK1172,concept,AI语料
2024-06-06,664.25,635.61,669.56,630.34,8052928.0,6654017027.0,5.91,-4.19,-27.8,2.45,BK1172,concept,AI语料
2024-06-07,643.58,648.98,652.03,634.6,5507475.0,5544246209.0,2.74,2.1,13.37,1.67,BK1172,concept,AI语料
2024-06-11,646.18,651.82,653.09,632.77,4463660.0,3965919915.0,3.13,0.44,2.84,1.36,BK1172,concept,AI语料
2024-06-12,651.29,679.97,683.53,650.55,6055873.0,6627662430.0,5.06,4.32,28.15,1.84,BK1172,concept,AI语料
2024-06-13,677.77,677.66,684.01,672.0,5453448.0,4946681620.0,1.77,-0.34,-2.31,1.66,BK1172,concept,AI语料
2024-06-14,678.12,675.92,682.63,672.02,8754251.0,6289817964.0,1.57,-0.26,-1.74,2.66,BK1172,concept,AI语料
2024-06-17,670.68,667.52,673.96,663.47,8271439.0,5258040698.0,1.55,-1.24,-8.4,2.51,BK1172,concept,AI语料
2024-06-18,668.34,669.73,673.96,665.49,6368222.0,4717754070.0,1.27,0.33,2.21,1.94,BK1172,concept,AI语料
2024-06-19,670.25,657.92,671.99,657.91,4968579.0,4186818765.0,2.1,-1.76,-11.81,1.51,BK1172,concept,AI语料
2024-06-20,657.1,637.86,658.13,637.27,5384710.0,4794342216.0,3.17,-3.05,-20.06,1.64,BK1172,concept,AI语料
2024-06-21,637.62,633.86,641.2,627.6,3618540.0,3034144826.0,2.13,-0.63,-4.0,1.1,BK1172,concept,AI语料
2024-06-24,632.11,606.91,632.11,606.62,6048273.0,4155504995.0,4.02,-4.25,-26.95,1.84,BK1172,concept,AI语料
2024-06-25,608.51,605.04,615.28,598.88,4497794.0,3604183593.0,2.7,-0.31,-1.87,1.37,BK1172,concept,AI语料
2024-06-26,606.86,664.57,664.84,604.58,9636637.0,11067934237.0,9.96,9.84,59.53,2.93,BK1172,concept,AI语料
2024-06-27,662.13,656.14,679.2,655.7,8862011.0,11885459923.0,3.54,-1.27,-8.43,2.69,BK1172,concept,AI语料
2024-06-28,650.83,645.32,658.66,643.26,6477406.0,7865493450.0,2.35,-1.65,-10.82,1.97,BK1172,concept,AI语料
2024-07-01,640.71,649.96,651.51,632.48,5677350.0,5781196950.0,2.95,0.72,4.64,1.73,BK1172,concept,AI语料
2024-07-02,649.57,651.51,663.6,649.57,5960597.0,6921433389.0,2.16,0.24,1.55,1.81,BK1172,concept,AI语料
2024-07-03,650.07,638.5,650.07,638.05,4222400.0,4599484701.0,1.84,-2.0,-13.01,1.28,BK1172,concept,AI语料
2024-07-04,642.14,619.79,643.17,618.86,4542906.0,4580887756.0,3.81,-2.93,-18.71,1.38,BK1172,concept,AI语料
2024-07-05,617.44,628.15,633.37,608.93,4341127.0,5038509549.0,3.94,1.35,8.36,1.32,BK1172,concept,AI语料
2024-07-08,624.34,605.06,624.34,603.22,4746296.0,4176275899.0,3.36,-3.68,-23.09,1.44,BK1172,concept,AI语料
2024-07-09,606.32,620.1,620.84,592.36,5495988.0,4878683059.0,4.71,2.49,15.04,1.67,BK1172,concept,AI语料
2024-07-10,615.7,613.05,627.79,610.49,4862826.0,4749100948.0,2.79,-1.14,-7.05,1.48,BK1172,concept,AI语料
2024-07-11,625.27,628.82,628.82,617.78,5415425.0,4895720520.0,1.8,2.57,15.77,1.65,BK1172,concept,AI语料
2024-07-12,626.85,623.57,635.87,621.32,5410077.0,4414789052.0,2.31,-0.83,-5.25,1.64,BK1172,concept,AI语料
2024-07-15,621.38,620.75,628.7,614.54,5585600.0,4479962671.0,2.27,-0.45,-2.82,1.7,BK1172,concept,AI语料
2024-07-16,615.49,618.23,620.55,608.77,4226585.0,4016973442.0,1.9,-0.41,-2.52,1.29,BK1172,concept,AI语料
2024-07-17,617.29,617.06,631.31,616.05,4891905.0,6070478429.0,2.47,-0.19,-1.17,1.49,BK1172,concept,AI语料
2024-07-18,608.67,605.15,608.67,592.19,4660681.0,4765857782.0,2.67,-1.93,-11.91,1.42,BK1172,concept,AI语料
2024-07-19,603.93,613.96,619.18,603.0,4336871.0,4631986531.0,2.67,1.46,8.81,1.32,BK1172,concept,AI语料
2024-07-22,611.27,618.16,620.91,607.06,4324204.0,3963133664.0,2.26,0.68,4.2,1.31,BK1172,concept,AI语料
2024-07-23,617.79,602.97,621.19,602.97,4669236.0,4898046473.0,2.95,-2.46,-15.19,1.42,BK1172,concept,AI语料
2024-07-24,600.17,592.63,608.23,591.89,4167104.0,4105732975.0,2.71,-1.71,-10.34,1.27,BK1172,concept,AI语料
2024-07-25,588.38,596.73,603.44,583.3,3675455.0,3434425841.0,3.4,0.69,4.1,1.12,BK1172,concept,AI语料
2024-07-26,597.64,608.21,609.83,596.97,3953640.0,3740712232.0,2.16,1.92,11.48,1.2,BK1172,concept,AI语料
2024-07-29,609.32,611.43,614.76,599.6,4619836.0,3504062233.0,2.49,0.53,3.22,1.4,BK1172,concept,AI语料
2024-07-30,609.19,609.55,613.41,604.42,3696609.0,3102714969.0,1.47,-0.31,-1.88,1.12,BK1172,concept,AI语料
2024-07-31,609.52,637.49,637.51,609.52,6582872.0,6385100290.0,4.59,4.58,27.94,2.0,BK1172,concept,AI语料
2024-08-01,636.49,632.43,642.14,628.88,4417137.0,4486425156.0,2.08,-0.79,-5.06,1.34,BK1172,concept,AI语料
2024-08-02,627.95,624.45,643.24,623.92,4749829.0,4977503038.0,3.05,-1.26,-7.98,1.44,BK1172,concept,AI语料
2024-08-05,619.07,610.3,640.44,610.26,5609364.0,5544999561.0,4.83,-2.27,-14.15,1.71,BK1172,concept,AI语料
2024-08-06,617.57,623.58,623.83,614.33,4195411.0,4172223215.0,1.56,2.18,13.28,1.28,BK1172,concept,AI语料
2024-08-07,622.04,618.15,628.07,617.99,3821733.0,3879334607.0,1.62,-0.87,-5.43,1.16,BK1172,concept,AI语料
2024-08-08,616.01,615.09,618.49,601.38,4178238.0,4010150802.0,2.77,-0.5,-3.06,1.27,BK1172,concept,AI语料
2024-08-09,616.6,599.74,617.7,599.74,3395550.0,3250440911.0,2.92,-2.5,-15.35,1.03,BK1172,concept,AI语料
2024-08-12,598.61,594.63,602.36,588.09,3268979.0,2883442785.0,2.38,-0.85,-5.11,0.99,BK1172,concept,AI语料
2024-08-13,593.29,596.47,596.62,587.36,2600708.0,2287928440.0,1.56,0.31,1.84,0.79,BK1172,concept,AI语料
2024-08-14,596.28,603.62,608.15,594.21,3919967.0,4724856103.0,2.34,1.2,7.15,1.19,BK1172,concept,AI语料
2024-08-15,599.35,618.33,627.1,595.6,5877179.0,6001069903.0,5.22,2.44,14.71,1.79,BK1172,concept,AI语料
2024-08-16,617.61,610.59,619.7,610.56,3541344.0,3668835609.0,1.48,-1.25,-7.74,1.08,BK1172,concept,AI语料
2024-08-19,610.95,612.32,619.78,609.27,4292442.0,4544534508.0,1.72,0.28,1.73,1.31,BK1172,concept,AI语料
2024-08-20,611.31,617.5,623.62,604.38,4905135.0,5282301684.0,3.14,0.85,5.18,1.49,BK1172,concept,AI语料
2024-08-21,616.01,605.89,624.7,605.28,3909316.0,4601584628.0,3.14,-1.88,-11.61,1.19,BK1172,concept,AI语料
2024-08-22,603.09,585.09,610.09,584.67,4275387.0,4411496793.0,4.2,-3.43,-20.8,1.3,BK1172,concept,AI语料
2024-08-23,584.56,579.49,584.56,571.79,3376297.0,3420602379.0,2.18,-0.96,-5.6,1.03,BK1172,concept,AI语料
2024-08-26,578.63,579.88,583.76,571.03,2674259.0,2911285669.0,2.2,0.07,0.39,0.81,BK1172,concept,AI语料
2024-08-27,578.42,569.04,582.07,567.79,2822231.0,2785962910.0,2.46,-1.87,-10.84,0.86,BK1172,concept,AI语料
2024-08-28,566.16,577.87,580.04,559.28,3968936.0,3812768675.0,3.65,1.55,8.83,1.21,BK1172,concept,AI语料
2024-08-29,572.53,582.02,584.75,569.64,3703047.0,3282440974.0,2.61,0.72,4.15,1.13,BK1172,concept,AI语料
2024-08-30,582.16,605.37,611.39,582.04,7220925.0,5816570466.0,5.04,4.01,23.35,2.2,BK1172,concept,AI语料
2024-09-02,603.44,587.21,607.93,587.16,4875463.0,4201246361.0,3.43,-3.0,-18.16,1.48,BK1172,concept,AI语料
2024-09-03,589.33,596.22,601.94,586.61,3736217.0,3109094985.0,2.61,1.53,9.01,1.14,BK1172,concept,AI语料
2024-09-04,591.3,591.69,597.95,588.36,3087763.0,2441524204.0,1.61,-0.76,-4.53,0.94,BK1172,concept,AI语料
2024-09-05,591.7,606.62,610.02,591.7,5424765.0,4786484493.0,3.1,2.52,14.93,1.65,BK1172,concept,AI语料
