日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-06-18,870.54,871.93,874.45,866.91,555137.0,258042212.0,0.75,-12.81,-128.07,0.21,BK0636,concept,B股
2013-06-19,869.47,866.85,869.47,858.76,679419.0,297420464.0,1.23,-0.58,-5.08,0.26,BK0636,concept,B股
2013-06-20,864.82,849.37,865.05,848.25,837513.0,311261520.0,1.94,-2.02,-17.48,0.32,BK0636,concept,B股
2013-06-21,838.58,846.22,846.34,827.05,934640.0,358514720.0,2.27,-0.37,-3.15,0.35,BK0636,concept,B股
2013-06-24,841.59,806.23,842.75,801.43,1320139.0,480482832.0,4.88,-4.73,-39.99,0.5,BK0636,concept,B股
2013-06-25,797.77,801.79,808.97,764.16,1641141.0,598942048.0,5.56,-0.55,-4.44,0.62,BK0636,concept,B股
2013-06-26,799.99,813.35,813.68,799.06,901110.0,370810768.0,1.82,1.44,11.56,0.34,BK0636,concept,B股
2013-06-27,814.49,811.0,827.49,809.36,954814.0,339393984.0,2.23,-0.29,-2.35,0.36,BK0636,concept,B股
2013-06-28,809.71,819.62,825.44,805.59,754791.0,300506176.0,2.45,1.06,8.62,0.29,BK0636,concept,B股
2013-07-01,819.71,822.9,823.09,814.13,516423.0,177915002.0,1.09,0.4,3.28,0.2,BK0636,concept,B股
2013-07-02,821.26,824.3,824.9,818.68,578798.0,215180985.0,0.76,0.17,1.4,0.22,BK0636,concept,B股
2013-07-03,824.15,816.99,824.17,809.78,622671.0,210693876.0,1.75,-0.89,-7.31,0.24,BK0636,concept,B股
2013-07-04,816.81,824.25,827.65,811.62,762161.0,259493425.0,1.96,0.89,7.26,0.29,BK0636,concept,B股
2013-07-05,824.81,821.45,827.28,821.22,537332.0,203042095.0,0.74,-0.34,-2.8,0.2,BK0636,concept,B股
2013-07-08,818.13,796.97,818.13,796.21,714077.0,241591492.0,2.67,-2.98,-24.48,0.27,BK0636,concept,B股
2013-07-09,793.95,794.71,799.59,792.31,401883.0,136229147.0,0.91,-0.28,-2.26,0.15,BK0636,concept,B股
2013-07-10,794.71,813.55,813.59,794.34,726605.0,276670640.0,2.42,2.37,18.84,0.27,BK0636,concept,B股
2013-07-11,817.56,838.71,843.61,817.41,1448149.0,517114800.0,3.22,3.09,25.16,0.55,BK0636,concept,B股
2013-07-12,839.99,831.47,841.42,830.73,853224.0,280496704.0,1.27,-0.86,-7.24,0.32,BK0636,concept,B股
2013-07-15,832.98,843.1,845.17,832.98,798305.0,251518228.0,1.47,1.4,11.63,0.3,BK0636,concept,B股
2013-07-16,842.79,846.64,848.11,839.7,744709.0,279757008.0,1.0,0.42,3.54,0.28,BK0636,concept,B股
2013-07-17,846.02,835.77,847.58,835.23,735761.0,353425632.0,1.46,-1.28,-10.87,0.28,BK0636,concept,B股
2013-07-18,833.53,834.85,837.7,831.57,475204.0,211272473.0,0.73,-0.11,-0.92,0.18,BK0636,concept,B股
2013-07-19,833.47,824.56,836.89,823.09,573666.0,254647601.0,1.65,-1.23,-10.29,0.22,BK0636,concept,B股
2013-07-22,821.27,826.02,826.15,817.38,555100.0,270305200.0,1.06,0.18,1.46,0.21,BK0636,concept,B股
2013-07-23,825.58,837.64,838.27,824.81,682693.0,298202176.0,1.63,1.41,11.62,0.26,BK0636,concept,B股
2013-07-24,839.18,837.38,839.31,831.93,545377.0,267856127.0,0.88,-0.03,-0.26,0.21,BK0636,concept,B股
