日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-02-10,1028.97,1008.11,1048.62,989.07,4024174.0,11539065710.18,5.96,0.81,8.11,0.93,BK1128,concept,CPO概念
2023-02-13,1013.25,1057.73,1059.59,1012.94,3973672.0,11047952167.6,4.63,4.92,49.62,0.92,BK1128,concept,CPO概念
2023-02-14,1056.33,1038.86,1062.9,1035.97,3549761.0,9010850405.84,2.55,-1.78,-18.87,0.82,BK1128,concept,CPO概念
2023-02-15,1047.12,1066.75,1079.39,1042.82,4063456.0,10395007591.61,3.52,2.68,27.89,0.94,BK1128,concept,CPO概念
2023-02-16,1048.54,1013.65,1056.35,1008.1,4660717.0,11055221710.76,4.52,-4.98,-53.1,1.08,BK1128,concept,CPO概念
2023-02-17,1013.7,979.41,1020.39,978.27,3397381.0,7806841321.45,4.16,-3.38,-34.24,0.79,BK1128,concept,CPO概念
2023-02-20,977.85,1001.64,1002.57,973.65,2719390.0,6294593846.66,2.95,2.27,22.23,0.63,BK1128,concept,CPO概念
2023-02-21,999.5,994.03,1011.45,986.01,2521568.0,5893469800.77,2.54,-0.76,-7.61,0.58,BK1128,concept,CPO概念
2023-02-22,984.95,991.31,1001.82,981.39,1897778.0,4424844221.38,2.06,-0.27,-2.72,0.44,BK1128,concept,CPO概念
2023-02-23,989.08,985.38,996.31,980.84,2527207.0,5432768079.48,1.56,-0.6,-5.93,0.58,BK1128,concept,CPO概念
2023-02-24,990.73,1021.45,1033.85,990.73,2825743.0,7099274771.0,4.38,3.66,36.07,0.65,BK1128,concept,CPO概念
2023-02-27,1015.89,1017.95,1031.46,1011.97,2723183.0,6295839948.3,1.91,-0.34,-3.5,0.63,BK1128,concept,CPO概念
2023-02-28,1042.46,1049.03,1064.82,1029.66,3347925.0,8407249980.14,3.45,3.05,31.08,0.77,BK1128,concept,CPO概念
2023-03-01,1042.79,1081.12,1093.45,1041.94,3825579.0,9968700538.13,4.91,3.06,32.09,0.89,BK1128,concept,CPO概念
2023-03-02,1077.68,1127.8,1136.33,1077.15,5040722.0,12104869764.2,5.47,4.32,46.68,1.17,BK1128,concept,CPO概念
2023-03-03,1104.21,1093.06,1117.02,1082.0,3849015.0,9650645214.18,3.11,-3.08,-34.74,0.89,BK1128,concept,CPO概念
2023-03-06,1085.76,1087.93,1110.14,1083.95,3495657.0,8207691733.49,2.4,-0.47,-5.13,0.81,BK1128,concept,CPO概念
2023-03-07,1084.02,1047.79,1088.65,1046.77,3157126.0,7449009723.72,3.85,-3.69,-40.14,0.73,BK1128,concept,CPO概念
2023-03-08,1048.38,1066.01,1069.8,1048.38,2321186.0,5494472608.43,2.04,1.74,18.22,0.54,BK1128,concept,CPO概念
2023-03-09,1063.24,1083.02,1089.45,1043.36,2655910.0,6624706881.97,4.32,1.6,17.01,0.61,BK1128,concept,CPO概念
2023-03-10,1068.35,1067.3,1088.22,1064.97,3023334.0,7208869691.11,2.15,-1.45,-15.72,0.7,BK1128,concept,CPO概念
2023-03-13,1060.5,1093.62,1097.37,1055.36,2851637.0,7229737510.29,3.94,2.47,26.32,0.66,BK1128,concept,CPO概念
2023-03-14,1091.51,1084.84,1103.62,1074.74,2972639.0,7431746522.54,2.64,-0.8,-8.78,0.69,BK1128,concept,CPO概念
