日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-08-08,1084.1,1063.13,1098.73,1053.55,8208596.0,16713072288.41,4.52,6.31,63.13,5.28,BK1101,concept,Chiplet概念
2022-08-09,1054.77,1134.16,1141.49,1054.77,7945238.0,16343644471.92,8.16,6.68,71.03,5.12,BK1101,concept,Chiplet概念
2022-08-10,1120.37,1157.7,1199.68,1120.29,8706195.0,18691951951.66,7.0,2.08,23.54,5.61,BK1101,concept,Chiplet概念
2022-08-11,1179.59,1198.38,1221.54,1179.59,10476440.0,21396657300.47,3.62,3.51,40.68,6.74,BK1101,concept,Chiplet概念
2022-08-12,1187.75,1149.14,1225.08,1149.09,9538028.0,19454301500.85,6.34,-4.11,-49.24,6.14,BK1101,concept,Chiplet概念
2022-08-15,1145.91,1143.39,1161.32,1135.55,7636465.0,14906203355.89,2.24,-0.5,-5.75,4.92,BK1101,concept,Chiplet概念
2022-08-16,1136.69,1154.0,1162.24,1129.61,7798645.0,15633224559.51,2.85,0.93,10.61,5.02,BK1101,concept,Chiplet概念
2022-08-17,1141.37,1152.71,1172.14,1130.18,7985581.0,16266254139.7,3.64,-0.11,-1.29,5.14,BK1101,concept,Chiplet概念
2022-08-18,1129.57,1147.02,1157.08,1115.53,7139881.0,14648603038.09,3.6,-0.49,-5.69,4.6,BK1101,concept,Chiplet概念
2022-08-19,1144.0,1110.58,1173.53,1109.91,6908606.0,14088573291.57,5.55,-3.18,-36.44,4.45,BK1101,concept,Chiplet概念
2022-08-22,1085.6,1096.8,1112.85,1079.05,4516158.0,8544552120.45,3.04,-1.24,-13.78,2.91,BK1101,concept,Chiplet概念
2022-08-23,1085.31,1093.76,1101.36,1078.49,4703490.0,8731707526.75,2.09,-0.28,-3.04,3.03,BK1101,concept,Chiplet概念
2022-08-24,1094.39,1039.29,1094.84,1038.54,5727423.0,10629968199.01,5.15,-4.98,-54.47,3.69,BK1101,concept,Chiplet概念
2022-08-25,1041.42,1007.98,1045.23,999.11,4288158.0,7448051226.05,4.44,-3.01,-31.31,2.76,BK1101,concept,Chiplet概念
2022-08-26,1010.87,985.94,1017.25,983.53,3834545.0,6479690979.27,3.35,-2.19,-22.04,2.47,BK1101,concept,Chiplet概念
2022-08-29,969.42,980.5,994.57,967.61,2804499.0,4764450980.76,2.73,-0.55,-5.44,1.81,BK1101,concept,Chiplet概念
2022-08-30,982.6,974.59,993.49,964.6,2858360.0,4932677366.85,2.95,-0.6,-5.91,1.84,BK1101,concept,Chiplet概念
2022-08-31,969.37,953.73,977.39,945.6,3863003.0,6391582106.02,3.26,-2.14,-20.86,2.49,BK1101,concept,Chiplet概念
2022-09-01,966.05,953.07,982.68,951.81,3396162.0,6466289778.7,3.24,-0.07,-0.66,2.19,BK1101,concept,Chiplet概念
2022-09-02,955.28,1001.08,1005.68,955.28,3845666.0,7623916192.91,5.29,5.04,48.01,2.48,BK1101,concept,Chiplet概念
2022-09-05,995.86,992.49,1007.15,980.73,3578444.0,6995213071.65,2.64,-0.86,-8.59,2.3,BK1101,concept,Chiplet概念
2022-09-06,991.74,995.53,995.53,978.76,3139911.0,5791223683.18,1.69,0.31,3.04,2.02,BK1101,concept,Chiplet概念
2022-09-07,997.33,1026.73,1039.04,996.41,5416623.0,10321538426.97,4.28,3.13,31.2,3.49,BK1101,concept,Chiplet概念
2022-09-08,1017.12,990.2,1017.12,990.2,3527904.0,6439485102.11,2.62,-3.56,-36.53,2.27,BK1101,concept,Chiplet概念
2022-09-09,988.88,974.07,989.99,965.43,2609565.0,4634540103.82,2.48,-1.63,-16.13,1.68,BK1101,concept,Chiplet概念
2022-09-13,974.04,969.46,993.31,967.19,2166131.0,3952169651.58,2.68,-0.47,-4.61,1.39,BK1101,concept,Chiplet概念
2022-09-14,951.12,963.54,970.36,948.13,2524954.0,4439800493.33,2.29,-0.61,-5.92,1.63,BK1101,concept,Chiplet概念
2022-09-15,964.38,917.7,964.38,907.04,3180507.0,5377895434.46,5.95,-4.76,-45.84,2.05,BK1101,concept,Chiplet概念
2022-09-16,915.5,904.65,929.71,904.44,2151599.0,3757637139.5,2.75,-1.42,-13.05,1.39,BK1101,concept,Chiplet概念
2022-09-19,903.79,887.72,919.77,883.93,2199407.0,3772220046.97,3.96,-1.87,-16.93,1.42,BK1101,concept,Chiplet概念
2022-09-20,893.89,905.47,909.43,888.21,1966308.0,3276455489.49,2.39,2.0,17.75,1.27,BK1101,concept,Chiplet概念
2022-09-21,901.69,911.19,916.71,887.56,2189289.0,3534317781.54,3.22,0.63,5.72,1.41,BK1101,concept,Chiplet概念
2022-09-22,903.01,912.48,921.99,902.84,1781820.0,2887038303.56,2.1,0.14,1.29,1.15,BK1101,concept,Chiplet概念
2022-09-23,913.03,880.04,914.34,877.5,2165703.0,3427181773.01,4.04,-3.56,-32.44,1.39,BK1101,concept,Chiplet概念
2022-09-26,871.76,872.35,884.23,870.71,1565873.0,2457053140.65,1.54,-0.87,-7.69,1.01,BK1101,concept,Chiplet概念
2022-09-27,874.61,893.67,893.67,874.61,1923597.0,3019832066.99,2.18,2.44,21.32,1.24,BK1101,concept,Chiplet概念
2022-09-28,890.27,856.39,890.77,856.39,1949176.0,2935542255.39,3.85,-4.17,-37.28,1.25,BK1101,concept,Chiplet概念
2022-09-29,864.35,849.38,868.1,845.27,1514272.0,2259885247.72,2.67,-0.82,-7.01,0.97,BK1101,concept,Chiplet概念
2022-09-30,848.98,828.84,854.38,828.75,1408693.0,2036391458.34,3.02,-2.42,-20.54,0.91,BK1101,concept,Chiplet概念
2022-10-10,826.19,796.88,827.78,794.93,1626007.0,2467353955.65,3.96,-3.86,-31.96,1.05,BK1101,concept,Chiplet概念
2022-10-11,800.17,800.37,804.86,788.7,1253062.0,1797005590.24,2.03,0.44,3.49,0.81,BK1101,concept,Chiplet概念
2022-10-12,801.92,837.24,837.91,797.51,2268721.0,3230125618.19,5.05,4.61,36.87,1.46,BK1101,concept,Chiplet概念
2022-10-13,832.78,840.5,851.55,829.58,1929630.0,2778844661.89,2.62,0.39,3.26,1.24,BK1101,concept,Chiplet概念
2022-10-14,848.76,860.33,861.93,843.52,1928608.0,2822323524.46,2.19,2.36,19.83,1.24,BK1101,concept,Chiplet概念
2022-10-17,856.26,882.88,884.16,851.79,2003237.0,2972332298.08,3.76,2.62,22.55,1.29,BK1101,concept,Chiplet概念
2022-10-18,887.35,877.76,888.61,873.22,1829692.0,2684491796.99,1.74,-0.58,-5.12,1.18,BK1101,concept,Chiplet概念
2022-10-19,874.75,870.89,886.31,870.89,1843218.0,2630815548.63,1.76,-0.78,-6.87,1.19,BK1101,concept,Chiplet概念
