日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-08-11,987.57,962.78,989.78,961.03,2167542.0,6444992256.0,2.88,-3.72,-37.22,2.24,BK0946,concept,EDA概念
2020-08-12,958.65,949.02,962.94,927.6,1912744.0,5871930880.0,3.67,-1.43,-13.76,1.97,BK0946,concept,EDA概念
2020-08-13,953.17,957.67,967.09,951.92,1583821.0,4578691840.0,1.6,0.91,8.65,1.63,BK0946,concept,EDA概念
2020-08-14,954.85,965.0,965.93,950.46,1298286.0,3688015376.0,1.62,0.77,7.33,1.34,BK0946,concept,EDA概念
2020-08-17,965.48,985.74,987.35,963.24,2015903.0,5099024384.0,2.5,2.15,20.74,2.08,BK0946,concept,EDA概念
2020-08-18,988.4,984.16,992.55,977.11,1695050.0,5267473152.0,1.57,-0.16,-1.58,1.75,BK0946,concept,EDA概念
2020-08-19,979.11,956.73,979.11,956.73,1606296.0,4830428416.0,2.27,-2.79,-27.43,1.66,BK0946,concept,EDA概念
2020-08-20,951.16,938.63,953.72,934.54,1519836.0,3767831648.0,2.0,-1.89,-18.1,1.57,BK0946,concept,EDA概念
2020-08-21,942.35,935.34,946.75,927.64,1485675.0,5044678400.0,2.04,-0.35,-3.29,1.53,BK0946,concept,EDA概念
2020-08-24,939.28,942.88,949.52,931.51,1502229.0,3236785728.0,1.93,0.81,7.54,1.55,BK0946,concept,EDA概念
2020-08-25,944.55,941.87,949.0,937.72,1387585.0,3766463648.0,1.2,-0.11,-1.01,1.43,BK0946,concept,EDA概念
2020-08-26,946.27,931.27,948.46,926.86,1476831.0,3351686576.0,2.29,-1.13,-10.6,1.52,BK0946,concept,EDA概念
2020-08-27,931.95,959.07,959.07,922.9,1667829.0,4645766400.0,3.88,2.99,27.8,1.72,BK0946,concept,EDA概念
2020-08-28,957.28,965.21,969.77,952.75,2118522.0,3973362752.0,1.77,0.64,6.14,2.19,BK0946,concept,EDA概念
2020-08-31,968.74,961.74,978.99,961.74,2983391.0,3925657792.0,1.79,-0.36,-3.47,3.08,BK0946,concept,EDA概念
2020-09-01,961.33,964.65,964.65,952.09,1990152.0,3465708624.0,1.31,0.3,2.91,2.05,BK0946,concept,EDA概念
2020-09-02,966.79,971.59,974.15,957.57,2127532.0,3374826208.0,1.72,0.72,6.94,2.2,BK0946,concept,EDA概念
2020-09-03,968.04,968.21,973.44,956.51,1791131.0,3236702784.0,1.74,-0.35,-3.38,1.85,BK0946,concept,EDA概念
2020-09-04,963.02,994.77,997.23,962.08,2235568.0,4880482816.0,3.63,2.74,26.56,2.31,BK0946,concept,EDA概念
2020-09-07,995.2,979.13,1016.52,975.13,2678441.0,6473974528.0,4.16,-1.57,-15.64,2.76,BK0946,concept,EDA概念
2020-09-08,974.37,991.32,994.04,965.7,2113328.0,4446152448.0,2.89,1.24,12.19,2.18,BK0946,concept,EDA概念
2020-09-09,974.91,953.89,980.41,953.89,2379093.0,4460922624.0,2.68,-3.78,-37.43,2.46,BK0946,concept,EDA概念
2020-09-10,957.62,908.26,959.53,906.37,2208104.0,3794607088.0,5.57,-4.78,-45.63,2.28,BK0946,concept,EDA概念
2020-09-11,902.25,920.51,923.76,900.57,1401367.0,2619518080.0,2.55,1.35,12.25,1.45,BK0946,concept,EDA概念
2020-09-14,925.25,947.38,947.38,921.98,1545619.0,3046187616.0,2.76,2.92,26.87,1.6,BK0946,concept,EDA概念
2020-09-15,944.05,969.65,980.0,936.29,1708253.0,3394930128.0,4.61,2.35,22.27,1.76,BK0946,concept,EDA概念
2020-09-16,964.54,962.37,973.92,956.91,1707536.0,2775895872.0,1.75,-0.75,-7.28,1.76,BK0946,concept,EDA概念
2020-09-17,959.97,974.35,986.92,952.36,1594033.0,3478985424.0,3.59,1.24,11.98,1.64,BK0946,concept,EDA概念
2020-09-18,970.68,986.94,987.74,967.53,1850848.0,3548130960.0,2.07,1.29,12.59,1.91,BK0946,concept,EDA概念
2020-09-21,989.17,990.3,1002.24,984.65,1762514.0,4932425216.0,1.78,0.34,3.36,1.82,BK0946,concept,EDA概念
2020-09-22,978.51,975.09,989.03,971.08,1433385.0,3133882736.0,1.81,-1.54,-15.21,1.48,BK0946,concept,EDA概念
2020-09-23,980.17,979.28,989.96,970.98,1400306.0,2887146336.0,1.95,0.43,4.19,1.45,BK0946,concept,EDA概念
2020-09-24,968.3,944.09,968.7,941.13,1314171.0,2191615312.0,2.82,-3.59,-35.19,1.36,BK0946,concept,EDA概念
2020-09-25,951.04,935.07,951.4,930.27,903108.0,1669015712.0,2.24,-0.96,-9.02,0.93,BK0946,concept,EDA概念
2020-09-28,935.77,910.94,937.64,910.94,892132.0,1823047664.0,2.86,-2.58,-24.13,0.92,BK0946,concept,EDA概念
2020-09-29,917.43,919.13,930.95,916.05,735755.0,2246645024.0,1.64,0.9,8.19,0.76,BK0946,concept,EDA概念
2020-09-30,921.39,919.23,924.33,910.94,735300.0,1723716848.0,1.46,0.01,0.1,0.76,BK0946,concept,EDA概念
2020-10-09,934.56,942.26,944.98,933.98,884713.0,2266470304.0,1.2,2.51,23.03,0.91,BK0946,concept,EDA概念
2020-10-12,947.63,975.23,975.66,944.8,1334995.0,3718859232.0,3.28,3.5,32.97,1.38,BK0946,concept,EDA概念
2020-10-13,971.16,972.72,977.9,964.37,1143401.0,3982336912.0,1.39,-0.26,-2.51,1.18,BK0946,concept,EDA概念
2020-10-14,971.23,964.82,973.87,958.12,1202498.0,3353847696.0,1.62,-0.81,-7.9,1.24,BK0946,concept,EDA概念
2020-10-15,961.64,952.67,967.8,952.19,893000.0,2270327696.0,1.62,-1.26,-12.15,0.92,BK0946,concept,EDA概念
2020-10-16,951.61,955.5,961.06,945.16,1021864.0,2570309808.0,1.67,0.3,2.83,1.05,BK0946,concept,EDA概念
