日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-03-23,991.75,995.16,996.94,981.46,3724259.0,7132114204.6,1.55,-0.48,-4.84,2.98,BK1133,concept,ERP概念
2023-03-24,992.09,1008.97,1010.7,980.29,3874183.0,7849363387.25,3.06,1.39,13.81,3.1,BK1133,concept,ERP概念
2023-03-27,1009.03,1013.35,1026.1,998.0,3824596.0,7936884608.0,2.79,0.43,4.38,3.06,BK1133,concept,ERP概念
2023-03-28,1006.14,989.69,1007.8,987.61,3089481.0,5668437078.0,1.99,-2.33,-23.66,2.47,BK1133,concept,ERP概念
2023-03-29,990.26,981.13,994.08,973.42,2651129.0,5079908391.0,2.09,-0.86,-8.56,2.12,BK1133,concept,ERP概念
2023-03-30,980.74,965.05,981.55,958.24,2413723.0,4390401621.0,2.38,-1.64,-16.08,1.93,BK1133,concept,ERP概念
2023-03-31,963.26,987.84,991.61,955.38,2472661.0,5097798288.0,3.75,2.36,22.79,1.98,BK1133,concept,ERP概念
2023-04-03,988.67,1009.98,1011.73,977.32,3394494.0,6946247549.0,3.48,2.24,22.14,2.71,BK1133,concept,ERP概念
2023-04-04,1011.78,1004.33,1015.06,988.01,3791164.0,7444805223.0,2.68,-0.56,-5.65,3.03,BK1133,concept,ERP概念
2023-04-06,991.54,983.75,992.38,973.39,3842565.0,6797534166.0,1.89,-2.05,-20.58,3.07,BK1133,concept,ERP概念
2023-04-07,982.84,998.56,998.97,972.97,2812901.0,5435661706.0,2.64,1.51,14.81,2.25,BK1133,concept,ERP概念
2023-04-10,993.06,960.93,994.76,952.85,2870772.0,5550088106.0,4.2,-3.77,-37.63,2.29,BK1133,concept,ERP概念
2023-04-11,958.24,969.25,976.63,951.22,2170732.0,4197981954.0,2.64,0.87,8.32,1.73,BK1133,concept,ERP概念
2023-04-12,967.32,991.34,992.8,964.83,2214507.0,4371482213.0,2.89,2.28,22.09,1.77,BK1133,concept,ERP概念
2023-04-13,987.35,982.66,999.1,980.27,2499155.0,4832946070.0,1.9,-0.88,-8.68,2.0,BK1133,concept,ERP概念
2023-04-14,981.26,981.3,992.17,962.72,2291392.0,4429574358.0,3.0,-0.14,-1.36,1.83,BK1133,concept,ERP概念
2023-04-17,984.72,979.67,988.76,968.31,2227374.0,4667646150.0,2.08,-0.17,-1.63,1.78,BK1133,concept,ERP概念
2023-04-18,973.16,978.69,986.68,962.73,2150082.0,4151897499.0,2.44,-0.1,-0.98,1.72,BK1133,concept,ERP概念
2023-04-19,981.6,984.22,996.27,977.49,2597895.0,5231943006.0,1.92,0.57,5.53,2.08,BK1133,concept,ERP概念
2023-04-20,983.57,992.96,992.96,971.96,2665649.0,5698416073.0,2.13,0.89,8.74,2.13,BK1133,concept,ERP概念
2023-04-21,992.07,936.94,992.55,936.94,3673337.0,7227469348.0,5.6,-5.64,-56.02,2.94,BK1133,concept,ERP概念
2023-04-24,934.56,926.98,940.97,923.21,2262914.0,4438401742.0,1.9,-1.06,-9.96,1.81,BK1133,concept,ERP概念
2023-04-25,921.66,905.46,923.28,888.14,2709050.0,4669913565.0,3.79,-2.32,-21.52,2.17,BK1133,concept,ERP概念
2023-04-26,898.29,891.27,915.53,886.28,2218381.0,3890961388.0,3.23,-1.57,-14.19,1.77,BK1133,concept,ERP概念
2023-04-27,893.44,894.57,912.23,888.33,2133510.0,4544098803.0,2.68,0.37,3.3,1.71,BK1133,concept,ERP概念
2023-04-28,888.01,916.03,917.23,888.01,2069477.0,4234189534.0,3.27,2.4,21.46,1.65,BK1133,concept,ERP概念
2023-05-04,914.82,910.12,925.38,900.98,1963968.0,3912128842.0,2.66,-0.65,-5.91,1.57,BK1133,concept,ERP概念
2023-05-05,910.28,922.1,924.52,907.98,1687709.0,3358796557.0,1.82,1.32,11.98,1.35,BK1133,concept,ERP概念
2023-05-08,926.98,938.7,944.32,921.18,1949392.0,4569278025.0,2.51,1.8,16.6,1.56,BK1133,concept,ERP概念
2023-05-09,938.16,931.88,952.28,929.82,1753121.0,4021641935.0,2.39,-0.73,-6.82,1.4,BK1133,concept,ERP概念
2023-05-10,929.13,924.96,939.94,918.68,1350252.0,3276331143.0,2.28,-0.74,-6.92,1.08,BK1133,concept,ERP概念
2023-05-11,929.12,924.51,936.02,921.6,1686794.0,3360338619.0,1.56,-0.05,-0.45,1.35,BK1133,concept,ERP概念
2023-05-12,926.06,913.92,934.1,912.94,1649363.0,2971663912.0,2.29,-1.15,-10.59,1.32,BK1133,concept,ERP概念
2023-05-15,911.24,905.41,914.95,883.26,1762908.0,3359569619.0,3.47,-0.93,-8.51,1.41,BK1133,concept,ERP概念
2023-05-16,906.79,888.73,907.69,886.53,1417641.0,2744378759.0,2.34,-1.84,-16.68,1.13,BK1133,concept,ERP概念
2023-05-17,886.07,906.71,907.29,886.07,1139989.0,1995440012.0,2.39,2.02,17.98,0.91,BK1133,concept,ERP概念
2023-05-18,911.13,923.48,928.51,904.57,1438659.0,2951066393.0,2.64,1.85,16.77,1.15,BK1133,concept,ERP概念
2023-05-19,922.59,918.0,923.31,908.66,1331109.0,2561410202.0,1.59,-0.59,-5.48,1.06,BK1133,concept,ERP概念
2023-05-22,917.85,909.42,918.16,901.51,1138116.0,2266783810.0,1.81,-0.93,-8.58,0.91,BK1133,concept,ERP概念
2023-05-23,908.69,899.67,910.44,898.92,1194361.0,2538706077.0,1.27,-1.07,-9.75,0.95,BK1133,concept,ERP概念
2023-05-24,895.94,906.71,911.94,891.32,1193449.0,2470982020.0,2.29,0.78,7.04,0.95,BK1133,concept,ERP概念
2023-05-25,904.96,900.17,912.23,885.49,1221104.0,2456965388.0,2.95,-0.72,-6.54,0.98,BK1133,concept,ERP概念
2023-05-26,897.1,917.75,920.22,894.32,1314829.0,2743282871.0,2.88,1.95,17.58,1.05,BK1133,concept,ERP概念
2023-05-29,921.44,912.63,928.37,906.83,1441037.0,3451361162.0,2.35,-0.56,-5.12,1.15,BK1133,concept,ERP概念
2023-05-30,914.83,928.98,929.45,902.24,1554442.0,3361100368.0,2.98,1.79,16.35,1.24,BK1133,concept,ERP概念
2023-05-31,929.35,940.38,943.5,920.75,2067331.0,4624644862.0,2.45,1.23,11.4,1.65,BK1133,concept,ERP概念
2023-06-01,933.22,951.03,954.28,926.32,2503057.0,4945104876.0,2.97,1.13,10.65,2.0,BK1133,concept,ERP概念
2023-06-02,949.91,962.83,965.56,949.89,2176733.0,4962288344.0,1.65,1.24,11.8,1.74,BK1133,concept,ERP概念
2023-06-05,964.31,961.38,965.41,953.57,1776721.0,4125724936.0,1.23,-0.15,-1.45,1.42,BK1133,concept,ERP概念
2023-06-06,961.3,934.4,961.44,932.13,2003277.0,4022174107.0,3.05,-2.81,-26.98,1.6,BK1133,concept,ERP概念
2023-06-07,932.74,946.95,948.83,927.4,1464565.0,3189045309.0,2.29,1.34,12.55,1.17,BK1133,concept,ERP概念
2023-06-08,944.57,930.08,944.57,923.56,1589943.0,3607570397.0,2.22,-1.78,-16.87,1.27,BK1133,concept,ERP概念
2023-06-09,927.8,939.34,939.34,922.68,1608015.0,3350190241.0,1.79,1.0,9.26,1.29,BK1133,concept,ERP概念
2023-06-12,941.8,961.57,966.35,937.25,1701056.0,3539699898.0,3.1,2.37,22.23,1.36,BK1133,concept,ERP概念
2023-06-13,963.08,978.5,982.95,959.96,1993824.0,4124174974.0,2.39,1.76,16.93,1.59,BK1133,concept,ERP概念
2023-06-14,976.0,973.03,976.62,961.87,1696454.0,3870762372.0,1.51,-0.56,-5.47,1.36,BK1133,concept,ERP概念
2023-06-15,973.12,967.76,977.04,964.92,2328317.0,4649573647.0,1.25,-0.54,-5.27,1.86,BK1133,concept,ERP概念
2023-06-16,967.79,1002.6,1003.31,961.76,3384702.0,6295838417.0,4.29,3.6,34.84,2.71,BK1133,concept,ERP概念
2023-06-19,1010.53,1046.86,1047.96,1010.29,3856895.0,8535890219.0,3.76,4.41,44.26,3.08,BK1133,concept,ERP概念
2023-06-20,1048.81,1060.0,1065.55,1042.33,4041630.0,9106196946.0,2.22,1.26,13.14,3.23,BK1133,concept,ERP概念
2023-06-21,1065.34,1045.69,1074.13,1043.92,3573346.0,8435905253.0,2.85,-1.35,-14.31,2.86,BK1133,concept,ERP概念
2023-06-26,1027.24,989.97,1035.13,985.73,3164447.0,6240856017.0,4.72,-5.33,-55.72,2.53,BK1133,concept,ERP概念
2023-06-27,988.13,988.57,995.95,979.37,2359805.0,5016315573.0,1.67,-0.14,-1.4,1.89,BK1133,concept,ERP概念
2023-06-28,987.54,959.71,987.54,937.36,2790345.0,5078341801.0,5.08,-2.92,-28.86,2.23,BK1133,concept,ERP概念
2023-06-29,957.73,994.8,1000.32,956.84,2783058.0,5342318099.0,4.53,3.66,35.09,2.22,BK1133,concept,ERP概念
2023-06-30,986.11,1001.49,1003.84,983.23,3177174.0,6739557436.0,2.07,0.67,6.69,2.54,BK1133,concept,ERP概念
2023-07-03,1000.95,995.5,1002.06,972.93,2590595.0,6049270853.0,2.91,-0.6,-5.99,2.07,BK1133,concept,ERP概念
2023-07-04,988.52,1007.59,1008.54,985.76,2096803.0,4701878650.0,2.29,1.21,12.09,1.68,BK1133,concept,ERP概念
2023-07-05,1007.63,998.01,1021.62,996.8,2284708.0,5231266575.0,2.46,-0.95,-9.58,1.83,BK1133,concept,ERP概念
2023-07-06,994.57,996.26,1005.76,984.6,1899417.0,4162705920.0,2.12,-0.18,-1.75,1.52,BK1133,concept,ERP概念
2023-07-07,991.98,986.93,995.35,969.56,2824051.0,5198832597.0,2.59,-0.94,-9.33,2.26,BK1133,concept,ERP概念
2023-07-10,988.68,994.88,999.94,985.87,2466518.0,4725558009.0,1.43,0.81,7.95,1.97,BK1133,concept,ERP概念
2023-07-11,997.38,996.86,1003.37,993.7,2088787.0,4427282326.0,0.97,0.2,1.98,1.67,BK1133,concept,ERP概念
2023-07-12,997.64,979.12,1002.31,977.67,2939329.0,5416235713.0,2.47,-1.78,-17.74,2.35,BK1133,concept,ERP概念
2023-07-13,978.3,987.42,991.6,971.23,2985614.0,5044063239.0,2.08,0.85,8.3,2.39,BK1133,concept,ERP概念
2023-07-14,985.84,1009.62,1019.26,985.74,3802766.0,6933945259.0,3.39,2.25,22.2,3.04,BK1133,concept,ERP概念
2023-07-17,1006.94,998.46,1011.3,992.88,2831583.0,5102087216.0,1.82,-1.11,-11.16,2.26,BK1133,concept,ERP概念
2023-07-18,999.23,981.0,999.65,979.4,2444304.0,4187716281.0,2.03,-1.75,-17.46,1.95,BK1133,concept,ERP概念
2023-07-19,998.6,1011.61,1026.12,998.6,3600475.0,6858388495.0,2.81,3.12,30.61,2.88,BK1133,concept,ERP概念
2023-07-20,1012.31,983.52,1016.8,980.91,3189368.0,6714722320.0,3.55,-2.78,-28.09,2.55,BK1133,concept,ERP概念
2023-07-21,981.12,959.56,985.08,958.95,2697572.0,5040176073.0,2.66,-2.44,-23.96,2.16,BK1133,concept,ERP概念
2023-07-24,957.64,966.93,982.57,957.57,1981583.0,3948976371.0,2.61,0.77,7.37,1.58,BK1133,concept,ERP概念
2023-07-25,976.0,985.42,991.54,970.1,2990991.0,5666531020.0,2.22,1.91,18.49,2.39,BK1133,concept,ERP概念
2023-07-26,981.87,971.18,983.24,968.3,2478625.0,4627924074.0,1.52,-1.45,-14.24,1.98,BK1133,concept,ERP概念
2023-07-27,966.44,951.1,972.35,949.82,2026711.0,3655429846.0,2.32,-2.07,-20.08,1.62,BK1133,concept,ERP概念
2023-07-28,951.66,963.97,965.34,943.23,1991800.0,3930773221.0,2.32,1.35,12.87,1.59,BK1133,concept,ERP概念
2023-07-31,965.6,964.95,974.97,961.75,2158759.0,4508004709.0,1.37,0.1,0.98,1.73,BK1133,concept,ERP概念
2023-08-01,962.76,976.73,983.31,957.29,1924624.0,4498460855.0,2.7,1.22,11.78,1.54,BK1133,concept,ERP概念
2023-08-02,969.57,975.85,979.28,965.98,1402361.0,3333194297.0,1.36,-0.09,-0.88,1.12,BK1133,concept,ERP概念
