日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-06-16,1002.51,1005.05,1023.08,1002.5,840051.0,1318335680.0,2.06,0.51,5.05,0.21,BK1088,concept,F5G概念
2022-06-17,997.32,1009.89,1014.24,983.92,814325.0,1284730320.0,3.02,0.48,4.84,0.2,BK1088,concept,F5G概念
2022-06-20,1007.75,1004.36,1011.77,998.08,742362.0,1208722368.0,1.36,-0.55,-5.53,0.18,BK1088,concept,F5G概念
2022-06-21,1005.78,1031.04,1031.04,1000.26,948120.0,1574675392.0,3.06,2.66,26.68,0.23,BK1088,concept,F5G概念
2022-06-22,1035.04,1011.34,1035.04,1007.14,1117709.0,1812705904.0,2.71,-1.91,-19.7,0.27,BK1088,concept,F5G概念
2022-06-23,1005.7,1049.58,1051.65,996.51,1241878.0,2059549344.0,5.45,3.78,38.24,0.3,BK1088,concept,F5G概念
2022-06-24,1054.65,1064.18,1073.96,1054.65,1442087.0,2479138048.0,1.84,1.39,14.6,0.35,BK1088,concept,F5G概念
2022-06-27,1068.88,1092.13,1093.97,1064.56,1451718.0,2366222176.0,2.76,2.63,27.95,0.35,BK1088,concept,F5G概念
2022-06-28,1090.4,1103.07,1124.35,1077.75,1777073.0,3205892640.0,4.27,1.0,10.94,0.43,BK1088,concept,F5G概念
2022-06-29,1089.65,1066.46,1099.51,1058.22,1734345.0,3207646368.0,3.74,-3.32,-36.61,0.42,BK1088,concept,F5G概念
2022-06-30,1065.93,1073.31,1092.03,1065.93,1338068.0,2292250784.0,2.45,0.64,6.85,0.33,BK1088,concept,F5G概念
2022-07-01,1071.13,1101.87,1106.8,1071.13,990038.0,1728393152.0,3.32,2.66,28.56,0.24,BK1088,concept,F5G概念
2022-07-04,1118.49,1103.77,1139.31,1103.33,1567993.0,2864166192.0,3.27,0.17,1.9,0.38,BK1088,concept,F5G概念
2022-07-05,1090.84,1092.7,1104.91,1071.49,1366727.0,2370339520.0,3.03,-1.0,-11.07,0.33,BK1088,concept,F5G概念
2022-07-06,1097.3,1105.74,1111.45,1096.49,901405.0,1567744800.0,1.37,1.19,13.04,0.22,BK1088,concept,F5G概念
2022-07-07,1111.64,1102.35,1127.9,1088.22,1371925.0,2391710960.0,3.59,-0.31,-3.39,0.34,BK1088,concept,F5G概念
2022-07-08,1105.91,1123.49,1130.7,1096.03,1524768.0,2529970736.0,3.15,1.92,21.14,0.37,BK1088,concept,F5G概念
2022-07-11,1115.09,1085.13,1116.06,1079.85,1081494.0,1873880272.0,3.22,-3.41,-38.36,0.26,BK1088,concept,F5G概念
2022-07-12,1082.69,1065.84,1089.17,1064.86,716097.0,1194812835.23,2.24,-1.78,-19.29,0.18,BK1088,concept,F5G概念
2022-07-13,1061.61,1063.86,1074.87,1057.9,682952.0,1122997186.06,1.59,-0.19,-1.98,0.17,BK1088,concept,F5G概念
2022-07-14,1068.42,1084.21,1096.93,1062.83,776345.0,1326128366.61,3.21,1.91,20.35,0.19,BK1088,concept,F5G概念
2022-07-15,1074.31,1077.46,1095.88,1071.82,842301.0,1433476765.27,2.22,-0.62,-6.75,0.21,BK1088,concept,F5G概念
2022-07-18,1076.65,1133.74,1134.59,1076.65,959019.0,1654777496.77,5.38,5.22,56.28,0.23,BK1088,concept,F5G概念
2022-07-19,1139.09,1137.53,1147.55,1130.8,1054679.0,1873070509.4,1.48,0.33,3.79,0.26,BK1088,concept,F5G概念
2022-07-20,1143.9,1156.09,1158.96,1141.06,942561.0,1671665290.62,1.57,1.63,18.56,0.23,BK1088,concept,F5G概念
2022-07-21,1149.56,1149.46,1163.48,1146.22,794674.0,1418594829.66,1.49,-0.57,-6.63,0.19,BK1088,concept,F5G概念
2022-07-22,1160.63,1164.96,1174.98,1152.16,1015710.0,1884615144.0,1.99,1.35,15.5,0.25,BK1088,concept,F5G概念
2022-07-25,1164.6,1133.42,1173.58,1130.26,1005916.0,1837178937.5,3.72,-2.71,-31.54,0.25,BK1088,concept,F5G概念
2022-07-26,1130.67,1164.18,1165.76,1128.14,677276.0,1212491084.22,3.32,2.71,30.76,0.17,BK1088,concept,F5G概念
2022-07-27,1166.52,1179.72,1189.99,1157.68,1109240.0,2049505546.65,2.78,1.33,15.54,0.27,BK1088,concept,F5G概念
2022-07-28,1186.17,1197.69,1202.9,1182.24,1366287.0,2619614079.21,1.75,1.52,17.97,0.33,BK1088,concept,F5G概念
