日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-01-08,1039.76,1012.74,1046.95,1012.74,9628611.0,9348374272.0,3.42,1.27,12.74,1.78,BK0908,concept,HIT电池
2020-01-09,1009.31,1008.31,1030.27,995.47,7676933.0,8753052928.0,3.44,-0.44,-4.43,1.42,BK0908,concept,HIT电池
2020-01-10,1009.64,1012.01,1031.05,1004.72,6058225.0,7615367936.0,2.61,0.37,3.7,1.12,BK0908,concept,HIT电池
2020-01-13,1008.35,1035.19,1035.19,1004.79,5189950.0,6947553792.0,3.0,2.29,23.18,0.96,BK0908,concept,HIT电池
2020-01-14,1042.01,1032.69,1052.95,1028.16,4756339.0,6471897344.0,2.39,-0.24,-2.5,0.88,BK0908,concept,HIT电池
2020-01-15,1030.53,1041.05,1045.45,1024.24,4699562.0,6489963008.0,2.05,0.81,8.36,0.87,BK0908,concept,HIT电池
2020-01-16,1038.0,1036.19,1039.96,1024.34,4439611.0,6264265472.0,1.5,-0.47,-4.86,0.82,BK0908,concept,HIT电池
2020-01-17,1036.78,1022.27,1041.6,1014.61,4084575.0,5964581888.0,2.6,-1.34,-13.92,0.76,BK0908,concept,HIT电池
2020-01-20,1027.06,1036.3,1036.3,1011.81,4111951.0,5662022400.0,2.4,1.37,14.03,0.76,BK0908,concept,HIT电池
2020-01-21,1028.34,1058.96,1060.92,1021.86,4339705.0,6578546944.0,3.77,2.19,22.66,0.8,BK0908,concept,HIT电池
2020-01-22,1041.79,1064.36,1072.41,1018.04,4958374.0,7468943360.0,5.13,0.51,5.4,0.92,BK0908,concept,HIT电池
2020-01-23,1055.6,1009.55,1067.55,995.09,5302975.0,8066824704.0,6.81,-5.15,-54.81,0.98,BK0908,concept,HIT电池
2020-02-03,909.13,917.1,922.78,909.13,2388676.0,4073850800.0,1.35,-9.16,-92.45,0.44,BK0908,concept,HIT电池
2020-02-04,880.06,950.65,960.11,880.06,6544940.0,8367714048.0,8.73,3.66,33.55,1.21,BK0908,concept,HIT电池
2020-02-05,954.77,960.03,983.35,947.5,5395840.0,7527416064.0,3.77,0.99,9.38,1.0,BK0908,concept,HIT电池
2020-02-06,954.02,990.71,994.48,946.0,5033817.0,6836805120.0,5.05,3.2,30.68,0.93,BK0908,concept,HIT电池
2020-02-07,988.72,1022.4,1023.31,981.46,5667057.0,9113070848.0,4.22,3.2,31.69,1.05,BK0908,concept,HIT电池
2020-02-10,1005.56,1039.77,1045.65,1005.56,4819080.0,7400932352.0,3.92,1.7,17.37,0.89,BK0908,concept,HIT电池
2020-02-11,1040.15,1027.79,1040.15,1017.94,4021986.0,5832387072.0,2.14,-1.15,-11.98,0.74,BK0908,concept,HIT电池
2020-02-12,1090.54,1115.96,1119.58,1089.56,7637472.0,9838543872.0,2.92,8.58,88.17,1.41,BK0908,concept,HIT电池
2020-02-13,1169.4,1165.94,1188.99,1157.27,13935364.0,17036155648.0,2.84,4.48,49.98,2.58,BK0908,concept,HIT电池
2020-02-14,1144.83,1157.54,1178.71,1139.38,10614247.0,13514499584.0,3.37,-0.72,-8.4,1.96,BK0908,concept,HIT电池
2020-02-17,1152.42,1183.57,1187.0,1151.47,9095335.0,11960476928.0,3.07,2.25,26.03,1.68,BK0908,concept,HIT电池
2020-02-18,1176.23,1233.94,1235.64,1173.39,8060900.0,12327190016.0,5.26,4.26,50.37,1.49,BK0908,concept,HIT电池
2020-02-19,1220.32,1212.03,1249.02,1211.43,7826872.0,12348609024.0,3.05,-1.78,-21.91,1.45,BK0908,concept,HIT电池
2020-02-20,1224.23,1239.8,1250.62,1192.67,6481413.0,10514613504.0,4.78,2.29,27.77,1.2,BK0908,concept,HIT电池
2020-02-21,1231.2,1249.15,1265.95,1230.88,7214407.0,11665291520.0,2.83,0.75,9.35,1.34,BK0908,concept,HIT电池
2020-02-24,1234.55,1254.74,1266.47,1220.62,6465264.0,10924369152.0,3.67,0.45,5.59,1.2,BK0908,concept,HIT电池
2020-02-25,1221.33,1258.18,1264.31,1189.51,9276705.0,14406361344.0,5.96,0.27,3.44,1.72,BK0908,concept,HIT电池
2020-02-26,1236.83,1180.08,1240.48,1178.03,9631444.0,13586817792.0,4.96,-6.21,-78.1,1.78,BK0908,concept,HIT电池
2020-02-27,1191.11,1190.27,1204.99,1159.42,7559344.0,9339736832.0,3.86,0.86,10.19,1.4,BK0908,concept,HIT电池
2020-02-28,1143.8,1110.99,1161.24,1108.25,10558359.0,9935079168.0,4.45,-6.66,-79.28,1.95,BK0908,concept,HIT电池
