日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-12-02,995.73,987.68,998.81,983.56,6885988.0,25427700736.0,1.53,-1.23,-12.32,1.07,BK1048,concept,IGBT概念
2021-12-03,989.26,1000.46,1005.5,989.14,7108340.0,30793720064.0,1.66,1.29,12.78,1.1,BK1048,concept,IGBT概念
2021-12-06,997.13,975.36,997.41,973.49,6755644.0,26387218432.0,2.39,-2.51,-25.1,1.05,BK1048,concept,IGBT概念
2021-12-07,981.26,945.91,981.79,938.26,6790101.0,28424549376.0,4.46,-3.02,-29.45,1.05,BK1048,concept,IGBT概念
2021-12-08,948.38,958.63,958.65,948.38,5284774.0,22830793472.0,1.09,1.34,12.72,0.82,BK1048,concept,IGBT概念
2021-12-09,959.56,968.83,972.83,959.56,6913326.0,25937816320.0,1.38,1.06,10.2,1.07,BK1048,concept,IGBT概念
2021-12-10,965.64,969.89,972.18,962.33,6553796.0,26214131968.0,1.02,0.11,1.06,1.02,BK1048,concept,IGBT概念
2021-12-13,972.43,970.71,975.81,961.68,6287131.0,24815991808.0,1.46,0.08,0.82,0.97,BK1048,concept,IGBT概念
2021-12-14,967.26,976.91,977.8,962.22,5622676.0,21027206144.0,1.61,0.64,6.2,0.87,BK1048,concept,IGBT概念
2021-12-15,975.64,977.2,985.44,973.71,6301863.0,20661993216.0,1.2,0.03,0.29,0.98,BK1048,concept,IGBT概念
2021-12-16,979.76,975.77,982.18,970.31,6324995.0,24483001856.0,1.21,-0.15,-1.43,0.98,BK1048,concept,IGBT概念
2021-12-17,970.73,954.22,970.73,953.38,6715055.0,23098590208.0,1.78,-2.21,-21.55,1.04,BK1048,concept,IGBT概念
2021-12-20,953.86,928.3,957.23,927.75,6052795.0,21955920896.0,3.09,-2.72,-25.92,0.94,BK1048,concept,IGBT概念
2021-12-21,927.76,938.13,938.54,922.51,6252988.0,18099346176.0,1.73,1.06,9.83,0.97,BK1048,concept,IGBT概念
2021-12-22,941.18,938.21,945.26,935.66,7330726.0,19809445120.0,1.02,0.01,0.08,1.14,BK1048,concept,IGBT概念
2021-12-23,938.51,947.26,952.87,933.87,5997072.0,18730206464.0,2.03,0.96,9.05,0.93,BK1048,concept,IGBT概念
2021-12-24,948.47,929.57,950.42,927.28,5820759.0,19730790144.0,2.44,-1.87,-17.69,0.9,BK1048,concept,IGBT概念
2021-12-27,926.1,926.28,938.03,923.44,4775505.0,17200307712.0,1.57,-0.35,-3.29,0.74,BK1048,concept,IGBT概念
2021-12-28,930.15,937.4,937.4,924.15,4489640.0,18340535296.0,1.43,1.2,11.12,0.7,BK1048,concept,IGBT概念
2021-12-29,936.82,925.15,936.82,918.89,4751605.0,20485725952.0,1.91,-1.31,-12.25,0.74,BK1048,concept,IGBT概念
2021-12-30,926.2,943.18,945.92,924.83,5383177.0,19987798784.0,2.28,1.95,18.03,0.83,BK1048,concept,IGBT概念
2021-12-31,945.41,938.24,945.78,935.3,5015480.0,18676114432.0,1.11,-0.52,-4.94,0.78,BK1048,concept,IGBT概念
2022-01-04,940.36,928.15,943.01,923.61,9172396.0,23481582848.0,2.07,-1.08,-10.09,1.42,BK1048,concept,IGBT概念
2022-01-05,925.13,898.99,928.72,892.48,8790934.0,24836804352.0,3.9,-3.14,-29.16,1.36,BK1048,concept,IGBT概念
2022-01-06,893.84,899.76,905.06,890.29,6964120.0,18482131968.0,1.64,0.09,0.77,1.08,BK1048,concept,IGBT概念
2022-01-07,901.17,886.28,907.96,885.38,7316016.0,18516359680.0,2.51,-1.5,-13.48,1.13,BK1048,concept,IGBT概念
2022-01-10,884.22,883.66,885.68,864.71,5416656.0,18145396736.0,2.37,-0.3,-2.62,0.84,BK1048,concept,IGBT概念
2022-01-11,884.1,869.98,887.62,867.37,5353266.0,19125201408.0,2.29,-1.55,-13.68,0.83,BK1048,concept,IGBT概念
2022-01-12,877.41,890.58,891.12,877.14,5840906.0,24295634432.0,1.61,2.37,20.6,0.9,BK1048,concept,IGBT概念
2022-01-13,891.52,873.48,891.95,873.22,4981010.0,17712371200.0,2.1,-1.92,-17.1,0.77,BK1048,concept,IGBT概念
2022-01-14,869.59,887.05,892.1,867.92,5206931.0,18362104832.0,2.77,1.55,13.57,0.81,BK1048,concept,IGBT概念
2022-01-17,893.45,910.87,911.37,891.69,6001076.0,21111568896.0,2.22,2.69,23.82,0.93,BK1048,concept,IGBT概念
2022-01-18,910.85,912.02,921.28,905.63,6136256.0,18595613184.0,1.72,0.13,1.15,0.95,BK1048,concept,IGBT概念
2022-01-19,907.99,905.72,914.72,899.68,5467569.0,20388865536.0,1.65,-0.69,-6.3,0.85,BK1048,concept,IGBT概念
2022-01-20,905.23,883.13,908.08,882.7,5444342.0,17099765504.0,2.8,-2.49,-22.59,0.84,BK1048,concept,IGBT概念
2022-01-21,880.27,868.89,883.18,866.8,4569761.0,14286519040.0,1.85,-1.61,-14.24,0.71,BK1048,concept,IGBT概念
2022-01-24,868.45,880.71,886.62,868.25,3877424.0,15582748416.0,2.11,1.36,11.82,0.6,BK1048,concept,IGBT概念
2022-01-25,876.96,849.79,884.85,849.79,5722505.0,18628342016.0,3.98,-3.51,-30.92,0.89,BK1048,concept,IGBT概念
2022-01-26,853.09,861.53,863.67,847.05,4226513.0,17244953088.0,1.96,1.38,11.74,0.65,BK1048,concept,IGBT概念
2022-01-27,860.48,832.1,864.22,831.64,4277102.0,16528588032.0,3.78,-3.42,-29.43,0.66,BK1048,concept,IGBT概念
2022-01-28,837.76,827.31,843.03,817.69,4427965.0,20213645312.0,3.05,-0.58,-4.79,0.69,BK1048,concept,IGBT概念
2022-02-07,846.01,836.91,851.38,834.85,4601706.0,17643696384.0,2.0,1.16,9.6,0.71,BK1048,concept,IGBT概念
2022-02-08,837.8,825.7,837.8,812.32,4397982.0,17911281920.0,3.04,-1.34,-11.21,0.68,BK1048,concept,IGBT概念
2022-02-09,829.19,842.31,842.63,825.01,4289935.0,17506925056.0,2.13,2.01,16.61,0.66,BK1048,concept,IGBT概念
2022-02-10,844.68,838.24,847.35,831.71,4201951.0,16562231040.0,1.86,-0.48,-4.07,0.65,BK1048,concept,IGBT概念
2022-02-11,832.57,818.54,835.91,816.23,3975892.0,15553676032.0,2.35,-2.35,-19.7,0.62,BK1048,concept,IGBT概念
