日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-03-22,1010.68,1067.19,1080.14,1007.1,16056933.0,34989605644.0,7.3,6.72,67.19,11.1,BK1169,concept,Kimi概念
2024-03-25,1078.16,995.66,1078.16,995.62,16346248.0,36582043572.0,7.73,-6.7,-71.53,11.3,BK1169,concept,Kimi概念
2024-03-26,982.6,951.28,993.29,949.22,14393389.0,30024124177.0,4.43,-4.46,-44.38,9.95,BK1169,concept,Kimi概念
2024-03-27,944.66,911.55,951.85,905.56,12873554.0,25334721148.0,4.87,-4.18,-39.73,8.9,BK1169,concept,Kimi概念
2024-03-28,903.23,950.79,957.29,902.55,13040716.0,24260928859.0,6.01,4.3,39.24,9.01,BK1169,concept,Kimi概念
2024-03-29,940.95,937.86,951.2,928.07,10908251.0,19655161021.0,2.43,-1.36,-12.93,7.54,BK1169,concept,Kimi概念
2024-04-01,939.53,954.5,954.59,930.36,9719534.0,18687764603.0,2.58,1.77,16.64,6.72,BK1169,concept,Kimi概念
2024-04-02,945.62,910.65,945.62,903.5,9540143.0,17152800961.0,4.41,-4.59,-43.85,6.59,BK1169,concept,Kimi概念
2024-04-03,902.63,870.04,904.82,869.38,7348616.0,14315874958.0,3.89,-4.46,-40.61,5.08,BK1169,concept,Kimi概念
2024-04-08,864.27,861.39,872.46,851.77,6050628.0,11323017993.0,2.38,-0.99,-8.65,4.18,BK1169,concept,Kimi概念
2024-04-09,861.27,861.74,867.87,848.86,5257938.0,9393140625.0,2.21,0.04,0.35,3.63,BK1169,concept,Kimi概念
2024-04-10,857.66,830.16,857.66,823.13,5777589.0,10266306917.0,4.01,-3.66,-31.58,3.99,BK1169,concept,Kimi概念
2024-04-11,824.14,850.77,863.51,824.14,7389089.0,12969957936.0,4.74,2.48,20.61,5.11,BK1169,concept,Kimi概念
2024-04-12,845.26,837.52,853.88,836.34,5975275.0,11164345773.0,2.06,-1.56,-13.25,4.13,BK1169,concept,Kimi概念
2024-04-15,830.79,803.0,838.15,788.57,6490827.0,11149651683.0,5.92,-4.12,-34.52,4.49,BK1169,concept,Kimi概念
2024-04-16,792.09,747.84,797.81,747.38,6292382.0,10536897174.0,6.28,-6.87,-55.16,4.35,BK1169,concept,Kimi概念
2024-04-17,762.09,800.4,800.72,762.09,6352037.0,10944561802.0,5.17,7.03,52.56,4.39,BK1169,concept,Kimi概念
2024-04-18,796.1,796.26,814.05,782.37,6124507.0,11368449438.0,3.96,-0.52,-4.14,4.23,BK1169,concept,Kimi概念
2024-04-19,791.93,784.33,800.46,779.78,4880513.0,9471227646.0,2.6,-1.5,-11.93,3.37,BK1169,concept,Kimi概念
2024-04-22,766.72,776.09,782.67,755.51,4015153.0,7537216029.0,3.46,-1.05,-8.24,2.78,BK1169,concept,Kimi概念
2024-04-23,781.58,795.51,800.33,781.58,6152395.0,10647466753.0,2.42,2.5,19.42,4.25,BK1169,concept,Kimi概念
2024-04-24,798.8,829.1,829.21,794.23,7060511.0,12767063915.0,4.4,4.22,33.59,4.88,BK1169,concept,Kimi概念
2024-04-25,816.11,817.14,828.1,811.68,6357594.0,10976182321.0,1.98,-1.44,-11.96,4.39,BK1169,concept,Kimi概念
2024-04-26,819.33,847.93,856.67,819.33,8981519.0,16064864683.0,4.57,3.77,30.79,6.21,BK1169,concept,Kimi概念
2024-04-29,857.97,876.54,883.42,857.97,8936920.0,16746280882.0,3.0,3.37,28.61,6.18,BK1169,concept,Kimi概念
2024-04-30,876.02,869.95,884.57,860.73,6989897.0,12953473477.0,2.72,-0.75,-6.59,4.83,BK1169,concept,Kimi概念
2024-05-06,880.42,867.6,885.03,863.0,6382745.0,12021709052.0,2.53,-0.27,-2.35,4.41,BK1169,concept,Kimi概念
2024-05-07,870.55,869.76,890.7,867.29,7454302.0,14740716909.0,2.7,0.25,2.16,5.15,BK1169,concept,Kimi概念
2024-05-08,858.46,841.46,858.46,838.39,6414038.0,12239700427.0,2.31,-3.25,-28.3,4.43,BK1169,concept,Kimi概念
2024-05-09,837.08,841.35,846.86,837.08,4334594.0,8959989413.0,1.16,-0.01,-0.11,3.0,BK1169,concept,Kimi概念
2024-05-10,842.18,827.49,850.65,825.17,4647336.0,8344025276.0,3.03,-1.65,-13.86,3.21,BK1169,concept,Kimi概念
2024-05-13,817.0,808.89,821.85,803.67,4091622.0,8432736908.0,2.2,-2.25,-18.6,2.83,BK1169,concept,Kimi概念
2024-05-14,812.46,815.67,821.5,804.06,5550800.0,9860806633.0,2.16,0.84,6.78,3.84,BK1169,concept,Kimi概念
2024-05-15,809.45,797.74,813.4,797.16,4064828.0,6951686483.0,1.99,-2.2,-17.93,2.81,BK1169,concept,Kimi概念
2024-05-16,799.71,798.73,811.34,797.05,4602730.0,7730178061.0,1.79,0.12,0.99,3.18,BK1169,concept,Kimi概念
2024-05-17,796.59,804.6,804.6,786.53,4205245.0,6908926423.0,2.26,0.73,5.87,2.91,BK1169,concept,Kimi概念
2024-05-20,800.44,809.47,814.75,792.44,4854078.0,8243586045.0,2.77,0.61,4.87,3.36,BK1169,concept,Kimi概念
2024-05-21,807.79,801.52,814.06,799.36,4669576.0,7115909746.0,1.82,-0.98,-7.95,3.23,BK1169,concept,Kimi概念
2024-05-22,798.02,806.48,806.57,790.55,5170948.0,7168774395.0,2.0,0.62,4.96,3.57,BK1169,concept,Kimi概念
2024-05-23,803.85,779.68,805.41,778.35,4885718.0,7797511234.0,3.36,-3.32,-26.8,3.38,BK1169,concept,Kimi概念
2024-05-24,776.46,757.35,782.07,756.66,4677690.0,6998127799.0,3.26,-2.86,-22.33,3.23,BK1169,concept,Kimi概念
2024-05-27,759.57,761.22,762.51,741.29,4799920.0,6723771955.0,2.8,0.51,3.87,3.32,BK1169,concept,Kimi概念
2024-05-28,756.15,741.84,757.3,741.83,3530681.0,5191906570.0,2.03,-2.55,-19.38,2.44,BK1169,concept,Kimi概念
2024-05-29,741.21,741.58,749.42,737.64,3207765.0,4610114863.0,1.59,-0.04,-0.26,2.22,BK1169,concept,Kimi概念
2024-05-30,738.73,742.6,748.08,729.03,3409451.0,5044029242.0,2.57,0.14,1.02,2.36,BK1169,concept,Kimi概念
2024-05-31,743.67,753.9,758.23,743.59,3723755.0,5245919545.0,1.97,1.52,11.3,2.57,BK1169,concept,Kimi概念
2024-06-03,753.13,747.79,758.79,741.62,3999245.0,6187608311.0,2.28,-0.81,-6.11,2.76,BK1169,concept,Kimi概念
2024-06-04,743.97,737.4,745.08,729.72,3666729.0,5435891817.0,2.05,-1.39,-10.39,2.53,BK1169,concept,Kimi概念
2024-06-05,731.96,723.39,739.03,723.39,4101702.0,6164729673.0,2.12,-1.9,-14.01,2.84,BK1169,concept,Kimi概念
2024-06-06,722.04,692.95,727.99,687.31,5880301.0,7026248581.0,5.62,-4.21,-30.44,4.06,BK1169,concept,Kimi概念
2024-06-07,701.6,700.14,707.82,689.1,3689689.0,5119840740.0,2.7,1.04,7.19,2.55,BK1169,concept,Kimi概念
2024-06-11,696.02,709.38,710.74,684.08,3210354.0,4658695120.0,3.81,1.32,9.24,2.22,BK1169,concept,Kimi概念
2024-06-12,708.53,729.38,731.66,708.53,4760206.0,6728777926.0,3.26,2.82,20.0,3.29,BK1169,concept,Kimi概念
2024-06-13,728.74,727.36,733.82,723.64,3495649.0,5254587157.0,1.4,-0.28,-2.02,2.42,BK1169,concept,Kimi概念
2024-06-14,731.64,734.54,736.56,726.41,3721101.0,6932212166.0,1.4,0.99,7.18,2.57,BK1169,concept,Kimi概念
2024-06-17,727.02,722.92,728.13,721.72,2824846.0,5191984697.0,0.87,-1.58,-11.62,1.95,BK1169,concept,Kimi概念
2024-06-18,724.35,734.71,736.07,723.48,3098007.0,4785849104.0,1.74,1.63,11.79,2.14,BK1169,concept,Kimi概念
2024-06-19,736.1,728.1,738.67,727.9,3310805.0,5318714104.0,1.47,-0.9,-6.61,2.29,BK1169,concept,Kimi概念
2024-06-20,726.28,703.61,727.14,703.54,3721870.0,5271656955.0,3.24,-3.36,-24.49,2.57,BK1169,concept,Kimi概念
2024-06-21,701.36,701.23,706.92,692.36,2546675.0,3774737609.0,2.07,-0.34,-2.38,1.76,BK1169,concept,Kimi概念
2024-06-24,696.36,670.63,696.36,670.42,3287415.0,4703675797.0,3.7,-4.36,-30.6,2.27,BK1169,concept,Kimi概念
2024-06-25,674.03,663.98,678.8,657.6,2951164.0,4097768656.0,3.16,-0.99,-6.65,2.04,BK1169,concept,Kimi概念
2024-06-26,664.98,719.72,720.61,661.31,6954848.0,10144659308.0,8.93,8.39,55.74,4.81,BK1169,concept,Kimi概念
2024-06-27,716.87,714.46,731.62,713.8,7347471.0,11872452780.0,2.48,-0.73,-5.26,5.08,BK1169,concept,Kimi概念
2024-06-28,711.09,706.26,720.01,703.06,5498658.0,10053636142.0,2.37,-1.15,-8.2,3.8,BK1169,concept,Kimi概念
2024-07-01,704.09,705.87,709.15,692.8,4024739.0,7544693159.0,2.32,-0.06,-0.39,2.78,BK1169,concept,Kimi概念
2024-07-02,708.2,712.67,725.2,707.22,4986731.0,8313079310.0,2.55,0.96,6.8,3.45,BK1169,concept,Kimi概念
2024-07-03,713.4,701.19,714.89,700.83,4093852.0,6378691207.0,1.97,-1.61,-11.48,2.83,BK1169,concept,Kimi概念
2024-07-04,701.83,681.89,704.69,681.75,3935017.0,5838081678.0,3.27,-2.75,-19.3,2.72,BK1169,concept,Kimi概念
2024-07-05,681.14,693.72,697.53,674.63,4502792.0,7239185606.0,3.36,1.73,11.83,3.11,BK1169,concept,Kimi概念
