日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-10-28,997.05,1012.07,1014.65,996.14,485695.0,753750336.0,1.85,1.21,12.07,0.61,BK0890,concept,MLCC
2019-10-29,1008.79,996.3,1013.0,994.76,451013.0,749531920.0,1.8,-1.56,-15.77,0.57,BK0890,concept,MLCC
2019-10-30,990.42,985.76,991.73,977.1,348180.0,574648544.0,1.47,-1.06,-10.54,0.44,BK0890,concept,MLCC
2019-10-31,988.87,981.09,993.54,979.98,277450.0,445305824.0,1.38,-0.47,-4.67,0.35,BK0890,concept,MLCC
2019-11-01,977.57,998.13,999.15,970.53,610568.0,910623184.0,2.92,1.74,17.04,0.77,BK0890,concept,MLCC
2019-11-04,998.51,995.71,1002.14,992.53,508910.0,830992784.0,0.96,-0.24,-2.42,0.64,BK0890,concept,MLCC
2019-11-05,1000.77,1003.72,1009.7,989.16,481937.0,805455344.0,2.06,0.8,8.01,0.61,BK0890,concept,MLCC
2019-11-06,1004.9,999.52,1010.21,991.81,484268.0,832934336.0,1.83,-0.42,-4.2,0.61,BK0890,concept,MLCC
2019-11-07,999.16,1001.69,1004.37,990.78,369553.0,623964896.0,1.36,0.22,2.17,0.46,BK0890,concept,MLCC
2019-11-08,1008.83,1005.81,1010.54,1002.14,358739.0,597857408.0,0.84,0.41,4.12,0.45,BK0890,concept,MLCC
2019-11-11,1001.29,984.63,1001.29,984.56,370238.0,596425056.0,1.66,-2.11,-21.18,0.47,BK0890,concept,MLCC
2019-11-12,988.4,982.25,989.49,969.76,336957.0,500348624.0,2.0,-0.24,-2.38,0.42,BK0890,concept,MLCC
2019-11-13,984.51,985.52,991.14,978.98,259132.0,426738544.0,1.24,0.33,3.27,0.33,BK0890,concept,MLCC
2019-11-14,985.94,996.72,1003.73,975.81,527402.0,753953440.0,2.83,1.14,11.2,0.66,BK0890,concept,MLCC
2019-11-15,994.27,994.86,1010.01,990.03,601483.0,882937808.0,2.0,-0.19,-1.86,0.76,BK0890,concept,MLCC
2019-11-18,995.19,998.67,1005.12,991.4,376567.0,612058416.0,1.38,0.38,3.81,0.47,BK0890,concept,MLCC
2019-11-19,1000.97,1008.03,1008.86,999.14,384900.0,641897984.0,0.97,0.94,9.36,0.48,BK0890,concept,MLCC
2019-11-20,1008.49,992.89,1010.67,990.37,443680.0,695911296.0,2.01,-1.5,-15.14,0.56,BK0890,concept,MLCC
2019-11-21,989.53,993.53,998.56,984.95,262789.0,418067264.0,1.37,0.06,0.64,0.33,BK0890,concept,MLCC
2019-11-22,989.13,982.68,1006.27,977.93,415207.0,650212144.0,2.85,-1.09,-10.85,0.52,BK0890,concept,MLCC
2019-11-25,984.32,971.1,986.35,960.52,431636.0,641784896.0,2.63,-1.18,-11.58,0.54,BK0890,concept,MLCC
2019-11-26,972.57,982.44,982.44,968.26,329637.0,541197968.0,1.46,1.17,11.34,0.41,BK0890,concept,MLCC
2019-11-27,980.43,990.77,996.35,974.97,651608.0,961961840.0,2.18,0.85,8.33,0.82,BK0890,concept,MLCC
2019-11-28,988.13,988.04,992.95,984.03,512816.0,764590704.0,0.9,-0.28,-2.73,0.64,BK0890,concept,MLCC
2019-11-29,992.11,1003.87,1005.79,989.22,711364.0,1117557424.0,1.68,1.6,15.83,0.89,BK0890,concept,MLCC
2019-12-02,1005.4,1050.77,1071.98,1005.22,1406554.0,2428360896.0,6.65,4.67,46.9,1.77,BK0890,concept,MLCC
2019-12-03,1045.54,1058.84,1059.27,1037.65,881267.0,1442418208.0,2.06,0.77,8.07,1.11,BK0890,concept,MLCC
2019-12-04,1049.85,1055.54,1062.07,1048.97,685392.0,1151132112.0,1.24,-0.31,-3.3,0.86,BK0890,concept,MLCC
2019-12-05,1065.01,1064.64,1066.96,1052.76,708259.0,1195688448.0,1.35,0.86,9.1,0.89,BK0890,concept,MLCC
2019-12-06,1068.82,1089.48,1089.48,1066.04,944481.0,1630465008.0,2.2,2.33,24.84,1.19,BK0890,concept,MLCC
2019-12-09,1098.11,1096.99,1104.98,1087.56,781828.0,1372519088.0,1.6,0.69,7.51,0.98,BK0890,concept,MLCC
2019-12-10,1096.39,1106.46,1108.56,1087.51,782677.0,1354078576.0,1.92,0.86,9.47,0.98,BK0890,concept,MLCC
2019-12-11,1107.27,1087.76,1109.72,1085.48,684740.0,1159428080.0,2.19,-1.69,-18.7,0.86,BK0890,concept,MLCC
2019-12-12,1089.87,1102.36,1117.46,1086.74,878160.0,1593619120.0,2.82,1.34,14.6,1.1,BK0890,concept,MLCC
