日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-03-22,1000.27,1008.76,1009.34,984.41,1107116.0,1905303294.24,2.49,0.88,8.76,1.73,BK1132,concept,MLOps概念
2023-03-23,1007.07,1036.26,1036.27,1000.16,1131132.0,2073956943.93,3.58,2.73,27.5,1.77,BK1132,concept,MLOps概念
2023-03-24,1040.7,1066.64,1082.16,1018.53,1677019.0,2880558219.42,6.14,2.93,30.38,2.62,BK1132,concept,MLOps概念
2023-03-27,1063.99,1085.71,1089.02,1053.84,1649814.0,2768868303.0,3.3,1.79,19.07,2.58,BK1132,concept,MLOps概念
2023-03-28,1076.63,1049.82,1081.23,1041.46,1392358.0,2381039574.0,3.66,-3.31,-35.89,2.17,BK1132,concept,MLOps概念
2023-03-29,1047.21,1099.2,1112.64,1042.96,1856292.0,3428366442.0,6.64,4.7,49.38,2.9,BK1132,concept,MLOps概念
2023-03-30,1085.78,1063.99,1105.19,1058.6,1317752.0,2417809985.0,4.24,-3.2,-35.21,2.06,BK1132,concept,MLOps概念
2023-03-31,1060.87,1097.46,1097.9,1038.57,1422135.0,2379108994.0,5.58,3.15,33.47,2.22,BK1132,concept,MLOps概念
2023-04-03,1091.84,1187.57,1187.72,1090.15,2657838.0,4377652653.0,8.89,8.21,90.11,4.15,BK1132,concept,MLOps概念
2023-04-04,1223.09,1253.51,1297.41,1196.4,3839487.0,7231295364.0,8.51,5.55,65.94,6.0,BK1132,concept,MLOps概念
2023-04-06,1235.19,1333.21,1366.05,1227.82,4749778.0,11418138510.0,11.03,6.36,79.7,7.42,BK1132,concept,MLOps概念
2023-04-07,1312.81,1328.28,1335.0,1277.22,5285163.0,10544807908.0,4.33,-0.37,-4.93,8.25,BK1132,concept,MLOps概念
2023-04-10,1316.11,1198.55,1316.11,1187.24,5252692.0,10489997615.0,9.7,-9.77,-129.73,8.2,BK1132,concept,MLOps概念
2023-04-11,1189.25,1223.63,1224.23,1182.36,3720685.0,7217633739.0,3.49,2.09,25.08,5.81,BK1132,concept,MLOps概念
2023-04-12,1213.36,1259.25,1262.68,1206.01,3680872.0,7460566989.0,4.63,2.91,35.62,5.75,BK1132,concept,MLOps概念
2023-04-13,1239.38,1217.5,1267.88,1216.52,3913338.0,7760810814.0,4.08,-3.32,-41.75,6.11,BK1132,concept,MLOps概念
2023-04-14,1215.66,1206.06,1238.13,1180.9,3373514.0,6322616218.0,4.7,-0.94,-11.44,5.27,BK1132,concept,MLOps概念
2023-04-17,1205.47,1165.12,1207.42,1159.86,2528156.0,4858990413.0,3.94,-3.39,-40.94,3.95,BK1132,concept,MLOps概念
2023-04-18,1158.3,1162.79,1177.82,1140.31,2127592.0,4056617200.0,3.22,-0.2,-2.33,3.32,BK1132,concept,MLOps概念
2023-04-19,1156.51,1155.5,1184.04,1152.7,2520722.0,4721228703.0,2.7,-0.63,-7.29,3.94,BK1132,concept,MLOps概念
2023-04-20,1153.55,1204.62,1204.62,1153.55,2824284.0,6324919327.0,4.42,4.25,49.12,4.41,BK1132,concept,MLOps概念
2023-04-21,1200.76,1107.82,1200.76,1107.82,3471660.0,7003110604.0,7.72,-8.04,-96.8,5.42,BK1132,concept,MLOps概念
2023-04-24,1107.31,1104.29,1132.39,1093.01,2026596.0,4361731857.0,3.55,-0.32,-3.53,3.16,BK1132,concept,MLOps概念
2023-04-25,1092.56,1066.12,1092.56,1051.32,2260391.0,4401640159.0,3.73,-3.46,-38.17,3.53,BK1132,concept,MLOps概念
2023-04-26,1061.23,1020.56,1067.7,1012.22,2434077.0,4352740963.0,5.2,-4.27,-45.56,3.8,BK1132,concept,MLOps概念
2023-04-27,1025.6,1024.33,1049.99,1014.02,1994440.0,3915530663.0,3.52,0.37,3.77,3.11,BK1132,concept,MLOps概念
2023-04-28,1012.45,1067.63,1078.48,1012.45,2126004.0,4335480767.0,6.45,4.23,43.3,3.32,BK1132,concept,MLOps概念
2023-05-04,1072.02,1063.6,1084.34,1032.44,1879638.0,3672323146.0,4.86,-0.38,-4.03,2.94,BK1132,concept,MLOps概念
2023-05-05,1069.05,1103.6,1116.93,1051.26,2967731.0,5591766990.0,6.17,3.76,40.0,4.63,BK1132,concept,MLOps概念
2023-05-08,1109.5,1150.96,1152.03,1092.02,3079457.0,5986988000.0,5.44,4.29,47.36,4.81,BK1132,concept,MLOps概念
2023-05-09,1140.0,1123.55,1158.62,1119.02,2666390.0,5932278608.0,3.44,-2.38,-27.41,4.16,BK1132,concept,MLOps概念
2023-05-10,1117.67,1124.1,1146.84,1102.69,2409626.0,4816639302.0,3.93,0.05,0.55,3.76,BK1132,concept,MLOps概念
2023-05-11,1135.03,1106.32,1147.0,1102.64,2298383.0,4876470751.0,3.95,-1.58,-17.78,3.59,BK1132,concept,MLOps概念
2023-05-12,1102.68,1084.33,1119.48,1083.44,1850633.0,3470149289.0,3.26,-1.99,-21.99,2.89,BK1132,concept,MLOps概念
2023-05-15,1084.25,1076.9,1093.59,1046.81,1764856.0,3289962178.0,4.31,-0.69,-7.43,2.76,BK1132,concept,MLOps概念
2023-05-16,1081.02,1039.26,1083.16,1036.1,2208158.0,3551607291.0,4.37,-3.5,-37.64,3.45,BK1132,concept,MLOps概念
2023-05-17,1036.89,1061.29,1068.9,1028.49,1741024.0,3031160371.0,3.89,2.12,22.03,2.72,BK1132,concept,MLOps概念
2023-05-18,1056.58,1090.75,1091.53,1050.82,1981309.0,3191807400.0,3.84,2.78,29.46,3.09,BK1132,concept,MLOps概念
2023-05-19,1097.49,1086.0,1103.74,1081.25,1896189.0,3567930233.0,2.06,-0.44,-4.75,2.96,BK1132,concept,MLOps概念
2023-05-22,1080.02,1074.59,1084.94,1066.38,1622066.0,2606106420.0,1.71,-1.05,-11.41,2.53,BK1132,concept,MLOps概念
2023-05-23,1077.72,1046.6,1078.07,1046.6,1424296.0,2338445222.0,2.93,-2.6,-27.99,2.22,BK1132,concept,MLOps概念
2023-05-24,1037.86,1047.11,1057.38,1033.96,1305823.0,2179101369.0,2.24,0.05,0.51,2.04,BK1132,concept,MLOps概念
2023-05-25,1050.22,1038.27,1061.52,1017.58,1433458.0,2189024395.0,4.2,-0.84,-8.84,2.24,BK1132,concept,MLOps概念
2023-05-26,1038.28,1069.43,1071.51,1038.03,1394139.0,2788182392.0,3.22,3.0,31.16,2.18,BK1132,concept,MLOps概念
2023-05-29,1077.63,1066.88,1083.69,1064.92,1600780.0,2894652918.0,1.76,-0.24,-2.55,2.5,BK1132,concept,MLOps概念
2023-05-30,1063.76,1096.18,1096.21,1051.03,1839157.0,3295050600.0,4.23,2.75,29.3,2.87,BK1132,concept,MLOps概念
2023-05-31,1100.58,1158.57,1158.57,1099.53,3712260.0,5862955364.0,5.39,5.69,62.39,5.8,BK1132,concept,MLOps概念
2023-06-01,1147.24,1157.12,1170.78,1137.81,3326117.0,5516880489.0,2.85,-0.13,-1.45,5.19,BK1132,concept,MLOps概念
2023-06-02,1157.63,1154.79,1167.98,1148.63,2142740.0,3740486522.0,1.67,-0.2,-2.33,3.35,BK1132,concept,MLOps概念
2023-06-05,1156.87,1181.85,1185.6,1155.5,2734162.0,4694279314.0,2.61,2.34,27.06,4.27,BK1132,concept,MLOps概念
2023-06-06,1187.33,1161.0,1202.49,1156.74,4131402.0,6492803903.0,3.87,-1.76,-20.85,6.45,BK1132,concept,MLOps概念
2023-06-07,1154.3,1192.18,1200.34,1140.84,3870600.0,6506774650.0,5.12,2.69,31.18,6.04,BK1132,concept,MLOps概念
2023-06-08,1185.68,1181.13,1185.68,1155.32,3258951.0,5622891423.0,2.55,-0.93,-11.05,5.09,BK1132,concept,MLOps概念
2023-06-09,1185.42,1189.74,1207.15,1177.7,3471106.0,5638517881.0,2.49,0.73,8.61,5.42,BK1132,concept,MLOps概念
2023-06-12,1192.0,1193.59,1207.58,1186.14,3702403.0,6409128089.0,1.8,0.32,3.85,5.78,BK1132,concept,MLOps概念
2023-06-13,1196.41,1223.33,1227.27,1186.93,4060175.0,6646371691.0,3.38,2.49,29.74,6.34,BK1132,concept,MLOps概念
2023-06-14,1219.29,1224.3,1230.41,1209.02,3175099.0,5300842557.0,1.75,0.08,0.97,4.96,BK1132,concept,MLOps概念
2023-06-15,1226.61,1210.51,1232.07,1205.53,2579765.0,4291864490.0,2.17,-1.13,-13.79,4.03,BK1132,concept,MLOps概念
2023-06-16,1204.13,1239.38,1244.63,1189.67,2482134.0,4522105386.0,4.54,2.38,28.87,3.88,BK1132,concept,MLOps概念
2023-06-19,1236.34,1296.91,1303.01,1236.34,3299111.0,6424022963.0,5.38,4.64,57.53,5.15,BK1132,concept,MLOps概念
2023-06-20,1289.69,1284.72,1293.2,1268.24,2828965.0,5296993532.0,1.92,-0.94,-12.19,4.42,BK1132,concept,MLOps概念
2023-06-21,1279.11,1230.47,1281.47,1230.47,2681770.0,4846057767.0,3.97,-4.22,-54.25,4.19,BK1132,concept,MLOps概念
2023-06-26,1219.62,1151.63,1223.17,1146.22,2660202.0,4506342252.0,6.25,-6.41,-78.84,4.15,BK1132,concept,MLOps概念
2023-06-27,1149.65,1159.3,1164.0,1147.49,1555599.0,2938025380.0,1.43,0.67,7.67,2.43,BK1132,concept,MLOps概念
2023-06-28,1160.78,1110.59,1160.78,1079.66,2387591.0,4043610363.0,7.0,-4.2,-48.71,3.73,BK1132,concept,MLOps概念
2023-06-29,1111.65,1120.69,1128.38,1099.98,1672440.0,3445256438.0,2.56,0.91,10.1,2.61,BK1132,concept,MLOps概念
