日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2017-06-20,1001.14,999.57,1001.96,997.94,44604687.0,53604650496.0,0.4,-0.04,-0.43,0.11,BK0821,concept,MSCI中国
2017-06-21,1002.72,1003.52,1004.55,997.32,62099538.0,83835273216.0,0.72,0.4,3.95,0.16,BK0821,concept,MSCI中国
2017-06-22,1002.95,1008.01,1019.15,1002.49,118447770.0,140293021696.0,1.66,0.45,4.49,0.3,BK0821,concept,MSCI中国
2017-06-23,1005.46,1013.0,1013.36,1001.29,88629409.0,106402947072.0,1.2,0.5,4.99,0.23,BK0821,concept,MSCI中国
2017-06-26,1012.59,1017.38,1023.73,1012.54,118506007.0,142259408896.0,1.1,0.43,4.38,0.3,BK0821,concept,MSCI中国
2017-06-27,1016.87,1016.89,1018.45,1011.09,84326566.0,100513955840.0,0.72,-0.05,-0.49,0.21,BK0821,concept,MSCI中国
2017-06-28,1014.93,1010.38,1016.55,1009.31,85355758.0,102749044736.0,0.71,-0.64,-6.51,0.22,BK0821,concept,MSCI中国
2017-06-29,1011.77,1015.84,1015.9,1010.83,74607542.0,91859472384.0,0.5,0.54,5.46,0.19,BK0821,concept,MSCI中国
2017-06-30,1012.31,1015.54,1016.02,1009.51,70627064.0,82373373952.0,0.64,-0.03,-0.3,0.18,BK0821,concept,MSCI中国
2017-07-03,1014.95,1015.06,1016.04,1010.17,76536108.0,93160783872.0,0.58,-0.05,-0.48,0.2,BK0821,concept,MSCI中国
2017-07-04,1014.25,1007.42,1014.25,1005.2,82293778.0,101222789120.0,0.89,-0.75,-7.64,0.21,BK0821,concept,MSCI中国
2017-07-05,1006.37,1016.12,1016.16,1004.79,74666949.0,95940612096.0,1.13,0.86,8.7,0.19,BK0821,concept,MSCI中国
2017-07-06,1015.12,1015.76,1017.23,1007.62,87565704.0,107888386048.0,0.95,-0.04,-0.36,0.22,BK0821,concept,MSCI中国
2017-07-07,1013.77,1018.84,1019.53,1009.33,88773914.0,100093026304.0,1.0,0.3,3.08,0.23,BK0821,concept,MSCI中国
2017-07-10,1017.78,1019.05,1022.85,1016.64,104002010.0,114375196672.0,0.61,0.02,0.21,0.27,BK0821,concept,MSCI中国
2017-07-11,1018.16,1017.25,1026.68,1017.12,104925540.0,120723505152.0,0.94,-0.18,-1.8,0.27,BK0821,concept,MSCI中国
2017-07-12,1017.03,1013.83,1020.05,1006.76,108227418.0,119030075392.0,1.31,-0.34,-3.42,0.28,BK0821,concept,MSCI中国
2017-07-13,1015.36,1022.63,1023.21,1012.95,113939502.0,126451134464.0,1.01,0.87,8.8,0.29,BK0821,concept,MSCI中国
2017-07-14,1024.42,1026.24,1026.29,1019.58,93671235.0,102403641344.0,0.66,0.35,3.61,0.24,BK0821,concept,MSCI中国
2017-07-17,1027.15,1004.82,1027.15,994.0,159745190.0,168597381120.0,3.23,-2.09,-21.42,0.41,BK0821,concept,MSCI中国
2017-07-18,999.02,1011.39,1011.4,996.94,112768325.0,120653389824.0,1.44,0.65,6.57,0.29,BK0821,concept,MSCI中国
2017-07-19,1009.45,1034.9,1035.11,1009.14,167384771.0,172111839232.0,2.57,2.32,23.51,0.43,BK0821,concept,MSCI中国
2017-07-20,1034.97,1039.3,1040.34,1032.77,128223974.0,145692016640.0,0.73,0.43,4.4,0.33,BK0821,concept,MSCI中国
2017-07-21,1037.12,1038.3,1041.44,1035.8,106091397.0,122668232704.0,0.54,-0.1,-1.0,0.27,BK0821,concept,MSCI中国
2017-07-24,1036.53,1042.08,1045.38,1036.53,119835310.0,131181584384.0,0.85,0.36,3.78,0.31,BK0821,concept,MSCI中国
2017-07-25,1042.59,1034.17,1043.0,1030.92,108301361.0,113781653504.0,1.16,-0.76,-7.91,0.28,BK0821,concept,MSCI中国
2017-07-26,1035.27,1032.16,1038.41,1026.67,119336940.0,125454512128.0,1.14,-0.19,-2.01,0.3,BK0821,concept,MSCI中国
2017-07-27,1031.58,1034.69,1035.59,1021.65,118157302.0,127079550976.0,1.35,0.25,2.53,0.3,BK0821,concept,MSCI中国
2017-07-28,1031.08,1036.79,1038.17,1030.66,90807355.0,98911420416.0,0.73,0.2,2.1,0.23,BK0821,concept,MSCI中国
2017-07-31,1036.37,1045.67,1046.69,1036.37,128814679.0,133547184128.0,1.0,0.86,8.88,0.33,BK0821,concept,MSCI中国
2017-08-01,1046.43,1050.15,1050.41,1045.0,128555328.0,141684285440.0,0.52,0.43,4.48,0.33,BK0821,concept,MSCI中国
2017-08-02,1049.04,1045.93,1054.53,1045.6,149349558.0,156096942080.0,0.85,-0.4,-4.22,0.38,BK0821,concept,MSCI中国
2017-08-03,1044.92,1043.03,1048.65,1039.17,122836444.0,130096218112.0,0.91,-0.28,-2.9,0.31,BK0821,concept,MSCI中国
2017-08-04,1041.49,1041.94,1050.64,1041.49,138315999.0,138237820928.0,0.88,-0.1,-1.09,0.35,BK0821,concept,MSCI中国
2017-08-07,1040.04,1047.74,1047.78,1035.87,111261202.0,111416328192.0,1.14,0.56,5.8,0.28,BK0821,concept,MSCI中国
2017-08-08,1046.91,1049.92,1051.81,1045.9,121037417.0,120052535296.0,0.56,0.21,2.18,0.31,BK0821,concept,MSCI中国
2017-08-09,1047.6,1050.64,1050.84,1044.85,110701373.0,113951502336.0,0.57,0.07,0.72,0.28,BK0821,concept,MSCI中国
2017-08-10,1048.99,1046.73,1054.44,1038.95,116342323.0,125604954112.0,1.47,-0.37,-3.91,0.3,BK0821,concept,MSCI中国
2017-08-11,1038.54,1024.02,1041.46,1023.28,136406956.0,138014392320.0,1.74,-2.17,-22.71,0.35,BK0821,concept,MSCI中国
2017-08-14,1021.08,1038.17,1038.91,1021.08,102247053.0,116651859968.0,1.74,1.38,14.15,0.26,BK0821,concept,MSCI中国
2017-08-15,1037.35,1040.12,1042.48,1035.82,95753503.0,106563125248.0,0.64,0.19,1.95,0.24,BK0821,concept,MSCI中国
2017-08-16,1039.47,1039.03,1040.09,1032.12,87135447.0,100314169344.0,0.77,-0.1,-1.09,0.22,BK0821,concept,MSCI中国
2017-08-17,1041.25,1048.79,1048.87,1041.25,94639094.0,112034889728.0,0.73,0.94,9.76,0.24,BK0821,concept,MSCI中国
2017-08-18,1043.22,1048.53,1050.87,1041.19,84560796.0,103897350144.0,0.92,-0.02,-0.26,0.22,BK0821,concept,MSCI中国
2017-08-21,1049.65,1054.6,1054.65,1049.65,87598300.0,102816878592.0,0.48,0.58,6.07,0.22,BK0821,concept,MSCI中国
2017-08-22,1054.73,1051.92,1055.53,1049.13,81211999.0,104002158592.0,0.61,-0.25,-2.68,0.21,BK0821,concept,MSCI中国
2017-08-23,1050.5,1047.57,1052.54,1043.53,84465416.0,96321806336.0,0.86,-0.41,-4.35,0.22,BK0821,concept,MSCI中国
2017-08-24,1048.78,1038.57,1048.79,1037.2,71403272.0,82891341824.0,1.11,-0.86,-9.0,0.18,BK0821,concept,MSCI中国
2017-08-25,1038.85,1053.8,1054.29,1038.85,112743281.0,125761765376.0,1.49,1.47,15.23,0.29,BK0821,concept,MSCI中国
2017-08-28,1055.46,1069.59,1073.22,1055.46,158453548.0,195522256896.0,1.69,1.5,15.79,0.4,BK0821,concept,MSCI中国
2017-08-29,1069.13,1065.94,1071.21,1064.05,108890266.0,128014626816.0,0.67,-0.34,-3.65,0.28,BK0821,concept,MSCI中国
2017-08-30,1064.99,1069.58,1071.6,1064.99,123214479.0,137750163456.0,0.62,0.34,3.64,0.31,BK0821,concept,MSCI中国
2017-08-31,1068.9,1068.77,1071.17,1063.32,114022930.0,127494766592.0,0.73,-0.08,-0.81,0.29,BK0821,concept,MSCI中国
2017-09-01,1068.33,1072.65,1075.3,1068.33,138300969.0,150389682176.0,0.65,0.36,3.88,0.35,BK0821,concept,MSCI中国
2017-09-04,1071.91,1076.92,1077.2,1069.15,118158502.0,134199914496.0,0.75,0.4,4.27,0.3,BK0821,concept,MSCI中国
2017-09-05,1076.88,1076.23,1078.08,1073.04,101810271.0,113537294336.0,0.47,-0.06,-0.69,0.26,BK0821,concept,MSCI中国
2017-09-06,1072.79,1077.56,1079.21,1070.45,108474801.0,124166496256.0,0.81,0.12,1.33,0.28,BK0821,concept,MSCI中国
2017-09-07,1077.07,1070.53,1079.1,1070.1,97092692.0,118322454528.0,0.84,-0.65,-7.03,0.25,BK0821,concept,MSCI中国
2017-09-08,1070.1,1071.08,1075.35,1067.18,85912504.0,105417842688.0,0.76,0.05,0.55,0.22,BK0821,concept,MSCI中国
2017-09-11,1072.18,1075.35,1076.74,1068.4,103032684.0,126474682368.0,0.78,0.4,4.27,0.26,BK0821,concept,MSCI中国
2017-09-12,1076.22,1075.45,1080.71,1072.98,117686730.0,148347875328.0,0.72,0.01,0.1,0.3,BK0821,concept,MSCI中国
2017-09-13,1074.11,1077.09,1077.59,1071.68,77539973.0,98753966080.0,0.55,0.15,1.64,0.2,BK0821,concept,MSCI中国
2017-09-14,1077.27,1074.37,1080.2,1071.13,93483569.0,111741788160.0,0.84,-0.25,-2.72,0.24,BK0821,concept,MSCI中国
2017-09-15,1072.24,1072.21,1075.23,1068.45,99788132.0,119569182720.0,0.63,-0.2,-2.16,0.25,BK0821,concept,MSCI中国
