日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-08-13,996.56,1010.96,1023.26,990.56,16082508.0,13391029760.0,3.27,1.1,10.96,2.12,BK0948,concept,MicroLED
2020-08-14,1001.74,1010.23,1010.69,991.7,14534861.0,10263522304.0,1.88,-0.07,-0.73,1.92,BK0948,concept,MicroLED
2020-08-17,1011.79,1043.81,1048.23,1011.64,24179477.0,17221010944.0,3.62,3.32,33.58,3.19,BK0948,concept,MicroLED
2020-08-18,1044.27,1045.23,1058.75,1035.03,16470560.0,12536574976.0,2.27,0.14,1.42,2.17,BK0948,concept,MicroLED
2020-08-19,1041.09,1004.84,1043.99,1002.11,14552852.0,11525444352.0,4.01,-3.86,-40.39,1.92,BK0948,concept,MicroLED
2020-08-20,994.75,996.8,1012.3,990.85,11547202.0,7999486208.0,2.13,-0.8,-8.04,1.52,BK0948,concept,MicroLED
2020-08-21,1005.22,991.84,1013.01,983.58,11811750.0,8798839040.0,2.95,-0.5,-4.96,1.56,BK0948,concept,MicroLED
2020-08-24,994.73,1005.68,1021.39,976.66,19633979.0,12888688640.0,4.51,1.4,13.84,2.59,BK0948,concept,MicroLED
2020-08-25,1008.93,1031.98,1040.0,1008.49,13685037.0,9724551424.0,3.13,2.62,26.3,1.8,BK0948,concept,MicroLED
2020-08-26,1033.74,1008.18,1034.15,1002.97,14786561.0,9689811200.0,3.02,-2.31,-23.8,1.95,BK0948,concept,MicroLED
2020-08-27,1005.76,1016.58,1029.1,994.51,9592368.0,6984218624.0,3.43,0.83,8.4,1.26,BK0948,concept,MicroLED
2020-08-28,1010.53,1021.05,1023.88,1007.13,18059695.0,11476057088.0,1.65,0.44,4.47,2.38,BK0948,concept,MicroLED
2020-08-31,1028.81,1033.32,1044.31,1028.09,20990698.0,14188355584.0,1.59,1.2,12.27,2.77,BK0948,concept,MicroLED
2020-09-01,1031.06,1044.75,1044.75,1021.8,10679918.0,7851182080.0,2.22,1.11,11.43,1.41,BK0948,concept,MicroLED
2020-09-02,1044.81,1072.78,1085.66,1042.4,19365554.0,14021100544.0,4.14,2.68,28.03,2.55,BK0948,concept,MicroLED
2020-09-03,1069.6,1064.19,1081.65,1048.83,15787081.0,11354723072.0,3.06,-0.8,-8.59,2.08,BK0948,concept,MicroLED
2020-09-04,1050.21,1117.18,1123.04,1049.7,14345546.0,13202767872.0,6.89,4.98,52.99,1.89,BK0948,concept,MicroLED
2020-09-07,1143.71,1129.63,1171.33,1121.12,18033165.0,17137166848.0,4.49,1.11,12.45,2.38,BK0948,concept,MicroLED
2020-09-08,1117.92,1147.44,1152.6,1100.57,14027025.0,12365008640.0,4.61,1.58,17.81,1.85,BK0948,concept,MicroLED
2020-09-09,1121.15,1085.79,1136.11,1084.84,14767566.0,12921601536.0,4.47,-5.37,-61.65,1.95,BK0948,concept,MicroLED
2020-09-10,1085.53,995.42,1086.83,994.36,13910928.0,10064469248.0,8.52,-8.32,-90.37,1.83,BK0948,concept,MicroLED
2020-09-11,988.15,1034.69,1040.43,988.15,10496988.0,7932707840.0,5.25,3.95,39.27,1.38,BK0948,concept,MicroLED
2020-09-14,1045.22,1083.04,1083.1,1039.7,10469816.0,8873380608.0,4.19,4.67,48.35,1.38,BK0948,concept,MicroLED
2020-09-15,1077.18,1071.08,1077.18,1057.94,8077490.0,6541383680.0,1.78,-1.1,-11.96,1.07,BK0948,concept,MicroLED
2020-09-16,1066.65,1059.06,1082.68,1049.33,7761066.0,6258408960.0,3.11,-1.12,-12.02,1.02,BK0948,concept,MicroLED
2020-09-17,1053.84,1060.14,1075.89,1041.03,9047582.0,6887350784.0,3.29,0.1,1.08,1.19,BK0948,concept,MicroLED
2020-09-18,1059.48,1075.08,1078.5,1049.95,10576247.0,7663458816.0,2.69,1.41,14.94,1.39,BK0948,concept,MicroLED
2020-09-21,1071.5,1063.27,1087.3,1060.42,9760642.0,7469382656.0,2.5,-1.1,-11.81,1.29,BK0948,concept,MicroLED
2020-09-22,1050.32,1029.57,1051.05,1025.81,8711776.0,6502336512.0,2.37,-3.17,-33.7,1.15,BK0948,concept,MicroLED
2020-09-23,1035.46,1032.6,1039.9,1025.2,7183451.0,5255403776.0,1.43,0.29,3.03,0.95,BK0948,concept,MicroLED
2020-09-24,1025.91,990.58,1025.91,989.34,10995406.0,7556190464.0,3.54,-4.07,-42.02,1.45,BK0948,concept,MicroLED
2020-09-25,996.73,977.77,999.0,972.38,6905744.0,4953428736.0,2.69,-1.29,-12.81,0.91,BK0948,concept,MicroLED
2020-09-28,981.19,961.17,982.71,958.94,5184798.0,3663073072.0,2.43,-1.7,-16.6,0.68,BK0948,concept,MicroLED
2020-09-29,968.59,971.51,980.71,964.79,7961351.0,5262515456.0,1.66,1.08,10.34,1.05,BK0948,concept,MicroLED
2020-09-30,974.01,965.11,975.59,957.85,6573368.0,4242586912.0,1.83,-0.66,-6.4,0.87,BK0948,concept,MicroLED
2020-10-09,983.39,1004.96,1004.96,982.14,10303110.0,6948631040.0,2.36,4.13,39.85,1.36,BK0948,concept,MicroLED
