日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-12-12,1004.94,1017.24,1037.17,1000.2,7430499.0,6668681984.0,3.7,1.72,17.24,0.69,BK0902,concept,MiniLED
2019-12-13,1022.53,1016.7,1024.58,1008.48,10162234.0,7213239552.0,1.58,-0.05,-0.54,0.95,BK0902,concept,MiniLED
2019-12-16,1025.02,1092.89,1093.91,1024.64,19464272.0,12970358272.0,6.81,7.49,76.19,1.82,BK0902,concept,MiniLED
2019-12-17,1101.5,1132.16,1151.71,1098.57,19692703.0,13182150656.0,4.86,3.59,39.27,1.84,BK0902,concept,MiniLED
2019-12-18,1137.21,1147.56,1156.17,1132.73,14353610.0,10552930560.0,2.07,1.36,15.4,1.34,BK0902,concept,MiniLED
2019-12-19,1137.89,1117.0,1143.93,1115.46,12992071.0,9407211520.0,2.48,-2.66,-30.56,1.21,BK0902,concept,MiniLED
2019-12-20,1117.83,1100.14,1123.25,1099.51,10901993.0,7422707456.0,2.13,-1.51,-16.86,1.02,BK0902,concept,MiniLED
2019-12-23,1085.64,1068.27,1095.75,1067.74,11521106.0,7647045376.0,2.55,-2.9,-31.87,1.08,BK0902,concept,MiniLED
2019-12-24,1071.94,1088.67,1088.67,1060.93,9390955.0,6915252736.0,2.6,1.91,20.4,0.88,BK0902,concept,MiniLED
2019-12-25,1080.35,1101.09,1111.32,1075.84,9611472.0,7553373696.0,3.26,1.14,12.42,0.9,BK0902,concept,MiniLED
2019-12-26,1102.38,1111.81,1118.92,1101.41,10274722.0,6952536832.0,1.59,0.97,10.72,0.96,BK0902,concept,MiniLED
2019-12-27,1117.08,1085.33,1126.0,1085.2,11563904.0,8530647040.0,3.67,-2.38,-26.48,1.08,BK0902,concept,MiniLED
2019-12-30,1072.36,1101.88,1108.51,1064.09,8604247.0,6275509504.0,4.09,1.52,16.55,0.8,BK0902,concept,MiniLED
2019-12-31,1101.63,1085.87,1104.03,1077.86,7080826.0,5359462656.0,2.38,-1.45,-16.01,0.66,BK0902,concept,MiniLED
