日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-08-19,1018.62,1047.96,1051.6,1013.69,9293633.0,14838580480.0,3.79,4.8,47.96,1.49,BK0877,concept,PCB
2019-08-20,1047.81,1039.64,1053.84,1037.12,7844124.0,12078229760.0,1.6,-0.79,-8.32,1.26,BK0877,concept,PCB
2019-08-21,1039.45,1058.28,1061.27,1031.88,7786694.0,12518782464.0,2.83,1.79,18.64,1.25,BK0877,concept,PCB
2019-08-22,1056.07,1053.34,1062.86,1040.3,6896690.0,10575543808.0,2.13,-0.47,-4.94,1.1,BK0877,concept,PCB
2019-08-23,1048.63,1047.45,1055.03,1036.36,6635001.0,10409718528.0,1.77,-0.56,-5.89,1.06,BK0877,concept,PCB
2019-08-26,1017.54,1044.92,1047.97,1016.6,6044097.0,9947667200.0,2.99,-0.24,-2.53,0.97,BK0877,concept,PCB
2019-08-27,1051.99,1053.85,1068.24,1048.28,8257734.0,12594769152.0,1.91,0.85,8.93,1.32,BK0877,concept,PCB
2019-08-28,1049.67,1036.93,1049.72,1036.21,5533043.0,8365614336.0,1.28,-1.61,-16.92,0.89,BK0877,concept,PCB
2019-08-29,1039.57,1046.08,1055.13,1037.78,6548801.0,11441109760.0,1.67,0.88,9.15,1.05,BK0877,concept,PCB
2019-08-30,1052.51,1013.33,1054.09,1010.09,7975477.0,13974790144.0,4.21,-3.13,-32.75,1.28,BK0877,concept,PCB
2019-09-02,1011.86,1052.56,1053.91,1011.41,7140939.0,12738980352.0,4.19,3.87,39.23,1.14,BK0877,concept,PCB
2019-09-03,1053.99,1082.31,1082.31,1052.94,8276384.0,14676542720.0,2.79,2.83,29.75,1.32,BK0877,concept,PCB
2019-09-04,1082.31,1113.63,1117.8,1078.98,8517172.0,14746123264.0,3.59,2.89,31.32,1.36,BK0877,concept,PCB
2019-09-05,1135.63,1147.74,1177.25,1129.74,12551408.0,20963092224.0,4.27,3.06,34.11,2.01,BK0877,concept,PCB
2019-09-06,1151.46,1156.72,1171.33,1140.0,9767107.0,16784624640.0,2.73,0.78,8.98,1.56,BK0877,concept,PCB
2019-09-09,1172.49,1210.1,1210.1,1162.81,10462088.0,17638970368.0,4.09,4.61,53.38,1.67,BK0877,concept,PCB
2019-09-10,1207.58,1188.31,1212.56,1179.82,10403969.0,17340749568.0,2.71,-1.8,-21.79,1.67,BK0877,concept,PCB
2019-09-11,1194.06,1183.62,1202.62,1179.33,8476682.0,15242007040.0,1.96,-0.39,-4.69,1.36,BK0877,concept,PCB
2019-09-12,1184.16,1178.39,1185.79,1166.93,6426256.0,11450545920.0,1.59,-0.44,-5.23,1.03,BK0877,concept,PCB
2019-09-16,1181.71,1186.77,1195.71,1167.18,7874086.0,12784117248.0,2.42,0.71,8.38,1.26,BK0877,concept,PCB
2019-09-17,1181.45,1156.78,1181.8,1145.03,7152921.0,12206616576.0,3.1,-2.53,-29.99,1.15,BK0877,concept,PCB
2019-09-18,1159.23,1153.23,1166.69,1140.96,5854578.0,11025980928.0,2.22,-0.31,-3.55,0.94,BK0877,concept,PCB
2019-09-19,1157.44,1196.31,1196.31,1157.15,7533817.0,13420432640.0,3.4,3.74,43.08,1.21,BK0877,concept,PCB
2019-09-20,1199.99,1207.04,1216.21,1193.47,9743158.0,18130636288.0,1.9,0.9,10.73,1.56,BK0877,concept,PCB
2019-09-23,1194.93,1195.25,1195.25,1176.86,8365748.0,14980485376.0,1.52,-0.98,-11.79,1.34,BK0877,concept,PCB
2019-09-24,1195.03,1197.64,1209.12,1192.56,8731258.0,14359585536.0,1.39,0.2,2.39,1.4,BK0877,concept,PCB
2019-09-25,1183.72,1145.37,1185.59,1142.89,8799137.0,15214031104.0,3.57,-4.36,-52.27,1.41,BK0877,concept,PCB
2019-09-26,1148.52,1095.38,1152.1,1093.81,7413492.0,12827726336.0,5.09,-4.36,-49.99,1.19,BK0877,concept,PCB
2019-09-27,1098.21,1117.76,1127.33,1098.21,5029626.0,9150344192.0,2.66,2.04,22.38,0.81,BK0877,concept,PCB
