日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-09-23,1006.07,966.4,1007.62,963.49,4962172.0,10700534528.0,4.41,-3.36,-33.6,3.22,BK1012,concept,PVDF概念
2021-09-24,951.6,910.35,954.27,908.34,4763843.0,10437559040.0,4.75,-5.8,-56.05,3.09,BK1012,concept,PVDF概念
2021-09-27,899.13,855.94,907.56,845.6,4430837.0,8712007424.0,6.81,-5.98,-54.41,2.87,BK1012,concept,PVDF概念
2021-09-28,852.78,841.73,867.04,840.2,3806123.0,6922924032.0,3.14,-1.66,-14.21,2.47,BK1012,concept,PVDF概念
2021-09-29,832.05,787.25,832.05,786.56,4244884.0,7288825856.0,5.4,-6.47,-54.48,2.75,BK1012,concept,PVDF概念
2021-09-30,797.52,825.85,828.23,797.52,3374400.0,6444167680.0,3.9,4.9,38.6,2.19,BK1012,concept,PVDF概念
2021-10-08,840.87,819.28,855.33,808.93,3449888.0,6688135424.0,5.62,-0.8,-6.57,2.24,BK1012,concept,PVDF概念
2021-10-11,818.13,804.73,819.23,793.54,2572477.0,4993842944.0,3.14,-1.78,-14.55,1.67,BK1012,concept,PVDF概念
2021-10-12,799.36,775.47,809.94,763.67,3008421.0,5494810624.0,5.75,-3.64,-29.26,1.95,BK1012,concept,PVDF概念
2021-10-13,778.57,786.48,790.62,765.8,2554656.0,4652513792.0,3.2,1.42,11.01,1.66,BK1012,concept,PVDF概念
2021-10-14,779.84,794.85,802.42,772.1,2770874.0,5124587776.0,3.86,1.06,8.37,1.8,BK1012,concept,PVDF概念
2021-10-15,786.01,785.7,792.36,773.47,2375140.0,4664057344.0,2.38,-1.15,-9.15,1.54,BK1012,concept,PVDF概念
2021-10-18,787.19,810.6,810.78,784.5,3129509.0,5993018368.0,3.34,3.17,24.9,2.03,BK1012,concept,PVDF概念
2021-10-19,811.23,832.17,834.3,806.14,3784167.0,7373468928.0,3.47,2.66,21.57,2.45,BK1012,concept,PVDF概念
2021-10-20,822.95,848.25,855.63,818.03,3706890.0,7964699648.0,4.52,1.93,16.08,2.4,BK1012,concept,PVDF概念
2021-10-21,845.4,841.11,856.18,838.85,3118950.0,7116224768.0,2.04,-0.84,-7.14,2.02,BK1012,concept,PVDF概念
2021-10-22,838.3,821.81,848.91,821.49,3036424.0,6874274816.0,3.26,-2.29,-19.3,1.97,BK1012,concept,PVDF概念
2021-10-25,821.11,849.24,850.21,821.11,3098011.0,6645057280.0,3.54,3.34,27.43,2.01,BK1012,concept,PVDF概念
2021-10-26,852.14,857.86,867.92,852.14,3546186.0,6965092352.0,1.86,1.02,8.62,2.3,BK1012,concept,PVDF概念
2021-10-27,858.95,890.96,892.66,855.67,5115922.0,10072492800.0,4.31,3.86,33.1,3.32,BK1012,concept,PVDF概念
2021-10-28,885.03,856.1,886.85,852.24,4038189.0,8534012928.0,3.88,-3.91,-34.86,2.62,BK1012,concept,PVDF概念
2021-10-29,854.11,888.22,889.96,854.11,4057626.0,8564347392.0,4.19,3.75,32.12,2.63,BK1012,concept,PVDF概念
2021-11-01,886.3,901.92,907.47,878.07,3647169.0,7690208768.0,3.31,1.54,13.7,2.36,BK1012,concept,PVDF概念
2021-11-02,902.43,879.85,911.48,875.55,4159448.0,8667964672.0,3.98,-2.45,-22.07,2.7,BK1012,concept,PVDF概念
2021-11-03,885.38,880.2,889.45,867.58,2952301.0,5772070400.0,2.49,0.04,0.35,1.91,BK1012,concept,PVDF概念
2021-11-04,881.98,879.16,891.64,877.41,3737489.0,7361272832.0,1.62,-0.12,-1.04,2.42,BK1012,concept,PVDF概念
2021-11-05,878.19,839.47,878.19,839.07,4397410.0,7949408000.0,4.45,-4.51,-39.69,2.85,BK1012,concept,PVDF概念
2021-11-08,839.51,855.65,859.06,832.6,3118733.0,6188789248.0,3.15,1.93,16.18,2.02,BK1012,concept,PVDF概念
2021-11-09,858.35,878.17,878.17,854.9,3163829.0,6788181248.0,2.72,2.63,22.52,2.05,BK1012,concept,PVDF概念
2021-11-10,873.15,877.73,878.06,854.56,2838605.0,6376573440.0,2.68,-0.05,-0.44,1.84,BK1012,concept,PVDF概念
2021-11-11,877.89,883.69,895.91,877.89,3021483.0,6102176512.0,2.05,0.68,5.96,1.96,BK1012,concept,PVDF概念
2021-11-12,880.46,877.07,881.31,870.76,2663106.0,5282670592.0,1.19,-0.75,-6.62,1.73,BK1012,concept,PVDF概念
2021-11-15,878.09,855.83,878.09,850.69,3210611.0,6285402368.0,3.12,-2.42,-21.24,2.08,BK1012,concept,PVDF概念
2021-11-16,851.64,847.51,863.34,845.5,3109417.0,5460971264.0,2.08,-0.97,-8.32,2.02,BK1012,concept,PVDF概念
2021-11-17,848.07,872.48,873.23,848.07,2796978.0,5131068416.0,2.97,2.95,24.97,1.81,BK1012,concept,PVDF概念
2021-11-18,871.34,878.63,891.61,868.62,3106673.0,5795759360.0,2.64,0.7,6.15,2.01,BK1012,concept,PVDF概念
2021-11-19,882.34,896.74,900.97,871.33,3412379.0,6615016448.0,3.37,2.06,18.11,2.21,BK1012,concept,PVDF概念
2021-11-22,898.23,923.39,926.6,898.23,3333205.0,7102292736.0,3.16,2.97,26.65,2.16,BK1012,concept,PVDF概念
2021-11-23,925.14,912.2,926.03,910.74,3097560.0,6206605056.0,1.66,-1.21,-11.19,2.01,BK1012,concept,PVDF概念
2021-11-24,907.5,906.48,920.25,902.28,2511306.0,5534960640.0,1.97,-0.63,-5.72,1.63,BK1012,concept,PVDF概念
2021-11-25,904.8,922.45,928.05,901.49,2895958.0,6174191872.0,2.93,1.76,15.97,1.88,BK1012,concept,PVDF概念
2021-11-26,922.35,932.58,939.76,915.71,2772790.0,7276084224.0,2.61,1.1,10.13,1.8,BK1012,concept,PVDF概念
2021-11-29,915.13,950.3,950.3,915.13,2999688.0,9177910016.0,3.77,1.9,17.72,1.94,BK1012,concept,PVDF概念
2021-11-30,966.35,951.35,971.24,945.72,3932704.0,9244573440.0,2.69,0.11,1.05,2.55,BK1012,concept,PVDF概念
2021-12-01,948.04,948.46,950.49,938.81,3200625.0,6431446016.0,1.23,-0.3,-2.89,2.07,BK1012,concept,PVDF概念
2021-12-02,939.42,922.8,941.47,921.45,2866417.0,5494092544.0,2.11,-2.71,-25.66,1.86,BK1012,concept,PVDF概念
2021-12-03,925.24,923.64,930.02,921.23,2206740.0,4553406208.0,0.95,0.09,0.84,1.43,BK1012,concept,PVDF概念
2021-12-06,922.54,909.53,928.87,908.3,2342034.0,4551958784.0,2.23,-1.53,-14.11,1.52,BK1012,concept,PVDF概念
2021-12-07,913.75,881.51,915.82,872.57,2289067.0,4422105856.0,4.76,-3.08,-28.02,1.48,BK1012,concept,PVDF概念
2021-12-08,883.32,901.97,906.54,883.32,1714503.0,3580658320.0,2.63,2.32,20.46,1.11,BK1012,concept,PVDF概念
2021-12-09,900.43,890.29,900.43,888.76,1688824.0,3549938432.0,1.29,-1.29,-11.68,1.09,BK1012,concept,PVDF概念
2021-12-10,886.48,900.67,902.76,879.41,1854486.0,4086019232.0,2.62,1.17,10.38,1.2,BK1012,concept,PVDF概念
2021-12-13,917.18,901.49,917.18,892.54,2877999.0,7182558976.0,2.74,0.09,0.82,1.87,BK1012,concept,PVDF概念
2021-12-14,898.53,899.26,903.29,892.83,1767340.0,3833875744.0,1.16,-0.25,-2.23,1.15,BK1012,concept,PVDF概念
2021-12-15,899.68,894.32,905.55,891.24,1787422.0,3797963936.0,1.59,-0.55,-4.94,1.16,BK1012,concept,PVDF概念
2021-12-16,897.43,896.57,897.85,888.85,1651802.0,3213212512.0,1.01,0.25,2.25,1.07,BK1012,concept,PVDF概念
2021-12-17,891.85,873.8,891.99,873.8,1695482.0,3710583088.0,2.03,-2.54,-22.77,1.1,BK1012,concept,PVDF概念
2021-12-20,871.05,856.21,876.05,854.83,1525157.0,2993204688.0,2.43,-2.01,-17.59,0.99,BK1012,concept,PVDF概念
2021-12-21,857.93,866.97,867.2,847.93,1291311.0,2585069824.0,2.25,1.26,10.76,0.84,BK1012,concept,PVDF概念
2021-12-22,870.77,869.17,882.75,866.8,1668529.0,3151776944.0,1.84,0.25,2.2,1.08,BK1012,concept,PVDF概念
2021-12-23,868.75,856.47,868.75,855.38,1551802.0,3645449392.0,1.54,-1.46,-12.7,1.01,BK1012,concept,PVDF概念
2021-12-24,857.27,825.05,857.29,822.49,2000801.0,4111073136.0,4.06,-3.67,-31.42,1.3,BK1012,concept,PVDF概念
2021-12-27,826.97,831.19,836.48,821.09,1380684.0,2557768096.0,1.87,0.74,6.14,0.89,BK1012,concept,PVDF概念
2021-12-28,831.78,861.76,861.88,831.18,2055961.0,3885855008.0,3.69,3.68,30.57,1.33,BK1012,concept,PVDF概念
2021-12-29,860.87,861.77,875.35,857.78,2165465.0,4018299984.0,2.04,0.0,0.01,1.4,BK1012,concept,PVDF概念
2021-12-30,863.7,868.43,875.61,861.08,1734516.0,3050331664.0,1.69,0.77,6.66,1.12,BK1012,concept,PVDF概念
2021-12-31,870.55,881.1,882.53,869.65,1651200.0,2915776576.0,1.48,1.46,12.67,1.07,BK1012,concept,PVDF概念
2022-01-04,884.33,863.15,887.27,859.86,1690361.0,3222759744.0,3.11,-2.04,-17.95,1.1,BK1012,concept,PVDF概念
2022-01-05,859.56,839.69,859.88,835.34,1438595.0,2861526944.0,2.84,-2.72,-23.46,0.93,BK1012,concept,PVDF概念
2022-01-06,836.71,846.29,850.33,828.42,1563139.0,3054947216.0,2.61,0.79,6.6,1.01,BK1012,concept,PVDF概念
2022-01-07,845.15,820.13,846.46,819.78,1492539.0,2724214336.0,3.15,-3.09,-26.16,0.97,BK1012,concept,PVDF概念
2022-01-10,819.39,819.27,826.35,810.87,1339885.0,2980739488.0,1.89,-0.1,-0.86,0.87,BK1012,concept,PVDF概念
2022-01-11,821.87,817.11,830.22,813.72,1647944.0,3346081696.0,2.01,-0.26,-2.16,1.07,BK1012,concept,PVDF概念
2022-01-12,822.59,841.25,843.14,822.59,2023239.0,4092632192.0,2.51,2.95,24.14,1.31,BK1012,concept,PVDF概念
2022-01-13,840.26,825.51,840.33,824.23,1719749.0,3067145840.0,1.91,-1.87,-15.74,1.11,BK1012,concept,PVDF概念
2022-01-14,821.9,827.49,834.56,817.06,1362469.0,2984507632.0,2.12,0.24,1.98,0.88,BK1012,concept,PVDF概念
2022-01-17,831.58,829.5,836.86,821.94,1575184.0,3139654208.0,1.8,0.24,2.01,1.02,BK1012,concept,PVDF概念
2022-01-18,829.95,821.1,832.34,817.92,1241757.0,2241478384.0,1.74,-1.01,-8.4,0.8,BK1012,concept,PVDF概念
2022-01-19,820.18,813.22,825.4,806.67,1432468.0,2556998960.0,2.28,-0.96,-7.88,0.93,BK1012,concept,PVDF概念
2022-01-20,812.79,779.77,812.93,778.93,2132370.0,3182985792.0,4.18,-4.11,-33.45,1.38,BK1012,concept,PVDF概念
2022-01-21,780.46,778.27,786.52,773.59,1419836.0,2231426160.0,1.66,-0.19,-1.5,0.92,BK1012,concept,PVDF概念
2022-01-24,775.06,786.87,791.82,769.67,1571452.0,2524544032.0,2.85,1.11,8.6,1.02,BK1012,concept,PVDF概念
