日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-08-21,988.63,974.48,990.33,966.2,3439149.0,3890355264.0,2.41,-2.55,-25.52,4.35,BK1147,concept,SPD概念
2023-08-22,966.53,949.74,971.17,932.4,3203974.0,3504841532.0,3.98,-2.54,-24.74,4.06,BK1147,concept,SPD概念
2023-08-23,944.7,948.38,980.92,939.17,3237808.0,3730343857.0,4.4,-0.14,-1.36,4.1,BK1147,concept,SPD概念
2023-08-24,932.79,924.0,943.41,916.22,2906389.0,3072429619.0,2.87,-2.57,-24.38,3.68,BK1147,concept,SPD概念
2023-08-25,914.68,915.62,929.85,902.45,2756632.0,2934354501.0,2.97,-0.91,-8.38,3.49,BK1147,concept,SPD概念
2023-08-28,957.01,912.64,959.87,908.78,3050363.0,3057821937.0,5.58,-0.33,-2.98,3.86,BK1147,concept,SPD概念
2023-08-29,905.58,948.12,948.12,904.48,2601701.0,2678160906.0,4.78,3.89,35.48,3.29,BK1147,concept,SPD概念
2023-08-30,944.02,955.67,970.81,943.85,2711157.0,3142138704.0,2.84,0.8,7.55,3.43,BK1147,concept,SPD概念
2023-08-31,953.25,983.18,994.29,942.15,3422275.0,4038304608.0,5.46,2.88,27.51,4.33,BK1147,concept,SPD概念
2023-09-01,968.57,954.58,969.12,949.82,2333181.0,2788441269.0,1.96,-2.91,-28.6,2.95,BK1147,concept,SPD概念
2023-09-04,951.84,964.01,964.16,949.87,2213084.0,2416686783.0,1.5,0.99,9.43,2.8,BK1147,concept,SPD概念
2023-09-05,959.73,944.34,961.21,940.64,1841992.0,2015587523.0,2.13,-2.04,-19.67,2.33,BK1147,concept,SPD概念
2023-09-06,940.14,938.03,941.31,932.45,1785671.0,1992108886.0,0.94,-0.67,-6.31,2.26,BK1147,concept,SPD概念
2023-09-07,938.04,916.13,938.23,916.13,1778297.0,1863981607.0,2.36,-2.33,-21.9,2.25,BK1147,concept,SPD概念
2023-09-08,914.5,909.35,919.22,905.78,1204972.0,1289129390.0,1.47,-0.74,-6.78,1.53,BK1147,concept,SPD概念
2023-09-11,908.38,932.58,935.47,908.38,2214265.0,2026698458.0,2.98,2.55,23.23,2.8,BK1147,concept,SPD概念
2023-09-12,929.21,936.35,946.3,928.81,1997806.0,1796400582.0,1.88,0.4,3.77,2.53,BK1147,concept,SPD概念
2023-09-13,934.13,926.57,939.97,917.72,1698238.0,1624200067.0,2.38,-1.04,-9.78,2.15,BK1147,concept,SPD概念
2023-09-14,923.05,930.04,938.45,918.47,1589017.0,1715016714.0,2.16,0.37,3.47,2.01,BK1147,concept,SPD概念
2023-09-15,924.56,931.51,937.52,917.2,1744920.0,1635975010.0,2.18,0.16,1.47,2.21,BK1147,concept,SPD概念
2023-09-18,931.59,952.39,954.36,926.24,2274868.0,2500751413.0,3.02,2.24,20.88,2.88,BK1147,concept,SPD概念
2023-09-19,950.31,949.85,963.8,945.16,2214072.0,2501273585.0,1.96,-0.27,-2.54,2.8,BK1147,concept,SPD概念
2023-09-20,940.05,939.29,951.18,933.71,1607593.0,1633999160.0,1.84,-1.11,-10.56,2.03,BK1147,concept,SPD概念
2023-09-21,936.61,922.12,937.48,918.95,1573480.0,1677003773.0,1.97,-1.83,-17.17,1.99,BK1147,concept,SPD概念
2023-09-22,922.01,935.36,935.56,913.86,1474865.0,1469001147.0,2.35,1.44,13.24,1.87,BK1147,concept,SPD概念
2023-09-25,934.06,940.03,949.28,933.04,1735613.0,1673371403.0,1.74,0.5,4.67,2.2,BK1147,concept,SPD概念
2023-09-26,939.09,923.55,939.92,922.81,1244200.0,1269905873.0,1.82,-1.75,-16.48,1.57,BK1147,concept,SPD概念
2023-09-27,924.78,944.68,949.93,924.31,2248211.0,2266156065.0,2.77,2.29,21.13,2.85,BK1147,concept,SPD概念
2023-09-28,949.51,938.19,952.75,937.05,1640129.0,1714519812.0,1.66,-0.69,-6.49,2.08,BK1147,concept,SPD概念
2023-10-09,936.81,930.1,941.87,923.98,1401074.0,1347539229.0,1.91,-0.86,-8.09,1.77,BK1147,concept,SPD概念
2023-10-10,932.89,922.16,932.89,911.39,1944738.0,2038591312.0,2.31,-0.85,-7.94,2.46,BK1147,concept,SPD概念
2023-10-11,929.58,948.17,958.29,929.58,2000704.0,1963296917.0,3.11,2.82,26.01,2.53,BK1147,concept,SPD概念
2023-10-12,956.68,958.76,968.09,948.49,2742063.0,3614180995.0,2.07,1.12,10.59,3.47,BK1147,concept,SPD概念
2023-10-13,955.97,965.98,978.24,953.91,3101224.0,4220146268.0,2.54,0.75,7.22,3.93,BK1147,concept,SPD概念
2023-10-16,967.32,947.26,976.71,941.68,2593897.0,3227884960.0,3.63,-1.94,-18.72,3.28,BK1147,concept,SPD概念
2023-10-17,947.36,943.5,950.13,931.99,2091204.0,2452131838.0,1.91,-0.4,-3.76,2.65,BK1147,concept,SPD概念
2023-10-18,939.57,913.93,939.57,911.19,1796201.0,1986780364.0,3.01,-3.13,-29.57,2.27,BK1147,concept,SPD概念
2023-10-19,907.39,889.3,908.0,888.52,1837245.0,2022107627.0,2.13,-2.69,-24.63,2.33,BK1147,concept,SPD概念
2023-10-20,887.29,878.82,897.47,877.89,1508144.0,1574239313.0,2.2,-1.18,-10.48,1.91,BK1147,concept,SPD概念
2023-10-23,876.17,856.23,876.28,852.31,1450297.0,1369724119.0,2.73,-2.57,-22.59,1.84,BK1147,concept,SPD概念
2023-10-24,860.28,879.93,887.63,856.16,1572331.0,1558277447.0,3.68,2.77,23.7,1.99,BK1147,concept,SPD概念
2023-10-25,880.12,882.91,892.44,878.06,1602305.0,1572793495.0,1.63,0.34,2.98,2.03,BK1147,concept,SPD概念
2023-10-26,878.94,883.21,883.79,866.7,1796543.0,1985213918.0,1.94,0.03,0.3,2.27,BK1147,concept,SPD概念
2023-10-27,876.32,906.24,908.98,870.59,2829683.0,2684151692.0,4.35,2.61,23.03,3.58,BK1147,concept,SPD概念
2023-10-30,910.33,928.03,930.65,907.78,2210938.0,2105958169.0,2.52,2.4,21.79,2.8,BK1147,concept,SPD概念
2023-10-31,931.42,930.02,945.0,923.54,2971466.0,4310985544.0,2.31,0.21,1.99,3.76,BK1147,concept,SPD概念
2023-11-01,931.62,940.15,943.98,927.92,2488252.0,3257765326.0,1.73,1.09,10.13,3.15,BK1147,concept,SPD概念
2023-11-02,938.18,932.0,942.35,931.34,2134305.0,2884630830.0,1.17,-0.87,-8.15,2.7,BK1147,concept,SPD概念
2023-11-03,932.31,940.49,945.39,930.42,2037985.0,2699829954.0,1.61,0.91,8.49,2.58,BK1147,concept,SPD概念
2023-11-06,945.92,961.44,963.81,945.92,2232017.0,3116055307.0,1.9,2.23,20.95,2.82,BK1147,concept,SPD概念
2023-11-07,961.1,956.08,961.1,951.38,1998129.0,2623931047.0,1.01,-0.56,-5.36,2.53,BK1147,concept,SPD概念
2023-11-08,953.89,968.52,969.07,953.46,2409441.0,3290342816.0,1.63,1.3,12.44,3.05,BK1147,concept,SPD概念
2023-11-09,966.59,969.17,983.79,966.57,2075423.0,2826858186.0,1.78,0.07,0.65,2.63,BK1147,concept,SPD概念
2023-11-10,971.93,984.97,998.7,967.29,2897059.0,4623399605.0,3.24,1.63,15.8,3.67,BK1147,concept,SPD概念
2023-11-13,992.8,992.22,998.59,985.92,2680932.0,4360346811.0,1.29,0.74,7.25,3.39,BK1147,concept,SPD概念
2023-11-14,996.71,1002.69,1010.95,993.68,2969919.0,4411782820.0,1.74,1.06,10.47,3.76,BK1147,concept,SPD概念
2023-11-15,1004.56,998.24,1008.53,993.93,2826486.0,4422633426.0,1.46,-0.44,-4.45,3.58,BK1147,concept,SPD概念
2023-11-16,995.67,982.54,998.65,981.74,1931535.0,2774753744.0,1.69,-1.57,-15.7,2.44,BK1147,concept,SPD概念
2023-11-17,984.03,994.34,994.94,981.69,2283260.0,3218489724.0,1.35,1.2,11.8,2.89,BK1147,concept,SPD概念
2023-11-20,999.95,1011.37,1012.1,999.65,2357733.0,3211209495.0,1.25,1.71,17.03,2.98,BK1147,concept,SPD概念
2023-11-21,1012.53,1008.16,1020.39,1001.39,2306184.0,3305947758.0,1.88,-0.32,-3.21,2.92,BK1147,concept,SPD概念
2023-11-22,1007.21,1007.12,1024.2,1006.8,2477905.0,3671170200.0,1.73,-0.1,-1.04,3.14,BK1147,concept,SPD概念
2023-11-23,1008.87,1018.37,1018.37,1006.2,2637389.0,3477063211.0,1.21,1.12,11.25,3.34,BK1147,concept,SPD概念
2023-11-24,1018.38,1026.61,1036.96,1016.85,4087590.0,4500498384.0,1.97,0.81,8.24,5.17,BK1147,concept,SPD概念
2023-11-27,1028.2,1003.28,1028.83,1001.12,3812449.0,4592875743.0,2.7,-2.27,-23.33,4.83,BK1147,concept,SPD概念
2023-11-28,1001.05,1009.71,1011.17,989.25,2534168.0,2839565345.0,2.18,0.64,6.43,3.21,BK1147,concept,SPD概念
2023-11-29,1007.15,986.56,1010.16,984.8,2307883.0,2313324607.0,2.51,-2.29,-23.15,2.92,BK1147,concept,SPD概念
2023-11-30,986.84,987.43,992.27,977.64,2408775.0,2473366610.0,1.48,0.09,0.87,3.05,BK1147,concept,SPD概念
2023-12-01,986.05,1000.75,1002.49,984.51,2303595.0,2997479080.0,1.82,1.35,13.32,2.92,BK1147,concept,SPD概念
2023-12-04,1002.79,997.96,1010.42,997.96,2287690.0,3039503524.0,1.25,-0.28,-2.79,2.9,BK1147,concept,SPD概念
2023-12-05,993.77,977.89,997.15,977.89,1972694.0,2458094393.0,1.93,-2.01,-20.07,2.5,BK1147,concept,SPD概念
2023-12-06,973.66,976.38,986.08,969.05,1549164.0,1735734128.0,1.74,-0.15,-1.51,1.96,BK1147,concept,SPD概念
2023-12-07,974.44,976.5,981.86,969.56,1834797.0,2513602927.0,1.26,0.01,0.12,2.32,BK1147,concept,SPD概念
2023-12-08,977.57,966.0,979.61,965.28,1743298.0,2500197486.0,1.47,-1.08,-10.5,2.21,BK1147,concept,SPD概念
2023-12-11,961.86,971.75,973.42,954.29,1618497.0,2055540177.0,1.98,0.6,5.75,2.05,BK1147,concept,SPD概念
2023-12-12,972.73,974.07,979.39,969.38,1398990.0,1979397345.0,1.03,0.24,2.32,1.77,BK1147,concept,SPD概念
2023-12-13,974.68,990.4,1004.05,973.34,2847739.0,2601347128.0,3.15,1.68,16.33,3.6,BK1147,concept,SPD概念
