日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-09-17,1022.61,1003.21,1024.96,991.09,2345514.0,2894690896.0,3.39,0.32,3.21,0.48,BK0880,concept,UWB概念
2019-09-18,1010.73,964.48,1014.72,962.31,2634974.0,2881050288.0,5.22,-3.86,-38.73,0.54,BK0880,concept,UWB概念
2019-09-19,960.31,971.03,971.96,952.21,8621775.0,6527670784.0,2.05,0.68,6.55,1.76,BK0880,concept,UWB概念
2019-09-20,977.26,966.37,981.65,964.94,8328816.0,6551510016.0,1.72,-0.48,-4.66,1.7,BK0880,concept,UWB概念
2019-09-23,964.23,971.09,971.15,953.25,7329021.0,6262898688.0,1.85,0.49,4.72,1.5,BK0880,concept,UWB概念
2019-09-24,971.94,968.74,982.61,966.02,7489410.0,6648631552.0,1.71,-0.24,-2.35,1.53,BK0880,concept,UWB概念
2019-09-25,962.21,934.64,962.25,932.67,10781684.0,7778365440.0,3.05,-3.52,-34.1,2.2,BK0880,concept,UWB概念
2019-09-26,936.7,897.17,940.32,896.84,7235564.0,5823915264.0,4.65,-4.01,-37.47,1.48,BK0880,concept,UWB概念
2019-09-27,898.12,907.14,914.61,894.37,4913782.0,4150261456.0,2.26,1.11,9.97,1.0,BK0880,concept,UWB概念
2019-09-30,908.7,895.07,913.65,895.07,4550997.0,3847141312.0,2.05,-1.33,-12.07,0.93,BK0880,concept,UWB概念
2019-10-08,896.81,890.37,903.82,888.62,4643447.0,3677622016.0,1.7,-0.53,-4.7,0.95,BK0880,concept,UWB概念
2019-10-09,886.3,905.81,905.81,876.11,4661131.0,3832054880.0,3.34,1.73,15.44,0.95,BK0880,concept,UWB概念
2019-10-10,906.33,925.37,925.37,905.83,5020479.0,4771621632.0,2.16,2.16,19.56,1.03,BK0880,concept,UWB概念
2019-10-11,925.91,919.79,928.18,912.72,4764589.0,4251191136.0,1.67,-0.6,-5.58,0.97,BK0880,concept,UWB概念
2019-10-14,935.08,945.77,948.11,933.59,6237829.0,4961100544.0,1.58,2.82,25.98,1.28,BK0880,concept,UWB概念
2019-10-15,937.14,921.84,937.8,919.83,4778060.0,4071310576.0,1.9,-2.53,-23.93,0.98,BK0880,concept,UWB概念
2019-10-16,916.9,922.53,928.63,914.59,4735502.0,4990504704.0,1.52,0.07,0.69,0.97,BK0880,concept,UWB概念
2019-10-17,920.42,923.54,932.95,919.49,4386948.0,3991988592.0,1.46,0.11,1.01,0.9,BK0880,concept,UWB概念
2019-10-18,924.84,906.26,928.08,903.37,6027705.0,4751319040.0,2.68,-1.87,-17.28,1.23,BK0880,concept,UWB概念
2019-10-21,905.76,907.85,909.05,887.94,4682747.0,3584460688.0,2.33,0.18,1.59,0.96,BK0880,concept,UWB概念
2019-10-22,906.02,925.65,926.23,906.02,4690591.0,4023983056.0,2.23,1.96,17.8,0.96,BK0880,concept,UWB概念
