日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-10-17,996.5,992.95,998.94,987.75,3947009.0,4739614720.0,1.12,-0.71,-7.05,2.77,BK0885,concept,VPN
2019-10-18,995.16,990.03,1004.03,986.89,3867603.0,4744479744.0,1.73,-0.29,-2.92,2.72,BK0885,concept,VPN
2019-10-21,992.06,981.75,995.01,973.11,3193370.0,4209368224.0,2.21,-0.84,-8.28,2.24,BK0885,concept,VPN
2019-10-22,981.13,1013.66,1013.88,981.13,4478765.0,5528421888.0,3.34,3.25,31.91,3.15,BK0885,concept,VPN
2019-10-23,1014.97,1010.13,1016.34,1005.2,4473783.0,5819252736.0,1.1,-0.35,-3.53,3.14,BK0885,concept,VPN
2019-10-24,1006.36,996.7,1006.36,988.54,3789316.0,4834475264.0,1.76,-1.33,-13.43,2.66,BK0885,concept,VPN
2019-10-25,997.66,995.56,999.82,984.49,3120485.0,4440670720.0,1.54,-0.11,-1.14,2.19,BK0885,concept,VPN
2019-10-28,1039.69,1042.84,1045.44,1025.21,7264528.0,8688771328.0,2.03,4.75,47.28,5.1,BK0885,concept,VPN
2019-10-29,1039.98,1019.44,1044.42,1019.44,7233178.0,8865395200.0,2.4,-2.24,-23.4,5.08,BK0885,concept,VPN
2019-10-30,1004.3,989.45,1004.3,985.58,4890618.0,5330077952.0,1.84,-2.94,-29.99,3.43,BK0885,concept,VPN
2019-10-31,988.49,969.53,994.97,968.48,3761296.0,4169227136.0,2.68,-2.01,-19.92,2.64,BK0885,concept,VPN
2019-11-01,966.23,978.1,980.56,962.13,3269381.0,3499336896.0,1.9,0.88,8.57,2.3,BK0885,concept,VPN
2019-11-04,981.29,979.98,993.54,979.14,3335903.0,4092085600.0,1.47,0.19,1.88,2.34,BK0885,concept,VPN
2019-11-05,978.69,974.57,979.64,966.08,2756321.0,3666220000.0,1.38,-0.55,-5.41,1.94,BK0885,concept,VPN
2019-11-06,973.74,955.45,973.99,951.66,2955199.0,3521996400.0,2.29,-1.96,-19.12,2.08,BK0885,concept,VPN
2019-11-07,957.39,966.6,969.61,955.69,2567483.0,3060413792.0,1.46,1.17,11.15,1.8,BK0885,concept,VPN
2019-11-08,972.85,966.18,977.32,964.88,2695238.0,3528147776.0,1.29,-0.04,-0.42,1.89,BK0885,concept,VPN
2019-11-11,960.1,937.06,960.1,935.35,2853870.0,3598320672.0,2.56,-3.01,-29.12,2.0,BK0885,concept,VPN
2019-11-12,940.31,944.83,944.83,927.77,2256026.0,2704912480.0,1.82,0.83,7.77,1.58,BK0885,concept,VPN
2019-11-13,943.32,945.98,946.9,939.19,2519628.0,2951699952.0,0.82,0.12,1.15,1.77,BK0885,concept,VPN
2019-11-14,942.55,961.43,966.13,942.03,3225142.0,4024550016.0,2.55,1.63,15.45,2.27,BK0885,concept,VPN
2019-11-15,965.58,974.21,985.88,965.51,3950225.0,4778523648.0,2.12,1.33,12.78,2.77,BK0885,concept,VPN
2019-11-18,973.23,981.03,981.03,963.63,3727538.0,4569952768.0,1.79,0.7,6.82,2.62,BK0885,concept,VPN
2019-11-19,985.41,1013.23,1013.23,984.94,4341827.0,5366776064.0,2.88,3.28,32.2,3.05,BK0885,concept,VPN
2019-11-20,1016.56,1005.75,1023.6,1003.64,5250630.0,6466412544.0,1.97,-0.74,-7.48,3.69,BK0885,concept,VPN
