日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-02-19,993.85,989.63,1015.66,987.24,8282610.0,16466693632.0,2.84,-1.04,-10.37,1.88,BK0915,concept,WiFi
2020-02-20,988.57,1009.61,1010.35,973.09,7180345.0,13983725824.0,3.77,2.02,19.98,1.63,BK0915,concept,WiFi
2020-02-21,1011.74,1037.63,1041.34,1010.28,8524678.0,17855982080.0,3.08,2.78,28.02,1.93,BK0915,concept,WiFi
2020-02-24,1038.65,1076.19,1086.53,1028.45,9623320.0,18831005696.0,5.6,3.72,38.56,2.18,BK0915,concept,WiFi
2020-02-25,1041.86,1083.46,1092.32,1005.53,9675815.0,20601543168.0,8.06,0.68,7.27,2.19,BK0915,concept,WiFi
2020-02-26,1053.14,1024.58,1072.5,1018.76,9853524.0,17543638016.0,4.96,-5.43,-58.88,2.23,BK0915,concept,WiFi
2020-02-27,1028.99,1026.06,1047.87,999.75,6757860.0,13571803136.0,4.7,0.14,1.48,1.53,BK0915,concept,WiFi
2020-02-28,971.54,939.44,989.59,939.44,6895263.0,13207781632.0,4.89,-8.44,-86.62,1.56,BK0915,concept,WiFi
2020-03-02,958.5,996.57,1006.1,951.58,6184682.0,13208449792.0,5.8,6.08,57.13,1.4,BK0915,concept,WiFi
2020-03-03,1024.12,1005.18,1048.63,993.4,7163923.0,13928640000.0,5.54,0.86,8.61,1.62,BK0915,concept,WiFi
2020-03-04,996.03,1003.87,1015.45,975.95,5068414.0,10959225088.0,3.93,-0.13,-1.31,1.15,BK0915,concept,WiFi
2020-03-05,1032.29,1013.33,1038.03,1000.2,7902053.0,13947014144.0,3.77,0.94,9.46,1.79,BK0915,concept,WiFi
2020-03-06,995.06,1009.49,1017.23,993.63,5320015.0,8984219392.0,2.33,-0.38,-3.84,1.2,BK0915,concept,WiFi
2020-03-09,984.47,965.74,1009.98,964.7,6272224.0,10965158144.0,4.49,-4.33,-43.75,1.42,BK0915,concept,WiFi
2020-03-10,953.71,1027.26,1027.26,947.66,7497422.0,13317110784.0,8.24,6.37,61.52,1.7,BK0915,concept,WiFi
2020-03-11,1033.33,990.19,1041.9,989.38,6939426.0,12195632640.0,5.11,-3.61,-37.07,1.57,BK0915,concept,WiFi
2020-03-12,966.63,982.25,992.96,963.98,5628472.0,9548846080.0,2.93,-0.8,-7.94,1.27,BK0915,concept,WiFi
2020-03-13,928.74,986.51,999.1,928.74,6319289.0,11178327808.0,7.16,0.43,4.26,1.43,BK0915,concept,WiFi
2020-03-16,992.01,911.13,992.01,908.69,6144227.0,11964674304.0,8.45,-7.64,-75.38,1.39,BK0915,concept,WiFi
2020-03-17,929.11,915.76,936.09,882.1,5387582.0,10061235968.0,5.93,0.51,4.63,1.22,BK0915,concept,WiFi
2020-03-18,924.58,888.09,942.76,888.09,5313408.0,10705616640.0,5.97,-3.02,-27.67,1.2,BK0915,concept,WiFi
2020-03-19,889.85,914.12,921.86,878.62,5057096.0,9573474048.0,4.87,2.93,26.03,1.15,BK0915,concept,WiFi
2020-03-20,926.12,917.82,928.26,902.92,4676686.0,8085350144.0,2.77,0.4,3.7,1.06,BK0915,concept,WiFi
2020-03-23,887.1,872.14,908.4,867.94,4095719.0,7809835008.0,4.41,-4.98,-45.68,0.93,BK0915,concept,WiFi
2020-03-24,893.65,882.66,895.64,846.62,4967987.0,8273580800.0,5.62,1.21,10.52,1.12,BK0915,concept,WiFi
2020-03-25,904.85,903.48,908.31,894.46,4762548.0,8942282752.0,1.57,2.36,20.82,1.08,BK0915,concept,WiFi
2020-03-26,895.66,884.28,902.26,883.2,3298618.0,6274927104.0,2.11,-2.13,-19.2,0.75,BK0915,concept,WiFi
2020-03-27,898.45,873.77,899.96,873.03,3240024.0,6064254208.0,3.05,-1.19,-10.51,0.73,BK0915,concept,WiFi
2020-03-30,851.07,836.11,852.1,820.65,3736348.0,6649426688.0,3.6,-4.31,-37.66,0.85,BK0915,concept,WiFi
2020-03-31,848.4,824.93,854.26,824.41,2860565.0,5016030208.0,3.57,-1.34,-11.18,0.65,BK0915,concept,WiFi
2020-04-01,821.78,826.25,846.11,817.14,3091542.0,6023635712.0,3.51,0.16,1.32,0.7,BK0915,concept,WiFi
2020-04-02,823.38,866.84,866.84,823.3,3555535.0,7665670912.0,5.27,4.91,40.59,0.81,BK0915,concept,WiFi
2020-04-03,861.41,853.13,866.22,848.22,3279058.0,6681597952.0,2.08,-1.58,-13.71,0.74,BK0915,concept,WiFi
2020-04-07,876.68,878.26,881.1,871.41,4437106.0,7494067712.0,1.14,2.95,25.13,1.0,BK0915,concept,WiFi
2020-04-08,875.33,888.95,894.44,873.14,3917973.0,7696989696.0,2.43,1.22,10.69,0.89,BK0915,concept,WiFi
2020-04-09,898.43,900.73,909.4,897.05,6086484.0,8432252928.0,1.39,1.33,11.78,1.38,BK0915,concept,WiFi
2020-04-10,897.58,861.96,897.58,857.34,4286756.0,7167780096.0,4.47,-4.3,-38.77,0.97,BK0915,concept,WiFi
2020-04-13,848.59,834.2,848.98,831.18,2576229.0,4727452416.0,2.07,-3.22,-27.76,0.58,BK0915,concept,WiFi
2020-04-14,841.94,859.85,859.85,840.67,2824508.0,5094017024.0,2.3,3.07,25.65,0.64,BK0915,concept,WiFi
2020-04-15,859.63,855.39,870.46,854.4,3157179.0,5829964032.0,1.87,-0.52,-4.46,0.71,BK0915,concept,WiFi
2020-04-16,849.15,858.75,862.74,843.12,2351742.0,4194424640.0,2.29,0.39,3.36,0.53,BK0915,concept,WiFi
2020-04-17,865.0,868.3,879.77,864.61,3639015.0,7272203264.0,1.77,1.11,9.55,0.82,BK0915,concept,WiFi
2020-04-20,868.1,881.31,881.55,867.31,2865949.0,5560356608.0,1.64,1.5,13.01,0.65,BK0915,concept,WiFi
2020-04-21,876.27,876.82,881.44,865.99,2605289.0,5393368064.0,1.75,-0.51,-4.49,0.59,BK0915,concept,WiFi
2020-04-22,867.42,879.53,879.53,865.1,2244930.0,4224887760.0,1.65,0.31,2.71,0.51,BK0915,concept,WiFi
