日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-12-16,993.3,988.83,996.64,979.99,7785250.0,7593920256.0,1.67,-1.12,-11.17,0.05,BK0712,concept,一带一路
2014-12-17,988.28,989.15,1007.64,975.33,8114443.0,7584428032.0,3.27,0.03,0.32,0.05,BK0712,concept,一带一路
2014-12-18,982.08,997.23,1004.5,976.95,6553363.0,5962656512.0,2.79,0.82,8.08,0.04,BK0712,concept,一带一路
2014-12-19,995.88,1053.68,1054.45,993.69,10983924.0,9714132736.0,6.09,5.66,56.45,0.07,BK0712,concept,一带一路
2014-12-22,1062.78,1018.31,1068.52,999.24,12420966.0,11143178752.0,6.58,-3.36,-35.37,0.08,BK0712,concept,一带一路
2014-12-23,999.48,960.87,1006.26,959.25,6811579.0,6094626560.0,4.62,-5.64,-57.44,0.04,BK0712,concept,一带一路
2014-12-24,961.45,954.66,975.45,944.15,5353055.0,4739924224.0,3.26,-0.65,-6.21,0.03,BK0712,concept,一带一路
2014-12-25,959.16,991.02,993.89,953.86,6177008.0,5722569984.0,4.19,3.81,36.36,0.04,BK0712,concept,一带一路
2014-12-26,987.63,1010.84,1020.48,979.55,8322093.0,7788053504.0,4.13,2.0,19.82,0.05,BK0712,concept,一带一路
2014-12-29,1019.64,1012.8,1031.46,1001.23,9436372.0,9040877824.0,2.99,0.19,1.96,0.06,BK0712,concept,一带一路
2014-12-30,1005.42,981.52,1011.2,977.92,7746083.0,7417636864.0,3.29,-3.09,-31.28,0.05,BK0712,concept,一带一路
2014-12-31,981.77,989.42,995.7,974.79,5595837.0,5262684160.0,2.13,0.8,7.9,0.04,BK0712,concept,一带一路
2015-01-05,996.47,1018.76,1023.45,994.15,9211953.0,8605063680.0,2.96,2.97,29.34,0.06,BK0712,concept,一带一路
2015-01-06,1012.37,1022.27,1052.94,1003.09,8146600.0,7603604736.0,4.89,0.34,3.51,0.05,BK0712,concept,一带一路
2015-01-07,1016.56,1018.85,1030.79,1008.28,5896993.0,5454958080.0,2.2,-0.33,-3.42,0.04,BK0712,concept,一带一路
2015-01-08,1020.79,1019.54,1041.08,1015.58,6836470.0,6124725760.0,2.5,0.07,0.69,0.04,BK0712,concept,一带一路
2015-01-09,1017.28,1004.42,1031.71,1002.29,6124154.0,5429096960.0,2.89,-1.48,-15.12,0.04,BK0712,concept,一带一路
2015-01-12,999.7,977.03,999.7,965.62,6003768.0,5395341056.0,3.39,-2.73,-27.39,0.04,BK0712,concept,一带一路
2015-01-13,977.95,984.26,995.37,976.87,5843103.0,5626230784.0,1.89,0.74,7.23,0.04,BK0712,concept,一带一路
2015-01-14,982.03,966.37,984.76,957.01,4320445.0,3983389520.0,2.82,-1.82,-17.89,0.03,BK0712,concept,一带一路
2015-01-15,966.15,984.13,984.14,963.4,3900452.0,3575007552.0,2.15,1.84,17.76,0.02,BK0712,concept,一带一路
2015-01-16,989.86,988.57,990.58,981.61,5105933.0,4838141184.0,0.91,0.45,4.44,0.03,BK0712,concept,一带一路
2015-01-19,951.69,918.26,967.31,905.36,6976954.0,6339574784.0,6.27,-7.11,-70.31,0.04,BK0712,concept,一带一路
2015-01-20,926.59,953.34,955.29,926.11,6198738.0,5942094080.0,3.18,3.82,35.08,0.04,BK0712,concept,一带一路
2015-01-21,955.71,976.55,977.45,949.04,6524771.0,6344881920.0,2.98,2.43,23.21,0.04,BK0712,concept,一带一路
2015-01-22,976.43,981.59,984.32,969.95,5825842.0,5587596288.0,1.47,0.52,5.04,0.04,BK0712,concept,一带一路
2015-01-23,981.91,984.55,995.01,976.96,7078793.0,6755638528.0,1.84,0.3,2.96,0.04,BK0712,concept,一带一路
2015-01-26,982.3,1027.52,1030.58,976.73,6219290.0,5725048320.0,5.47,4.36,42.97,0.04,BK0712,concept,一带一路
2015-01-27,1017.53,1020.78,1027.53,1001.92,7324152.0,6979598592.0,2.49,-0.66,-6.74,0.05,BK0712,concept,一带一路
2015-01-28,1018.08,1029.23,1046.77,1009.72,7850298.0,7918445312.0,3.63,0.83,8.45,0.05,BK0712,concept,一带一路
2015-01-29,1011.73,1013.42,1023.33,999.62,5292520.0,5178174976.0,2.3,-1.54,-15.81,0.03,BK0712,concept,一带一路
2015-01-30,1021.12,1000.26,1023.89,996.24,4446331.0,4381689600.0,2.73,-1.3,-13.16,0.03,BK0712,concept,一带一路
2015-02-02,991.21,981.47,991.21,978.96,3991908.0,3744181792.0,1.22,-1.88,-18.79,0.03,BK0712,concept,一带一路
2015-02-03,991.55,992.37,995.76,982.04,3882323.0,3715590464.0,1.4,1.11,10.9,0.02,BK0712,concept,一带一路
2015-02-04,997.78,1011.89,1033.56,992.8,4435232.0,4147416192.0,4.11,1.97,19.52,0.03,BK0712,concept,一带一路
2015-02-05,1017.21,984.32,1024.0,983.41,4949401.0,4850164224.0,4.01,-2.72,-27.57,0.03,BK0712,concept,一带一路
2015-02-06,979.54,967.98,990.06,958.97,3524056.0,3373916240.0,3.16,-1.66,-16.34,0.02,BK0712,concept,一带一路
2015-02-09,970.79,964.02,976.88,960.78,2288171.0,2134964896.0,1.66,-0.41,-3.96,0.01,BK0712,concept,一带一路
2015-02-10,972.91,975.37,977.04,964.25,2315685.0,2220941408.0,1.33,1.18,11.35,0.01,BK0712,concept,一带一路
2015-02-11,977.4,977.77,981.63,974.67,2254409.0,2229293232.0,0.71,0.25,2.4,0.01,BK0712,concept,一带一路
2015-02-12,978.86,987.96,991.31,972.93,2759462.0,2678197328.0,1.88,1.04,10.19,0.02,BK0712,concept,一带一路
2015-02-13,991.6,993.21,1003.74,990.17,3543951.0,3449762688.0,1.37,0.53,5.25,0.02,BK0712,concept,一带一路
2015-02-16,993.2,1003.09,1009.48,992.35,3319991.0,3286211040.0,1.72,0.99,9.88,0.02,BK0712,concept,一带一路
2015-02-17,1004.94,1011.16,1013.14,1004.94,3488343.0,3517399232.0,0.82,0.8,8.07,0.02,BK0712,concept,一带一路
2015-02-25,1015.93,1009.08,1018.03,1005.19,4240855.0,4415424256.0,1.27,-0.21,-2.08,0.03,BK0712,concept,一带一路
2015-02-26,1011.06,1032.32,1037.48,1009.13,5472004.0,5381105664.0,2.81,2.3,23.24,0.03,BK0712,concept,一带一路
2015-02-27,1032.75,1032.9,1038.47,1026.84,4787624.0,4763462912.0,1.13,0.06,0.58,0.03,BK0712,concept,一带一路
2015-03-02,1045.8,1042.07,1048.6,1033.79,6204614.0,6305682688.0,1.43,0.89,9.17,0.04,BK0712,concept,一带一路
2015-03-03,1039.08,1027.8,1051.65,1024.78,6844740.0,6930890240.0,2.58,-1.37,-14.27,0.04,BK0712,concept,一带一路
2015-03-04,1025.97,1036.44,1036.64,1023.25,6048966.0,6111103488.0,1.3,0.84,8.64,0.04,BK0712,concept,一带一路
2015-03-05,1032.08,1028.14,1034.31,1017.67,6005140.0,6206146560.0,1.61,-0.8,-8.3,0.04,BK0712,concept,一带一路
2015-03-06,1024.11,1022.59,1033.97,1019.39,5837725.0,6175144704.0,1.42,-0.54,-5.55,0.04,BK0712,concept,一带一路
2015-03-09,1016.75,1035.84,1036.65,1010.79,5522143.0,5648137216.0,2.53,1.3,13.25,0.03,BK0712,concept,一带一路
2015-03-10,1038.8,1050.49,1057.19,1037.0,5849605.0,6067236352.0,1.95,1.41,14.65,0.04,BK0712,concept,一带一路
2015-03-11,1051.4,1036.39,1054.07,1029.75,6073360.0,6463887104.0,2.32,-1.34,-14.1,0.04,BK0712,concept,一带一路
2015-03-12,1035.92,1048.24,1050.52,1028.04,5315796.0,5541220608.0,2.17,1.14,11.85,0.03,BK0712,concept,一带一路
2015-03-13,1047.66,1058.2,1063.05,1043.42,6315424.0,7278876416.0,1.87,0.95,9.96,0.04,BK0712,concept,一带一路
2015-03-16,1064.16,1093.14,1097.64,1057.63,9785425.0,10612629504.0,3.78,3.3,34.94,0.06,BK0712,concept,一带一路
2015-03-17,1103.36,1106.54,1122.79,1092.99,12415912.0,14227725312.0,2.73,1.23,13.4,0.08,BK0712,concept,一带一路
2015-03-18,1109.06,1124.84,1127.81,1101.19,11760936.0,12491256576.0,2.41,1.65,18.3,0.07,BK0712,concept,一带一路
2015-03-19,1123.39,1137.42,1149.4,1112.64,12835620.0,13439624704.0,3.27,1.12,12.58,0.08,BK0712,concept,一带一路
2015-03-20,1141.91,1132.77,1152.74,1125.84,49002179.0,53504731904.0,2.37,-0.41,-4.65,0.31,BK0712,concept,一带一路
2015-03-23,1133.94,1152.71,1155.18,1133.0,117284895.0,127249170432.0,1.96,1.76,19.94,0.74,BK0712,concept,一带一路
2015-03-24,1154.47,1152.63,1158.36,1120.38,138651057.0,149744070656.0,3.29,-0.01,-0.08,0.87,BK0712,concept,一带一路
2015-03-25,1150.28,1146.34,1159.63,1133.74,117963320.0,133829066752.0,2.25,-0.55,-6.29,0.74,BK0712,concept,一带一路
2015-03-26,1144.57,1180.76,1181.06,1138.46,135747064.0,152305160192.0,3.72,3.0,34.42,0.86,BK0712,concept,一带一路
2015-03-27,1186.39,1175.29,1187.23,1163.96,116270208.0,134348136448.0,1.97,-0.46,-5.47,0.73,BK0712,concept,一带一路
2015-03-30,1182.53,1220.14,1223.27,1182.53,152418982.0,170485747712.0,3.47,3.82,44.85,0.96,BK0712,concept,一带一路
2015-03-31,1232.85,1198.29,1234.7,1196.89,147959869.0,163501252608.0,3.1,-1.79,-21.85,0.93,BK0712,concept,一带一路
2015-04-01,1196.29,1212.03,1214.88,1192.47,101215980.0,118539587584.0,1.87,1.15,13.74,0.64,BK0712,concept,一带一路
2015-04-02,1217.44,1213.04,1220.44,1200.33,99337370.0,120512409600.0,1.66,0.08,1.01,0.63,BK0712,concept,一带一路
2015-04-03,1203.79,1210.05,1210.58,1198.02,90955732.0,109057392640.0,1.04,-0.25,-2.99,0.57,BK0712,concept,一带一路
2015-04-07,1223.7,1243.97,1244.46,1219.76,113106437.0,132196524032.0,2.04,2.8,33.92,0.71,BK0712,concept,一带一路
2015-04-08,1250.86,1265.47,1270.35,1235.39,135774080.0,163874582528.0,2.81,1.73,21.5,0.86,BK0712,concept,一带一路
2015-04-09,1262.46,1247.56,1266.81,1224.83,123037330.0,155487420416.0,3.32,-1.42,-17.91,0.78,BK0712,concept,一带一路
2015-04-10,1244.16,1261.14,1263.78,1236.72,93768645.0,114795610112.0,2.17,1.09,13.58,0.59,BK0712,concept,一带一路
2015-04-13,1266.17,1293.7,1296.0,1264.76,122836541.0,151832838144.0,2.48,2.58,32.56,0.77,BK0712,concept,一带一路
2015-04-14,1295.59,1317.84,1329.47,1286.51,154200566.0,199121993728.0,3.32,1.87,24.14,0.97,BK0712,concept,一带一路
2015-04-15,1323.01,1328.28,1363.19,1310.31,164129866.0,210680557568.0,4.01,0.79,10.44,1.03,BK0712,concept,一带一路
2015-04-16,1323.42,1373.08,1382.55,1316.41,142021757.0,183272615936.0,4.98,3.37,44.8,0.9,BK0712,concept,一带一路
2015-04-17,1399.99,1453.69,1467.54,1397.42,184891955.0,246846308352.0,5.11,5.87,80.61,1.17,BK0712,concept,一带一路
2015-04-20,1464.25,1468.48,1517.76,1446.17,262841915.0,396512006144.0,4.92,1.02,14.79,1.66,BK0712,concept,一带一路
2015-04-21,1467.13,1460.0,1476.79,1426.71,182345137.0,250843791360.0,3.41,-0.58,-8.48,1.15,BK0712,concept,一带一路
2015-04-22,1453.77,1490.35,1494.84,1446.34,163087969.0,245808152576.0,3.32,2.08,30.35,1.03,BK0712,concept,一带一路
2015-04-23,1496.06,1505.59,1521.61,1482.57,159446999.0,236629803008.0,2.62,1.02,15.24,1.01,BK0712,concept,一带一路
