日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-08-18,1001.52,1009.35,1009.65,1001.52,55671647.0,49145924608.0,0.81,0.94,9.35,0.87,BK0705,concept,上证380
2014-08-19,1010.67,1013.76,1013.83,1004.25,59469473.0,52055110144.0,0.95,0.44,4.41,0.93,BK0705,concept,上证380
2014-08-20,1012.83,1017.89,1021.7,1010.55,61079255.0,48296503552.0,1.1,0.41,4.13,0.95,BK0705,concept,上证380
2014-08-21,1016.98,1013.72,1016.98,1003.08,55893514.0,45666603008.0,1.37,-0.41,-4.17,0.87,BK0705,concept,上证380
2014-08-22,1013.27,1021.47,1022.31,1010.5,56695483.0,48680770304.0,1.17,0.76,7.75,0.88,BK0705,concept,上证380
2014-08-25,1021.66,1017.54,1024.66,1012.54,57096837.0,47337839360.0,1.19,-0.38,-3.93,0.89,BK0705,concept,上证380
2014-08-26,1015.11,998.53,1019.16,994.89,57322237.0,46645823488.0,2.39,-1.87,-19.01,0.89,BK0705,concept,上证380
2014-08-27,996.77,999.22,1002.59,996.46,41454610.0,35057904896.0,0.61,0.07,0.69,0.65,BK0705,concept,上证380
2014-08-28,1000.15,990.42,1002.06,988.31,40950264.0,34798701056.0,1.38,-0.88,-8.8,0.64,BK0705,concept,上证380
2014-08-29,989.94,998.77,998.77,986.88,31818261.0,28065940992.0,1.2,0.84,8.35,0.5,BK0705,concept,上证380
2014-09-01,999.38,1012.13,1012.32,999.38,44848873.0,39395397632.0,1.3,1.34,13.36,0.7,BK0705,concept,上证380
2014-09-02,1014.1,1029.66,1029.95,1013.8,68574554.0,59711705344.0,1.6,1.73,17.53,1.07,BK0705,concept,上证380
2014-09-03,1031.58,1038.32,1040.88,1031.58,73063759.0,61739285504.0,0.9,0.84,8.66,1.14,BK0705,concept,上证380
2014-09-04,1038.66,1049.35,1049.41,1035.86,71245975.0,61403967488.0,1.3,1.06,11.03,1.11,BK0705,concept,上证380
2014-09-05,1050.14,1059.74,1059.93,1046.72,75058708.0,60528260352.0,1.26,0.99,10.39,1.17,BK0705,concept,上证380
2014-09-09,1061.36,1069.59,1070.79,1058.53,70634112.0,59001305344.0,1.16,0.93,9.85,1.1,BK0705,concept,上证380
2014-09-10,1067.48,1074.76,1075.33,1062.57,70195162.0,56798123008.0,1.19,0.48,5.17,1.1,BK0705,concept,上证380
2014-09-11,1072.54,1071.1,1087.71,1066.33,76001006.0,63470650368.0,1.99,-0.34,-3.66,1.19,BK0705,concept,上证380
2014-09-12,1068.05,1089.38,1089.38,1065.0,72496829.0,55410221312.0,2.28,1.71,18.28,1.13,BK0705,concept,上证380
2014-09-15,1089.8,1103.18,1103.91,1087.48,80105206.0,63093317120.0,1.51,1.27,13.8,1.25,BK0705,concept,上证380
2014-09-16,1104.54,1083.15,1118.07,1082.83,104031900.0,79114354688.0,3.19,-1.82,-20.03,1.62,BK0705,concept,上证380
2014-09-17,1082.89,1095.66,1096.34,1073.57,77957059.0,54248079616.0,2.1,1.15,12.51,1.22,BK0705,concept,上证380
2014-09-18,1092.49,1101.36,1104.16,1089.55,68095780.0,50229297152.0,1.33,0.52,5.7,1.06,BK0705,concept,上证380
2014-09-19,1101.02,1110.72,1111.88,1098.03,64097390.0,49700103424.0,1.26,0.85,9.36,1.0,BK0705,concept,上证380
2014-09-22,1107.15,1093.05,1107.15,1089.55,64118764.0,51558157568.0,1.58,-1.59,-17.67,1.0,BK0705,concept,上证380
2014-09-23,1091.79,1106.95,1107.34,1091.77,59911421.0,49117120512.0,1.42,1.27,13.9,0.93,BK0705,concept,上证380
2014-09-24,1104.61,1127.27,1127.47,1101.48,78652936.0,62523939072.0,2.35,1.84,20.32,1.23,BK0705,concept,上证380
2014-09-25,1132.53,1135.28,1145.45,1130.85,84225467.0,66813539328.0,1.3,0.71,8.01,1.31,BK0705,concept,上证380
2014-09-26,1133.35,1143.87,1145.16,1131.34,70935552.0,56321842944.0,1.22,0.76,8.59,1.11,BK0705,concept,上证380
2014-09-29,1147.03,1154.61,1155.96,1146.05,71399542.0,59292021760.0,0.87,0.94,10.74,1.11,BK0705,concept,上证380
2014-09-30,1157.7,1158.1,1160.1,1152.7,67717138.0,57460360192.0,0.64,0.3,3.49,1.06,BK0705,concept,上证380
2014-10-08,1160.95,1174.79,1174.96,1155.85,72467658.0,63110467072.0,1.65,1.44,16.69,1.13,BK0705,concept,上证380
2014-10-09,1176.39,1187.53,1187.72,1169.92,88867195.0,74898038784.0,1.52,1.08,12.74,1.39,BK0705,concept,上证380
2014-10-10,1182.51,1180.51,1185.99,1172.66,77335296.0,66975106048.0,1.12,-0.59,-7.02,1.21,BK0705,concept,上证380
2014-10-13,1176.09,1183.69,1183.92,1162.29,69561782.0,60476793344.0,1.83,0.27,3.18,1.09,BK0705,concept,上证380
2014-10-14,1180.85,1181.73,1193.7,1173.74,68729492.0,60557413376.0,1.69,-0.17,-1.96,1.07,BK0705,concept,上证380
2014-10-15,1182.95,1191.49,1191.65,1174.98,70113777.0,60885752576.0,1.41,0.83,9.76,1.09,BK0705,concept,上证380
2014-10-16,1185.63,1174.56,1199.5,1174.46,82025388.0,72100982784.0,2.1,-1.42,-16.93,1.28,BK0705,concept,上证380
2014-10-17,1168.82,1153.55,1173.61,1137.56,67378970.0,58170487552.0,3.07,-1.79,-21.01,1.05,BK0705,concept,上证380
2014-10-20,1155.12,1169.29,1169.75,1153.83,53187069.0,47453234688.0,1.38,1.36,15.74,0.83,BK0705,concept,上证380
2014-10-21,1167.88,1157.33,1173.55,1156.25,56236593.0,48668529152.0,1.48,-1.02,-11.96,0.88,BK0705,concept,上证380
2014-10-22,1156.65,1141.73,1161.48,1140.62,49590700.0,45513064448.0,1.8,-1.35,-15.6,0.77,BK0705,concept,上证380
2014-10-23,1138.71,1120.98,1142.17,1116.84,52495974.0,46464533760.0,2.22,-1.82,-20.75,0.82,BK0705,concept,上证380
