日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2012-06-14,1001.49,994.71,1001.9,993.01,12532477.0,14896549888.0,0.89,-0.53,-5.29,0.07,BK0611,concept,上证50_
2012-06-15,996.99,1002.63,1004.32,993.44,15928868.0,18789484288.0,1.09,0.8,7.92,0.09,BK0611,concept,上证50_
2012-06-18,1005.34,1002.24,1006.54,999.44,11639865.0,12656729600.0,0.71,-0.04,-0.39,0.07,BK0611,concept,上证50_
2012-06-19,1001.02,997.6,1001.07,996.26,11055372.0,11532794880.0,0.48,-0.46,-4.64,0.06,BK0611,concept,上证50_
2012-06-20,1000.07,999.61,1002.45,998.34,10036657.0,10995191040.0,0.41,0.2,2.01,0.06,BK0611,concept,上证50_
2012-06-21,999.0,988.82,999.0,987.76,13188913.0,14152209152.0,1.12,-1.08,-10.79,0.08,BK0611,concept,上证50_
2012-06-25,987.13,982.72,989.36,981.71,15713245.0,15737077760.0,0.77,-0.62,-6.1,0.09,BK0611,concept,上证50_
2012-06-26,980.75,982.39,985.18,978.4,11289184.0,12169746688.0,0.69,-0.03,-0.33,0.07,BK0611,concept,上证50_
2012-06-27,982.11,980.95,985.69,978.39,9780860.0,9945764096.0,0.74,-0.15,-1.44,0.06,BK0611,concept,上证50_
2012-06-28,982.2,974.45,983.13,974.45,9799322.0,11597298432.0,0.88,-0.66,-6.5,0.06,BK0611,concept,上证50_
2012-06-29,975.06,984.44,985.09,973.12,13733879.0,15021870336.0,1.23,1.03,9.99,0.08,BK0611,concept,上证50_
2012-07-02,987.99,981.85,987.99,979.29,12797442.0,14182725376.0,0.88,-0.26,-2.59,0.08,BK0611,concept,上证50_
2012-07-03,981.24,981.69,987.51,978.08,12164090.0,14235804672.0,0.96,-0.02,-0.16,0.07,BK0611,concept,上证50_
2012-07-04,984.06,982.88,987.06,980.57,10764705.0,11153165568.0,0.66,0.12,1.19,0.06,BK0611,concept,上证50_
2012-07-05,980.72,978.23,981.82,973.06,11221187.0,11466587648.0,0.89,-0.47,-4.65,0.07,BK0611,concept,上证50_
2012-07-06,975.86,978.3,979.81,968.08,17590076.0,18969772800.0,1.2,0.01,0.07,0.1,BK0611,concept,上证50_
2012-07-09,974.39,951.1,974.99,948.66,17000553.0,17250055424.0,2.69,-2.78,-27.2,0.1,BK0611,concept,上证50_
2012-07-10,950.85,952.15,958.44,948.9,11771510.0,12032343552.0,1.0,0.11,1.05,0.07,BK0611,concept,上证50_
2012-07-11,951.27,953.84,955.43,947.57,11426747.0,11371506688.0,0.83,0.18,1.69,0.07,BK0611,concept,上证50_
2012-07-12,953.79,953.04,959.95,942.9,20042157.0,21392563712.0,1.79,-0.08,-0.8,0.12,BK0611,concept,上证50_
2012-07-13,952.68,956.49,960.67,952.06,11511650.0,12546496768.0,0.9,0.36,3.45,0.07,BK0611,concept,上证50_
2012-07-16,958.31,951.14,958.31,949.48,12394936.0,12686007040.0,0.92,-0.56,-5.35,0.07,BK0611,concept,上证50_
2012-07-17,950.43,956.84,959.06,950.43,9736884.0,11030023680.0,0.91,0.6,5.7,0.06,BK0611,concept,上证50_
2012-07-18,956.52,958.19,959.28,950.68,13474755.0,14240613120.0,0.9,0.14,1.35,0.08,BK0611,concept,上证50_
2012-07-19,957.94,962.3,967.62,956.23,15252050.0,15817848320.0,1.19,0.43,4.11,0.09,BK0611,concept,上证50_
2012-07-20,961.15,956.35,962.46,953.92,12334806.0,11311602944.0,0.89,-0.62,-5.95,0.07,BK0611,concept,上证50_
2012-07-23,950.93,942.68,951.21,939.66,11169452.0,10933175808.0,1.21,-1.43,-13.67,0.07,BK0611,concept,上证50_
2012-07-24,938.87,939.61,944.76,937.41,10661580.0,10563850496.0,0.78,-0.33,-3.07,0.06,BK0611,concept,上证50_
2012-07-25,938.87,937.12,942.14,936.29,7886797.0,7737231360.0,0.62,-0.27,-2.49,0.05,BK0611,concept,上证50_
2012-07-26,937.11,936.17,941.38,935.1,10704262.0,10181422080.0,0.67,-0.1,-0.95,0.06,BK0611,concept,上证50_
2012-07-27,939.69,944.19,945.38,938.48,11867162.0,11807894016.0,0.74,0.86,8.02,0.07,BK0611,concept,上证50_
2012-07-30,945.68,941.8,950.84,941.41,11757582.0,11099879168.0,1.0,-0.25,-2.39,0.07,BK0611,concept,上证50_
2012-07-31,943.41,946.57,950.51,943.41,11845411.0,11350755584.0,0.75,0.51,4.77,0.07,BK0611,concept,上证50_
2012-08-01,947.23,951.45,953.26,947.23,11211822.0,11305343744.0,0.64,0.52,4.88,0.07,BK0611,concept,上证50_
2012-08-02,950.48,949.11,952.76,946.3,11397641.0,10367240192.0,0.68,-0.25,-2.34,0.07,BK0611,concept,上证50_
2012-08-03,949.87,955.71,956.25,948.48,9845553.0,10132672256.0,0.82,0.7,6.6,0.06,BK0611,concept,上证50_
2012-08-06,954.69,957.88,961.16,954.69,14030374.0,14683232512.0,0.68,0.23,2.17,0.08,BK0611,concept,上证50_
2012-08-07,957.79,956.23,959.34,954.26,13364704.0,14911249408.0,0.53,-0.17,-1.65,0.08,BK0611,concept,上证50_
2012-08-08,957.14,960.47,962.59,956.93,12362742.0,13720505856.0,0.59,0.44,4.24,0.07,BK0611,concept,上证50_
2012-08-09,960.61,961.57,963.83,955.8,10997153.0,13079482112.0,0.84,0.11,1.1,0.06,BK0611,concept,上证50_
2012-08-10,962.58,962.43,966.12,961.42,12320472.0,14955544320.0,0.49,0.09,0.86,0.07,BK0611,concept,上证50_
2012-08-13,960.76,957.02,962.64,956.01,15536194.0,16362652928.0,0.69,-0.56,-5.41,0.09,BK0611,concept,上证50_
2012-08-14,959.05,959.19,962.59,955.14,12619212.0,13217363712.0,0.78,0.23,2.17,0.07,BK0611,concept,上证50_
2012-08-15,958.4,950.18,960.34,950.18,9688314.0,9210756608.0,1.06,-0.94,-9.01,0.06,BK0611,concept,上证50_
2012-08-16,950.16,950.05,954.0,949.72,7244746.0,7645989632.0,0.45,-0.01,-0.13,0.04,BK0611,concept,上证50_
2012-08-17,950.51,955.11,957.74,950.51,8667306.0,9384394240.0,0.76,0.53,5.06,0.05,BK0611,concept,上证50_
2012-08-20,949.93,951.02,952.62,944.19,9176000.0,8864355328.0,0.88,-0.43,-4.09,0.05,BK0611,concept,上证50_
2012-08-21,950.84,951.13,953.68,944.69,11817335.0,10512290816.0,0.95,0.01,0.11,0.07,BK0611,concept,上证50_
2012-08-22,950.89,947.81,950.89,943.01,10674824.0,9814928896.0,0.83,-0.35,-3.32,0.06,BK0611,concept,上证50_
2012-08-23,945.9,946.26,949.81,940.98,12088168.0,11895867136.0,0.93,-0.16,-1.55,0.07,BK0611,concept,上证50_
2012-08-24,945.97,943.28,947.2,941.17,11075446.0,10971965184.0,0.64,-0.31,-2.98,0.06,BK0611,concept,上证50_
2012-08-27,940.95,933.85,940.95,933.27,14247515.0,13363209216.0,0.81,-1.0,-9.43,0.08,BK0611,concept,上证50_
2012-08-28,934.89,947.99,950.86,933.23,13012199.0,10706922240.0,1.89,1.51,14.14,0.08,BK0611,concept,上证50_
2012-08-29,943.99,939.31,946.03,938.23,11551636.0,10688273664.0,0.82,-0.92,-8.68,0.07,BK0611,concept,上证50_
2012-08-30,933.74,943.3,943.56,933.74,12905484.0,12152989440.0,1.05,0.42,3.99,0.08,BK0611,concept,上证50_
2012-08-31,940.34,936.85,944.88,936.85,9974178.0,8743997952.0,0.85,-0.68,-6.45,0.06,BK0611,concept,上证50_
2012-09-03,939.11,936.61,942.51,934.97,15170439.0,12957312512.0,0.8,-0.03,-0.24,0.09,BK0611,concept,上证50_
