日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-08-25,997.33,1006.03,1006.03,992.66,26748797.0,79724130304.0,1.34,0.6,6.03,1.08,BK1005,concept,专精特新
2021-08-26,1004.7,994.58,1005.56,993.19,27029645.0,79460118528.0,1.23,-1.14,-11.45,1.09,BK1005,concept,专精特新
2021-08-27,988.96,988.84,990.53,982.04,25452054.0,72028409856.0,0.85,-0.58,-5.74,1.03,BK1005,concept,专精特新
2021-08-30,986.37,989.66,999.62,985.17,26362759.0,75570728960.0,1.46,0.08,0.82,1.06,BK1005,concept,专精特新
2021-08-31,987.52,978.64,987.77,972.0,23163223.0,64399504640.0,1.59,-1.11,-11.02,0.93,BK1005,concept,专精特新
2021-09-01,977.9,959.13,978.1,945.99,24127149.0,66453308928.0,3.28,-1.99,-19.51,0.97,BK1005,concept,专精特新
2021-09-02,955.88,970.16,970.16,952.54,19932554.0,56554176256.0,1.84,1.15,11.03,0.8,BK1005,concept,专精特新
2021-09-03,970.48,973.27,989.51,965.23,26660588.0,67978490368.0,2.5,0.32,3.11,1.08,BK1005,concept,专精特新
2021-09-06,974.36,990.01,990.01,968.11,23748892.0,59941323264.0,2.25,1.72,16.74,0.96,BK1005,concept,专精特新
2021-09-07,989.42,995.09,995.29,986.66,22675191.0,58795483904.0,0.87,0.51,5.08,0.91,BK1005,concept,专精特新
2021-09-08,994.05,987.24,995.65,983.3,22554304.0,57749554432.0,1.24,-0.79,-7.85,0.91,BK1005,concept,专精特新
2021-09-09,985.18,979.47,986.93,971.63,20556706.0,52650007040.0,1.55,-0.79,-7.77,0.83,BK1005,concept,专精特新
2021-09-10,978.73,975.22,979.28,966.77,20363427.0,55127050496.0,1.28,-0.43,-4.25,0.82,BK1005,concept,专精特新
2021-09-13,975.27,969.04,975.48,965.81,18500353.0,50528926208.0,0.99,-0.63,-6.18,0.75,BK1005,concept,专精特新
2021-09-14,967.84,968.81,976.85,965.03,22052293.0,58850582016.0,1.22,-0.02,-0.23,0.89,BK1005,concept,专精特新
2021-09-15,966.74,975.24,975.24,960.18,20509213.0,55583214592.0,1.55,0.66,6.43,0.83,BK1005,concept,专精特新
2021-09-16,975.65,956.82,980.63,956.51,21360542.0,57270294272.0,2.47,-1.89,-18.42,0.86,BK1005,concept,专精特新
2021-09-17,956.61,954.18,960.55,942.16,20809529.0,54407183616.0,1.92,-0.28,-2.64,0.84,BK1005,concept,专精特新
2021-09-22,943.09,954.56,955.79,941.6,18077252.0,47002643200.0,1.49,0.04,0.38,0.73,BK1005,concept,专精特新
2021-09-23,957.69,958.49,961.91,957.35,20388296.0,51383116032.0,0.48,0.41,3.93,0.82,BK1005,concept,专精特新
2021-09-24,957.08,939.96,957.24,939.96,20122389.0,50175341056.0,1.8,-1.93,-18.53,0.81,BK1005,concept,专精特新
2021-09-27,940.8,911.84,942.96,902.86,21206160.0,54889012480.0,4.27,-2.99,-28.12,0.86,BK1005,concept,专精特新
2021-09-28,910.26,912.9,916.21,907.05,15632061.0,43585817856.0,1.0,0.12,1.06,0.63,BK1005,concept,专精特新
2021-09-29,907.27,881.45,907.27,881.45,15562555.0,42248681984.0,2.83,-3.45,-31.45,0.63,BK1005,concept,专精特新
2021-09-30,886.79,905.36,907.22,886.79,13405997.0,40389488384.0,2.32,2.71,23.91,0.54,BK1005,concept,专精特新
2021-10-08,914.58,910.54,919.99,906.69,14574013.0,40274409728.0,1.47,0.57,5.18,0.59,BK1005,concept,专精特新
2021-10-11,911.88,905.82,912.23,901.87,13287228.0,38384896256.0,1.14,-0.52,-4.72,0.54,BK1005,concept,专精特新
2021-10-12,904.36,886.86,904.76,878.33,14129956.0,39226141696.0,2.92,-2.09,-18.96,0.57,BK1005,concept,专精特新
2021-10-13,887.46,896.75,897.44,882.83,12397429.0,35234184448.0,1.65,1.12,9.89,0.5,BK1005,concept,专精特新
2021-10-14,897.25,909.57,911.89,894.77,12977590.0,37377128960.0,1.91,1.43,12.82,0.52,BK1005,concept,专精特新
2021-10-15,908.06,905.97,909.24,903.2,13678369.0,42830575616.0,0.66,-0.4,-3.6,0.55,BK1005,concept,专精特新
2021-10-18,904.45,908.65,908.75,901.79,12774264.0,41734056960.0,0.77,0.3,2.68,0.52,BK1005,concept,专精特新
2021-10-19,908.65,913.07,914.26,907.73,12690823.0,41513422592.0,0.72,0.49,4.42,0.51,BK1005,concept,专精特新
2021-10-20,911.88,916.01,919.24,910.35,14739473.0,43657818112.0,0.97,0.32,2.94,0.59,BK1005,concept,专精特新
2021-10-21,914.52,906.39,914.53,904.82,15353089.0,42979032320.0,1.06,-1.05,-9.62,0.62,BK1005,concept,专精特新
2021-10-22,906.54,903.02,908.31,902.28,14004921.0,42367125504.0,0.67,-0.37,-3.37,0.56,BK1005,concept,专精特新
2021-10-25,903.34,915.08,915.12,899.9,14406808.0,47484256256.0,1.69,1.34,12.06,0.58,BK1005,concept,专精特新
2021-10-26,914.89,912.84,918.96,910.54,18135054.0,57824400128.0,0.92,-0.24,-2.24,0.73,BK1005,concept,专精特新
2021-10-27,910.63,895.81,911.09,893.09,17170911.0,51414323200.0,1.97,-1.87,-17.03,0.69,BK1005,concept,专精特新
