日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-04-25,993.18,998.52,1000.32,991.38,5525954.0,6221958656.0,0.89,-0.15,-1.48,0.66,BK0838,concept,东北振兴
2018-04-26,996.02,979.92,997.21,979.22,5636030.0,5500076544.0,1.8,-1.86,-18.6,0.67,BK0838,concept,东北振兴
2018-04-27,981.46,980.27,984.89,974.36,5109663.0,5374314496.0,1.07,0.04,0.35,0.61,BK0838,concept,东北振兴
2018-05-02,980.41,973.5,983.87,969.49,5231460.0,5260185856.0,1.47,-0.69,-6.77,0.62,BK0838,concept,东北振兴
2018-05-03,972.56,980.47,981.12,962.61,5661789.0,5494888192.0,1.9,0.72,6.97,0.67,BK0838,concept,东北振兴
2018-05-04,978.33,981.33,984.54,976.32,4558660.0,4984965888.0,0.84,0.09,0.86,0.54,BK0838,concept,东北振兴
2018-05-07,981.77,994.21,995.01,981.77,5050781.0,5207223808.0,1.35,1.31,12.88,0.6,BK0838,concept,东北振兴
2018-05-08,994.89,997.58,997.87,993.46,4729529.0,4673765888.0,0.44,0.34,3.37,0.56,BK0838,concept,东北振兴
2018-05-09,997.27,995.07,999.32,991.62,4330608.0,4065764144.0,0.77,-0.25,-2.51,0.52,BK0838,concept,东北振兴
2018-05-10,995.89,998.02,998.3,991.88,4925894.0,4796163328.0,0.65,0.3,2.95,0.59,BK0838,concept,东北振兴
2018-05-11,997.93,988.81,998.3,988.4,4135263.0,4279792848.0,0.99,-0.92,-9.21,0.49,BK0838,concept,东北振兴
2018-05-14,988.37,977.98,989.29,975.63,4487552.0,4624489216.0,1.38,-1.1,-10.83,0.53,BK0838,concept,东北振兴
2018-05-15,977.64,986.64,986.78,975.09,4162485.0,4360688384.0,1.2,0.89,8.66,0.5,BK0838,concept,东北振兴
2018-05-16,984.69,985.42,990.25,981.88,5225150.0,5189428224.0,0.85,-0.12,-1.22,0.62,BK0838,concept,东北振兴
2018-05-17,983.41,982.1,985.11,979.25,4786285.0,4702651392.0,0.59,-0.34,-3.32,0.57,BK0838,concept,东北振兴
2018-05-18,981.44,990.15,991.09,980.78,5265126.0,4854572544.0,1.05,0.82,8.05,0.63,BK0838,concept,东北振兴
2018-05-21,994.25,999.06,999.17,992.67,5677994.0,5065024256.0,0.66,0.9,8.91,0.68,BK0838,concept,东北振兴
2018-05-22,997.27,1002.53,1002.6,995.56,5448399.0,5330444800.0,0.7,0.35,3.47,0.65,BK0838,concept,东北振兴
2018-05-23,1000.71,992.39,1002.22,992.11,6738477.0,5853810432.0,1.01,-1.01,-10.14,0.8,BK0838,concept,东北振兴
2018-05-24,990.85,990.68,994.63,989.8,4540105.0,4033612992.0,0.49,-0.17,-1.71,0.54,BK0838,concept,东北振兴
2018-05-25,989.49,983.35,990.94,981.77,4635565.0,4186260048.0,0.93,-0.74,-7.33,0.55,BK0838,concept,东北振兴
2018-05-28,982.62,971.68,982.76,970.78,5092874.0,4839454208.0,1.22,-1.19,-11.67,0.61,BK0838,concept,东北振兴
2018-05-29,969.42,963.82,974.48,963.21,5183801.0,5346563840.0,1.16,-0.81,-7.86,0.62,BK0838,concept,东北振兴
2018-05-30,954.61,930.29,954.61,928.16,6119923.0,5842755840.0,2.74,-3.48,-33.53,0.73,BK0838,concept,东北振兴
2018-05-31,934.39,941.39,942.1,931.23,5126115.0,5027719936.0,1.17,1.19,11.1,0.61,BK0838,concept,东北振兴
2018-06-01,938.46,936.18,945.59,931.09,4628700.0,4750789120.0,1.54,-0.55,-5.21,0.55,BK0838,concept,东北振兴
2018-06-04,937.73,933.75,939.81,932.08,4276656.0,4321505024.0,0.83,-0.26,-2.43,0.51,BK0838,concept,东北振兴
2018-06-05,932.43,941.78,941.86,930.98,3762176.0,3869832976.0,1.17,0.86,8.03,0.45,BK0838,concept,东北振兴
2018-06-06,940.51,940.56,940.57,936.14,3612370.0,3583723856.0,0.47,-0.13,-1.22,0.43,BK0838,concept,东北振兴
2018-06-07,941.51,931.53,941.51,930.92,3626588.0,3367730032.0,1.13,-0.96,-9.03,0.43,BK0838,concept,东北振兴
2018-06-08,930.57,920.26,930.57,914.3,4545814.0,4668492544.0,1.75,-1.21,-11.27,0.54,BK0838,concept,东北振兴
2018-06-11,918.08,912.47,918.08,909.29,3340685.0,3349538336.0,0.96,-0.85,-7.79,0.4,BK0838,concept,东北振兴
2018-06-12,912.76,917.54,917.88,904.33,3471402.0,3248301728.0,1.48,0.56,5.07,0.41,BK0838,concept,东北振兴
2018-06-13,915.37,902.21,915.37,901.38,6417562.0,4530223104.0,1.52,-1.67,-15.33,0.76,BK0838,concept,东北振兴
2018-06-14,898.3,898.99,905.63,894.96,5074824.0,4043864224.0,1.18,-0.36,-3.22,0.6,BK0838,concept,东北振兴
2018-06-15,897.32,876.9,898.57,871.02,4993734.0,3903960176.0,3.06,-2.46,-22.09,0.59,BK0838,concept,东北振兴
2018-06-19,863.75,811.06,863.75,803.9,7307795.0,5609439488.0,6.83,-7.51,-65.84,0.87,BK0838,concept,东北振兴
