日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-03-02,1002.49,1091.23,1092.56,1002.49,7229117.0,3872207568.0,9.01,9.12,91.23,1.07,BK1072,concept,中俄贸易概念
2022-03-03,1136.1,1204.18,1204.84,1135.17,11170215.0,6705669632.0,6.38,10.35,112.95,1.66,BK1072,concept,中俄贸易概念
2022-03-04,1245.32,1185.31,1245.32,1185.31,17337178.0,10909611520.0,4.98,-1.57,-18.87,2.57,BK1072,concept,中俄贸易概念
2022-03-07,1165.1,1161.7,1186.56,1157.05,13537399.0,8969976064.0,2.49,-1.99,-23.61,2.01,BK1072,concept,中俄贸易概念
2022-03-08,1124.96,1084.21,1127.43,1077.27,8163028.0,5878696704.0,4.32,-6.67,-77.49,1.21,BK1072,concept,中俄贸易概念
2022-03-09,1059.84,1070.03,1074.41,1027.25,9789667.0,7046508288.0,4.35,-1.31,-14.18,1.45,BK1072,concept,中俄贸易概念
2022-03-10,1067.79,1073.71,1087.58,1052.46,9173997.0,6671905792.0,3.28,0.34,3.68,1.36,BK1072,concept,中俄贸易概念
2022-03-11,1056.74,1090.77,1093.08,1040.9,10410994.0,7252400128.0,4.86,1.59,17.06,1.54,BK1072,concept,中俄贸易概念
2022-03-14,1063.17,1035.26,1078.87,1035.2,8229043.0,5464360448.0,4.0,-5.09,-55.51,1.22,BK1072,concept,中俄贸易概念
2022-03-15,1016.21,963.48,1020.25,963.48,7670140.0,4692548096.0,5.48,-6.93,-71.78,1.14,BK1072,concept,中俄贸易概念
2022-03-16,973.62,986.02,992.53,944.18,7769579.0,5128520960.0,5.02,2.34,22.54,1.15,BK1072,concept,中俄贸易概念
2022-03-17,984.91,995.77,1010.04,984.55,7256267.0,5112735232.0,2.59,0.99,9.75,1.08,BK1072,concept,中俄贸易概念
2022-03-18,994.76,1006.67,1010.42,991.41,5967149.0,4081207952.0,1.91,1.09,10.9,0.89,BK1072,concept,中俄贸易概念
2022-03-21,1012.23,1028.11,1028.39,1010.93,5894390.0,4276691808.0,1.73,2.13,21.44,0.87,BK1072,concept,中俄贸易概念
2022-03-22,1030.49,1036.35,1036.74,1023.16,7497970.0,5525154560.0,1.32,0.8,8.24,1.11,BK1072,concept,中俄贸易概念
2022-03-23,1034.68,1018.62,1035.78,1017.1,6549591.0,4867059712.0,1.8,-1.71,-17.73,0.97,BK1072,concept,中俄贸易概念
2022-03-24,1016.41,1015.62,1029.12,1013.62,6090032.0,4419122432.0,1.52,-0.29,-3.0,0.9,BK1072,concept,中俄贸易概念
2022-03-25,1012.77,1012.91,1028.55,1011.84,5755756.0,4161700416.0,1.65,-0.27,-2.71,0.85,BK1072,concept,中俄贸易概念
2022-03-28,1002.96,1008.1,1014.39,990.28,5439119.0,4059396656.0,2.38,-0.47,-4.81,0.81,BK1072,concept,中俄贸易概念
2022-03-29,1006.67,1006.23,1013.88,998.95,5575254.0,4448693504.0,1.48,-0.19,-1.87,0.83,BK1072,concept,中俄贸易概念
2022-03-30,1004.35,1010.85,1010.85,997.94,4996994.0,3976738192.0,1.28,0.46,4.62,0.74,BK1072,concept,中俄贸易概念
