日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,4612.35,4540.33,4639.79,4537.38,13180512.0,13720561423.5,2.23,-1.29,-59.41,0.12,BK0505,concept,中字头
2010-01-05,4555.61,4592.1,4621.22,4491.44,15783802.0,17791331351.76,2.86,1.14,51.77,0.14,BK0505,concept,中字头
2010-01-06,4584.77,4529.99,4606.71,4517.44,13822069.0,16549104740.61,1.94,-1.35,-62.11,0.12,BK0505,concept,中字头
2010-01-07,4524.0,4443.16,4544.47,4416.56,14282676.0,16484207757.59,2.82,-1.92,-86.83,0.13,BK0505,concept,中字头
2010-01-08,4422.69,4446.29,4472.29,4373.3,10067832.0,12008231124.23,2.23,0.07,3.13,0.09,BK0505,concept,中字头
2010-01-11,4635.51,4465.52,4673.12,4414.28,16765640.0,19683654024.96,5.82,0.43,19.23,0.15,BK0505,concept,中字头
2010-01-12,4453.69,4543.17,4562.04,4411.62,18082835.0,20380877868.64,3.37,1.74,77.65,0.16,BK0505,concept,中字头
2010-01-13,4458.82,4392.08,4520.97,4344.78,20482490.0,23317949690.95,3.88,-3.33,-151.09,0.18,BK0505,concept,中字头
2010-01-14,4402.5,4429.1,4456.71,4367.77,14302809.0,16072694253.1,2.03,0.84,37.02,0.13,BK0505,concept,中字头
2010-01-15,4433.27,4437.72,4471.83,4385.31,10329993.0,12331880160.52,1.95,0.19,8.62,0.09,BK0505,concept,中字头
2010-01-18,4420.04,4430.19,4451.99,4384.08,12781686.0,14628062561.97,1.53,-0.17,-7.53,0.11,BK0505,concept,中字头
2010-01-19,4433.32,4440.99,4479.76,4412.55,11634432.0,13896815377.55,1.52,0.24,10.8,0.1,BK0505,concept,中字头
2010-01-20,4447.35,4326.15,4459.4,4310.98,15751264.0,17276537456.59,3.34,-2.59,-114.84,0.14,BK0505,concept,中字头
2010-01-21,4327.16,4342.74,4383.47,4281.23,12313478.0,13416178259.52,2.36,0.38,16.59,0.11,BK0505,concept,中字头
2010-01-22,4291.9,4342.81,4392.67,4249.66,14799533.0,15983263924.81,3.29,0.0,0.07,0.13,BK0505,concept,中字头
2010-01-25,4318.29,4313.02,4411.07,4282.68,7212209.0,7953778038.11,2.96,-0.69,-29.79,0.06,BK0505,concept,中字头
2010-01-26,4308.91,4260.82,4345.15,4216.33,10483778.0,10322398575.43,2.99,-1.21,-52.2,0.09,BK0505,concept,中字头
2010-01-27,4257.62,4218.06,4279.79,4192.19,7847974.0,8341397691.24,2.06,-1.0,-42.76,0.07,BK0505,concept,中字头
2010-01-28,4219.51,4223.88,4244.08,4162.16,7787667.0,8275795917.86,1.94,0.14,5.82,0.07,BK0505,concept,中字头
2010-01-29,4199.73,4207.57,4249.28,4171.73,6974561.0,7792317420.14,1.84,-0.39,-16.31,0.06,BK0505,concept,中字头
2010-02-01,4192.04,4139.63,4204.41,4112.33,9333139.0,10703715482.86,2.19,-1.61,-67.94,0.08,BK0505,concept,中字头
2010-02-02,4155.9,4150.88,4234.61,4126.68,7564065.0,8564410853.15,2.61,0.27,11.25,0.07,BK0505,concept,中字头
2010-02-03,4160.57,4237.88,4256.87,4093.75,10214582.0,12128435167.65,3.93,2.1,87.0,0.09,BK0505,concept,中字头
2010-02-04,4205.59,4212.28,4235.81,4170.97,8387146.0,8794375060.87,1.53,-0.6,-25.6,0.07,BK0505,concept,中字头
2010-02-05,4141.82,4162.67,4181.68,4120.0,7929304.0,8788771999.81,1.46,-1.18,-49.61,0.07,BK0505,concept,中字头
2010-02-08,4145.37,4150.9,4183.64,4119.9,5053666.0,5780858964.14,1.53,-0.28,-11.77,0.04,BK0505,concept,中字头
2010-02-09,4148.43,4145.77,4174.73,4105.87,4627279.0,5223163259.02,1.66,-0.12,-5.13,0.04,BK0505,concept,中字头
2010-02-10,4163.45,4184.52,4195.68,4146.35,5573116.0,7596630957.35,1.19,0.93,38.75,0.05,BK0505,concept,中字头
2010-02-11,4185.97,4184.94,4211.78,4159.01,5517733.0,6126233031.5,1.26,0.01,0.42,0.05,BK0505,concept,中字头
2010-02-12,4194.91,4219.04,4226.97,4177.04,5552352.0,6111380875.4,1.19,0.81,34.1,0.05,BK0505,concept,中字头
2010-02-22,4219.48,4194.05,4238.57,4184.15,6139585.0,6682676698.54,1.29,-0.59,-24.99,0.05,BK0505,concept,中字头
2010-02-23,4188.84,4152.39,4191.09,4099.26,7535725.0,14579141457.86,2.19,-0.99,-41.66,0.07,BK0505,concept,中字头
2010-02-24,4129.32,4194.56,4204.26,4111.79,8219609.0,10492870876.75,2.23,1.02,42.17,0.07,BK0505,concept,中字头
