日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-03-02,993.2,1005.54,1015.63,991.8,5192175.0,3405969008.0,2.38,0.55,5.54,0.33,BK0834,concept,乡村振兴
2018-03-05,1000.88,1001.17,1002.2,995.42,3809768.0,2755920304.0,0.67,-0.43,-4.37,0.24,BK0834,concept,乡村振兴
2018-03-06,1000.05,1009.44,1009.66,991.04,4079509.0,3097053568.0,1.86,0.83,8.27,0.26,BK0834,concept,乡村振兴
2018-03-07,1005.06,1002.14,1013.6,1001.3,4292892.0,3302346016.0,1.22,-0.72,-7.3,0.27,BK0834,concept,乡村振兴
2018-03-08,996.47,1000.42,1004.4,995.97,3142005.0,2281867968.0,0.84,-0.17,-1.72,0.2,BK0834,concept,乡村振兴
2018-03-09,999.95,1013.91,1015.57,999.95,3276746.0,2756895168.0,1.56,1.35,13.49,0.21,BK0834,concept,乡村振兴
2018-03-12,1013.33,1022.13,1026.21,1010.25,3955648.0,3182570944.0,1.57,0.81,8.22,0.25,BK0834,concept,乡村振兴
2018-03-13,1019.87,1030.38,1045.07,1016.87,6334367.0,4431405056.0,2.76,0.81,8.25,0.41,BK0834,concept,乡村振兴
2018-03-14,1019.82,1008.65,1019.82,1007.94,4293650.0,3103377808.0,1.15,-2.11,-21.73,0.28,BK0834,concept,乡村振兴
2018-03-15,1004.47,995.91,1006.81,987.49,3440382.0,2495716224.0,1.92,-1.26,-12.74,0.22,BK0834,concept,乡村振兴
2018-03-16,995.19,991.36,1000.19,991.11,2359954.0,1915306896.0,0.91,-0.46,-4.55,0.15,BK0834,concept,乡村振兴
2018-03-19,992.09,983.93,992.21,982.3,2839143.0,2857252320.0,1.0,-0.75,-7.43,0.18,BK0834,concept,乡村振兴
2018-03-20,981.94,986.22,987.72,977.23,2597568.0,2508593328.0,1.07,0.23,2.29,0.17,BK0834,concept,乡村振兴
2018-03-21,986.01,988.63,1001.41,984.55,2885652.0,2676408912.0,1.71,0.24,2.41,0.18,BK0834,concept,乡村振兴
2018-03-22,981.9,991.42,995.34,977.37,3906495.0,3631512736.0,1.82,0.28,2.79,0.25,BK0834,concept,乡村振兴
2018-03-23,979.29,995.93,1024.64,977.54,10497349.0,9741368576.0,4.75,0.45,4.51,0.67,BK0834,concept,乡村振兴
2018-03-26,989.77,982.0,989.77,952.16,8013277.0,6927604992.0,3.78,-1.4,-13.93,0.51,BK0834,concept,乡村振兴
2018-03-27,975.98,999.59,1000.2,975.43,6814389.0,6251585280.0,2.52,1.79,17.59,0.44,BK0834,concept,乡村振兴
2018-03-28,985.87,980.14,995.54,979.2,5009596.0,4723170304.0,1.63,-1.95,-19.45,0.32,BK0834,concept,乡村振兴
2018-03-29,981.55,986.15,988.06,979.06,3114370.0,3023582400.0,0.92,0.61,6.01,0.2,BK0834,concept,乡村振兴
2018-03-30,988.45,995.17,995.59,987.45,3817581.0,3762618800.0,0.83,0.91,9.02,0.24,BK0834,concept,乡村振兴
2018-04-02,1003.14,1010.09,1010.81,998.83,4734913.0,5000757248.0,1.2,1.5,14.92,0.3,BK0834,concept,乡村振兴
2018-04-03,996.85,1009.18,1016.16,995.29,4968831.0,5220566784.0,2.07,-0.09,-0.91,0.32,BK0834,concept,乡村振兴
2018-04-04,1013.49,1027.81,1034.41,1008.1,6879848.0,6520752896.0,2.61,1.85,18.63,0.44,BK0834,concept,乡村振兴
