日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-10-31,992.68,977.11,998.64,975.24,2802669.0,5469192960.0,2.34,-2.29,-22.89,0.93,BK0892,concept,乳业
2019-11-01,964.07,980.3,988.81,955.49,2158981.0,3508247888.0,3.41,0.33,3.19,0.72,BK0892,concept,乳业
2019-11-04,980.67,974.78,989.43,971.09,1634024.0,2634066608.0,1.87,-0.56,-5.52,0.54,BK0892,concept,乳业
2019-11-05,973.36,976.56,976.56,961.26,1628150.0,2990736080.0,1.57,0.18,1.78,0.54,BK0892,concept,乳业
2019-11-06,973.41,959.39,973.41,958.55,1251518.0,1954628192.0,1.52,-1.76,-17.17,0.42,BK0892,concept,乳业
2019-11-07,958.18,977.19,979.06,958.18,971150.0,1637688544.0,2.18,1.86,17.8,0.32,BK0892,concept,乳业
2019-11-08,981.26,968.04,983.36,967.65,940714.0,1584117232.0,1.61,-0.94,-9.15,0.31,BK0892,concept,乳业
2019-11-11,962.28,945.63,962.28,942.26,1008558.0,1725363072.0,2.07,-2.31,-22.41,0.33,BK0892,concept,乳业
2019-11-12,945.02,947.01,951.31,934.33,756317.0,1207935216.0,1.8,0.15,1.38,0.25,BK0892,concept,乳业
2019-11-13,946.21,944.78,946.21,940.47,708785.0,1308934304.0,0.61,-0.24,-2.23,0.24,BK0892,concept,乳业
2019-11-14,943.32,948.55,951.77,942.09,774307.0,1517044864.0,1.02,0.4,3.77,0.26,BK0892,concept,乳业
2019-11-15,947.04,934.84,947.55,934.84,706961.0,1300648416.0,1.34,-1.45,-13.71,0.23,BK0892,concept,乳业
2019-11-18,934.35,937.43,940.41,930.86,633258.0,1187097488.0,1.02,0.28,2.59,0.21,BK0892,concept,乳业
2019-11-19,936.73,947.85,947.85,935.69,989071.0,2026505280.0,1.3,1.11,10.42,0.33,BK0892,concept,乳业
2019-11-20,946.73,943.06,949.67,939.51,719318.0,1273657216.0,1.07,-0.51,-4.79,0.24,BK0892,concept,乳业
2019-11-21,939.15,936.63,941.14,933.77,703377.0,1102515744.0,0.78,-0.68,-6.43,0.23,BK0892,concept,乳业
2019-11-22,936.45,926.53,945.1,923.02,882935.0,1657679856.0,2.36,-1.08,-10.1,0.29,BK0892,concept,乳业
2019-11-25,926.35,921.94,927.75,914.86,637638.0,1183854784.0,1.39,-0.5,-4.59,0.21,BK0892,concept,乳业
2019-11-26,922.54,919.38,925.64,917.69,708848.0,1501289568.0,0.86,-0.28,-2.56,0.24,BK0892,concept,乳业
2019-11-27,918.57,926.58,931.29,915.92,708399.0,1184454400.0,1.67,0.78,7.2,0.24,BK0892,concept,乳业
2019-11-28,924.13,922.79,930.34,920.55,569989.0,979003776.0,1.06,-0.41,-3.79,0.19,BK0892,concept,乳业
2019-11-29,922.17,917.6,923.18,912.24,803306.0,1454722672.0,1.19,-0.56,-5.19,0.27,BK0892,concept,乳业
2019-12-02,915.76,919.53,922.28,915.76,830915.0,1793956672.0,0.71,0.21,1.93,0.28,BK0892,concept,乳业
2019-12-03,917.81,927.81,927.95,913.55,984206.0,2207603808.0,1.57,0.9,8.28,0.33,BK0892,concept,乳业
2019-12-04,924.18,928.59,928.87,922.08,736196.0,1467524528.0,0.73,0.08,0.78,0.24,BK0892,concept,乳业
2019-12-05,931.18,934.41,935.53,926.89,738516.0,1471681392.0,0.93,0.63,5.82,0.25,BK0892,concept,乳业
2019-12-06,933.75,940.22,940.22,929.38,638028.0,1222446352.0,1.16,0.62,5.81,0.21,BK0892,concept,乳业
2019-12-09,940.07,938.61,941.89,936.38,788315.0,1649837920.0,0.59,-0.17,-1.61,0.26,BK0892,concept,乳业
2019-12-10,937.47,939.73,940.92,934.79,726436.0,1056346656.0,0.65,0.12,1.12,0.24,BK0892,concept,乳业
2019-12-11,938.43,933.6,940.13,930.8,781175.0,1174646464.0,0.99,-0.65,-6.13,0.26,BK0892,concept,乳业
2019-12-12,933.61,925.74,933.77,924.45,669623.0,1036431536.0,1.0,-0.84,-7.86,0.22,BK0892,concept,乳业
2019-12-13,928.44,933.54,934.55,927.72,904867.0,1541066976.0,0.74,0.84,7.8,0.3,BK0892,concept,乳业
2019-12-16,936.17,943.55,944.01,932.9,898321.0,1560119712.0,1.19,1.07,10.01,0.3,BK0892,concept,乳业
2019-12-17,943.82,953.67,954.66,943.06,1151008.0,1908965840.0,1.23,1.07,10.12,0.38,BK0892,concept,乳业
2019-12-18,953.45,953.26,958.56,950.77,1053444.0,1583024688.0,0.82,-0.04,-0.41,0.35,BK0892,concept,乳业
2019-12-19,952.65,963.22,963.71,950.76,1046559.0,1637412480.0,1.36,1.04,9.96,0.35,BK0892,concept,乳业
2019-12-20,963.49,952.87,965.86,951.5,861814.0,1299610048.0,1.49,-1.07,-10.35,0.29,BK0892,concept,乳业
2019-12-23,952.74,935.62,953.72,935.02,947501.0,1291051312.0,1.96,-1.81,-17.25,0.31,BK0892,concept,乳业
2019-12-24,936.4,945.8,947.2,935.64,681763.0,1082188224.0,1.24,1.09,10.18,0.23,BK0892,concept,乳业
2019-12-25,944.22,948.06,952.88,943.37,922699.0,1074365424.0,1.01,0.24,2.26,0.31,BK0892,concept,乳业
2019-12-26,947.69,950.0,950.47,943.72,665349.0,868265568.0,0.71,0.2,1.94,0.22,BK0892,concept,乳业
2019-12-27,950.01,947.16,957.16,946.65,980311.0,1739012848.0,1.11,-0.3,-2.84,0.33,BK0892,concept,乳业
2019-12-30,944.42,955.31,955.86,937.93,1034622.0,1878839840.0,1.89,0.86,8.15,0.34,BK0892,concept,乳业
2019-12-31,956.33,971.06,975.02,953.48,924276.0,1414819664.0,2.25,1.65,15.75,0.31,BK0892,concept,乳业
2020-01-02,974.13,978.5,979.94,966.29,1441135.0,2415230640.0,1.41,0.77,7.44,0.48,BK0892,concept,乳业
2020-01-03,979.66,986.32,987.71,975.07,1177887.0,1972178960.0,1.29,0.8,7.82,0.39,BK0892,concept,乳业
2020-01-06,981.96,982.28,988.71,975.81,1133461.0,1806431472.0,1.31,-0.41,-4.04,0.38,BK0892,concept,乳业
2020-01-07,982.5,993.78,995.86,982.5,1331168.0,2530789824.0,1.36,1.17,11.5,0.44,BK0892,concept,乳业
2020-01-08,991.02,975.42,991.02,971.65,1055574.0,1894063072.0,1.95,-1.85,-18.36,0.35,BK0892,concept,乳业
2020-01-09,981.22,987.46,991.7,981.22,898171.0,1769183968.0,1.07,1.23,12.04,0.3,BK0892,concept,乳业
2020-01-10,990.0,992.64,994.1,985.74,989970.0,1398161408.0,0.85,0.52,5.18,0.33,BK0892,concept,乳业
2020-01-13,991.25,1001.9,1001.9,990.9,907313.0,1737943632.0,1.11,0.93,9.26,0.3,BK0892,concept,乳业
2020-01-14,1005.96,997.29,1007.3,996.42,827974.0,1351904560.0,1.09,-0.46,-4.61,0.27,BK0892,concept,乳业
2020-01-15,997.44,991.49,997.98,986.43,1008789.0,2032548480.0,1.16,-0.58,-5.8,0.33,BK0892,concept,乳业
2020-01-16,994.82,988.25,999.34,986.19,885208.0,1420813824.0,1.33,-0.33,-3.24,0.29,BK0892,concept,乳业
2020-01-17,989.67,981.81,992.15,981.43,929612.0,1711252480.0,1.08,-0.65,-6.44,0.31,BK0892,concept,乳业
2020-01-20,983.04,980.17,983.04,971.52,874747.0,1491756416.0,1.17,-0.17,-1.64,0.29,BK0892,concept,乳业
