日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-04-19,998.31,998.99,1010.57,994.87,11528853.0,16364054784.0,1.57,-0.1,-1.01,0.91,BK0837,concept,互联医疗
2018-04-20,992.78,983.94,1008.96,983.23,12391909.0,16374129152.0,2.58,-1.51,-15.05,0.98,BK0837,concept,互联医疗
2018-04-23,980.76,966.21,989.25,951.54,10567518.0,14378950400.0,3.83,-1.8,-17.73,0.83,BK0837,concept,互联医疗
2018-04-24,964.67,996.26,996.37,961.55,10931362.0,15352877824.0,3.6,3.11,30.05,0.86,BK0837,concept,互联医疗
2018-04-25,990.24,1014.14,1014.3,989.28,11226772.0,17838258944.0,2.51,1.79,17.88,0.89,BK0837,concept,互联医疗
2018-04-26,1009.89,989.53,1010.98,989.53,8677783.0,13336874752.0,2.12,-2.43,-24.61,0.68,BK0837,concept,互联医疗
2018-04-27,995.8,1003.59,1008.47,988.53,9098921.0,14135246848.0,2.02,1.42,14.06,0.72,BK0837,concept,互联医疗
2018-05-02,1006.85,995.1,1013.79,985.07,8947358.0,13911299328.0,2.86,-0.85,-8.49,0.71,BK0837,concept,互联医疗
2018-05-03,992.43,1004.43,1005.06,972.36,8061904.0,12613279488.0,3.29,0.94,9.33,0.64,BK0837,concept,互联医疗
2018-05-04,1000.35,1002.34,1009.68,997.35,6516164.0,11184877568.0,1.23,-0.21,-2.09,0.51,BK0837,concept,互联医疗
2018-05-07,1002.68,1022.67,1022.67,1002.23,7435689.0,13006953984.0,2.04,2.03,20.33,0.59,BK0837,concept,互联医疗
2018-05-08,1022.64,1025.15,1025.15,1014.72,7120847.0,11806622208.0,1.02,0.24,2.48,0.56,BK0837,concept,互联医疗
2018-05-09,1019.6,1021.34,1023.66,1015.39,7329767.0,11214857984.0,0.81,-0.37,-3.81,0.58,BK0837,concept,互联医疗
2018-05-10,1020.96,1022.3,1024.12,1011.13,7457550.0,12216303104.0,1.27,0.09,0.96,0.59,BK0837,concept,互联医疗
2018-05-11,1022.62,999.67,1022.62,999.67,7244111.0,12266661376.0,2.24,-2.21,-22.63,0.57,BK0837,concept,互联医疗
2018-05-14,997.98,986.31,1000.04,983.26,6757140.0,10512619776.0,1.68,-1.34,-13.36,0.53,BK0837,concept,互联医疗
2018-05-15,985.96,1008.25,1008.39,985.96,6155308.0,10506170112.0,2.27,2.22,21.94,0.49,BK0837,concept,互联医疗
2018-05-16,1004.42,1008.41,1017.72,1002.52,6314199.0,10898288896.0,1.51,0.02,0.16,0.5,BK0837,concept,互联医疗
2018-05-17,1007.05,1001.17,1009.86,998.81,4668990.0,8335732480.0,1.1,-0.72,-7.24,0.37,BK0837,concept,互联医疗
2018-05-18,999.96,1000.51,1002.55,987.65,4830115.0,8387456768.0,1.49,-0.07,-0.66,0.38,BK0837,concept,互联医疗
2018-05-21,1003.14,1013.5,1015.37,1003.14,6060497.0,10188183040.0,1.22,1.3,12.99,0.48,BK0837,concept,互联医疗
2018-05-22,1012.96,1022.78,1022.79,1012.31,5546512.0,9784101632.0,1.03,0.92,9.28,0.44,BK0837,concept,互联医疗
2018-05-23,1020.46,1019.21,1027.63,1018.3,6952322.0,11915738624.0,0.91,-0.35,-3.57,0.55,BK0837,concept,互联医疗
2018-05-24,1020.05,1024.39,1029.3,1018.84,6781410.0,11665550080.0,1.03,0.51,5.18,0.53,BK0837,concept,互联医疗
2018-05-25,1022.68,1007.47,1023.8,1006.23,6602626.0,12114351360.0,1.72,-1.65,-16.92,0.52,BK0837,concept,互联医疗
2018-05-28,1008.0,1002.16,1010.65,995.58,8693855.0,13300174080.0,1.5,-0.53,-5.31,0.69,BK0837,concept,互联医疗
2018-05-29,1000.28,985.22,1015.05,983.48,10111083.0,15700821248.0,3.15,-1.69,-16.94,0.8,BK0837,concept,互联医疗
2018-05-30,967.02,954.54,976.81,952.97,9824036.0,14541082624.0,2.42,-3.11,-30.68,0.77,BK0837,concept,互联医疗
2018-05-31,963.34,969.76,970.25,952.78,7628742.0,11892290816.0,1.83,1.59,15.22,0.6,BK0837,concept,互联医疗
2018-06-01,965.45,951.53,970.25,944.33,8220046.0,11482748672.0,2.67,-1.88,-18.23,0.65,BK0837,concept,互联医疗
2018-06-04,952.67,947.91,955.89,938.48,5914883.0,9512882688.0,1.83,-0.38,-3.62,0.47,BK0837,concept,互联医疗
2018-06-05,949.5,977.32,977.38,949.5,7046064.0,10726570496.0,2.94,3.1,29.41,0.56,BK0837,concept,互联医疗
2018-06-06,978.2,980.35,983.61,972.97,6802167.0,9179303424.0,1.09,0.31,3.03,0.54,BK0837,concept,互联医疗
2018-06-07,982.73,967.45,984.8,967.21,6998514.0,8818950144.0,1.79,-1.32,-12.9,0.55,BK0837,concept,互联医疗
2018-06-08,967.28,957.58,967.28,948.32,6152954.0,8505479168.0,1.96,-1.02,-9.87,0.49,BK0837,concept,互联医疗
2018-06-11,954.8,946.94,955.4,942.67,4773041.0,7398128896.0,1.33,-1.11,-10.64,0.38,BK0837,concept,互联医疗
2018-06-12,946.39,959.33,959.75,936.54,4807015.0,7847901440.0,2.45,1.31,12.39,0.38,BK0837,concept,互联医疗
2018-06-13,955.86,936.12,955.86,935.93,4981654.0,7553828096.0,2.08,-2.42,-23.21,0.39,BK0837,concept,互联医疗
2018-06-14,935.89,932.45,946.63,930.18,4329013.0,6743316224.0,1.76,-0.39,-3.67,0.34,BK0837,concept,互联医疗
2018-06-15,933.13,907.97,935.81,904.34,4961156.0,7340281600.0,3.37,-2.63,-24.48,0.39,BK0837,concept,互联医疗
2018-06-19,888.69,844.77,891.95,836.28,7167005.0,10538580224.0,6.13,-6.96,-63.2,0.57,BK0837,concept,互联医疗
2018-06-20,837.9,854.15,861.05,830.98,7162257.0,11040101888.0,3.56,1.11,9.38,0.56,BK0837,concept,互联医疗
2018-06-21,853.33,832.48,860.73,830.6,6271002.0,10308859136.0,3.53,-2.54,-21.67,0.49,BK0837,concept,互联医疗
2018-06-22,823.62,842.58,844.66,816.94,5093841.0,7558215680.0,3.33,1.21,10.1,0.4,BK0837,concept,互联医疗
2018-06-25,845.6,835.45,848.83,833.76,4561227.0,7035482112.0,1.79,-0.85,-7.13,0.36,BK0837,concept,互联医疗
2018-06-26,823.18,849.26,850.6,820.12,5207510.0,8156620288.0,3.65,1.65,13.81,0.41,BK0837,concept,互联医疗
2018-06-27,848.33,841.14,851.62,836.6,9322622.0,9498936576.0,1.77,-0.96,-8.12,0.73,BK0837,concept,互联医疗
2018-06-28,837.95,828.89,847.7,827.2,6486097.0,7504477184.0,2.44,-1.46,-12.25,0.51,BK0837,concept,互联医疗
2018-06-29,831.98,865.16,865.16,831.59,6796241.0,9602873344.0,4.05,4.38,36.27,0.54,BK0837,concept,互联医疗
2018-07-02,865.71,858.36,871.06,850.61,6739100.0,9228026368.0,2.36,-0.79,-6.8,0.53,BK0837,concept,互联医疗
2018-07-03,857.18,870.41,871.31,841.97,7376255.0,10803478272.0,3.42,1.4,12.05,0.58,BK0837,concept,互联医疗
2018-07-04,865.24,849.68,865.46,845.44,7473989.0,8040805888.0,2.3,-2.38,-20.73,0.59,BK0837,concept,互联医疗
2018-07-05,846.17,830.62,851.79,828.77,6364200.0,7587958784.0,2.71,-2.24,-19.06,0.5,BK0837,concept,互联医疗
2018-07-06,830.73,833.96,848.12,816.77,6987758.0,10383343616.0,3.77,0.4,3.34,0.55,BK0837,concept,互联医疗
2018-07-09,832.36,847.12,847.64,832.32,5806054.0,8526893056.0,1.84,1.58,13.16,0.46,BK0837,concept,互联医疗
2018-07-10,845.37,846.73,846.75,837.87,6036190.0,8107266304.0,1.05,-0.05,-0.39,0.48,BK0837,concept,互联医疗
2018-07-11,832.45,821.71,833.97,809.31,6839537.0,8487728384.0,2.91,-2.95,-25.02,0.54,BK0837,concept,互联医疗
2018-07-12,820.29,848.4,852.01,820.29,7371100.0,10625986816.0,3.86,3.25,26.69,0.58,BK0837,concept,互联医疗
2018-07-13,849.95,855.36,859.77,849.35,6629360.0,9836641792.0,1.23,0.82,6.96,0.52,BK0837,concept,互联医疗
2018-07-16,857.85,861.48,863.38,852.94,6592588.0,9064174080.0,1.22,0.72,6.12,0.52,BK0837,concept,互联医疗
2018-07-17,857.74,862.35,862.41,847.42,5683263.0,8082220288.0,1.74,0.1,0.87,0.45,BK0837,concept,互联医疗
2018-07-18,862.24,852.74,866.98,852.7,5665693.0,8350195200.0,1.66,-1.11,-9.61,0.45,BK0837,concept,互联医疗
2018-07-19,851.35,841.42,855.37,836.96,5601400.0,8145580800.0,2.16,-1.33,-11.32,0.44,BK0837,concept,互联医疗
2018-07-20,837.93,850.39,852.36,832.8,6201580.0,9157280512.0,2.32,1.07,8.97,0.49,BK0837,concept,互联医疗
2018-07-23,839.64,843.6,846.25,834.07,8630847.0,12562969600.0,1.43,-0.8,-6.79,0.68,BK0837,concept,互联医疗
2018-07-24,842.86,854.22,856.86,838.72,7778601.0,10930789632.0,2.15,1.26,10.62,0.61,BK0837,concept,互联医疗
2018-07-25,855.4,859.97,864.22,853.75,6506763.0,8434379264.0,1.23,0.67,5.75,0.51,BK0837,concept,互联医疗
2018-07-26,859.92,852.01,861.25,849.33,7013328.0,7848140800.0,1.39,-0.93,-7.96,0.55,BK0837,concept,互联医疗
2018-07-27,850.34,843.21,850.89,839.21,5096552.0,6202409728.0,1.37,-1.03,-8.8,0.4,BK0837,concept,互联医疗
2018-07-30,841.05,825.2,842.45,820.88,6236240.0,7526528000.0,2.56,-2.14,-18.01,0.49,BK0837,concept,互联医疗
2018-07-31,824.82,824.02,829.89,820.19,4004675.0,5051138048.0,1.18,-0.14,-1.18,0.32,BK0837,concept,互联医疗
2018-08-01,824.98,808.76,829.69,808.75,5087185.0,6082951680.0,2.54,-1.85,-15.26,0.4,BK0837,concept,互联医疗
2018-08-02,805.66,787.43,805.66,771.67,6521181.0,7770752256.0,4.2,-2.64,-21.33,0.51,BK0837,concept,互联医疗
2018-08-03,787.28,773.28,789.79,773.09,4923655.0,6189695232.0,2.12,-1.8,-14.15,0.39,BK0837,concept,互联医疗
2018-08-06,768.86,750.35,771.28,745.83,5682792.0,7155835136.0,3.29,-2.97,-22.93,0.45,BK0837,concept,互联医疗
2018-08-07,753.07,769.42,769.53,742.41,5959914.0,7646926080.0,3.61,2.54,19.07,0.47,BK0837,concept,互联医疗
2018-08-08,766.99,753.15,768.89,751.79,5075697.0,5998165248.0,2.22,-2.11,-16.27,0.4,BK0837,concept,互联医疗
2018-08-09,750.31,777.16,783.02,748.91,6677456.0,8763961856.0,4.53,3.19,24.01,0.53,BK0837,concept,互联医疗
2018-08-10,776.54,785.63,786.68,775.73,5149695.0,7215216640.0,1.41,1.09,8.47,0.41,BK0837,concept,互联医疗
2018-08-13,776.69,794.82,796.41,773.64,6327146.0,8434679552.0,2.9,1.17,9.19,0.5,BK0837,concept,互联医疗
2018-08-14,793.74,790.05,795.42,787.57,4283033.0,5825671168.0,0.99,-0.6,-4.77,0.34,BK0837,concept,互联医疗
2018-08-15,789.88,772.15,791.5,769.59,6701395.0,7395848704.0,2.77,-2.27,-17.9,0.53,BK0837,concept,互联医疗
2018-08-16,761.9,765.59,776.64,755.76,5546692.0,6291773952.0,2.7,-0.85,-6.56,0.44,BK0837,concept,互联医疗
2018-08-17,770.27,746.81,773.54,744.8,5357442.0,7816945664.0,3.75,-2.45,-18.78,0.42,BK0837,concept,互联医疗
2018-08-20,744.52,753.17,753.17,734.69,5283511.0,7022532864.0,2.47,0.85,6.36,0.42,BK0837,concept,互联医疗
2018-08-21,753.57,765.74,767.15,751.13,5183247.0,7167362048.0,2.13,1.67,12.57,0.41,BK0837,concept,互联医疗
2018-08-22,764.45,760.19,768.56,757.91,7716690.0,6231811840.0,1.39,-0.72,-5.55,0.61,BK0837,concept,互联医疗
2018-08-23,761.03,767.04,770.83,759.98,6018387.0,7175347712.0,1.43,0.9,6.85,0.47,BK0837,concept,互联医疗
2018-08-24,764.95,764.78,769.7,761.91,7111271.0,6745057792.0,1.02,-0.29,-2.26,0.56,BK0837,concept,互联医疗
2018-08-27,765.17,787.05,787.86,764.72,7498025.0,9636870144.0,3.03,2.91,22.27,0.59,BK0837,concept,互联医疗
2018-08-28,787.57,788.92,790.81,785.29,6481440.0,7997271552.0,0.7,0.24,1.87,0.51,BK0837,concept,互联医疗
