日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-08-01,1001.09,980.04,1004.48,979.4,1815802.0,1359055936.0,2.51,-2.0,-19.96,0.53,BK0849,concept,京东金融
2018-08-02,978.37,959.09,978.37,937.5,2134348.0,1558454944.0,4.17,-2.14,-20.95,0.62,BK0849,concept,京东金融
2018-08-03,955.34,950.42,963.07,947.09,1142019.0,860916832.0,1.67,-0.9,-8.67,0.33,BK0849,concept,京东金融
2018-08-06,947.24,948.63,953.93,931.9,1327952.0,938433520.0,2.32,-0.19,-1.79,0.38,BK0849,concept,京东金融
2018-08-07,946.16,968.26,968.52,939.14,1597753.0,1147711840.0,3.1,2.07,19.63,0.46,BK0849,concept,京东金融
2018-08-08,964.17,948.69,967.49,946.19,1268022.0,931038016.0,2.2,-2.02,-19.57,0.37,BK0849,concept,京东金融
2018-08-09,947.76,973.11,979.29,944.98,1854824.0,1439199408.0,3.62,2.57,24.42,0.54,BK0849,concept,京东金融
2018-08-10,969.82,978.19,978.32,965.72,1488808.0,1117009808.0,1.29,0.52,5.08,0.43,BK0849,concept,京东金融
2018-08-13,959.62,987.62,989.95,953.78,1834810.0,1493144016.0,3.7,0.96,9.43,0.53,BK0849,concept,京东金融
2018-08-14,974.99,972.83,976.32,968.2,1214126.0,975527984.0,0.82,-1.5,-14.79,0.35,BK0849,concept,京东金融
2018-08-15,965.45,952.5,970.03,952.5,1976156.0,1316210592.0,1.8,-2.09,-20.33,0.57,BK0849,concept,京东金融
2018-08-16,942.55,937.2,959.27,935.46,2037577.0,1316291680.0,2.5,-1.61,-15.3,0.59,BK0849,concept,京东金融
2018-08-17,943.8,941.88,955.45,936.15,1840918.0,1175082832.0,2.06,0.5,4.68,0.53,BK0849,concept,京东金融
2018-08-20,935.08,952.19,952.36,930.38,1642394.0,1106461088.0,2.33,1.09,10.31,0.48,BK0849,concept,京东金融
2018-08-21,951.33,964.47,967.02,947.3,1758883.0,1231895392.0,2.07,1.29,12.28,0.51,BK0849,concept,京东金融
2018-08-22,961.12,950.2,961.17,947.57,1189207.0,866867344.0,1.41,-1.48,-14.27,0.34,BK0849,concept,京东金融
2018-08-23,949.85,959.66,962.32,947.02,1477366.0,1088655616.0,1.61,1.0,9.46,0.43,BK0849,concept,京东金融
2018-08-24,957.17,954.83,963.06,949.07,1801450.0,1243716832.0,1.46,-0.5,-4.83,0.52,BK0849,concept,京东金融
2018-08-27,954.26,972.33,972.68,954.26,2204490.0,1605878352.0,1.93,1.83,17.5,0.64,BK0849,concept,京东金融
2018-08-28,972.81,969.7,975.35,966.36,1531967.0,1170157600.0,0.92,-0.27,-2.63,0.44,BK0849,concept,京东金融
2018-08-29,968.64,970.25,973.94,965.0,1648829.0,1208428592.0,0.92,0.06,0.55,0.48,BK0849,concept,京东金融
