日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-04-08,1024.61,1036.33,1036.59,1016.23,10016151.0,7430167296.0,2.04,3.63,36.33,0.89,BK0684,concept,京津冀
2014-04-09,1031.31,1047.92,1055.14,1031.13,9786853.0,7724952576.0,2.32,1.12,11.59,0.87,BK0684,concept,京津冀
2014-04-10,1045.93,1038.99,1060.47,1033.87,11263834.0,8763355392.0,2.54,-0.85,-8.93,1.0,BK0684,concept,京津冀
2014-04-11,1028.5,1039.85,1044.31,1019.81,9651213.0,6983715072.0,2.36,0.08,0.86,0.86,BK0684,concept,京津冀
2014-04-14,1040.38,1073.89,1076.39,1033.43,11074112.0,8892826112.0,4.13,3.27,34.04,0.99,BK0684,concept,京津冀
2014-04-15,1064.67,1040.63,1065.71,1039.37,7600165.0,6354782976.0,2.45,-3.1,-33.26,0.68,BK0684,concept,京津冀
2014-04-16,1034.84,1042.48,1049.73,1033.95,5583844.0,4704062720.0,1.52,0.18,1.85,0.5,BK0684,concept,京津冀
2014-04-17,1044.39,1019.22,1047.62,1018.89,7451015.0,5554266624.0,2.76,-2.23,-23.26,0.66,BK0684,concept,京津冀
2014-04-18,1013.69,1015.42,1019.38,1007.61,5685896.0,4352873216.0,1.15,-0.37,-3.8,0.51,BK0684,concept,京津冀
2014-04-21,1007.38,993.95,1020.08,991.93,5791363.0,4434799616.0,2.77,-2.11,-21.47,0.52,BK0684,concept,京津冀
2014-04-22,991.83,999.04,999.43,981.38,5719146.0,4620913920.0,1.82,0.51,5.09,0.51,BK0684,concept,京津冀
2014-04-23,993.79,983.7,996.39,981.58,4270791.0,3194818112.0,1.48,-1.54,-15.34,0.38,BK0684,concept,京津冀
2014-04-24,981.19,969.06,994.63,968.03,5592262.0,3994685248.0,2.7,-1.49,-14.64,0.5,BK0684,concept,京津冀
2014-04-25,969.32,947.76,980.62,944.99,6062709.0,4063670896.0,3.68,-2.2,-21.3,0.54,BK0684,concept,京津冀
2014-04-28,943.51,915.74,947.25,914.72,5000153.0,3240876352.0,3.43,-3.38,-32.02,0.45,BK0684,concept,京津冀
2014-04-29,917.82,929.62,930.1,906.25,4448669.0,3089039440.0,2.6,1.52,13.88,0.4,BK0684,concept,京津冀
2014-04-30,926.04,932.21,933.6,921.24,4293418.0,2839189088.0,1.33,0.28,2.59,0.38,BK0684,concept,京津冀
2014-05-05,929.14,924.13,929.14,911.47,4496730.0,2852802320.0,1.9,-0.87,-8.08,0.4,BK0684,concept,京津冀
2014-05-06,921.12,920.45,929.45,916.14,3643621.0,2432822816.0,1.44,-0.4,-3.68,0.32,BK0684,concept,京津冀
2014-05-07,916.72,901.23,918.21,900.89,3823842.0,2626075280.0,1.88,-2.09,-19.22,0.34,BK0684,concept,京津冀
2014-05-08,898.95,917.88,933.79,898.56,6256367.0,3975285712.0,3.91,1.85,16.65,0.56,BK0684,concept,京津冀
2014-05-09,915.3,894.88,915.64,891.09,4561458.0,2833488304.0,2.67,-2.51,-23.0,0.41,BK0684,concept,京津冀
2014-05-12,901.44,912.08,912.42,891.32,4217376.0,2666608992.0,2.36,1.92,17.2,0.38,BK0684,concept,京津冀
2014-05-13,911.63,919.84,930.64,910.64,4491793.0,3071659248.0,2.19,0.85,7.76,0.4,BK0684,concept,京津冀
2014-05-14,926.21,921.25,935.08,918.96,3904141.0,2555489440.0,1.75,0.15,1.41,0.35,BK0684,concept,京津冀
2014-05-15,918.21,893.92,918.39,892.53,3449300.0,2180981824.0,2.81,-2.97,-27.33,0.31,BK0684,concept,京津冀
2014-05-16,890.82,906.14,908.28,889.93,3806328.0,2614462944.0,2.05,1.37,12.22,0.34,BK0684,concept,京津冀
2014-05-19,902.19,890.19,902.19,883.28,2604099.0,1923081584.0,2.09,-1.76,-15.95,0.23,BK0684,concept,京津冀
2014-05-20,894.81,891.52,899.86,888.65,2363661.0,1635774496.0,1.26,0.15,1.33,0.21,BK0684,concept,京津冀
2014-05-21,889.82,904.02,905.32,879.88,3283298.0,2225809984.0,2.85,1.4,12.5,0.29,BK0684,concept,京津冀
2014-05-22,903.24,920.8,933.98,901.99,6388209.0,4420035072.0,3.54,1.86,16.78,0.57,BK0684,concept,京津冀
2014-05-23,918.76,932.71,936.13,918.35,5447751.0,3935655760.0,1.93,1.29,11.91,0.48,BK0684,concept,京津冀
2014-05-26,933.6,942.32,946.98,931.09,4503931.0,3291791456.0,1.7,1.03,9.61,0.4,BK0684,concept,京津冀
2014-05-27,940.95,932.84,944.2,931.55,3182308.0,2359376752.0,1.34,-1.01,-9.48,0.28,BK0684,concept,京津冀
2014-05-28,934.09,938.56,941.27,926.42,3163863.0,2343413072.0,1.59,0.61,5.72,0.28,BK0684,concept,京津冀
2014-05-29,939.09,920.05,945.95,919.84,3473180.0,2617671504.0,2.78,-1.97,-18.51,0.31,BK0684,concept,京津冀
2014-05-30,900.82,896.8,901.79,889.36,2905763.0,2078553936.0,1.35,-2.53,-23.25,0.26,BK0684,concept,京津冀
2014-06-03,913.79,914.44,920.58,913.5,2427449.0,1669099216.0,0.79,1.97,17.64,0.22,BK0684,concept,京津冀
2014-06-04,912.67,898.95,912.76,890.31,2632208.0,1917372912.0,2.46,-1.69,-15.49,0.23,BK0684,concept,京津冀
2014-06-05,898.8,913.45,913.45,898.8,2682048.0,1882135440.0,1.63,1.61,14.5,0.24,BK0684,concept,京津冀
2014-06-06,913.56,920.67,924.41,904.41,3801437.0,2841311568.0,2.19,0.79,7.22,0.34,BK0684,concept,京津冀
2014-06-09,916.19,915.84,928.26,913.59,3157117.0,2426787760.0,1.59,-0.52,-4.83,0.28,BK0684,concept,京津冀
2014-06-10,916.4,927.35,928.41,912.15,2938538.0,2328149360.0,1.78,1.26,11.51,0.26,BK0684,concept,京津冀
2014-06-11,926.38,941.81,946.85,923.87,4727729.0,3374959072.0,2.48,1.56,14.46,0.42,BK0684,concept,京津冀
2014-06-12,939.75,945.69,950.87,935.04,5936350.0,4392561664.0,1.68,0.41,3.88,0.53,BK0684,concept,京津冀
2014-06-13,942.93,945.98,950.06,941.09,4078358.0,3072185184.0,0.95,0.03,0.29,0.36,BK0684,concept,京津冀
2014-06-16,950.19,952.29,957.95,947.55,4531923.0,3095033440.0,1.1,0.67,6.31,0.4,BK0684,concept,京津冀
2014-06-17,947.13,948.88,959.66,945.95,5004558.0,3808430352.0,1.44,-0.36,-3.41,0.45,BK0684,concept,京津冀
2014-06-18,944.93,937.73,947.08,936.78,3953425.0,2964798576.0,1.09,-1.18,-11.15,0.35,BK0684,concept,京津冀
2014-06-19,935.6,908.2,939.39,903.81,3655437.0,2670630368.0,3.79,-3.15,-29.53,0.33,BK0684,concept,京津冀
2014-06-20,907.01,914.32,916.83,906.37,2360424.0,1674830944.0,1.15,0.67,6.12,0.21,BK0684,concept,京津冀
2014-06-23,918.75,919.26,923.87,915.1,2806917.0,1922605904.0,0.96,0.54,4.94,0.25,BK0684,concept,京津冀
2014-06-24,916.58,923.6,923.84,915.83,2724292.0,1851864160.0,0.87,0.47,4.34,0.24,BK0684,concept,京津冀
2014-06-25,923.33,922.49,927.83,920.08,2924698.0,2068415792.0,0.84,-0.12,-1.11,0.26,BK0684,concept,京津冀
2014-06-26,920.73,928.34,930.11,920.71,2865960.0,2051690032.0,1.02,0.63,5.85,0.26,BK0684,concept,京津冀
2014-06-27,927.76,934.39,939.96,924.47,3461014.0,2530257776.0,1.67,0.65,6.05,0.31,BK0684,concept,京津冀
2014-06-30,933.96,935.72,939.33,931.54,3223352.0,2251717280.0,0.83,0.14,1.33,0.29,BK0684,concept,京津冀
2014-07-01,935.54,934.35,937.66,927.66,2770698.0,1968414320.0,1.07,-0.15,-1.37,0.25,BK0684,concept,京津冀
2014-07-02,933.2,939.74,939.92,928.19,3777636.0,2359939360.0,1.26,0.58,5.39,0.34,BK0684,concept,京津冀
2014-07-03,938.42,949.6,952.21,935.89,4589347.0,2916676592.0,1.74,1.05,9.86,0.41,BK0684,concept,京津冀
2014-07-04,949.23,945.61,949.23,942.44,3748084.0,2536873312.0,0.72,-0.42,-3.99,0.33,BK0684,concept,京津冀
2014-07-07,947.12,958.15,960.23,944.81,4805190.0,3331326704.0,1.63,1.33,12.54,0.43,BK0684,concept,京津冀
2014-07-08,956.12,956.6,959.16,948.97,3636967.0,2588648800.0,1.06,-0.16,-1.55,0.32,BK0684,concept,京津冀
2014-07-09,955.24,933.16,955.24,932.45,3895743.0,2814513680.0,2.38,-2.45,-23.44,0.35,BK0684,concept,京津冀
2014-07-10,930.46,935.39,939.18,930.46,2433020.0,1721563040.0,0.93,0.24,2.23,0.22,BK0684,concept,京津冀
2014-07-11,935.2,943.48,945.23,933.58,2607296.0,1783078544.0,1.25,0.86,8.09,0.23,BK0684,concept,京津冀
2014-07-14,943.58,955.34,955.45,941.68,2943823.0,2060695616.0,1.46,1.26,11.86,0.26,BK0684,concept,京津冀
2014-07-15,955.92,967.66,968.14,952.76,4206282.0,3339723872.0,1.61,1.29,12.32,0.37,BK0684,concept,京津冀
2014-07-16,972.36,971.93,980.27,970.88,5064669.0,3750439632.0,0.97,0.44,4.27,0.45,BK0684,concept,京津冀
2014-07-17,972.46,966.95,972.46,961.99,4229313.0,2658914720.0,1.08,-0.51,-4.98,0.38,BK0684,concept,京津冀
2014-07-18,960.63,986.93,992.57,958.14,5508228.0,3776808816.0,3.56,2.07,19.98,0.49,BK0684,concept,京津冀
2014-07-21,988.28,989.3,999.04,985.98,4999758.0,3480012624.0,1.32,0.24,2.37,0.45,BK0684,concept,京津冀
2014-07-22,984.97,995.58,998.83,983.33,4190116.0,2920672944.0,1.57,0.63,6.28,0.37,BK0684,concept,京津冀
2014-07-23,999.41,1010.24,1016.95,999.32,6075478.0,4329670656.0,1.77,1.47,14.66,0.54,BK0684,concept,京津冀
2014-07-24,1005.11,1024.56,1033.83,1004.8,6924969.0,4739751424.0,2.87,1.42,14.32,0.62,BK0684,concept,京津冀
2014-07-25,1021.48,1026.72,1026.72,1012.12,5028997.0,3561900608.0,1.43,0.21,2.16,0.45,BK0684,concept,京津冀
2014-07-28,1028.59,1041.68,1042.55,1028.26,6743801.0,4808985856.0,1.39,1.46,14.96,0.6,BK0684,concept,京津冀
2014-07-29,1040.34,1046.12,1052.1,1038.08,6758394.0,4945050112.0,1.35,0.43,4.44,0.6,BK0684,concept,京津冀
2014-07-30,1042.04,1032.34,1042.04,1025.09,6447171.0,5081118976.0,1.62,-1.32,-13.78,0.57,BK0684,concept,京津冀
2014-07-31,1028.21,1039.24,1039.57,1027.0,4664373.0,3449687504.0,1.22,0.67,6.9,0.42,BK0684,concept,京津冀
2014-08-01,1036.32,1027.5,1047.05,1026.43,5517300.0,4076072832.0,1.98,-1.13,-11.74,0.49,BK0684,concept,京津冀
2014-08-04,1028.79,1049.43,1049.69,1028.79,5140214.0,3808765024.0,2.03,2.13,21.93,0.46,BK0684,concept,京津冀
2014-08-05,1051.79,1054.77,1059.68,1043.12,4941059.0,3693407008.0,1.58,0.51,5.34,0.44,BK0684,concept,京津冀
2014-08-06,1053.53,1052.36,1056.08,1039.04,5447016.0,4470483968.0,1.62,-0.23,-2.41,0.48,BK0684,concept,京津冀
2014-08-07,1053.65,1040.45,1058.63,1039.25,5228156.0,4080029168.0,1.84,-1.13,-11.91,0.47,BK0684,concept,京津冀
2014-08-08,1041.08,1042.18,1044.35,1034.02,4317703.0,3356919120.0,0.99,0.17,1.73,0.38,BK0684,concept,京津冀
2014-08-11,1044.35,1056.55,1058.77,1042.4,4692346.0,3880299280.0,1.57,1.38,14.37,0.42,BK0684,concept,京津冀
2014-08-12,1056.73,1068.18,1068.49,1055.02,5493713.0,4562108672.0,1.27,1.1,11.63,0.49,BK0684,concept,京津冀
2014-08-13,1068.67,1064.19,1069.54,1052.4,4758825.0,3857258992.0,1.6,-0.37,-3.99,0.42,BK0684,concept,京津冀
2014-08-14,1061.58,1053.99,1066.35,1053.31,4560661.0,4002825168.0,1.23,-0.96,-10.2,0.41,BK0684,concept,京津冀
2014-08-15,1053.39,1062.36,1063.81,1050.08,4397354.0,3808954992.0,1.3,0.79,8.37,0.39,BK0684,concept,京津冀
2014-08-18,1062.34,1072.51,1072.53,1060.88,4850347.0,3959556944.0,1.1,0.96,10.15,0.43,BK0684,concept,京津冀
2014-08-19,1073.29,1076.73,1076.74,1066.34,5730742.0,4825747712.0,0.97,0.39,4.22,0.51,BK0684,concept,京津冀
2014-08-20,1076.19,1087.28,1093.56,1072.54,6432339.0,4853427968.0,1.95,0.98,10.55,0.57,BK0684,concept,京津冀
2014-08-21,1084.88,1076.71,1086.54,1064.95,5775515.0,4342807040.0,1.99,-0.97,-10.57,0.51,BK0684,concept,京津冀
2014-08-22,1074.9,1090.32,1091.19,1068.85,6793763.0,4946521344.0,2.07,1.26,13.61,0.6,BK0684,concept,京津冀
2014-08-25,1090.34,1080.8,1090.34,1077.35,6995960.0,4956469504.0,1.19,-0.87,-9.52,0.62,BK0684,concept,京津冀
2014-08-26,1076.8,1064.52,1087.63,1058.81,5748540.0,4057241984.0,2.67,-1.51,-16.28,0.51,BK0684,concept,京津冀
2014-08-27,1061.8,1064.47,1072.79,1061.23,4415856.0,3103588560.0,1.09,0.0,-0.05,0.39,BK0684,concept,京津冀
2014-08-28,1062.33,1047.9,1064.21,1047.9,3854224.0,2768114928.0,1.53,-1.56,-16.57,0.34,BK0684,concept,京津冀
2014-08-29,1048.37,1059.15,1059.23,1046.29,2716626.0,2027203360.0,1.23,1.07,11.25,0.24,BK0684,concept,京津冀
2014-09-01,1060.82,1074.33,1076.57,1057.0,4124627.0,3172604080.0,1.85,1.43,15.18,0.37,BK0684,concept,京津冀
2014-09-02,1076.81,1100.86,1101.2,1076.81,7598479.0,6193202688.0,2.27,2.47,26.53,0.68,BK0684,concept,京津冀
2014-09-03,1103.33,1107.83,1109.66,1098.88,8191261.0,6507886592.0,0.98,0.63,6.97,0.73,BK0684,concept,京津冀
2014-09-04,1111.12,1130.57,1132.29,1110.96,9503100.0,7512774144.0,1.93,2.05,22.74,0.85,BK0684,concept,京津冀
2014-09-05,1131.29,1128.47,1133.08,1122.2,7736682.0,6329092352.0,0.96,-0.19,-2.1,0.69,BK0684,concept,京津冀
2014-09-09,1130.53,1133.95,1135.69,1121.83,6737036.0,5493950720.0,1.23,0.49,5.48,0.6,BK0684,concept,京津冀
2014-09-10,1130.46,1137.41,1138.48,1122.83,5815389.0,4694572032.0,1.38,0.31,3.46,0.52,BK0684,concept,京津冀
2014-09-11,1136.45,1138.69,1148.32,1128.33,6723764.0,5463607808.0,1.76,0.11,1.28,0.6,BK0684,concept,京津冀
2014-09-12,1138.15,1153.05,1153.05,1133.75,5822984.0,4666982400.0,1.69,1.26,14.36,0.52,BK0684,concept,京津冀
2014-09-15,1154.45,1156.19,1159.56,1149.86,6617004.0,5307454976.0,0.84,0.27,3.14,0.59,BK0684,concept,京津冀
2014-09-16,1158.36,1121.04,1165.77,1120.95,8898696.0,6730802432.0,3.88,-3.04,-35.15,0.79,BK0684,concept,京津冀
2014-09-17,1127.66,1141.2,1141.48,1117.24,6879588.0,4932962816.0,2.16,1.8,20.16,0.61,BK0684,concept,京津冀
2014-09-18,1139.17,1142.66,1144.5,1134.6,4842815.0,3522748496.0,0.87,0.13,1.46,0.43,BK0684,concept,京津冀
2014-09-19,1144.62,1153.25,1155.58,1142.03,4800977.0,3661184784.0,1.19,0.93,10.59,0.43,BK0684,concept,京津冀
2014-09-22,1154.78,1147.44,1157.61,1141.54,6028368.0,4945449216.0,1.39,-0.5,-5.81,0.54,BK0684,concept,京津冀
2014-09-23,1148.22,1157.33,1158.16,1148.05,4531180.0,3880569392.0,0.88,0.86,9.89,0.4,BK0684,concept,京津冀
2014-09-24,1156.28,1172.63,1172.63,1152.13,6319133.0,5675493376.0,1.77,1.32,15.3,0.56,BK0684,concept,京津冀
2014-09-25,1176.17,1169.3,1181.68,1164.88,6926024.0,6172542208.0,1.43,-0.28,-3.33,0.62,BK0684,concept,京津冀
2014-09-26,1165.13,1169.38,1171.05,1160.61,4892241.0,4421958400.0,0.89,0.01,0.08,0.44,BK0684,concept,京津冀
2014-09-29,1172.51,1179.51,1182.51,1172.47,5714106.0,5190025216.0,0.86,0.87,10.13,0.51,BK0684,concept,京津冀
2014-09-30,1182.99,1192.56,1193.45,1180.67,5750388.0,5020720128.0,1.08,1.11,13.05,0.51,BK0684,concept,京津冀
2014-10-08,1214.97,1221.63,1228.28,1212.71,8130339.0,7066521856.0,1.31,2.44,29.07,0.72,BK0684,concept,京津冀
2014-10-09,1223.16,1227.44,1231.08,1208.49,7728691.0,6859383808.0,1.85,0.48,5.81,0.69,BK0684,concept,京津冀
2014-10-10,1224.02,1237.49,1242.5,1220.3,7512047.0,6374467840.0,1.81,0.82,10.05,0.67,BK0684,concept,京津冀
