日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2024-12-02,1023.75,1057.41,1072.26,1022.67,17711506.0,35593429939.0,4.96,5.74,57.41,1.45,BK1184,concept,人形机器人
2024-12-03,1058.27,1067.43,1087.15,1056.31,18576785.0,36333039461.0,2.92,0.95,10.02,1.52,BK1184,concept,人形机器人
2024-12-04,1059.2,1086.8,1113.47,1059.2,26926431.0,45329326018.0,5.08,1.81,19.37,2.2,BK1184,concept,人形机器人
2024-12-05,1094.15,1132.52,1153.78,1094.15,22188437.0,43504646708.0,5.49,4.21,45.72,1.82,BK1184,concept,人形机器人
2024-12-06,1144.24,1121.42,1149.14,1099.4,30794790.0,56391954791.0,4.39,-0.98,-11.1,2.52,BK1184,concept,人形机器人
2024-12-09,1110.32,1150.51,1178.05,1110.32,25681299.0,54008870850.0,6.04,2.59,29.09,2.1,BK1184,concept,人形机器人
2024-12-10,1187.98,1217.07,1241.68,1171.88,33126684.0,72057845283.0,6.07,5.79,66.56,2.71,BK1184,concept,人形机器人
2024-12-11,1197.65,1217.87,1227.28,1171.94,46563291.0,79586563135.0,4.55,0.07,0.8,3.81,BK1184,concept,人形机器人
2024-12-12,1202.79,1191.33,1210.11,1178.58,38250996.0,66235221131.0,2.59,-2.18,-26.54,3.13,BK1184,concept,人形机器人
2024-12-13,1177.02,1168.77,1205.57,1167.13,36180652.0,61672895878.0,3.23,-1.89,-22.56,2.96,BK1184,concept,人形机器人
2024-12-16,1160.54,1137.71,1171.61,1130.69,32942599.0,50674097003.0,3.5,-2.66,-31.06,2.69,BK1184,concept,人形机器人
2024-12-17,1129.38,1086.61,1133.03,1082.97,25056305.0,37456763359.0,4.4,-4.49,-51.1,2.05,BK1184,concept,人形机器人
2024-12-18,1091.98,1093.92,1103.88,1077.16,24294811.0,36458562886.0,2.46,0.67,7.31,1.99,BK1184,concept,人形机器人
2024-12-19,1077.21,1103.24,1108.22,1076.28,22127597.0,36802810551.0,2.92,0.85,9.32,1.81,BK1184,concept,人形机器人
2024-12-20,1096.08,1133.97,1148.79,1095.54,24793935.0,42711595946.0,4.83,2.79,30.73,2.03,BK1184,concept,人形机器人
2024-12-23,1127.01,1079.2,1131.66,1076.48,20257085.0,32537574793.0,4.87,-4.83,-54.77,1.66,BK1184,concept,人形机器人
2024-12-24,1096.25,1115.77,1122.79,1094.73,20134015.0,35344145061.0,2.6,3.39,36.57,1.65,BK1184,concept,人形机器人
2024-12-25,1113.19,1097.97,1116.85,1083.52,22978496.0,40783941758.0,2.99,-1.6,-17.8,1.88,BK1184,concept,人形机器人
2024-12-26,1091.01,1125.38,1134.33,1087.96,20946777.0,39788219172.0,4.22,2.5,27.41,1.71,BK1184,concept,人形机器人
2024-12-27,1121.61,1106.45,1129.25,1101.66,22830790.0,39331026288.0,2.45,-1.68,-18.93,1.87,BK1184,concept,人形机器人
2024-12-30,1099.08,1084.9,1104.2,1075.86,20225536.0,34180554107.0,2.56,-1.95,-21.55,1.65,BK1184,concept,人形机器人
2024-12-31,1086.6,1044.51,1090.81,1044.51,21275289.0,33371716568.0,4.27,-3.72,-40.39,1.74,BK1184,concept,人形机器人
2025-01-02,1042.33,1034.88,1069.95,1023.47,20862901.0,35219388905.0,4.45,-0.92,-9.63,1.71,BK1184,concept,人形机器人
2025-01-03,1035.23,980.26,1037.84,978.65,20037482.0,32031151141.0,5.72,-5.28,-54.62,1.64,BK1184,concept,人形机器人
2025-01-06,975.42,961.33,982.48,951.99,15436414.0,23254949558.0,3.11,-1.93,-18.93,1.26,BK1184,concept,人形机器人
2025-01-07,963.92,995.34,995.35,963.92,17091271.0,25616178345.0,3.27,3.54,34.01,1.4,BK1184,concept,人形机器人
2025-01-08,990.79,1028.93,1043.29,967.4,25227540.0,40615331084.0,7.62,3.37,33.59,2.06,BK1184,concept,人形机器人
2025-01-09,1020.43,1066.03,1074.16,1020.43,26418765.0,44310688598.0,5.22,3.61,37.1,2.16,BK1184,concept,人形机器人
2025-01-10,1065.08,1076.07,1123.67,1065.08,30700379.0,55358969189.0,5.5,0.94,10.04,2.51,BK1184,concept,人形机器人
2025-01-13,1052.8,1074.65,1110.37,1052.8,28335558.0,50748909346.0,5.35,-0.13,-1.42,2.32,BK1184,concept,人形机器人
2025-01-14,1071.83,1169.01,1169.02,1071.81,39012637.0,71708986969.0,9.05,8.78,94.36,3.19,BK1184,concept,人形机器人
2025-01-15,1168.16,1168.15,1178.87,1157.46,35112043.0,66316924787.0,1.83,-0.07,-0.86,2.87,BK1184,concept,人形机器人
2025-01-16,1173.41,1158.23,1194.46,1144.84,31627300.0,64334007229.0,4.25,-0.85,-9.92,2.59,BK1184,concept,人形机器人
2025-01-17,1151.4,1157.26,1180.02,1149.27,24953819.0,49960522515.0,2.65,-0.08,-0.97,2.04,BK1184,concept,人形机器人
2025-01-20,1169.1,1170.16,1177.14,1154.67,25661755.0,50515321165.0,1.94,1.11,12.9,2.1,BK1184,concept,人形机器人
2025-01-21,1176.38,1215.66,1215.66,1171.91,30988403.0,68108756521.0,3.74,3.89,45.5,2.53,BK1184,concept,人形机器人
2025-01-22,1203.31,1193.26,1210.36,1187.97,28217109.0,56707731550.0,1.84,-1.84,-22.4,2.31,BK1184,concept,人形机器人
2025-01-23,1205.79,1196.42,1239.92,1193.93,34426387.0,66836103619.0,3.85,0.26,3.16,2.82,BK1184,concept,人形机器人
2025-01-24,1185.43,1235.59,1236.27,1181.55,34907094.0,67905548638.0,4.57,3.27,39.17,2.86,BK1184,concept,人形机器人
2025-01-27,1229.12,1175.04,1230.23,1175.04,25846310.0,49211839534.0,4.47,-4.9,-60.55,2.11,BK1184,concept,人形机器人
2025-02-05,1192.17,1217.43,1230.87,1190.12,28735897.0,60666700021.0,3.47,3.61,42.39,2.35,BK1184,concept,人形机器人
2025-02-06,1210.45,1306.24,1317.04,1209.84,41472476.0,84788869911.0,8.81,7.29,88.81,3.39,BK1184,concept,人形机器人
2025-02-07,1305.04,1318.05,1334.52,1290.69,51956227.0,105665171096.0,3.36,0.9,11.81,4.25,BK1184,concept,人形机器人
2025-02-10,1312.65,1318.74,1318.74,1287.84,42615298.0,87506488458.0,2.34,0.05,0.69,3.49,BK1184,concept,人形机器人
2025-02-11,1310.4,1328.7,1345.37,1302.63,38717034.0,82461977094.0,3.24,0.76,9.96,3.17,BK1184,concept,人形机器人
2025-02-12,1318.59,1350.14,1360.08,1308.26,49407264.0,87966258750.0,3.9,1.61,21.44,4.04,BK1184,concept,人形机器人
2025-02-13,1348.66,1301.63,1355.32,1301.63,52769774.0,93118474225.0,3.98,-3.59,-48.51,4.32,BK1184,concept,人形机器人
