日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-05-08,1046.47,1065.65,1078.64,1045.74,10422733.0,6363481344.0,3.29,6.57,65.65,7.22,BK0866,concept,人造肉
2019-05-09,1041.75,1052.33,1053.45,1031.59,13476490.0,8381007872.0,2.05,-1.25,-13.32,9.34,BK0866,concept,人造肉
2019-05-10,1040.29,1071.61,1081.13,1040.18,17352592.0,11487753984.0,3.89,1.83,19.28,12.02,BK0866,concept,人造肉
2019-05-13,1046.43,1063.04,1074.66,1044.88,14558341.0,9644751360.0,2.78,-0.8,-8.57,10.09,BK0866,concept,人造肉
2019-05-14,1056.45,1044.65,1065.73,1042.22,12520255.0,8693785344.0,2.21,-1.73,-18.39,8.68,BK0866,concept,人造肉
2019-05-15,1060.84,1092.52,1092.52,1060.84,12778692.0,8882734848.0,3.03,4.58,47.87,8.86,BK0866,concept,人造肉
2019-05-16,1099.65,1098.86,1115.52,1092.59,16100612.0,11103719936.0,2.1,0.58,6.34,11.16,BK0866,concept,人造肉
2019-05-17,1102.46,1096.46,1120.53,1091.55,17929285.0,11958620928.0,2.64,-0.22,-2.4,12.42,BK0866,concept,人造肉
2019-05-20,1078.48,1041.68,1079.6,1029.02,11933052.0,8478156288.0,4.61,-5.0,-54.78,8.27,BK0866,concept,人造肉
2019-05-21,1022.36,1048.73,1055.84,1018.14,11396812.0,7914363136.0,3.62,0.68,7.05,7.9,BK0866,concept,人造肉
2019-05-22,1037.85,1040.67,1052.42,1033.29,11046404.0,7734485504.0,1.82,-0.77,-8.06,7.65,BK0866,concept,人造肉
2019-05-23,1026.69,988.71,1026.69,986.14,10918842.0,7088999680.0,3.9,-4.99,-51.96,7.57,BK0866,concept,人造肉
2019-05-24,984.41,974.18,999.11,970.82,7928960.0,5138823168.0,2.86,-1.47,-14.53,5.49,BK0866,concept,人造肉
2019-05-27,976.81,998.86,999.4,968.13,7122735.0,4852554240.0,3.21,2.53,24.68,4.94,BK0866,concept,人造肉
