日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-03-16,994.87,995.77,999.78,973.49,14133770.0,5643685632.0,2.63,-0.42,-4.23,2.11,BK0979,concept,低碳冶金
2021-03-17,985.94,958.97,985.95,950.39,11869301.0,4882506496.0,3.57,-3.7,-36.8,1.77,BK0979,concept,低碳冶金
2021-03-18,958.92,968.0,981.85,956.74,10382573.0,4342585600.0,2.62,0.94,9.03,1.55,BK0979,concept,低碳冶金
2021-03-19,948.5,964.91,980.05,947.62,10337579.0,4326508800.0,3.35,-0.32,-3.09,1.54,BK0979,concept,低碳冶金
2021-03-22,978.27,992.37,997.27,978.27,9712352.0,4276327808.0,1.97,2.85,27.46,1.45,BK0979,concept,低碳冶金
2021-03-23,987.9,965.16,990.91,943.4,11530066.0,5224215296.0,4.79,-2.74,-27.21,1.72,BK0979,concept,低碳冶金
2021-03-24,958.17,964.77,972.68,952.49,11092311.0,5752363520.0,2.09,-0.04,-0.39,1.66,BK0979,concept,低碳冶金
2021-03-25,953.61,940.1,953.61,936.13,6664229.0,3083261568.0,1.81,-2.56,-24.67,0.99,BK0979,concept,低碳冶金
2021-03-26,934.99,946.57,949.55,932.94,6572530.0,3116326032.0,1.77,0.69,6.47,0.98,BK0979,concept,低碳冶金
2021-03-29,949.37,949.92,958.68,941.4,7052977.0,3433722704.0,1.83,0.35,3.35,1.05,BK0979,concept,低碳冶金
2021-03-30,944.6,944.44,947.37,931.17,6686913.0,3031519792.0,1.71,-0.58,-5.48,1.0,BK0979,concept,低碳冶金
2021-03-31,941.32,962.72,966.64,941.08,9433299.0,4010321952.0,2.71,1.94,18.28,1.41,BK0979,concept,低碳冶金
2021-04-01,959.29,977.12,988.04,942.67,12707116.0,5372856576.0,4.71,1.5,14.4,1.9,BK0979,concept,低碳冶金
2021-04-02,971.16,970.97,982.11,968.42,7797856.0,3616655744.0,1.4,-0.63,-6.15,1.16,BK0979,concept,低碳冶金
2021-04-06,980.77,992.93,1008.34,980.77,8467969.0,4139057744.0,2.84,2.26,21.96,1.26,BK0979,concept,低碳冶金
2021-04-07,1000.22,1040.63,1044.19,997.18,14109721.0,6133998592.0,4.73,4.8,47.7,2.11,BK0979,concept,低碳冶金
2021-04-08,1043.13,1038.98,1076.55,1031.07,18128262.0,8350799104.0,4.37,-0.16,-1.65,2.71,BK0979,concept,低碳冶金
2021-04-09,1047.1,1050.77,1067.11,1027.5,16205059.0,7321968640.0,3.81,1.13,11.79,2.42,BK0979,concept,低碳冶金
2021-04-12,1041.26,1063.34,1074.53,1033.76,16875702.0,7437465600.0,3.88,1.2,12.57,2.52,BK0979,concept,低碳冶金
2021-04-13,1050.15,1035.65,1050.33,1021.68,11197572.0,4912584192.0,2.69,-2.6,-27.69,1.67,BK0979,concept,低碳冶金
2021-04-14,1022.57,1045.72,1055.68,1022.57,9110908.0,3824105136.0,3.2,0.97,10.07,1.36,BK0979,concept,低碳冶金
2021-04-15,1037.91,1027.34,1037.91,1017.86,7570500.0,3157533888.0,1.92,-1.76,-18.38,1.13,BK0979,concept,低碳冶金
2021-04-16,1027.66,1046.23,1053.59,1026.34,7984136.0,3787627200.0,2.65,1.84,18.89,1.19,BK0979,concept,低碳冶金
