日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-10-18,1001.4,996.62,1002.61,985.59,22593182.0,28647498327.81,1.7,-0.34,-3.38,1.51,BK1104,concept,信创
2022-10-19,992.8,997.83,1008.73,980.87,21738276.0,30391210815.14,2.8,0.12,1.21,1.45,BK1104,concept,信创
2022-10-20,991.4,1006.07,1024.0,989.89,26402390.0,40388948931.91,3.42,0.83,8.24,1.76,BK1104,concept,信创
2022-10-21,1002.87,1005.45,1013.41,983.5,28853109.0,38031585247.67,2.97,-0.06,-0.62,1.93,BK1104,concept,信创
2022-10-24,1007.76,1002.54,1032.45,997.4,30293385.0,44806909658.68,3.49,-0.29,-2.91,2.02,BK1104,concept,信创
2022-10-25,993.24,985.26,1001.67,975.93,27895145.0,39422008030.43,2.57,-1.72,-17.28,1.86,BK1104,concept,信创
2022-10-26,985.92,1038.31,1046.9,985.92,37539710.0,55711107003.92,6.19,5.38,53.05,2.51,BK1104,concept,信创
2022-10-27,1044.92,1054.26,1071.88,1040.72,43396741.0,64479555197.68,3.0,1.54,15.95,2.9,BK1104,concept,信创
2022-10-28,1046.64,1033.78,1064.92,1030.96,43407775.0,62810610853.72,3.22,-1.94,-20.48,2.9,BK1104,concept,信创
2022-10-31,1044.36,1093.55,1103.34,1044.36,47863405.0,74038010683.27,5.71,5.78,59.77,3.2,BK1104,concept,信创
2022-11-01,1097.14,1100.38,1103.4,1079.22,49344537.0,73567575002.14,2.21,0.62,6.83,3.3,BK1104,concept,信创
2022-11-02,1098.89,1105.24,1108.13,1090.87,48978368.0,70603204731.79,1.57,0.44,4.86,3.27,BK1104,concept,信创
2022-11-03,1091.01,1082.77,1098.37,1071.53,40759818.0,63576795302.23,2.43,-2.03,-22.47,2.72,BK1104,concept,信创
2022-11-04,1080.52,1092.69,1095.9,1073.47,35972372.0,56583170741.89,2.07,0.92,9.92,2.4,BK1104,concept,信创
2022-11-07,1092.61,1099.19,1117.24,1091.02,38294653.0,57391388618.37,2.4,0.59,6.5,2.56,BK1104,concept,信创
2022-11-08,1095.34,1121.07,1121.07,1078.37,46142985.0,66206282935.87,3.88,1.99,21.88,3.08,BK1104,concept,信创
2022-11-09,1117.75,1105.71,1120.95,1095.21,39141068.0,55457652154.52,2.3,-1.37,-15.36,2.62,BK1104,concept,信创
2022-11-10,1096.9,1112.48,1121.36,1096.56,41894425.0,55892454970.65,2.24,0.61,6.77,2.8,BK1104,concept,信创
2022-11-11,1135.12,1100.54,1137.52,1100.54,54398226.0,71504065349.25,3.32,-1.07,-11.94,3.63,BK1104,concept,信创
2022-11-14,1094.59,1115.91,1116.98,1087.23,47041497.0,59998863540.13,2.7,1.4,15.37,3.14,BK1104,concept,信创
2022-11-15,1111.19,1134.17,1147.27,1110.09,48709536.0,69037474334.67,3.33,1.64,18.26,3.25,BK1104,concept,信创
2022-11-16,1131.6,1132.24,1153.12,1126.46,47522509.0,61857444878.48,2.35,-0.17,-1.93,3.18,BK1104,concept,信创
2022-11-17,1136.84,1169.54,1169.54,1127.05,53313083.0,76733611606.41,3.75,3.29,37.3,3.56,BK1104,concept,信创
2022-11-18,1166.74,1143.95,1181.67,1142.47,58061263.0,83441984080.45,3.35,-2.19,-25.59,3.88,BK1104,concept,信创
2022-11-21,1136.91,1150.1,1151.2,1122.86,44696215.0,61999552684.85,2.48,0.54,6.15,2.99,BK1104,concept,信创
2022-11-22,1143.74,1127.07,1153.18,1122.57,42066728.0,57613006159.84,2.66,-2.0,-23.03,2.81,BK1104,concept,信创
2022-11-23,1124.93,1104.17,1125.2,1089.56,36822590.0,50893544970.82,3.16,-2.03,-22.9,2.46,BK1104,concept,信创
2022-11-24,1102.93,1096.43,1113.38,1093.83,28737436.0,42384252390.43,1.77,-0.7,-7.74,1.92,BK1104,concept,信创
2022-11-25,1095.12,1079.43,1101.72,1079.43,25763222.0,36995215101.02,2.03,-1.55,-17.0,1.72,BK1104,concept,信创
2022-11-28,1061.21,1069.2,1079.9,1059.43,24932320.0,37143926246.65,1.9,-0.95,-10.23,1.67,BK1104,concept,信创
2022-11-29,1069.0,1087.51,1089.23,1068.42,26854018.0,38833207494.85,1.95,1.71,18.31,1.79,BK1104,concept,信创
