日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-10-08,1004.99,998.79,1012.37,991.18,1787674.0,2422705504.0,2.12,-0.12,-1.21,0.53,BK0884,concept,光刻机(胶)
2019-10-09,989.18,1030.71,1030.71,979.83,2166707.0,2994894032.0,5.09,3.2,31.92,0.65,BK0884,concept,光刻机(胶)
2019-10-10,1025.41,1045.85,1048.68,1021.81,2307757.0,3364946672.0,2.61,1.47,15.14,0.69,BK0884,concept,光刻机(胶)
2019-10-11,1044.89,1026.68,1044.89,1024.61,1997025.0,2832995872.0,1.94,-1.83,-19.17,0.6,BK0884,concept,光刻机(胶)
2019-10-14,1033.47,1049.82,1050.54,1031.56,2110175.0,3068494592.0,1.85,2.25,23.14,0.63,BK0884,concept,光刻机(胶)
2019-10-15,1039.49,1020.54,1039.59,1013.72,2143861.0,2922672400.0,2.46,-2.79,-29.28,0.64,BK0884,concept,光刻机(胶)
2019-10-16,1017.42,1025.19,1033.26,1017.4,2169803.0,2832613840.0,1.55,0.46,4.65,0.65,BK0884,concept,光刻机(胶)
2019-10-17,1019.02,1019.89,1030.16,1015.31,1982739.0,2568133664.0,1.45,-0.52,-5.3,0.59,BK0884,concept,光刻机(胶)
2019-10-18,1018.41,997.75,1021.43,993.63,1638031.0,2193799840.0,2.73,-2.17,-22.14,0.49,BK0884,concept,光刻机(胶)
2019-10-21,1003.15,994.23,1003.15,982.66,1641707.0,1908586656.0,2.05,-0.35,-3.52,0.49,BK0884,concept,光刻机(胶)
2019-10-22,991.12,1002.64,1002.64,986.82,1620812.0,2122460224.0,1.59,0.85,8.41,0.48,BK0884,concept,光刻机(胶)
2019-10-23,999.51,988.28,1003.06,984.47,1547413.0,1898015600.0,1.85,-1.43,-14.36,0.46,BK0884,concept,光刻机(胶)
2019-10-24,988.21,981.92,994.29,974.97,1738230.0,2073148880.0,1.95,-0.64,-6.36,0.52,BK0884,concept,光刻机(胶)
2019-10-25,981.04,981.66,985.96,967.78,1374636.0,1683172432.0,1.85,-0.03,-0.26,0.41,BK0884,concept,光刻机(胶)
2019-10-28,981.33,1022.77,1022.78,981.33,1975687.0,2872668688.0,4.22,4.19,41.11,0.59,BK0884,concept,光刻机(胶)
2019-10-29,1017.78,1000.73,1018.7,1000.72,1836467.0,2613959024.0,1.76,-2.15,-22.04,0.55,BK0884,concept,光刻机(胶)
2019-10-30,996.4,999.51,1013.01,988.05,1552808.0,2176404064.0,2.49,-0.12,-1.22,0.46,BK0884,concept,光刻机(胶)
2019-10-31,997.19,978.36,1004.01,976.46,1332051.0,1976783888.0,2.76,-2.12,-21.15,0.4,BK0884,concept,光刻机(胶)
2019-11-01,973.64,1001.81,1005.25,968.94,1803587.0,2588056336.0,3.71,2.4,23.45,0.54,BK0884,concept,光刻机(胶)
2019-11-04,1000.78,1005.09,1012.1,998.88,1707511.0,2596100656.0,1.32,0.33,3.28,0.51,BK0884,concept,光刻机(胶)
2019-11-05,1004.89,997.27,1005.82,991.29,1552758.0,2332374992.0,1.45,-0.78,-7.82,0.46,BK0884,concept,光刻机(胶)
2019-11-06,999.48,982.57,1002.26,977.41,1573490.0,2343923152.0,2.49,-1.47,-14.7,0.47,BK0884,concept,光刻机(胶)
2019-11-07,979.34,1018.01,1018.04,978.86,2092905.0,3099337984.0,3.99,3.61,35.44,0.63,BK0884,concept,光刻机(胶)
2019-11-08,1022.54,1006.16,1025.17,1002.67,1842085.0,2944229680.0,2.21,-1.16,-11.85,0.55,BK0884,concept,光刻机(胶)
2019-11-11,991.3,966.73,992.03,964.41,1485372.0,2207494000.0,2.75,-3.92,-39.43,0.44,BK0884,concept,光刻机(胶)
2019-11-12,965.49,970.85,971.88,950.51,1426313.0,1863514336.0,2.21,0.43,4.12,0.43,BK0884,concept,光刻机(胶)
2019-11-13,966.99,963.19,971.52,958.85,1062368.0,1458018112.0,1.31,-0.79,-7.66,0.32,BK0884,concept,光刻机(胶)
2019-11-14,960.16,977.19,980.85,960.16,1367638.0,1938108304.0,2.15,1.45,14.0,0.41,BK0884,concept,光刻机(胶)
2019-11-15,974.99,952.9,976.54,952.9,1398528.0,2138195920.0,2.42,-2.49,-24.29,0.42,BK0884,concept,光刻机(胶)
2019-11-18,950.88,956.93,957.29,943.84,1126591.0,1494803392.0,1.41,0.42,4.03,0.34,BK0884,concept,光刻机(胶)
2019-11-19,957.32,985.86,985.86,957.07,1622881.0,2246075168.0,3.01,3.02,28.93,0.48,BK0884,concept,光刻机(胶)
2019-11-20,983.23,983.32,990.63,979.0,1801368.0,2456110704.0,1.18,-0.26,-2.54,0.54,BK0884,concept,光刻机(胶)
2019-11-21,978.38,986.7,992.72,975.83,1383876.0,1848083760.0,1.72,0.34,3.38,0.41,BK0884,concept,光刻机(胶)
2019-11-22,985.34,970.6,999.11,966.13,1670278.0,2255136880.0,3.34,-1.63,-16.1,0.5,BK0884,concept,光刻机(胶)
2019-11-25,970.08,957.36,971.45,948.52,1273206.0,1665103664.0,2.36,-1.36,-13.24,0.38,BK0884,concept,光刻机(胶)
2019-11-26,958.1,958.68,967.03,951.95,1059104.0,1424277776.0,1.58,0.14,1.32,0.32,BK0884,concept,光刻机(胶)
2019-11-27,956.67,962.0,972.02,952.27,1264507.0,1901749328.0,2.06,0.35,3.32,0.38,BK0884,concept,光刻机(胶)
2019-11-28,956.77,953.58,964.13,950.31,1306868.0,1574966880.0,1.44,-0.88,-8.42,0.39,BK0884,concept,光刻机(胶)
