日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-04-21,992.04,954.04,994.68,954.02,11013819.0,24618149806.0,4.07,-4.6,-45.96,2.9,BK1136,concept,光通信模块
2023-04-24,956.23,985.97,996.83,956.23,9008845.0,24246012945.0,4.26,3.35,31.93,2.37,BK1136,concept,光通信模块
2023-04-25,977.76,934.32,977.92,924.17,11439781.0,25678987493.0,5.45,-5.24,-51.65,3.01,BK1136,concept,光通信模块
2023-04-26,924.62,912.1,946.08,899.01,11494855.0,25546647710.0,5.04,-2.38,-22.22,3.02,BK1136,concept,光通信模块
2023-04-27,887.49,870.67,896.07,862.19,8122844.0,20877878800.0,3.71,-4.54,-41.43,2.14,BK1136,concept,光通信模块
2023-04-28,866.65,912.79,917.51,866.65,8454386.0,19851436517.0,5.84,4.84,42.12,2.22,BK1136,concept,光通信模块
2023-05-04,907.28,899.49,915.56,890.19,8310979.0,18735911075.0,2.78,-1.46,-13.3,2.19,BK1136,concept,光通信模块
2023-05-05,898.56,863.68,898.97,860.08,7950287.0,17742012290.0,4.32,-3.98,-35.81,2.09,BK1136,concept,光通信模块
2023-05-08,863.67,875.68,885.58,853.39,6565476.0,15451106330.0,3.73,1.39,12.0,1.73,BK1136,concept,光通信模块
2023-05-09,869.91,860.18,886.39,859.75,7705862.0,16370720553.0,3.04,-1.77,-15.5,2.03,BK1136,concept,光通信模块
2023-05-10,863.63,858.13,879.39,849.38,6613511.0,15389739474.0,3.49,-0.24,-2.05,1.74,BK1136,concept,光通信模块
2023-05-11,858.21,853.89,862.8,849.09,6052226.0,12795695628.0,1.6,-0.49,-4.24,1.59,BK1136,concept,光通信模块
2023-05-12,852.56,853.65,869.88,850.83,5427178.0,13288841042.0,2.23,-0.03,-0.24,1.43,BK1136,concept,光通信模块
2023-05-15,856.84,866.24,867.56,836.5,6078918.0,15048334497.0,3.64,1.47,12.59,1.6,BK1136,concept,光通信模块
2023-05-16,863.18,848.29,863.18,844.15,5706926.0,14126741463.0,2.2,-2.07,-17.95,1.5,BK1136,concept,光通信模块
2023-05-17,844.46,875.4,875.4,843.66,4979177.0,13923665508.0,3.74,3.2,27.11,1.31,BK1136,concept,光通信模块
2023-05-18,891.99,941.29,942.76,891.35,9935190.0,25033472379.0,5.87,7.53,65.89,2.61,BK1136,concept,光通信模块
2023-05-19,926.5,918.05,933.23,914.03,9097599.0,25362590408.0,2.04,-2.47,-23.24,2.39,BK1136,concept,光通信模块
2023-05-22,910.09,904.82,911.91,892.86,5853437.0,15341419239.0,2.08,-1.44,-13.23,1.54,BK1136,concept,光通信模块
2023-05-23,902.55,893.01,913.33,887.21,5832280.0,15567469857.0,2.89,-1.31,-11.81,1.53,BK1136,concept,光通信模块
2023-05-24,884.81,917.68,931.91,884.12,6888491.0,18989510897.0,5.35,2.76,24.67,1.81,BK1136,concept,光通信模块
2023-05-25,931.97,928.76,953.89,904.76,9765375.0,25354038269.0,5.35,1.21,11.08,2.57,BK1136,concept,光通信模块
2023-05-26,922.91,944.36,954.12,922.24,10805046.0,24040815796.0,3.43,1.68,15.6,2.84,BK1136,concept,光通信模块
2023-05-29,946.94,960.12,976.63,944.14,10060810.0,24521573608.0,3.44,1.67,15.76,2.65,BK1136,concept,光通信模块
2023-05-30,956.81,994.51,994.51,953.7,9585431.0,26083298720.0,4.25,3.58,34.39,2.52,BK1136,concept,光通信模块
2023-05-31,989.13,992.72,998.07,976.79,9882721.0,24095546648.0,2.14,-0.18,-1.79,2.6,BK1136,concept,光通信模块
2023-06-01,985.74,997.88,1010.12,984.59,9688947.0,21862472559.0,2.57,0.52,5.16,2.55,BK1136,concept,光通信模块
2023-06-02,1007.3,1006.66,1017.64,1005.28,8839762.0,19714982049.0,1.24,0.88,8.78,2.33,BK1136,concept,光通信模块
2023-06-05,1001.64,1017.41,1025.28,1001.23,8841320.0,20080885023.0,2.39,1.07,10.75,2.33,BK1136,concept,光通信模块
2023-06-06,1015.17,985.88,1017.48,983.06,7505508.0,18166299312.0,3.38,-3.1,-31.53,1.97,BK1136,concept,光通信模块
2023-06-07,991.91,1017.32,1023.41,985.67,7690314.0,19670874484.0,3.83,3.19,31.44,2.02,BK1136,concept,光通信模块
2023-06-08,1013.11,1007.48,1021.48,998.73,8496392.0,21885383317.0,2.24,-0.97,-9.84,2.23,BK1136,concept,光通信模块
