日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2020-06-11,995.43,1032.06,1036.95,992.84,8889577.0,8671265792.0,4.41,3.21,32.06,0.9,BK0927,concept,免税概念
2020-06-12,1014.55,1082.51,1087.84,1011.09,11753578.0,11346971648.0,7.44,4.89,50.45,1.19,BK0927,concept,免税概念
2020-06-15,1075.06,1066.46,1103.8,1065.65,13430671.0,13762680576.0,3.52,-1.48,-16.05,1.35,BK0927,concept,免税概念
2020-06-16,1057.58,1093.86,1097.94,1053.82,10343208.0,10246376192.0,4.14,2.57,27.4,1.04,BK0927,concept,免税概念
2020-06-17,1086.62,1070.45,1086.85,1059.47,8811836.0,9651034112.0,2.5,-2.14,-23.41,0.89,BK0927,concept,免税概念
2020-06-18,1062.43,1038.51,1062.93,1033.0,7780955.0,8650415104.0,2.8,-2.98,-31.94,0.78,BK0927,concept,免税概念
2020-06-19,1040.15,1034.6,1052.61,1034.47,6395685.0,8604316416.0,1.75,-0.38,-3.91,0.64,BK0927,concept,免税概念
2020-06-22,1026.61,1026.93,1036.37,1016.92,6657479.0,8451687424.0,1.88,-0.74,-7.67,0.67,BK0927,concept,免税概念
2020-06-23,1024.86,1030.03,1038.93,1018.21,6017071.0,8231787520.0,2.02,0.3,3.1,0.61,BK0927,concept,免税概念
2020-06-24,1031.58,1017.86,1033.42,1014.03,4908683.0,6317289728.0,1.88,-1.18,-12.17,0.49,BK0927,concept,免税概念
2020-06-29,1013.21,1023.26,1023.39,1001.8,4467610.0,7035315200.0,2.12,0.53,5.4,0.45,BK0927,concept,免税概念
2020-06-30,1060.63,1084.35,1085.35,1060.18,5596487.0,8462574336.0,2.46,5.97,61.09,0.56,BK0927,concept,免税概念
2020-07-01,1113.83,1140.78,1142.4,1107.3,7686733.0,10540876032.0,3.24,5.2,56.43,0.77,BK0927,concept,免税概念
2020-07-02,1159.21,1190.31,1197.87,1159.21,8011035.0,11147445504.0,3.39,4.34,49.53,0.81,BK0927,concept,免税概念
2020-07-03,1212.0,1239.21,1241.1,1209.35,9358966.0,14960247552.0,2.67,4.11,48.9,0.94,BK0927,concept,免税概念
2020-07-06,1267.3,1326.9,1329.46,1267.05,10591536.0,13148489472.0,5.04,7.08,87.69,1.07,BK0927,concept,免税概念
2020-07-07,1390.09,1377.43,1413.71,1360.06,14167087.0,26194600704.0,4.04,3.81,50.53,1.43,BK0927,concept,免税概念
2020-07-08,1387.35,1432.98,1433.69,1367.23,13688827.0,22762794240.0,4.82,4.03,55.55,1.38,BK0927,concept,免税概念
2020-07-09,1468.38,1486.55,1504.94,1466.51,12799805.0,21734293248.0,2.68,3.74,53.57,1.29,BK0927,concept,免税概念
2020-07-10,1493.33,1554.88,1570.45,1480.06,15926460.0,25726080512.0,6.08,4.6,68.33,1.61,BK0927,concept,免税概念
2020-07-13,1586.75,1569.02,1586.75,1508.04,18346257.0,30493211648.0,5.06,0.91,14.14,1.85,BK0927,concept,免税概念
2020-07-14,1543.23,1512.97,1561.7,1498.24,18784191.0,24589337344.0,4.04,-3.57,-56.05,1.89,BK0927,concept,免税概念
2020-07-15,1517.58,1461.28,1527.9,1459.07,16606978.0,23985021952.0,4.55,-3.42,-51.69,1.67,BK0927,concept,免税概念
2020-07-16,1448.38,1371.83,1452.77,1371.83,13349838.0,20629738752.0,5.54,-6.12,-89.45,1.35,BK0927,concept,免税概念
2020-07-17,1367.57,1382.69,1406.27,1357.15,11386324.0,19486411264.0,3.58,0.79,10.86,1.15,BK0927,concept,免税概念
2020-07-20,1387.38,1421.76,1422.2,1380.9,10577657.0,18032840704.0,2.99,2.83,39.07,1.07,BK0927,concept,免税概念
2020-07-21,1409.68,1407.0,1422.1,1396.65,10786261.0,15388487424.0,1.79,-1.04,-14.76,1.09,BK0927,concept,免税概念
2020-07-22,1399.99,1440.25,1470.75,1398.91,13851772.0,24691401728.0,5.11,2.36,33.25,1.4,BK0927,concept,免税概念
2020-07-23,1414.93,1446.55,1449.49,1383.16,12750666.0,23568696832.0,4.61,0.44,6.3,1.29,BK0927,concept,免税概念
2020-07-24,1437.46,1361.26,1437.46,1358.56,12026502.0,22533819904.0,5.45,-5.9,-85.29,1.21,BK0927,concept,免税概念
2020-07-27,1340.08,1315.49,1346.12,1304.57,10021479.0,16779457792.0,3.05,-3.36,-45.77,1.01,BK0927,concept,免税概念
2020-07-28,1317.97,1332.86,1342.89,1308.32,9452868.0,15659981312.0,2.63,1.32,17.37,0.95,BK0927,concept,免税概念
2020-07-29,1320.42,1362.18,1362.67,1315.47,10922283.0,16163152128.0,3.54,2.2,29.32,1.1,BK0927,concept,免税概念
2020-07-30,1361.37,1372.22,1376.84,1348.58,12582847.0,19203641344.0,2.07,0.74,10.04,1.27,BK0927,concept,免税概念
