日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2014-07-14,1017.36,1010.77,1026.54,998.83,2263683.0,2380609696.0,2.77,1.08,10.77,2.18,BK0699,concept,全息技术
2014-07-15,998.27,997.91,1006.15,985.64,1442169.0,1476378848.0,2.03,-1.27,-12.86,1.39,BK0699,concept,全息技术
2014-07-16,1006.11,984.27,1009.1,980.98,1655590.0,1928554736.0,2.82,-1.37,-13.64,1.6,BK0699,concept,全息技术
2014-07-17,981.98,982.79,989.89,969.57,928468.0,906784080.0,2.06,-0.15,-1.48,0.9,BK0699,concept,全息技术
2014-07-18,978.93,985.66,991.48,975.49,791321.0,776180272.0,1.63,0.29,2.87,0.76,BK0699,concept,全息技术
2014-07-21,982.41,972.53,985.53,969.17,559197.0,577598256.0,1.66,-1.33,-13.13,0.54,BK0699,concept,全息技术
2014-07-22,967.39,980.54,984.88,964.21,735739.0,706397888.0,2.13,0.82,8.01,0.71,BK0699,concept,全息技术
2014-07-23,978.75,969.9,987.03,966.05,615796.0,620249984.0,2.14,-1.09,-10.64,0.59,BK0699,concept,全息技术
2014-07-24,967.89,956.58,969.37,951.6,694349.0,670004288.0,1.83,-1.37,-13.32,0.67,BK0699,concept,全息技术
2014-07-25,943.68,955.83,956.07,943.51,811019.0,899743536.0,1.31,-0.08,-0.75,0.78,BK0699,concept,全息技术
2014-07-28,969.71,988.51,991.01,963.02,1162847.0,1383292976.0,2.93,3.42,32.68,1.12,BK0699,concept,全息技术
2014-07-29,993.82,1015.71,1023.98,992.17,1801828.0,2287875888.0,3.22,2.75,27.2,1.74,BK0699,concept,全息技术
2014-07-30,1016.34,1017.79,1026.7,1009.37,1434955.0,2017508928.0,1.71,0.2,2.08,1.38,BK0699,concept,全息技术
2014-07-31,1011.9,1028.53,1032.79,1010.48,1265884.0,1749380976.0,2.19,1.06,10.74,1.22,BK0699,concept,全息技术
