日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2017-08-22,1034.03,1061.8,1082.41,1018.18,1229598.0,2171579040.0,6.42,6.18,61.8,0.08,BK0823,concept,养老金
2017-08-23,1046.97,1033.65,1050.31,1006.94,1228260.0,1820844288.0,4.08,-2.65,-28.15,0.08,BK0823,concept,养老金
2017-08-24,1006.81,983.77,1010.73,974.53,772620.0,1102756784.0,3.5,-4.83,-49.88,0.05,BK0823,concept,养老金
2017-08-25,977.03,982.25,991.41,968.48,548845.0,789873152.0,2.33,-0.15,-1.52,0.04,BK0823,concept,养老金
2017-08-28,1005.16,1001.68,1010.76,993.12,847636.0,1117354944.0,1.8,1.98,19.43,0.06,BK0823,concept,养老金
2017-08-29,995.74,982.68,1001.56,981.9,546180.0,725552784.0,1.96,-1.9,-19.0,0.04,BK0823,concept,养老金
2017-08-30,975.91,994.18,995.21,973.96,517584.0,720247808.0,2.16,1.17,11.5,0.03,BK0823,concept,养老金
2017-08-31,993.51,989.85,996.49,986.85,409297.0,565910832.0,0.97,-0.44,-4.33,0.03,BK0823,concept,养老金
2017-09-01,987.7,1016.98,1028.08,987.69,823428.0,1120411856.0,4.08,2.74,27.13,0.05,BK0823,concept,养老金
2017-09-04,1011.47,1075.37,1083.44,1005.77,1047746.0,1487384544.0,7.64,5.74,58.39,0.07,BK0823,concept,养老金
2017-09-05,1082.86,1076.31,1098.18,1066.62,1154393.0,1664723664.0,2.93,0.09,0.94,0.08,BK0823,concept,养老金
2017-09-06,1068.74,1088.85,1123.34,1063.8,1337521.0,1989279472.0,5.53,1.17,12.54,0.09,BK0823,concept,养老金
2017-09-07,1079.2,1074.17,1093.23,1072.74,909058.0,1302451744.0,1.88,-1.35,-14.68,0.06,BK0823,concept,养老金
2017-09-08,1073.75,1084.8,1092.36,1073.63,786451.0,1135784352.0,1.74,0.99,10.63,0.05,BK0823,concept,养老金
2017-09-11,1093.83,1096.83,1108.28,1084.52,910696.0,1351516720.0,2.19,1.11,12.03,0.06,BK0823,concept,养老金
2017-09-12,1085.19,1085.36,1125.11,1082.97,1122234.0,1733645248.0,3.84,-1.05,-11.47,0.07,BK0823,concept,养老金
2017-09-13,1088.1,1104.17,1104.21,1078.72,694077.0,1043095824.0,2.35,1.73,18.81,0.05,BK0823,concept,养老金
2017-09-14,1096.68,1089.67,1100.8,1081.47,624006.0,944698192.0,1.75,-1.31,-14.5,0.04,BK0823,concept,养老金
2017-09-15,1082.76,1068.19,1086.64,1063.92,620334.0,876188944.0,2.09,-1.97,-21.48,0.04,BK0823,concept,养老金
2017-09-18,1070.12,1078.36,1078.99,1065.11,360536.0,512407696.0,1.3,0.95,10.17,0.02,BK0823,concept,养老金
2017-09-19,1082.42,1084.82,1097.15,1073.25,561462.0,772191648.0,2.22,0.6,6.46,0.04,BK0823,concept,养老金
2017-09-20,1084.2,1092.17,1093.36,1073.45,469958.0,686072544.0,1.84,0.68,7.35,0.03,BK0823,concept,养老金
2017-09-21,1089.9,1068.79,1090.94,1067.78,419196.0,612368608.0,2.12,-2.14,-23.38,0.03,BK0823,concept,养老金
2017-09-22,1063.59,1065.23,1075.38,1062.18,326669.0,464410176.0,1.24,-0.33,-3.56,0.02,BK0823,concept,养老金
2017-09-25,1061.04,1045.15,1066.23,1040.59,363424.0,506012144.0,2.41,-1.89,-20.08,0.02,BK0823,concept,养老金
2017-09-26,1045.22,1050.92,1051.75,1041.34,217772.0,309593440.0,1.0,0.55,5.77,0.01,BK0823,concept,养老金
2017-09-27,1050.19,1060.94,1065.72,1047.68,259035.0,383409088.0,1.72,0.95,10.02,0.02,BK0823,concept,养老金
2017-09-28,1060.26,1048.9,1070.21,1047.72,268441.0,384145936.0,2.12,-1.13,-12.04,0.02,BK0823,concept,养老金
2017-09-29,1054.61,1058.2,1062.81,1050.9,236648.0,338827264.0,1.14,0.89,9.3,0.02,BK0823,concept,养老金
2017-10-09,1074.97,1059.8,1075.92,1055.06,291175.0,397865520.0,1.97,0.15,1.6,0.02,BK0823,concept,养老金
2017-10-10,1055.81,1056.37,1058.19,1046.93,213872.0,299205280.0,1.06,-0.32,-3.43,0.01,BK0823,concept,养老金
2017-10-11,1055.46,1036.33,1056.2,1034.66,291424.0,405748496.0,2.04,-1.9,-20.04,0.02,BK0823,concept,养老金
2017-10-12,1028.81,1009.35,1028.81,998.85,561990.0,692922432.0,2.89,-2.6,-26.98,0.04,BK0823,concept,养老金
2017-10-13,1006.81,1013.89,1014.99,1003.81,279219.0,342816992.0,1.11,0.45,4.54,0.02,BK0823,concept,养老金
2017-10-16,1017.18,985.59,1017.18,984.38,299703.0,393166544.0,3.24,-2.79,-28.3,0.02,BK0823,concept,养老金
2017-10-17,985.76,986.56,993.36,981.03,194709.0,253542108.0,1.25,0.1,0.97,0.01,BK0823,concept,养老金
2017-10-18,992.35,971.95,992.84,969.82,217160.0,291368608.0,2.33,-1.48,-14.61,0.01,BK0823,concept,养老金
2017-10-19,973.39,964.75,977.38,961.6,237316.0,312562592.0,1.62,-0.74,-7.2,0.02,BK0823,concept,养老金
