日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-08-04,1000.68,1000.85,1000.85,996.16,17234107.0,16997750272.0,0.47,0.09,0.85,0.97,BK1001,concept,内贸流通
2021-08-05,998.15,993.59,1000.09,992.65,20474805.0,19765952768.0,0.74,-0.73,-7.26,1.15,BK1001,concept,内贸流通
2021-08-06,994.74,990.04,994.81,985.44,17594187.0,17085612288.0,0.94,-0.36,-3.55,0.99,BK1001,concept,内贸流通
2021-08-09,989.37,1008.47,1008.77,988.65,21181290.0,21076380672.0,2.03,1.86,18.43,1.19,BK1001,concept,内贸流通
2021-08-10,1008.36,1018.56,1018.56,1007.79,19288937.0,20638507776.0,1.07,1.0,10.09,1.08,BK1001,concept,内贸流通
2021-08-11,1018.96,1018.44,1020.28,1016.42,19358791.0,19680562944.0,0.38,-0.01,-0.12,1.09,BK1001,concept,内贸流通
2021-08-12,1019.08,1017.91,1021.15,1015.43,18246519.0,16039695360.0,0.56,-0.05,-0.53,1.02,BK1001,concept,内贸流通
2021-08-13,1017.44,1016.68,1018.6,1011.66,19213335.0,17806529536.0,0.68,-0.12,-1.23,1.08,BK1001,concept,内贸流通
2021-08-16,1017.93,1024.59,1028.76,1017.54,21453595.0,21512947456.0,1.1,0.78,7.91,1.2,BK1001,concept,内贸流通
2021-08-17,1023.53,1006.26,1024.51,1005.52,24613782.0,24115055360.0,1.85,-1.79,-18.33,1.38,BK1001,concept,内贸流通
2021-08-18,1005.17,1013.1,1013.29,1004.95,20055882.0,20588320256.0,0.83,0.68,6.84,1.13,BK1001,concept,内贸流通
2021-08-19,1010.2,1007.97,1011.4,1004.87,17944992.0,18316312064.0,0.64,-0.51,-5.13,1.01,BK1001,concept,内贸流通
2021-08-20,1006.27,998.72,1006.27,990.84,18968512.0,18354447872.0,1.53,-0.92,-9.25,1.06,BK1001,concept,内贸流通
2021-08-23,998.82,1011.63,1012.21,998.73,20453901.0,18929154304.0,1.35,1.29,12.91,1.15,BK1001,concept,内贸流通
2021-08-24,1012.14,1015.2,1015.52,1012.09,19492088.0,17964190464.0,0.34,0.35,3.57,1.09,BK1001,concept,内贸流通
2021-08-25,1015.45,1022.55,1022.73,1012.76,21293836.0,19730351104.0,0.98,0.72,7.35,1.19,BK1001,concept,内贸流通
