日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2010-01-04,12350.56,12441.76,12667.58,12226.06,3080777.0,4720602521.49,3.6,1.31,161.05,0.07,BK0490,concept,军工
2010-01-05,12457.76,12659.6,12795.65,12318.38,3280248.0,5145057921.36,3.84,1.75,217.84,0.08,BK0490,concept,军工
2010-01-06,12638.45,12683.26,13033.72,12500.33,3779806.0,6196113630.48,4.21,0.19,23.66,0.09,BK0490,concept,军工
2010-01-07,12647.92,12348.92,12762.9,12230.92,3132058.0,4882877487.18,4.19,-2.64,-334.34,0.07,BK0490,concept,军工
2010-01-08,12307.14,12518.12,12602.6,12079.08,2754014.0,4350004585.5,4.24,1.37,169.2,0.06,BK0490,concept,军工
2010-01-11,12584.32,12697.51,12904.89,12352.3,3552302.0,5966493244.15,4.41,1.43,179.39,0.08,BK0490,concept,军工
2010-01-12,12728.61,12922.82,13045.55,12610.19,3543567.0,5584668830.65,3.43,1.77,225.31,0.08,BK0490,concept,军工
2010-01-13,12651.38,12894.25,13125.55,12540.89,3669743.0,5718603118.55,4.52,-0.22,-28.57,0.09,BK0490,concept,军工
2010-01-14,12897.13,13151.18,13255.11,12798.71,3798500.0,6112599547.33,3.54,1.99,256.93,0.09,BK0490,concept,军工
2010-01-15,13184.98,13234.88,13483.34,13013.61,3458944.0,5583436230.58,3.57,0.64,83.7,0.08,BK0490,concept,军工
2010-01-18,13255.53,13423.56,13552.56,13096.23,3419732.0,5345781543.07,3.45,1.43,188.68,0.08,BK0490,concept,军工
2010-01-19,13447.67,13323.64,13612.34,13163.51,3044942.0,4870405528.44,3.34,-0.74,-99.92,0.07,BK0490,concept,军工
2010-01-20,13295.65,12844.49,13542.29,12657.24,3892056.0,6035624499.99,6.64,-3.6,-479.15,0.09,BK0490,concept,军工
2010-01-21,12799.85,12838.89,13058.24,12600.25,2396891.0,3621908100.28,3.57,-0.04,-5.6,0.06,BK0490,concept,军工
2010-01-22,12721.68,12517.51,12877.82,12218.96,2802745.0,4197317239.57,5.13,-2.5,-321.38,0.07,BK0490,concept,军工
2010-01-25,12466.71,12439.74,12784.77,12271.17,2064043.0,3283703327.27,4.1,-0.62,-77.77,0.05,BK0490,concept,军工
2010-01-26,12451.48,11893.03,12574.65,11745.8,2169152.0,3211877335.72,6.66,-4.39,-546.71,0.05,BK0490,concept,军工
2010-01-27,11891.71,11804.9,12146.3,11642.87,1886454.0,2651945759.24,4.23,-0.74,-88.13,0.04,BK0490,concept,军工
2010-01-28,11814.65,11983.52,12128.93,11673.7,1939190.0,2852847673.5,3.86,1.51,178.62,0.04,BK0490,concept,军工
2010-01-29,11961.19,12111.69,12312.54,11840.61,2024753.0,2886871910.84,3.94,1.07,128.17,0.05,BK0490,concept,军工
