日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2017-01-26,1000.93,1009.25,1011.41,1000.93,3040370.0,4952920064.0,1.05,0.93,9.25,0.18,BK0808,concept,军民融合
2017-02-03,1012.38,1011.37,1018.8,1006.44,3781237.0,6203446528.0,1.22,0.21,2.12,0.23,BK0808,concept,军民融合
2017-02-06,1010.33,1035.85,1036.71,1010.17,4504709.0,7622537728.0,2.62,2.42,24.48,0.27,BK0808,concept,军民融合
2017-02-07,1033.99,1029.72,1037.29,1023.86,4793032.0,8243430912.0,1.3,-0.59,-6.13,0.29,BK0808,concept,军民融合
2017-02-08,1026.11,1041.18,1041.18,1021.9,4720397.0,8492661248.0,1.87,1.11,11.46,0.28,BK0808,concept,军民融合
2017-02-09,1038.71,1039.93,1041.8,1034.25,3871849.0,7002637312.0,0.73,-0.12,-1.25,0.23,BK0808,concept,军民融合
2017-02-10,1039.46,1026.03,1042.56,1025.46,5106742.0,8718173952.0,1.64,-1.34,-13.9,0.31,BK0808,concept,军民融合
2017-02-13,1021.61,1031.62,1031.62,1020.81,3880837.0,6614718464.0,1.05,0.54,5.59,0.23,BK0808,concept,军民融合
2017-02-14,1032.04,1025.68,1037.13,1024.15,3788853.0,6997998080.0,1.26,-0.58,-5.94,0.23,BK0808,concept,军民融合
2017-02-15,1022.71,1013.48,1026.74,1011.07,4690053.0,8081380096.0,1.53,-1.19,-12.2,0.28,BK0808,concept,军民融合
2017-02-16,1013.75,1023.1,1024.45,1012.74,4710822.0,8086723328.0,1.16,0.95,9.62,0.28,BK0808,concept,军民融合
2017-02-17,1021.59,1026.79,1032.24,1015.87,5778971.0,10324366848.0,1.6,0.36,3.69,0.35,BK0808,concept,军民融合
2017-02-20,1027.63,1031.88,1031.97,1022.47,4900900.0,8773561600.0,0.93,0.5,5.09,0.3,BK0808,concept,军民融合
2017-02-21,1031.82,1039.69,1039.8,1029.23,4661593.0,8103079424.0,1.02,0.76,7.81,0.28,BK0808,concept,军民融合
2017-02-22,1038.06,1038.25,1039.15,1031.85,4714590.0,7929088256.0,0.7,-0.14,-1.44,0.28,BK0808,concept,军民融合
2017-02-23,1035.94,1032.58,1037.64,1027.46,4347080.0,7399125248.0,0.98,-0.55,-5.67,0.26,BK0808,concept,军民融合
2017-02-24,1031.03,1043.35,1044.46,1028.28,4359460.0,7325835264.0,1.57,1.04,10.77,0.26,BK0808,concept,军民融合
2017-02-27,1041.86,1030.68,1042.09,1030.35,4566958.0,7940318208.0,1.13,-1.21,-12.67,0.28,BK0808,concept,军民融合
2017-02-28,1030.49,1033.16,1034.33,1026.06,4143836.0,7300530432.0,0.8,0.24,2.48,0.25,BK0808,concept,军民融合
2017-03-01,1032.95,1035.63,1040.76,1031.87,4554620.0,8216862464.0,0.86,0.24,2.47,0.27,BK0808,concept,军民融合
2017-03-02,1036.1,1027.3,1038.43,1026.58,4540172.0,7871078144.0,1.14,-0.8,-8.33,0.27,BK0808,concept,军民融合
2017-03-03,1028.9,1035.14,1038.37,1025.31,5246941.0,9109773312.0,1.27,0.76,7.84,0.32,BK0808,concept,军民融合
2017-03-06,1036.96,1051.12,1051.16,1034.04,5012780.0,8850633728.0,1.65,1.54,15.98,0.3,BK0808,concept,军民融合
2017-03-07,1050.36,1048.94,1051.28,1042.9,4276569.0,7745303040.0,0.8,-0.21,-2.18,0.26,BK0808,concept,军民融合
2017-03-08,1049.33,1048.64,1059.0,1045.23,4946128.0,9432811264.0,1.31,-0.03,-0.3,0.3,BK0808,concept,军民融合
2017-03-09,1045.82,1036.59,1045.82,1032.95,4093203.0,7633309440.0,1.23,-1.15,-12.05,0.25,BK0808,concept,军民融合
2017-03-10,1036.34,1032.49,1039.08,1030.92,3050723.0,6029850624.0,0.79,-0.4,-4.1,0.18,BK0808,concept,军民融合
2017-03-13,1034.07,1041.31,1041.31,1030.88,3635604.0,7239732992.0,1.01,0.85,8.82,0.22,BK0808,concept,军民融合
2017-03-14,1041.67,1036.49,1044.02,1034.55,3362465.0,6585250304.0,0.91,-0.46,-4.82,0.2,BK0808,concept,军民融合
2017-03-15,1034.75,1031.61,1035.14,1029.35,3839971.0,8096926976.0,0.56,-0.47,-4.88,0.23,BK0808,concept,军民融合
2017-03-16,1034.62,1042.48,1042.52,1034.62,4229330.0,9375486976.0,0.77,1.05,10.87,0.26,BK0808,concept,军民融合
2017-03-17,1042.3,1032.94,1046.15,1032.9,5422238.0,11199017216.0,1.27,-0.92,-9.54,0.33,BK0808,concept,军民融合
2017-03-20,1031.11,1033.28,1034.05,1024.17,4597401.0,9018376192.0,0.96,0.03,0.34,0.28,BK0808,concept,军民融合
2017-03-21,1033.28,1031.56,1033.28,1026.92,4136527.0,7836662784.0,0.62,-0.17,-1.72,0.25,BK0808,concept,军民融合
2017-03-22,1027.48,1026.05,1031.54,1020.95,5001562.0,9395284224.0,1.03,-0.53,-5.51,0.3,BK0808,concept,军民融合
2017-03-23,1025.75,1027.05,1030.16,1013.75,5239440.0,9806350336.0,1.6,0.1,1.0,0.32,BK0808,concept,军民融合
2017-03-24,1025.13,1031.27,1031.27,1018.82,5032821.0,8868949760.0,1.21,0.41,4.22,0.3,BK0808,concept,军民融合
2017-03-27,1031.02,1041.24,1043.15,1030.81,6942156.0,12218395904.0,1.2,0.97,9.97,0.42,BK0808,concept,军民融合
2017-03-28,1038.8,1037.2,1043.81,1035.88,5785063.0,10172434176.0,0.76,-0.39,-4.04,0.35,BK0808,concept,军民融合
2017-03-29,1035.8,1031.16,1040.51,1027.52,6394726.0,10759538432.0,1.25,-0.58,-6.04,0.39,BK0808,concept,军民融合
2017-03-30,1026.25,1004.27,1027.11,1004.2,7562165.0,13112029952.0,2.22,-2.61,-26.89,0.46,BK0808,concept,军民融合
2017-03-31,1003.27,1011.18,1017.1,1003.27,6532656.0,11302390528.0,1.38,0.69,6.91,0.39,BK0808,concept,军民融合
2017-04-05,1012.55,1030.77,1030.81,1011.65,5243116.0,9559438848.0,1.89,1.94,19.59,0.32,BK0808,concept,军民融合
2017-04-06,1033.4,1035.92,1039.44,1032.33,5360256.0,9188986368.0,0.69,0.5,5.15,0.32,BK0808,concept,军民融合
2017-04-07,1039.19,1047.33,1050.21,1038.36,6536145.0,11887066368.0,1.14,1.1,11.41,0.39,BK0808,concept,军民融合
2017-04-10,1051.04,1046.73,1052.11,1042.35,7154024.0,12761458688.0,0.93,-0.06,-0.6,0.43,BK0808,concept,军民融合
2017-04-11,1052.57,1083.22,1083.25,1049.93,11005289.0,20835443712.0,3.18,3.49,36.49,0.66,BK0808,concept,军民融合
2017-04-12,1086.77,1068.06,1094.72,1067.73,8226183.0,16369003776.0,2.49,-1.4,-15.16,0.5,BK0808,concept,军民融合
2017-04-13,1066.4,1060.75,1068.81,1057.68,5081219.0,9304667392.0,1.04,-0.68,-7.31,0.31,BK0808,concept,军民融合
2017-04-14,1061.65,1046.06,1066.76,1044.69,5560286.0,9982283008.0,2.08,-1.38,-14.69,0.34,BK0808,concept,军民融合
2017-04-17,1040.26,1015.26,1040.26,1010.79,6918103.0,11257311744.0,2.82,-2.94,-30.8,0.42,BK0808,concept,军民融合
2017-04-18,1014.37,997.53,1018.61,996.23,5748942.0,9255867904.0,2.2,-1.75,-17.73,0.35,BK0808,concept,军民融合
2017-04-19,993.71,977.52,994.5,966.13,6496544.0,9875313408.0,2.84,-2.01,-20.01,0.39,BK0808,concept,军民融合
2017-04-20,978.66,971.62,983.95,959.43,5320123.0,8057314048.0,2.51,-0.6,-5.9,0.32,BK0808,concept,军民融合
2017-04-21,971.77,964.85,974.86,963.07,4065208.0,6270581760.0,1.21,-0.7,-6.77,0.25,BK0808,concept,军民融合
2017-04-24,961.72,924.5,962.45,924.5,4840545.0,7201356800.0,3.93,-4.18,-40.35,0.29,BK0808,concept,军民融合
2017-04-25,925.11,924.51,932.3,921.61,4943733.0,7339062784.0,1.16,0.0,0.01,0.3,BK0808,concept,军民融合
2017-04-26,924.74,926.48,931.53,922.5,4838993.0,7026006272.0,0.98,0.21,1.97,0.29,BK0808,concept,军民融合
2017-04-27,925.08,928.98,931.46,902.98,5643821.0,8184094208.0,3.07,0.27,2.5,0.34,BK0808,concept,军民融合
2017-04-28,927.76,935.85,935.93,926.49,4054387.0,6379108864.0,1.02,0.74,6.87,0.24,BK0808,concept,军民融合
2017-05-02,928.93,931.54,932.32,926.21,5380514.0,7830608640.0,0.65,-0.46,-4.31,0.32,BK0808,concept,军民融合
2017-05-03,928.82,930.82,932.75,926.07,4726936.0,6982785024.0,0.72,-0.08,-0.72,0.29,BK0808,concept,军民融合
2017-05-04,927.76,920.3,930.08,919.59,5196092.0,7737647872.0,1.13,-1.13,-10.52,0.31,BK0808,concept,军民融合
2017-05-05,915.64,902.99,918.47,902.75,5458342.0,7975372288.0,1.71,-1.88,-17.31,0.33,BK0808,concept,军民融合
2017-05-08,900.88,874.55,900.88,874.43,5025234.0,7264601856.0,2.93,-3.15,-28.44,0.3,BK0808,concept,军民融合
2017-05-09,871.55,882.92,882.92,865.18,4074024.0,5930327808.0,2.03,0.96,8.37,0.25,BK0808,concept,军民融合
2017-05-10,882.95,863.51,887.83,861.3,4289924.0,5951345408.0,3.0,-2.2,-19.41,0.26,BK0808,concept,军民融合
2017-05-11,856.45,860.56,861.44,836.02,4626551.0,6360051456.0,2.94,-0.34,-2.95,0.28,BK0808,concept,军民融合
2017-05-12,859.05,856.74,861.52,849.65,3567252.0,4756499456.0,1.38,-0.44,-3.82,0.22,BK0808,concept,军民融合
2017-05-15,859.37,862.22,866.54,859.37,3177719.0,4414243328.0,0.84,0.64,5.48,0.19,BK0808,concept,军民融合
2017-05-16,861.19,879.32,879.37,851.87,4553793.0,6390972672.0,3.19,1.98,17.1,0.27,BK0808,concept,军民融合
2017-05-17,878.13,885.1,890.22,876.55,5280111.0,7373184768.0,1.55,0.66,5.78,0.32,BK0808,concept,军民融合
2017-05-18,877.04,874.44,884.26,873.06,3604916.0,5067499776.0,1.27,-1.2,-10.66,0.22,BK0808,concept,军民融合
2017-05-19,874.76,872.61,878.67,868.82,3481980.0,4660135680.0,1.13,-0.21,-1.83,0.21,BK0808,concept,军民融合
2017-05-22,870.84,857.28,873.52,854.9,3575352.0,4893271296.0,2.13,-1.76,-15.33,0.22,BK0808,concept,军民融合
2017-05-23,855.66,828.41,857.69,826.92,4101457.0,5550478336.0,3.59,-3.37,-28.87,0.25,BK0808,concept,军民融合
2017-05-24,825.62,832.26,832.38,810.72,3154186.0,4117180848.0,2.61,0.46,3.85,0.19,BK0808,concept,军民融合
2017-05-25,832.81,839.97,840.81,822.3,3516191.0,4648535552.0,2.22,0.93,7.71,0.21,BK0808,concept,军民融合
2017-05-26,843.21,841.86,845.95,840.63,2996012.0,4130213920.0,0.63,0.23,1.89,0.18,BK0808,concept,军民融合
2017-05-31,850.11,840.94,853.79,840.65,4356723.0,5684666112.0,1.56,-0.11,-0.92,0.26,BK0808,concept,军民融合
2017-06-01,838.96,816.56,838.96,816.5,4015955.0,5158633216.0,2.67,-2.9,-24.38,0.24,BK0808,concept,军民融合
2017-06-02,814.63,827.92,828.07,805.17,3813976.0,4773519360.0,2.8,1.39,11.36,0.23,BK0808,concept,军民融合
2017-06-05,829.65,834.28,837.04,829.46,3620999.0,4791493120.0,0.92,0.77,6.36,0.22,BK0808,concept,军民融合
2017-06-06,833.3,840.11,841.29,831.28,3394797.0,4552077312.0,1.2,0.7,5.83,0.2,BK0808,concept,军民融合
2017-06-07,839.93,857.44,857.51,839.35,4527448.0,6233575424.0,2.16,2.06,17.33,0.27,BK0808,concept,军民融合
2017-06-08,856.28,853.02,858.28,851.6,4186416.0,5768494592.0,0.78,-0.52,-4.42,0.25,BK0808,concept,军民融合
2017-06-09,853.53,858.01,858.8,847.62,4350662.0,5902233088.0,1.31,0.58,4.99,0.26,BK0808,concept,军民融合
2017-06-12,854.6,842.22,854.83,842.08,4134559.0,5785703424.0,1.49,-1.84,-15.79,0.25,BK0808,concept,军民融合
2017-06-13,840.12,852.57,853.33,839.38,3322077.0,4887972352.0,1.66,1.23,10.35,0.2,BK0808,concept,军民融合
2017-06-14,851.65,859.7,861.85,851.29,4550321.0,6548578048.0,1.24,0.84,7.13,0.27,BK0808,concept,军民融合
2017-06-15,859.12,869.07,871.66,859.09,4553885.0,6615511552.0,1.46,1.09,9.37,0.27,BK0808,concept,军民融合
2017-06-16,869.21,873.24,876.72,864.23,4819815.0,7177939200.0,1.44,0.48,4.17,0.29,BK0808,concept,军民融合
2017-06-19,871.98,887.12,887.16,871.98,5713888.0,8549887232.0,1.74,1.59,13.88,0.34,BK0808,concept,军民融合
2017-06-20,890.1,889.17,893.91,887.26,5170776.0,7433744384.0,0.75,0.23,2.05,0.31,BK0808,concept,军民融合
2017-06-21,897.08,893.47,901.38,886.97,6415521.0,8878684928.0,1.62,0.48,4.3,0.39,BK0808,concept,军民融合
2017-06-22,889.69,873.66,889.76,873.66,6380420.0,8333534976.0,1.8,-2.22,-19.81,0.38,BK0808,concept,军民融合
2017-06-23,870.9,875.49,878.29,859.45,5351534.0,6730612992.0,2.16,0.21,1.83,0.32,BK0808,concept,军民融合
2017-06-26,872.84,880.53,880.53,871.19,5050564.0,6369622784.0,1.07,0.58,5.04,0.3,BK0808,concept,军民融合
2017-06-27,880.62,883.39,888.25,879.72,5188002.0,6764433152.0,0.97,0.32,2.86,0.31,BK0808,concept,军民融合
2017-06-28,880.87,873.55,880.87,871.91,4292751.0,5433915392.0,1.01,-1.11,-9.84,0.26,BK0808,concept,军民融合
2017-06-29,874.53,878.53,879.53,874.22,3839917.0,4977766144.0,0.61,0.57,4.98,0.23,BK0808,concept,军民融合
2017-06-30,875.62,876.59,877.17,870.63,3651829.0,4508004352.0,0.74,-0.22,-1.94,0.22,BK0808,concept,军民融合
2017-07-03,874.41,883.35,883.35,874.27,3771856.0,5020797184.0,1.04,0.77,6.76,0.23,BK0808,concept,军民融合
2017-07-04,883.14,884.83,884.83,880.27,4117536.0,5306500608.0,0.52,0.17,1.48,0.25,BK0808,concept,军民融合
2017-07-05,885.42,890.58,890.58,882.46,4226871.0,5666639616.0,0.92,0.65,5.75,0.26,BK0808,concept,军民融合
2017-07-06,889.13,890.5,891.21,881.43,5288403.0,6945975808.0,1.1,-0.01,-0.08,0.32,BK0808,concept,军民融合
2017-07-07,888.43,894.59,896.14,887.02,5044574.0,7205475328.0,1.02,0.46,4.09,0.3,BK0808,concept,军民融合
2017-07-10,899.9,889.51,903.67,888.52,6106339.0,8932825344.0,1.69,-0.57,-5.08,0.37,BK0808,concept,军民融合
