日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2019-10-22,998.42,1007.13,1007.13,996.2,2462252.0,1387896160.0,1.09,0.71,7.13,0.36,BK0888,concept,农业种植
2019-10-23,1011.31,1008.91,1017.05,1006.38,2706461.0,1506423840.0,1.06,0.18,1.78,0.39,BK0888,concept,农业种植
2019-10-24,1005.82,1004.23,1007.25,998.76,2277648.0,1302740560.0,0.84,-0.46,-4.68,0.33,BK0888,concept,农业种植
2019-10-25,1003.2,1021.45,1023.61,1000.32,3252471.0,1904201344.0,2.32,1.71,17.22,0.47,BK0888,concept,农业种植
2019-10-28,1019.35,1025.9,1027.76,1018.47,3279953.0,2049169904.0,0.91,0.44,4.45,0.47,BK0888,concept,农业种植
2019-10-29,1024.89,1029.74,1042.54,1019.84,4387751.0,2758826480.0,2.21,0.37,3.84,0.63,BK0888,concept,农业种植
2019-10-30,1022.5,1006.84,1024.58,1003.95,3161984.0,1894887664.0,2.0,-2.22,-22.9,0.46,BK0888,concept,农业种植
2019-10-31,1005.09,982.97,1005.63,981.88,2745758.0,1592611536.0,2.36,-2.37,-23.87,0.4,BK0888,concept,农业种植
2019-11-01,980.99,986.43,987.81,972.72,1883642.0,1106425952.0,1.54,0.35,3.46,0.27,BK0888,concept,农业种植
2019-11-04,985.89,982.52,989.02,981.01,2001738.0,1273949264.0,0.81,-0.4,-3.91,0.29,BK0888,concept,农业种植
2019-11-05,982.29,985.82,990.12,976.1,2324040.0,1513117200.0,1.43,0.34,3.3,0.34,BK0888,concept,农业种植
2019-11-06,983.87,969.41,983.9,966.97,2624231.0,1515809936.0,1.72,-1.66,-16.41,0.38,BK0888,concept,农业种植
2019-11-07,970.58,978.69,983.1,969.7,2223866.0,1229019888.0,1.38,0.96,9.28,0.32,BK0888,concept,农业种植
2019-11-08,982.95,973.13,983.08,971.67,1912337.0,1073452288.0,1.17,-0.57,-5.56,0.28,BK0888,concept,农业种植
2019-11-11,970.86,947.03,970.86,944.22,2321737.0,1239866352.0,2.74,-2.68,-26.1,0.34,BK0888,concept,农业种植
