日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2018-11-13,988.98,1020.06,1027.15,986.92,5069045.0,3456428096.0,4.02,2.01,20.06,0.37,BK0852,concept,冷链物流
2018-11-14,1020.75,1021.0,1035.43,1018.58,4771694.0,3413603472.0,1.65,0.09,0.94,0.35,BK0852,concept,冷链物流
2018-11-15,1020.48,1035.53,1035.56,1018.18,4225577.0,3042271440.0,1.7,1.42,14.53,0.31,BK0852,concept,冷链物流
2018-11-16,1035.2,1049.76,1053.83,1030.65,4746819.0,3511218352.0,2.24,1.37,14.23,0.35,BK0852,concept,冷链物流
2018-11-19,1049.55,1059.69,1059.83,1040.03,4629474.0,3473611168.0,1.89,0.95,9.93,0.34,BK0852,concept,冷链物流
2018-11-20,1051.81,1025.35,1054.92,1023.69,4236281.0,3217923120.0,2.95,-3.24,-34.34,0.31,BK0852,concept,冷链物流
2018-11-21,1013.86,1037.89,1037.89,1009.58,3148656.0,2382014288.0,2.76,1.22,12.54,0.23,BK0852,concept,冷链物流
2018-11-22,1039.91,1031.72,1041.62,1029.51,2635158.0,1912791232.0,1.17,-0.59,-6.17,0.19,BK0852,concept,冷链物流
2018-11-23,1031.38,985.46,1033.64,980.75,3727319.0,2810052512.0,5.13,-4.48,-46.26,0.28,BK0852,concept,冷链物流
2018-11-26,985.74,991.11,998.91,985.06,2697788.0,1944637568.0,1.41,0.57,5.65,0.2,BK0852,concept,冷链物流
2018-11-27,997.03,999.31,1003.91,992.21,2561478.0,1839526928.0,1.18,0.83,8.2,0.19,BK0852,concept,冷链物流
2018-11-28,1001.13,1013.27,1013.37,984.98,2953828.0,2173015936.0,2.84,1.4,13.96,0.22,BK0852,concept,冷链物流
2018-11-29,1015.73,1001.14,1032.3,1000.44,2889440.0,2206418544.0,3.14,-1.2,-12.13,0.21,BK0852,concept,冷链物流
2018-11-30,1002.59,1012.5,1013.39,992.04,2384508.0,1799567472.0,2.13,1.13,11.36,0.18,BK0852,concept,冷链物流
2018-12-03,1039.5,1042.77,1046.26,1030.98,3501186.0,2716205120.0,1.51,2.99,30.27,0.26,BK0852,concept,冷链物流
2018-12-04,1043.94,1058.69,1059.29,1041.91,3292578.0,2240291664.0,1.67,1.53,15.92,0.24,BK0852,concept,冷链物流
2018-12-05,1045.84,1051.55,1059.46,1039.46,5189528.0,4605103872.0,1.89,-0.67,-7.14,0.38,BK0852,concept,冷链物流
2018-12-06,1045.68,1029.91,1047.19,1029.42,4701878.0,4236999216.0,1.69,-2.06,-21.64,0.35,BK0852,concept,冷链物流
2018-12-07,1030.6,1034.57,1036.38,1027.7,3235587.0,2686012544.0,0.84,0.45,4.66,0.24,BK0852,concept,冷链物流
2018-12-10,1026.26,1018.86,1027.6,1015.05,2561043.0,2114979312.0,1.21,-1.52,-15.71,0.19,BK0852,concept,冷链物流
2018-12-11,1019.79,1027.65,1027.65,1017.22,2277592.0,1938517168.0,1.02,0.86,8.79,0.17,BK0852,concept,冷链物流
2018-12-12,1029.32,1030.06,1034.19,1028.04,2155531.0,1812637600.0,0.6,0.23,2.41,0.16,BK0852,concept,冷链物流
2018-12-13,1032.95,1038.78,1045.6,1024.18,2696090.0,2219732032.0,2.08,0.85,8.72,0.2,BK0852,concept,冷链物流
2018-12-14,1036.37,1009.12,1037.01,1008.73,3012916.0,2558093008.0,2.72,-2.86,-29.66,0.22,BK0852,concept,冷链物流
2018-12-17,1006.49,1009.57,1012.37,998.64,2149139.0,1771862000.0,1.36,0.04,0.45,0.16,BK0852,concept,冷链物流
2018-12-18,1004.58,1000.96,1010.86,989.89,2414713.0,2086728768.0,2.08,-0.85,-8.61,0.18,BK0852,concept,冷链物流
2018-12-19,1001.17,991.44,1003.33,990.01,1995194.0,1641144320.0,1.33,-0.95,-9.52,0.15,BK0852,concept,冷链物流
2018-12-20,988.79,996.28,997.37,986.19,2089809.0,1698097312.0,1.13,0.49,4.84,0.15,BK0852,concept,冷链物流
2018-12-21,995.34,985.85,995.86,978.71,2346171.0,1989842768.0,1.72,-1.05,-10.43,0.17,BK0852,concept,冷链物流
2018-12-24,984.73,992.9,995.83,984.71,1847598.0,1548231696.0,1.13,0.72,7.05,0.14,BK0852,concept,冷链物流
2018-12-25,982.31,972.62,982.31,951.86,2573574.0,1998713696.0,3.07,-2.04,-20.28,0.19,BK0852,concept,冷链物流
2018-12-26,971.38,976.74,979.0,971.19,1905779.0,1560573536.0,0.8,0.42,4.12,0.14,BK0852,concept,冷链物流
2018-12-27,988.72,960.88,991.31,959.83,2165696.0,1769642336.0,3.22,-1.62,-15.86,0.16,BK0852,concept,冷链物流
2018-12-28,961.48,959.85,965.79,954.99,2685351.0,2407758768.0,1.12,-0.11,-1.03,0.2,BK0852,concept,冷链物流
2019-01-02,965.36,956.76,966.81,955.28,2712519.0,2462602000.0,1.2,-0.32,-3.09,0.2,BK0852,concept,冷链物流
2019-01-03,956.23,958.45,968.75,956.23,2690653.0,2487712656.0,1.31,0.18,1.69,0.2,BK0852,concept,冷链物流
2019-01-04,950.16,986.07,986.07,947.24,3704046.0,3467462208.0,4.05,2.88,27.62,0.27,BK0852,concept,冷链物流
2019-01-07,989.46,1004.09,1004.43,989.18,3948525.0,3812278176.0,1.55,1.83,18.02,0.29,BK0852,concept,冷链物流
