日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-02-16,1000.14,1004.37,1006.57,999.32,1631743.0,3835970544.0,0.73,0.44,4.37,0.54,BK1068,concept,净水概念
2022-02-17,1003.34,992.28,1009.44,990.75,2137069.0,4529951232.0,1.86,-1.2,-12.09,0.71,BK1068,concept,净水概念
2022-02-18,986.87,998.09,998.89,983.02,1598909.0,3557980544.0,1.6,0.59,5.81,0.53,BK1068,concept,净水概念
2022-02-21,996.64,1006.08,1006.23,992.21,1774372.0,3679262176.0,1.4,0.8,7.99,0.59,BK1068,concept,净水概念
2022-02-22,1000.38,982.8,1003.43,978.62,2400269.0,6433791744.0,2.47,-2.31,-23.28,0.8,BK1068,concept,净水概念
2022-02-23,984.74,989.17,989.96,980.59,1572479.0,3777209088.0,0.95,0.65,6.37,0.53,BK1068,concept,净水概念
2022-02-24,984.05,952.75,986.16,943.09,2785816.0,7044092672.0,4.35,-3.68,-36.42,0.93,BK1068,concept,净水概念
2022-02-25,960.36,964.53,974.16,960.36,1904979.0,4662299904.0,1.45,1.24,11.78,0.64,BK1068,concept,净水概念
2022-02-28,961.83,953.22,963.22,946.39,2131449.0,6800254976.0,1.74,-1.17,-11.31,0.71,BK1068,concept,净水概念
2022-03-01,954.77,963.19,963.51,952.94,1846682.0,5677022208.0,1.11,1.05,9.97,0.62,BK1068,concept,净水概念
2022-03-02,959.11,962.41,963.86,955.5,1707948.0,4015738512.0,0.87,-0.08,-0.78,0.57,BK1068,concept,净水概念
2022-03-03,964.07,959.04,964.66,954.28,1801334.0,4678435584.0,1.08,-0.35,-3.37,0.6,BK1068,concept,净水概念
2022-03-04,954.56,950.95,958.88,946.55,2135478.0,5094424064.0,1.29,-0.84,-8.09,0.71,BK1068,concept,净水概念
2022-03-07,946.41,934.54,946.47,931.52,2979100.0,7422960128.0,1.57,-1.73,-16.41,0.99,BK1068,concept,净水概念
2022-03-08,935.57,902.75,935.86,899.68,2907432.0,7484035840.0,3.87,-3.4,-31.79,0.97,BK1068,concept,净水概念
2022-03-09,901.79,882.52,905.89,849.63,3182023.0,8045919488.0,6.23,-2.24,-20.23,1.06,BK1068,concept,净水概念
2022-03-10,897.95,898.03,905.15,893.26,2703720.0,6497889536.0,1.35,1.76,15.51,0.9,BK1068,concept,净水概念
2022-03-11,889.61,907.85,910.66,877.33,2211671.0,4889785088.0,3.71,1.09,9.82,0.74,BK1068,concept,净水概念
2022-03-14,899.0,881.35,901.84,881.35,1812642.0,4166103024.0,2.26,-2.92,-26.5,0.61,BK1068,concept,净水概念
2022-03-15,875.34,835.19,875.92,834.26,2681991.0,6451089664.0,4.73,-5.24,-46.16,0.9,BK1068,concept,净水概念
2022-03-16,850.46,866.04,868.36,826.47,2871687.0,6769016832.0,5.02,3.69,30.85,0.96,BK1068,concept,净水概念
2022-03-17,878.07,875.54,889.35,873.73,2915486.0,7200905728.0,1.8,1.1,9.5,0.97,BK1068,concept,净水概念
2022-03-18,875.28,889.73,893.29,871.75,2432619.0,5486073856.0,2.46,1.62,14.19,0.81,BK1068,concept,净水概念
2022-03-21,892.74,891.13,892.97,879.51,2095218.0,4540790784.0,1.51,0.16,1.4,0.7,BK1068,concept,净水概念
2022-03-22,889.58,895.19,899.76,882.17,1672547.0,3600550176.0,1.97,0.46,4.06,0.56,BK1068,concept,净水概念
2022-03-23,894.79,888.89,896.13,888.24,1595037.0,3554829120.0,0.88,-0.7,-6.3,0.53,BK1068,concept,净水概念
2022-03-24,883.98,881.22,886.4,877.43,1520630.0,3390984048.0,1.01,-0.86,-7.67,0.51,BK1068,concept,净水概念
2022-03-25,882.23,884.85,896.18,882.23,1690782.0,3833299504.0,1.58,0.41,3.63,0.56,BK1068,concept,净水概念
2022-03-28,881.98,879.06,885.02,868.46,1552256.0,3190559408.0,1.87,-0.65,-5.79,0.52,BK1068,concept,净水概念
2022-03-29,880.4,875.01,889.07,872.9,1364527.0,3001177904.0,1.84,-0.46,-4.05,0.46,BK1068,concept,净水概念
2022-03-30,880.52,890.34,890.54,874.23,2021768.0,4695074304.0,1.86,1.75,15.33,0.68,BK1068,concept,净水概念
2022-03-31,891.34,890.94,897.34,885.94,2255192.0,4773948928.0,1.28,0.07,0.6,0.75,BK1068,concept,净水概念
2022-04-01,884.62,887.6,891.24,877.59,2245021.0,6034053888.0,1.53,-0.37,-3.34,0.75,BK1068,concept,净水概念
2022-04-06,884.55,901.6,901.6,883.85,1953509.0,4561879040.0,2.0,1.58,14.0,0.65,BK1068,concept,净水概念
2022-04-07,897.27,879.2,903.33,879.2,1877351.0,4155357888.0,2.68,-2.48,-22.4,0.63,BK1068,concept,净水概念
2022-04-08,875.05,873.56,879.51,863.14,1839254.0,3883877200.0,1.86,-0.64,-5.64,0.61,BK1068,concept,净水概念
2022-04-11,878.1,856.84,881.21,853.19,2171935.0,4722528000.0,3.21,-1.91,-16.72,0.73,BK1068,concept,净水概念
2022-04-12,854.89,878.07,878.07,848.18,2423870.0,4770538240.0,3.49,2.48,21.23,0.81,BK1068,concept,净水概念
2022-04-13,877.17,869.14,880.27,865.01,2167915.0,4033094128.0,1.74,-1.02,-8.93,0.72,BK1068,concept,净水概念
2022-04-14,871.91,883.44,886.56,870.02,2284502.0,5618597632.0,1.9,1.65,14.3,0.76,BK1068,concept,净水概念
2022-04-15,876.71,870.83,882.06,869.09,1571208.0,3253746464.0,1.47,-1.43,-12.61,0.52,BK1068,concept,净水概念
2022-04-18,866.54,869.52,872.13,858.45,1558651.0,2758677696.0,1.57,-0.15,-1.31,0.52,BK1068,concept,净水概念
2022-04-19,860.32,860.02,863.58,854.71,1553487.0,3063521088.0,1.02,-1.09,-9.5,0.52,BK1068,concept,净水概念
2022-04-20,859.42,862.83,871.95,858.47,2064111.0,3870870144.0,1.57,0.33,2.81,0.69,BK1068,concept,净水概念
2022-04-21,858.75,834.58,861.79,831.1,2052561.0,4201842304.0,3.56,-3.27,-28.25,0.69,BK1068,concept,净水概念
2022-04-22,827.85,838.01,845.68,815.6,1955050.0,4188154400.0,3.6,0.41,3.43,0.65,BK1068,concept,净水概念
2022-04-25,828.45,788.03,829.71,788.03,2735307.0,5434832384.0,4.97,-5.96,-49.98,0.91,BK1068,concept,净水概念
