日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2023-08-14,992.95,997.96,1002.63,971.82,3656815.0,8359656508.0,3.08,-0.2,-2.04,1.67,BK1146,concept,减肥药
2023-08-15,990.42,989.37,1007.12,968.3,3152721.0,6749077867.0,3.89,-0.86,-8.59,1.44,BK1146,concept,减肥药
2023-08-16,993.88,969.84,1015.43,967.52,3430848.0,7566064792.0,4.84,-1.97,-19.53,1.57,BK1146,concept,减肥药
2023-08-17,956.86,950.98,966.96,942.96,2909019.0,5951517495.0,2.47,-1.94,-18.86,1.33,BK1146,concept,减肥药
2023-08-18,945.19,907.73,945.8,907.73,2548594.0,5153692681.0,4.0,-4.55,-43.25,1.16,BK1146,concept,减肥药
2023-08-21,902.54,897.4,913.98,894.16,1741456.0,4044355752.0,2.18,-1.14,-10.33,0.79,BK1146,concept,减肥药
2023-08-22,895.37,876.38,897.35,858.85,1921050.0,4772253643.0,4.29,-2.34,-21.02,0.88,BK1146,concept,减肥药
2023-08-23,871.86,855.56,878.29,855.36,1403710.0,3404947703.0,2.62,-2.38,-20.82,0.64,BK1146,concept,减肥药
2023-08-24,852.63,855.15,863.33,838.1,1312186.0,3306706853.0,2.95,-0.05,-0.41,0.6,BK1146,concept,减肥药
2023-08-25,851.15,842.14,862.6,840.0,1512107.0,3640954178.0,2.64,-1.52,-13.01,0.69,BK1146,concept,减肥药
2023-08-28,886.98,834.46,887.58,832.71,1718041.0,4425626061.0,6.52,-0.91,-7.68,0.78,BK1146,concept,减肥药
2023-08-29,830.62,872.21,872.28,829.4,1433030.0,3797430786.0,5.14,4.52,37.75,0.65,BK1146,concept,减肥药
2023-08-30,870.53,880.31,885.16,869.76,1207680.0,3287009856.0,1.77,0.93,8.1,0.55,BK1146,concept,减肥药
2023-08-31,875.91,898.21,911.02,869.63,1860945.0,4233829257.0,4.7,2.03,17.9,0.85,BK1146,concept,减肥药
2023-09-01,890.24,878.27,892.9,877.68,1201212.0,2892522140.0,1.69,-2.22,-19.94,0.55,BK1146,concept,减肥药
2023-09-04,880.78,880.78,883.29,873.55,1130666.0,3177255574.0,1.11,0.29,2.51,0.52,BK1146,concept,减肥药
2023-09-05,878.46,871.92,883.07,868.11,1043697.0,2581249491.0,1.7,-1.01,-8.86,0.48,BK1146,concept,减肥药
2023-09-06,869.22,863.54,870.22,861.04,876636.0,2158484633.0,1.05,-0.96,-8.38,0.4,BK1146,concept,减肥药
2023-09-07,861.51,845.39,862.73,845.02,915645.0,2104091487.0,2.05,-2.1,-18.15,0.42,BK1146,concept,减肥药
2023-09-08,849.37,850.45,861.2,847.13,790534.0,2015069025.0,1.66,0.6,5.06,0.36,BK1146,concept,减肥药
2023-09-11,848.55,891.52,893.42,848.29,1948319.0,5184226713.0,5.31,4.83,41.07,0.89,BK1146,concept,减肥药
2023-09-12,892.95,922.48,938.43,892.52,3154645.0,6271344848.0,5.15,3.47,30.96,1.44,BK1146,concept,减肥药
2023-09-13,915.8,899.09,915.8,888.77,4511886.0,5672135161.0,2.93,-2.54,-23.39,2.06,BK1146,concept,减肥药
2023-09-14,897.86,912.91,923.01,897.86,4778849.0,6304981868.0,2.8,1.54,13.82,2.18,BK1146,concept,减肥药
2023-09-15,904.72,930.83,948.49,904.44,5701863.0,8512768375.0,4.83,1.96,17.92,2.6,BK1146,concept,减肥药
2023-09-18,929.32,947.07,947.07,929.07,4988372.0,7373098769.0,1.93,1.74,16.24,2.28,BK1146,concept,减肥药
2023-09-19,945.82,949.22,983.42,940.64,5800363.0,8841061235.0,4.52,0.23,2.15,2.65,BK1146,concept,减肥药
2023-09-20,951.54,970.59,982.7,944.52,7085143.0,9517442105.0,4.02,2.25,21.37,3.23,BK1146,concept,减肥药
2023-09-21,965.49,953.29,965.49,943.97,6487245.0,9110138015.0,2.22,-1.78,-17.3,2.96,BK1146,concept,减肥药
2023-09-22,949.01,978.05,982.49,938.03,8207602.0,10857680634.0,4.66,2.6,24.76,3.74,BK1146,concept,减肥药
2023-09-25,975.32,1031.26,1043.02,975.32,9421605.0,15801923433.0,6.92,5.44,53.21,4.3,BK1146,concept,减肥药
2023-09-26,1026.79,1032.35,1050.34,1020.53,10808055.0,14433708684.0,2.89,0.11,1.09,4.93,BK1146,concept,减肥药
2023-09-27,1037.36,1077.59,1080.85,1037.36,11221492.0,16453526424.0,4.21,4.38,45.24,5.12,BK1146,concept,减肥药
2023-09-28,1072.82,1057.85,1088.54,1049.57,11769558.0,16759204699.0,3.62,-1.83,-19.74,5.37,BK1146,concept,减肥药
2023-10-09,1054.78,1097.74,1106.21,1039.92,9644500.0,15349734975.0,6.27,3.77,39.89,4.4,BK1146,concept,减肥药
2023-10-10,1087.72,1044.38,1087.72,1040.24,9149416.0,14447540472.0,4.33,-4.86,-53.36,4.17,BK1146,concept,减肥药
2023-10-11,1052.02,1079.06,1107.07,1052.02,8294810.0,14301835909.0,5.27,3.32,34.68,3.78,BK1146,concept,减肥药
2023-10-12,1102.57,1101.47,1121.74,1080.0,8844139.0,15100564692.0,3.87,2.08,22.41,4.03,BK1146,concept,减肥药
