日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2022-08-02,976.77,1003.1,1018.64,961.8,14510484.0,17621132643.55,5.68,0.31,3.1,3.05,BK1100,concept,减速器
2022-08-03,1000.56,944.21,1012.31,935.86,14969635.0,17731257606.44,7.62,-5.87,-58.89,3.14,BK1100,concept,减速器
2022-08-04,936.3,945.87,945.94,909.4,14225155.0,14336969476.89,3.87,0.18,1.66,2.99,BK1100,concept,减速器
2022-08-05,941.12,911.88,943.36,904.29,14833979.0,13147740465.87,4.13,-3.59,-33.99,3.11,BK1100,concept,减速器
2022-08-08,902.7,929.41,935.5,900.96,11809775.0,11863227418.31,3.79,1.92,17.53,2.48,BK1100,concept,减速器
2022-08-09,929.4,941.99,949.85,927.26,10429476.0,10935161536.3,2.43,1.35,12.58,2.19,BK1100,concept,减速器
2022-08-10,936.51,965.48,967.63,930.27,10813722.0,12802097070.25,3.97,2.49,23.49,2.27,BK1100,concept,减速器
2022-08-11,959.86,934.8,960.64,934.18,10638689.0,13318878784.01,2.74,-3.18,-30.68,2.23,BK1100,concept,减速器
2022-08-12,948.69,941.07,973.54,939.94,10264093.0,13814256037.0,3.59,0.67,6.27,2.16,BK1100,concept,减速器
2022-08-15,924.89,948.53,952.81,924.78,9244681.0,11166373738.17,2.98,0.79,7.46,1.94,BK1100,concept,减速器
2022-08-16,941.98,961.11,961.11,936.13,10061927.0,11248031365.36,2.63,1.33,12.58,2.11,BK1100,concept,减速器
2022-08-17,954.71,965.33,967.37,949.2,8485814.0,12226339641.94,1.89,0.44,4.22,1.78,BK1100,concept,减速器
2022-08-18,964.02,983.7,990.26,960.13,9334168.0,12560052877.57,3.12,1.9,18.37,1.96,BK1100,concept,减速器
2022-08-19,979.24,935.93,979.24,935.93,9789941.0,12639228772.47,4.4,-4.86,-47.77,2.06,BK1100,concept,减速器
2022-08-22,925.52,920.26,930.26,913.71,6440784.0,7641721606.21,1.77,-1.67,-15.67,1.35,BK1100,concept,减速器
2022-08-23,914.91,924.98,929.03,911.93,6680510.0,7672536115.94,1.86,0.51,4.72,1.4,BK1100,concept,减速器
2022-08-24,922.62,874.27,922.67,874.02,7300856.0,8579418187.16,5.26,-5.48,-50.71,1.53,BK1100,concept,减速器
