日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2013-07-05,999.56,974.61,1004.7,974.59,5502364.0,10890534656.0,3.01,-2.54,-25.39,0.45,BK0638,concept,创业成份
2013-07-08,881.37,869.37,891.42,858.15,5243888.0,9531661056.0,3.41,-10.8,-105.24,0.43,BK0638,concept,创业成份
2013-07-09,866.14,881.24,883.41,863.37,4535638.0,8733836544.0,2.31,1.37,11.87,0.37,BK0638,concept,创业成份
2013-07-10,881.75,902.14,902.17,881.75,5096406.0,10160376576.0,2.32,2.37,20.9,0.42,BK0638,concept,创业成份
2013-07-11,903.08,917.2,920.21,897.38,5674887.0,10742791680.0,2.53,1.67,15.06,0.47,BK0638,concept,创业成份
2013-07-12,917.0,925.99,944.99,915.38,6268978.0,12916864768.0,3.23,0.96,8.79,0.52,BK0638,concept,创业成份
2013-07-15,925.74,956.23,956.23,925.74,7179818.0,14690627328.0,3.29,3.27,30.24,0.59,BK0638,concept,创业成份
2013-07-16,960.08,966.74,970.54,953.55,6739068.0,13082445056.0,1.78,1.1,10.51,0.55,BK0638,concept,创业成份
2013-07-17,964.56,953.23,972.63,946.96,6186905.0,12045838592.0,2.66,-1.4,-13.51,0.51,BK0638,concept,创业成份
2013-07-18,949.18,955.4,963.51,944.3,5430280.0,10095831296.0,2.02,0.23,2.17,0.45,BK0638,concept,创业成份
2013-07-19,953.9,941.46,976.78,941.46,6621443.0,12568748544.0,3.7,-1.46,-13.94,0.54,BK0638,concept,创业成份
2013-07-22,934.95,973.35,973.35,931.89,6072667.0,11488450816.0,4.4,3.39,31.89,0.5,BK0638,concept,创业成份
2013-07-23,981.99,997.61,997.84,981.99,7464446.0,14428641024.0,1.63,2.49,24.26,0.61,BK0638,concept,创业成份
2013-07-24,999.4,1021.32,1023.92,996.48,7938221.0,15138899456.0,2.75,2.38,23.71,0.65,BK0638,concept,创业成份
2013-07-25,1023.95,980.34,1026.05,979.37,7945522.0,15298584832.0,4.57,-4.01,-40.98,0.65,BK0638,concept,创业成份
2013-07-26,976.71,982.89,990.13,961.61,5451287.0,10843492096.0,2.91,0.26,2.55,0.45,BK0638,concept,创业成份
2013-07-29,980.62,966.73,991.52,966.49,5652119.0,11723378432.0,2.55,-1.64,-16.16,0.46,BK0638,concept,创业成份
2013-07-30,965.07,956.29,973.13,930.99,5382651.0,10689712384.0,4.36,-1.08,-10.44,0.44,BK0638,concept,创业成份
2013-07-31,957.28,963.86,973.4,951.86,4645088.0,9003418112.0,2.25,0.79,7.57,0.38,BK0638,concept,创业成份
2013-08-01,964.85,1006.21,1007.4,964.85,6597375.0,13050489344.0,4.41,4.39,42.35,0.54,BK0638,concept,创业成份
2013-08-02,1012.73,1012.93,1026.35,1011.8,7141283.0,13597191936.0,1.45,0.67,6.72,0.59,BK0638,concept,创业成份
2013-08-05,1011.93,1028.27,1028.51,1011.54,5255117.0,10055970560.0,1.68,1.51,15.34,0.43,BK0638,concept,创业成份
2013-08-06,1028.81,1036.75,1041.4,1027.22,5859411.0,12048627712.0,1.38,0.82,8.48,0.48,BK0638,concept,创业成份
2013-08-07,1034.66,1007.7,1035.91,1005.25,5734165.0,11092283392.0,2.96,-2.8,-29.05,0.47,BK0638,concept,创业成份
2013-08-08,1002.63,1014.12,1022.4,998.69,4687789.0,8912485376.0,2.35,0.64,6.42,0.39,BK0638,concept,创业成份
2013-08-09,1015.52,1006.18,1021.46,988.9,4929516.0,9465494016.0,3.21,-0.78,-7.94,0.41,BK0638,concept,创业成份
2013-08-12,1007.89,1002.67,1015.78,989.93,5322907.0,10137214464.0,2.57,-0.35,-3.51,0.44,BK0638,concept,创业成份
2013-08-13,1002.44,1014.68,1018.17,995.97,4992836.0,8971019520.0,2.21,1.2,12.01,0.41,BK0638,concept,创业成份
2013-08-14,1017.45,1023.52,1028.26,1005.9,6317244.0,11289913600.0,2.2,0.87,8.84,0.52,BK0638,concept,创业成份
2013-08-15,1021.82,1014.21,1029.02,1013.29,5916297.0,10105107456.0,1.54,-0.91,-9.31,0.49,BK0638,concept,创业成份
2013-08-16,1006.79,984.08,1024.41,983.38,5759880.0,10093109760.0,4.05,-2.97,-30.13,0.47,BK0638,concept,创业成份
2013-08-19,976.78,1013.17,1013.62,974.96,4878585.0,9246636544.0,3.93,2.96,29.09,0.4,BK0638,concept,创业成份
2013-08-20,1015.21,1024.62,1028.12,1014.21,5449414.0,9692124672.0,1.37,1.13,11.45,0.45,BK0638,concept,创业成份
2013-08-21,1023.63,1031.74,1036.08,1020.59,5040811.0,9064792576.0,1.51,0.69,7.12,0.41,BK0638,concept,创业成份
2013-08-22,1030.15,1041.47,1048.41,1028.39,5459591.0,10377084672.0,1.94,0.94,9.73,0.45,BK0638,concept,创业成份
2013-08-23,1045.63,1054.77,1060.58,1029.3,6588197.0,14081790976.0,3.0,1.28,13.3,0.54,BK0638,concept,创业成份
2013-08-26,1058.16,1074.48,1075.66,1058.16,5520691.0,11626259456.0,1.66,1.87,19.71,0.45,BK0638,concept,创业成份
2013-08-27,1076.83,1082.0,1082.19,1065.97,5193881.0,10436446976.0,1.51,0.7,7.52,0.43,BK0638,concept,创业成份
2013-08-28,1076.85,1064.86,1081.31,1064.6,6269334.0,13434558720.0,1.54,-1.58,-17.14,0.52,BK0638,concept,创业成份
2013-08-29,1061.37,1059.66,1070.62,1053.6,4461159.0,9762235648.0,1.6,-0.49,-5.2,0.37,BK0638,concept,创业成份
2013-08-30,1057.05,1022.48,1060.54,1020.11,5485316.0,11000796928.0,3.82,-3.51,-37.18,0.45,BK0638,concept,创业成份
2013-09-02,1016.49,1040.89,1041.25,1015.0,4063147.0,8387402752.0,2.57,1.8,18.41,0.33,BK0638,concept,创业成份
2013-09-03,1044.14,1057.71,1057.84,1042.67,4383856.0,9863351552.0,1.46,1.62,16.82,0.36,BK0638,concept,创业成份
2013-09-04,1057.78,1061.0,1067.22,1052.96,4822369.0,10880982528.0,1.35,0.31,3.29,0.4,BK0638,concept,创业成份
2013-09-05,1060.18,1081.1,1081.51,1058.67,5437350.0,12911566592.0,2.15,1.89,20.1,0.45,BK0638,concept,创业成份
2013-09-06,1081.89,1095.77,1098.84,1079.36,5260181.0,12671379456.0,1.8,1.36,14.67,0.43,BK0638,concept,创业成份
2013-09-09,1097.94,1095.35,1099.89,1080.6,6335471.0,14001513728.0,1.76,-0.04,-0.42,0.52,BK0638,concept,创业成份
2013-09-10,1095.5,1090.54,1095.5,1079.83,6408277.0,13730062080.0,1.43,-0.44,-4.81,0.53,BK0638,concept,创业成份
2013-09-11,1085.82,1061.34,1085.91,1054.2,6611907.0,13014610688.0,2.91,-2.68,-29.2,0.54,BK0638,concept,创业成份
2013-09-12,1054.42,1058.51,1070.08,1051.02,4410288.0,8393320704.0,1.8,-0.27,-2.83,0.36,BK0638,concept,创业成份
2013-09-13,1059.13,1076.21,1078.69,1050.54,4858786.0,10855588608.0,2.66,1.67,17.7,0.4,BK0638,concept,创业成份
2013-09-16,1078.25,1090.91,1102.85,1078.25,5247437.0,13213651456.0,2.29,1.37,14.7,0.43,BK0638,concept,创业成份
2013-09-17,1092.43,1078.87,1095.55,1078.23,4786393.0,11104096512.0,1.59,-1.1,-12.04,0.39,BK0638,concept,创业成份
2013-09-18,1077.78,1094.05,1094.98,1074.34,4903747.0,10830545408.0,1.91,1.41,15.18,0.4,BK0638,concept,创业成份
2013-09-23,1099.4,1122.66,1122.75,1098.44,6047439.0,13154832896.0,2.22,2.62,28.61,0.5,BK0638,concept,创业成份
2013-09-24,1125.47,1132.21,1135.46,1118.01,6414433.0,14987993600.0,1.55,0.85,9.55,0.53,BK0638,concept,创业成份
2013-09-25,1130.13,1124.1,1139.32,1122.99,5657906.0,13177567488.0,1.44,-0.72,-8.11,0.47,BK0638,concept,创业成份
