日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-12-22,1000.03,1004.43,1006.27,993.56,5965781.0,15042633984.0,1.27,0.44,4.43,1.17,BK1052,concept,动力电池回收
2021-12-23,1008.23,990.2,1008.85,988.33,4653699.0,14154756352.0,2.04,-1.42,-14.23,0.91,BK1052,concept,动力电池回收
2021-12-24,991.03,952.09,991.65,949.73,5483453.0,16701395200.0,4.23,-3.85,-38.11,1.08,BK1052,concept,动力电池回收
2021-12-27,951.4,956.83,968.27,950.06,4202703.0,13045563904.0,1.91,0.5,4.74,0.83,BK1052,concept,动力电池回收
2021-12-28,960.65,976.76,977.44,957.7,4499737.0,17013730816.0,2.06,2.08,19.93,0.88,BK1052,concept,动力电池回收
2021-12-29,974.48,968.19,978.04,967.94,4266649.0,16341668352.0,1.03,-0.88,-8.57,0.84,BK1052,concept,动力电池回收
2021-12-30,969.29,962.5,973.26,961.66,3667691.0,12240383232.0,1.2,-0.59,-5.69,0.72,BK1052,concept,动力电池回收
2021-12-31,964.1,969.45,972.34,964.04,3676136.0,13803513856.0,0.86,0.72,6.95,0.72,BK1052,concept,动力电池回收
2022-01-04,978.16,948.27,979.91,943.07,4571131.0,17736287232.0,3.8,-2.18,-21.18,0.9,BK1052,concept,动力电池回收
2022-01-05,946.65,922.26,947.71,916.64,4668105.0,14483538432.0,3.28,-2.74,-26.01,0.92,BK1052,concept,动力电池回收
2022-01-06,917.1,936.97,940.43,914.98,4698445.0,14430318592.0,2.76,1.59,14.71,0.92,BK1052,concept,动力电池回收
2022-01-07,940.3,911.09,941.62,910.81,4894937.0,15832294400.0,3.29,-2.76,-25.88,0.96,BK1052,concept,动力电池回收
2022-01-10,900.57,904.82,912.14,896.52,3584282.0,11159898624.0,1.71,-0.69,-6.27,0.7,BK1052,concept,动力电池回收
2022-01-11,903.81,893.27,911.13,891.48,3482097.0,11278911232.0,2.17,-1.28,-11.55,0.68,BK1052,concept,动力电池回收
2022-01-12,904.3,919.58,920.1,904.18,4312458.0,16056007680.0,1.78,2.95,26.31,0.85,BK1052,concept,动力电池回收
2022-01-13,919.63,902.09,919.96,900.97,4149538.0,17812824832.0,2.07,-1.9,-17.49,0.82,BK1052,concept,动力电池回收
2022-01-14,897.13,898.57,907.23,893.39,3959756.0,13930199040.0,1.53,-0.39,-3.52,0.78,BK1052,concept,动力电池回收
2022-01-17,896.75,908.96,909.92,890.74,3847343.0,13472563200.0,2.13,1.16,10.39,0.76,BK1052,concept,动力电池回收
2022-01-18,907.6,903.61,911.85,900.38,3477203.0,11216165376.0,1.26,-0.59,-5.35,0.68,BK1052,concept,动力电池回收
2022-01-19,899.29,882.95,901.33,874.68,4043339.0,13955331072.0,2.95,-2.29,-20.66,0.79,BK1052,concept,动力电池回收
2022-01-20,881.4,860.02,884.25,859.07,3415009.0,10118909952.0,2.85,-2.6,-22.93,0.67,BK1052,concept,动力电池回收
2022-01-21,858.0,855.19,864.02,850.47,2933694.0,9319945728.0,1.58,-0.56,-4.83,0.58,BK1052,concept,动力电池回收
2022-01-24,851.01,863.86,870.55,848.54,3693560.0,13796374784.0,2.57,1.01,8.67,0.73,BK1052,concept,动力电池回收
2022-01-25,859.89,839.2,872.39,839.12,3655640.0,11326946048.0,3.85,-2.85,-24.66,0.72,BK1052,concept,动力电池回收
2022-01-26,835.81,840.88,847.46,827.91,3139547.0,9555570432.0,2.33,0.2,1.68,0.62,BK1052,concept,动力电池回收
2022-01-27,844.66,813.77,846.68,813.77,3894146.0,13629401600.0,3.91,-3.22,-27.11,0.76,BK1052,concept,动力电池回收
2022-01-28,819.13,820.64,828.06,794.51,3542458.0,11804483584.0,4.12,0.84,6.87,0.7,BK1052,concept,动力电池回收
2022-02-07,833.95,832.76,844.81,828.72,3693322.0,13268652544.0,1.96,1.48,12.12,0.73,BK1052,concept,动力电池回收
2022-02-08,832.14,834.01,834.01,815.4,3215778.0,10771892992.0,2.23,0.15,1.25,0.63,BK1052,concept,动力电池回收
2022-02-09,833.12,845.48,846.57,829.81,3401023.0,10385565184.0,2.01,1.38,11.47,0.67,BK1052,concept,动力电池回收
2022-02-10,848.35,836.15,849.49,830.8,3005740.0,9441664256.0,2.21,-1.1,-9.33,0.59,BK1052,concept,动力电池回收
2022-02-11,839.87,845.83,863.25,834.47,4354586.0,14142061568.0,3.44,1.16,9.68,0.86,BK1052,concept,动力电池回收
2022-02-14,836.06,843.22,854.64,830.73,3876328.0,12064913408.0,2.83,-0.31,-2.61,0.76,BK1052,concept,动力电池回收
2022-02-15,842.71,849.3,850.68,833.96,3404525.0,12099459072.0,1.98,0.72,6.08,0.67,BK1052,concept,动力电池回收
2022-02-16,852.96,858.54,861.48,851.3,3903800.0,12185460992.0,1.2,1.09,9.24,0.77,BK1052,concept,动力电池回收
2022-02-17,855.55,880.67,886.71,852.14,6109146.0,21800061440.0,4.03,2.58,22.13,1.2,BK1052,concept,动力电池回收
2022-02-18,872.42,876.26,876.26,866.14,3989561.0,12794740224.0,1.15,-0.5,-4.41,0.78,BK1052,concept,动力电池回收
2022-02-21,876.22,883.5,883.5,871.63,3917657.0,13441045504.0,1.35,0.83,7.24,0.77,BK1052,concept,动力电池回收
2022-02-22,881.64,887.94,890.35,872.25,4314175.0,16230759680.0,2.05,0.5,4.44,0.85,BK1052,concept,动力电池回收
2022-02-23,891.8,907.24,907.83,891.34,5538423.0,16769415680.0,1.86,2.17,19.3,1.09,BK1052,concept,动力电池回收
2022-02-24,899.43,890.14,915.52,872.47,7160902.0,20924732160.0,4.75,-1.88,-17.1,1.41,BK1052,concept,动力电池回收
2022-02-25,901.71,897.74,909.81,895.79,4516069.0,14633488384.0,1.58,0.85,7.6,0.89,BK1052,concept,动力电池回收
