日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2021-02-22,996.78,995.88,1022.87,993.87,2839858.0,12748757760.0,2.9,-0.41,-4.12,0.84,BK0974,concept,化妆品概念
2021-02-23,987.94,996.65,1001.46,975.34,2233930.0,9212757248.0,2.62,0.08,0.77,0.66,BK0974,concept,化妆品概念
2021-02-24,998.15,989.32,1008.65,979.75,2434712.0,14866423808.0,2.9,-0.74,-7.33,0.72,BK0974,concept,化妆品概念
2021-02-25,995.89,973.14,995.89,970.5,2273783.0,10293717504.0,2.57,-1.64,-16.18,0.67,BK0974,concept,化妆品概念
2021-02-26,951.17,953.38,967.46,948.44,1899961.0,9055336448.0,1.95,-2.03,-19.76,0.56,BK0974,concept,化妆品概念
2021-03-01,959.02,984.13,984.13,955.54,1685587.0,7873945344.0,3.0,3.23,30.75,0.5,BK0974,concept,化妆品概念
2021-03-02,983.06,964.4,984.76,957.31,1615929.0,8141022464.0,2.79,-2.0,-19.73,0.48,BK0974,concept,化妆品概念
2021-03-03,961.05,979.89,980.67,959.48,1530187.0,6947414016.0,2.2,1.61,15.49,0.45,BK0974,concept,化妆品概念
2021-03-04,971.7,966.83,983.9,963.33,1695113.0,9292864512.0,2.1,-1.33,-13.06,0.5,BK0974,concept,化妆品概念
2021-03-05,959.92,965.34,970.34,954.27,1709851.0,7469341952.0,1.66,-0.15,-1.49,0.51,BK0974,concept,化妆品概念
2021-03-08,977.74,957.74,985.77,957.2,2011501.0,9557058816.0,2.96,-0.79,-7.6,0.59,BK0974,concept,化妆品概念
2021-03-09,949.87,926.44,953.17,913.59,2191685.0,9098996480.0,4.13,-3.27,-31.3,0.65,BK0974,concept,化妆品概念
2021-03-10,931.53,920.26,936.65,915.49,1635339.0,7691995392.0,2.28,-0.67,-6.18,0.48,BK0974,concept,化妆品概念
2021-03-11,917.54,942.44,947.3,914.98,1741060.0,9779675392.0,3.51,2.41,22.18,0.51,BK0974,concept,化妆品概念
2021-03-12,941.35,937.01,943.3,926.05,1423761.0,7084660224.0,1.83,-0.58,-5.43,0.42,BK0974,concept,化妆品概念
2021-03-15,931.75,918.53,931.75,908.67,1365038.0,6614497536.0,2.46,-1.97,-18.48,0.4,BK0974,concept,化妆品概念
2021-03-16,920.11,936.33,936.33,918.62,1313732.0,5712873728.0,1.93,1.94,17.8,0.39,BK0974,concept,化妆品概念
2021-03-17,936.5,947.46,948.88,931.09,1329523.0,5314127360.0,1.9,1.19,11.13,0.39,BK0974,concept,化妆品概念
2021-03-18,953.27,988.3,994.03,951.84,2513814.0,8413467136.0,4.45,4.31,40.84,0.74,BK0974,concept,化妆品概念
2021-03-19,977.06,986.49,999.49,976.46,3182664.0,7609972992.0,2.33,-0.18,-1.81,0.94,BK0974,concept,化妆品概念
2021-03-22,984.3,1002.2,1002.43,978.84,2794538.0,6994330368.0,2.39,1.59,15.71,0.83,BK0974,concept,化妆品概念
2021-03-23,1002.37,981.05,1005.69,974.89,2557929.0,7602430976.0,3.07,-2.11,-21.15,0.76,BK0974,concept,化妆品概念
2021-03-24,970.43,983.95,986.94,968.11,2170729.0,6071233536.0,1.92,0.3,2.9,0.64,BK0974,concept,化妆品概念
2021-03-25,975.23,976.68,984.41,967.23,1888974.0,5770611712.0,1.75,-0.74,-7.27,0.56,BK0974,concept,化妆品概念
2021-03-26,976.32,985.14,991.27,976.32,2298063.0,7048015616.0,1.53,0.87,8.46,0.68,BK0974,concept,化妆品概念
2021-03-29,978.03,990.58,993.27,973.88,2500383.0,7953763840.0,1.97,0.55,5.44,0.74,BK0974,concept,化妆品概念
2021-03-30,984.95,997.56,1003.17,979.37,2832341.0,8708369664.0,2.4,0.7,6.98,0.84,BK0974,concept,化妆品概念
2021-03-31,992.07,988.54,999.19,986.19,2870809.0,6884043520.0,1.3,-0.9,-9.02,0.85,BK0974,concept,化妆品概念
2021-04-01,984.54,1010.25,1012.16,984.54,3275802.0,10903465728.0,2.79,2.2,21.71,0.97,BK0974,concept,化妆品概念
2021-04-02,1011.19,1020.01,1029.02,1008.92,3217519.0,12097852416.0,1.99,0.97,9.76,0.95,BK0974,concept,化妆品概念
2021-04-06,1017.97,1023.08,1032.49,1012.87,2739246.0,11375509248.0,1.92,0.3,3.07,0.81,BK0974,concept,化妆品概念
2021-04-07,1019.97,1029.97,1030.24,1018.35,2732111.0,11049685760.0,1.16,0.67,6.89,0.81,BK0974,concept,化妆品概念
2021-04-08,1024.03,1044.72,1049.88,1019.47,3566698.0,14539313920.0,2.95,1.43,14.75,1.05,BK0974,concept,化妆品概念
2021-04-09,1039.05,1066.79,1070.57,1038.76,4261882.0,12394316800.0,3.04,2.11,22.07,1.26,BK0974,concept,化妆品概念
2021-04-12,1064.26,1039.76,1069.76,1037.45,3816857.0,13418566912.0,3.03,-2.53,-27.03,1.13,BK0974,concept,化妆品概念
2021-04-13,1030.14,1035.96,1047.58,1028.96,3243920.0,10664669440.0,1.79,-0.37,-3.8,0.96,BK0974,concept,化妆品概念
2021-04-14,1032.66,1061.9,1067.81,1031.68,4289111.0,12008357376.0,3.49,2.5,25.94,1.27,BK0974,concept,化妆品概念
2021-04-15,1059.56,1058.37,1068.46,1049.72,3674795.0,9587354368.0,1.76,-0.33,-3.53,1.09,BK0974,concept,化妆品概念
2021-04-16,1054.11,1061.56,1069.77,1054.11,3939919.0,10227750400.0,1.48,0.3,3.19,1.16,BK0974,concept,化妆品概念
2021-04-19,1054.47,1070.1,1070.46,1048.62,3631142.0,11186361600.0,2.06,0.8,8.54,1.07,BK0974,concept,化妆品概念
2021-04-20,1067.11,1078.57,1089.74,1064.25,5317592.0,13721959936.0,2.38,0.79,8.47,1.57,BK0974,concept,化妆品概念
2021-04-21,1071.58,1102.15,1107.72,1070.26,5994115.0,15748884480.0,3.47,2.19,23.58,1.77,BK0974,concept,化妆品概念
2021-04-22,1108.3,1120.67,1124.14,1104.53,5318420.0,14289468416.0,1.78,1.68,18.52,1.57,BK0974,concept,化妆品概念
2021-04-23,1118.82,1101.92,1118.82,1099.89,4880285.0,15508435456.0,1.69,-1.67,-18.75,1.44,BK0974,concept,化妆品概念
2021-04-26,1102.9,1107.73,1128.24,1102.51,5547215.0,17269210624.0,2.34,0.53,5.81,1.64,BK0974,concept,化妆品概念
2021-04-27,1100.74,1111.27,1114.34,1086.35,5804662.0,15644065536.0,2.53,0.32,3.54,1.71,BK0974,concept,化妆品概念
2021-04-28,1105.63,1131.01,1131.42,1103.18,5545057.0,14729008384.0,2.54,1.78,19.74,1.64,BK0974,concept,化妆品概念
2021-04-29,1127.4,1131.21,1149.39,1119.01,5832398.0,15309986048.0,2.69,0.02,0.2,1.72,BK0974,concept,化妆品概念
2021-04-30,1128.43,1156.9,1160.69,1128.31,7853245.0,18021483776.0,2.86,2.27,25.69,2.32,BK0974,concept,化妆品概念
2021-05-06,1159.9,1154.33,1182.76,1145.29,8010883.0,19947856896.0,3.24,-0.22,-2.57,2.37,BK0974,concept,化妆品概念
2021-05-07,1155.52,1122.99,1158.17,1122.84,6562260.0,16349587456.0,3.06,-2.71,-31.34,1.94,BK0974,concept,化妆品概念
2021-05-10,1118.85,1129.46,1131.48,1118.85,5012114.0,13853734400.0,1.12,0.58,6.47,1.48,BK0974,concept,化妆品概念
2021-05-11,1121.81,1133.58,1141.62,1104.47,6483638.0,14794306816.0,3.29,0.36,4.12,1.92,BK0974,concept,化妆品概念
2021-05-12,1123.79,1175.6,1175.68,1120.23,6780481.0,15623043328.0,4.89,3.71,42.02,2.0,BK0974,concept,化妆品概念
2021-05-13,1165.79,1190.09,1203.68,1164.99,7362751.0,16814917376.0,3.29,1.23,14.49,2.17,BK0974,concept,化妆品概念
2021-05-14,1192.27,1190.08,1197.8,1183.29,5902515.0,14452705536.0,1.22,0.0,-0.01,1.74,BK0974,concept,化妆品概念
2021-05-17,1184.71,1197.86,1205.12,1174.82,5822657.0,17268899328.0,2.55,0.65,7.78,1.72,BK0974,concept,化妆品概念
2021-05-18,1200.25,1219.78,1219.78,1198.45,5341456.0,13338878720.0,1.78,1.83,21.92,1.58,BK0974,concept,化妆品概念
2021-05-19,1218.2,1226.24,1234.98,1215.66,7339137.0,17261188096.0,1.58,0.53,6.46,2.17,BK0974,concept,化妆品概念
2021-05-20,1216.94,1208.59,1230.19,1204.69,6999445.0,15458258944.0,2.08,-1.44,-17.65,2.07,BK0974,concept,化妆品概念
2021-05-21,1204.7,1190.37,1209.16,1184.76,6046237.0,15157593344.0,2.02,-1.51,-18.22,1.79,BK0974,concept,化妆品概念
2021-05-24,1187.96,1199.96,1200.06,1185.81,5823840.0,12330081024.0,1.2,0.81,9.59,1.72,BK0974,concept,化妆品概念
2021-05-25,1201.41,1224.92,1225.89,1201.41,6087327.0,17127107328.0,2.04,2.08,24.96,1.8,BK0974,concept,化妆品概念
2021-05-26,1228.41,1237.91,1241.9,1221.41,7900801.0,16431962880.0,1.67,1.06,12.99,2.33,BK0974,concept,化妆品概念
2021-05-27,1233.84,1253.77,1256.44,1228.95,8363398.0,17683156736.0,2.22,1.28,15.86,2.47,BK0974,concept,化妆品概念
2021-05-28,1253.3,1241.35,1262.01,1236.47,7301719.0,16985960448.0,2.04,-0.99,-12.42,2.16,BK0974,concept,化妆品概念
2021-05-31,1244.58,1277.62,1277.76,1241.49,8209050.0,17655100160.0,2.92,2.92,36.27,2.42,BK0974,concept,化妆品概念
2021-06-01,1284.71,1280.12,1287.71,1265.13,7628729.0,18076416512.0,1.77,0.2,2.5,2.25,BK0974,concept,化妆品概念
2021-06-02,1281.49,1259.97,1284.32,1254.53,7160547.0,19225677824.0,2.33,-1.57,-20.15,2.12,BK0974,concept,化妆品概念
2021-06-03,1260.59,1265.5,1279.78,1257.07,5923874.0,16700336384.0,1.8,0.44,5.53,1.75,BK0974,concept,化妆品概念
2021-06-04,1262.04,1267.82,1284.19,1260.07,5290357.0,14383192832.0,1.91,0.18,2.32,1.56,BK0974,concept,化妆品概念
2021-06-07,1260.38,1256.47,1260.38,1246.63,5726097.0,14897615360.0,1.08,-0.9,-11.35,1.69,BK0974,concept,化妆品概念
2021-06-08,1250.14,1248.36,1256.99,1242.05,6108441.0,17268191744.0,1.19,-0.65,-8.11,1.8,BK0974,concept,化妆品概念
2021-06-09,1237.75,1228.94,1244.5,1227.37,5454093.0,15149425408.0,1.37,-1.56,-19.42,1.61,BK0974,concept,化妆品概念
2021-06-10,1224.35,1232.94,1235.67,1220.29,5334265.0,14316713984.0,1.25,0.33,4.0,1.58,BK0974,concept,化妆品概念
2021-06-11,1232.14,1220.51,1233.68,1215.42,5332659.0,16327016448.0,1.48,-1.01,-12.43,1.58,BK0974,concept,化妆品概念
2021-06-15,1215.9,1201.45,1215.9,1200.97,4172704.0,10528936192.0,1.22,-1.56,-19.06,1.23,BK0974,concept,化妆品概念
2021-06-16,1201.68,1181.5,1202.16,1179.25,3761187.0,11126548224.0,1.91,-1.66,-19.95,1.11,BK0974,concept,化妆品概念
2021-06-17,1180.19,1195.95,1197.08,1180.14,3899671.0,10295054080.0,1.43,1.22,14.45,1.15,BK0974,concept,化妆品概念
2021-06-18,1194.6,1209.45,1211.5,1190.91,4031129.0,12361202176.0,1.72,1.13,13.5,1.19,BK0974,concept,化妆品概念
