日期,开盘价,收盘价,最高价,最低价,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,板块代码,板块类型,板块名称
2012-12-31,1014.59,1006.51,1035.83,1006.19,1159830.0,1633021360.0,2.96,0.65,6.51,0.16,BK0629,concept,北斗导航
2013-01-04,1067.44,1034.64,1072.33,1027.07,956746.0,1440362608.0,4.5,2.79,28.13,0.13,BK0629,concept,北斗导航
2013-01-07,1029.66,1065.71,1072.66,1016.19,920311.0,1313320560.0,5.46,3.0,31.07,0.13,BK0629,concept,北斗导航
2013-01-08,1068.22,1145.07,1152.13,1068.22,1520907.0,1893837936.0,7.87,7.45,79.36,0.21,BK0629,concept,北斗导航
2013-01-09,1160.07,1135.36,1188.37,1124.9,2309210.0,3364696352.0,5.54,-0.85,-9.71,0.32,BK0629,concept,北斗导航
2013-01-10,1122.43,1161.09,1170.49,1115.38,1762693.0,2781772912.0,4.85,2.27,25.73,0.25,BK0629,concept,北斗导航
2013-01-11,1162.29,1205.49,1229.35,1153.06,2553889.0,3847305792.0,6.57,3.82,44.4,0.36,BK0629,concept,北斗导航
2013-01-14,1195.85,1296.17,1296.26,1191.33,2172786.0,2881128816.0,8.7,7.52,90.68,0.3,BK0629,concept,北斗导航
2013-01-15,1331.63,1311.72,1367.61,1300.82,2632544.0,3935401536.0,5.15,1.2,15.55,0.37,BK0629,concept,北斗导航
2013-01-16,1313.69,1347.92,1347.92,1279.88,2023582.0,3046817808.0,5.19,2.76,36.2,0.28,BK0629,concept,北斗导航
2013-01-17,1350.92,1262.88,1350.92,1260.48,2074844.0,3957247264.0,6.71,-6.31,-85.04,0.29,BK0629,concept,北斗导航
2013-01-18,1245.24,1293.3,1303.0,1245.24,1665898.0,2843007264.0,4.57,2.41,30.42,0.23,BK0629,concept,北斗导航
2013-01-21,1295.64,1277.06,1295.64,1262.65,1820600.0,2803364816.0,2.55,-1.26,-16.24,0.25,BK0629,concept,北斗导航
2013-01-22,1273.78,1248.47,1290.47,1239.0,1417316.0,2335347328.0,4.03,-2.24,-28.59,0.2,BK0629,concept,北斗导航
2013-01-23,1245.84,1285.54,1285.54,1242.58,1435444.0,2405914992.0,3.44,2.97,37.07,0.2,BK0629,concept,北斗导航
2013-01-24,1291.17,1267.89,1324.74,1258.81,1969911.0,3481423520.0,5.13,-1.37,-17.65,0.28,BK0629,concept,北斗导航
2013-01-25,1263.48,1238.6,1266.49,1230.91,1070247.0,1872893392.0,2.81,-2.31,-29.29,0.15,BK0629,concept,北斗导航
2013-01-28,1244.84,1268.23,1276.04,1244.7,1129812.0,1986784304.0,2.53,2.39,29.63,0.16,BK0629,concept,北斗导航
2013-01-29,1266.51,1273.39,1285.4,1250.73,1076426.0,1854106000.0,2.73,0.41,5.16,0.15,BK0629,concept,北斗导航
2013-01-30,1271.68,1298.75,1309.01,1258.37,1512112.0,2886294848.0,3.98,1.99,25.36,0.21,BK0629,concept,北斗导航
2013-01-31,1293.0,1250.41,1293.0,1248.25,1241235.0,2250536464.0,3.45,-3.72,-48.34,0.17,BK0629,concept,北斗导航
2013-02-01,1245.71,1254.95,1268.08,1237.61,711858.0,1236598320.0,2.44,0.36,4.54,0.1,BK0629,concept,北斗导航
2013-02-04,1258.91,1235.79,1264.85,1234.87,936948.0,1540343328.0,2.39,-1.53,-19.16,0.13,BK0629,concept,北斗导航
2013-02-05,1229.93,1229.72,1237.6,1205.15,841898.0,1371396064.0,2.63,-0.49,-6.07,0.12,BK0629,concept,北斗导航
2013-02-06,1233.88,1239.61,1244.85,1232.49,664775.0,1076833648.0,1.01,0.8,9.89,0.09,BK0629,concept,北斗导航
2013-02-07,1237.28,1253.21,1255.21,1225.67,676984.0,1087860160.0,2.38,1.1,13.6,0.09,BK0629,concept,北斗导航
2013-02-08,1249.96,1258.08,1268.05,1248.64,622425.0,968126848.0,1.55,0.39,4.87,0.09,BK0629,concept,北斗导航
2013-02-18,1271.3,1281.83,1288.49,1255.16,906641.0,1527658816.0,2.65,1.89,23.75,0.13,BK0629,concept,北斗导航
2013-02-19,1277.54,1249.22,1282.61,1245.21,708503.0,1137591296.0,2.92,-2.54,-32.61,0.1,BK0629,concept,北斗导航
2013-02-20,1248.5,1270.13,1270.4,1243.25,658817.0,1027035264.0,2.17,1.67,20.91,0.09,BK0629,concept,北斗导航
2013-02-21,1263.14,1226.05,1263.14,1217.34,737003.0,1161687280.0,3.61,-3.47,-44.08,0.1,BK0629,concept,北斗导航
2013-02-22,1224.56,1232.38,1248.09,1219.59,574875.0,920396192.0,2.32,0.52,6.33,0.08,BK0629,concept,北斗导航
2013-02-25,1230.7,1242.24,1243.67,1227.58,509382.0,763338144.0,1.31,0.8,9.86,0.07,BK0629,concept,北斗导航
2013-02-26,1235.38,1239.24,1256.18,1230.8,819267.0,1275203200.0,2.04,-0.24,-3.0,0.11,BK0629,concept,北斗导航
2013-02-27,1239.37,1266.7,1266.7,1230.48,915738.0,1494055856.0,2.92,2.22,27.46,0.13,BK0629,concept,北斗导航
2013-02-28,1271.76,1288.55,1288.59,1262.61,1051221.0,1667818400.0,2.05,1.72,21.85,0.15,BK0629,concept,北斗导航
2013-03-01,1287.45,1322.28,1326.36,1287.45,1457755.0,2476741296.0,3.02,2.62,33.73,0.2,BK0629,concept,北斗导航
2013-03-04,1320.38,1321.79,1354.14,1301.86,1865988.0,3037183152.0,3.95,-0.04,-0.49,0.26,BK0629,concept,北斗导航
2013-03-05,1318.63,1350.8,1351.03,1313.7,1397424.0,2307893568.0,2.82,2.19,29.01,0.2,BK0629,concept,北斗导航
2013-03-06,1359.97,1364.78,1373.36,1347.35,1588079.0,2596028560.0,1.93,1.03,13.98,0.22,BK0629,concept,北斗导航
2013-03-07,1358.31,1317.11,1364.09,1312.31,1216977.0,2014391344.0,3.79,-3.49,-47.67,0.17,BK0629,concept,北斗导航
2013-03-08,1320.75,1301.91,1333.39,1300.8,753119.0,1179326672.0,2.47,-1.15,-15.2,0.11,BK0629,concept,北斗导航
2013-03-11,1308.85,1310.0,1318.27,1302.63,588247.0,939263264.0,1.2,0.62,8.09,0.08,BK0629,concept,北斗导航
2013-03-12,1315.49,1257.5,1317.0,1240.54,990596.0,1412399136.0,5.84,-4.01,-52.5,0.14,BK0629,concept,北斗导航
2013-03-13,1250.0,1234.64,1256.6,1216.34,673097.0,998523104.0,3.2,-1.82,-22.86,0.09,BK0629,concept,北斗导航
2013-03-14,1233.89,1240.58,1252.52,1233.52,526626.0,719473024.0,1.54,0.48,5.94,0.07,BK0629,concept,北斗导航
2013-03-15,1241.74,1251.94,1277.14,1228.07,717108.0,1018109840.0,3.96,0.92,11.36,0.1,BK0629,concept,北斗导航
2013-03-18,1245.78,1226.12,1254.5,1224.45,493995.0,725165104.0,2.4,-2.06,-25.82,0.07,BK0629,concept,北斗导航
2013-03-19,1225.19,1224.97,1235.05,1203.9,466711.0,657974816.0,2.54,-0.09,-1.15,0.07,BK0629,concept,北斗导航
2013-03-20,1227.98,1272.36,1272.87,1226.61,758481.0,1115193360.0,3.78,3.87,47.39,0.11,BK0629,concept,北斗导航
2013-03-21,1273.87,1295.64,1302.12,1272.39,853264.0,1290117264.0,2.34,1.83,23.28,0.12,BK0629,concept,北斗导航
2013-03-22,1298.02,1294.6,1307.1,1289.43,714289.0,1097158352.0,1.36,-0.08,-1.04,0.1,BK0629,concept,北斗导航
2013-03-25,1295.16,1294.89,1304.8,1285.84,590865.0,895455616.0,1.46,0.02,0.29,0.08,BK0629,concept,北斗导航
2013-03-26,1287.59,1290.23,1291.55,1261.07,742192.0,1122246128.0,2.35,-0.36,-4.66,0.1,BK0629,concept,北斗导航
2013-03-27,1286.74,1307.34,1315.32,1286.74,839765.0,1330389280.0,2.22,1.33,17.11,0.12,BK0629,concept,北斗导航
2013-03-28,1294.7,1264.99,1295.04,1262.69,647300.0,954239728.0,2.47,-3.24,-42.35,0.09,BK0629,concept,北斗导航
2013-03-29,1269.05,1269.37,1282.42,1266.27,578950.0,806922880.0,1.28,0.35,4.38,0.08,BK0629,concept,北斗导航
2013-04-01,1270.78,1300.15,1307.98,1271.14,848292.0,1265014496.0,2.9,2.42,30.78,0.12,BK0629,concept,北斗导航
2013-04-02,1300.32,1269.88,1306.21,1259.54,729374.0,1082050224.0,3.59,-2.33,-30.27,0.1,BK0629,concept,北斗导航
2013-04-03,1266.94,1295.14,1312.5,1256.02,949580.0,1446199920.0,4.45,1.99,25.26,0.13,BK0629,concept,北斗导航
2013-04-08,1278.9,1338.66,1340.9,1260.99,1373435.0,2284604864.0,6.17,3.36,43.52,0.19,BK0629,concept,北斗导航
2013-04-09,1335.36,1336.88,1340.53,1324.74,961719.0,1535847184.0,1.18,-0.13,-1.78,0.13,BK0629,concept,北斗导航
2013-04-10,1335.49,1330.0,1350.24,1312.11,1145817.0,2019596304.0,2.85,-0.51,-6.88,0.16,BK0629,concept,北斗导航
2013-04-11,1324.55,1298.6,1329.4,1298.3,822666.0,1381281152.0,2.34,-2.36,-31.4,0.11,BK0629,concept,北斗导航
2013-04-12,1293.9,1280.63,1299.3,1275.9,542622.0,867351728.0,1.8,-1.38,-17.97,0.08,BK0629,concept,北斗导航
2013-04-15,1276.41,1242.92,1276.41,1240.07,547817.0,857786352.0,2.84,-2.94,-37.71,0.08,BK0629,concept,北斗导航
2013-04-16,1229.99,1249.72,1251.67,1223.83,538288.0,805762576.0,2.24,0.55,6.8,0.08,BK0629,concept,北斗导航
2013-04-17,1253.54,1259.68,1260.57,1239.86,518106.0,797557232.0,1.66,0.8,9.96,0.07,BK0629,concept,北斗导航
2013-04-18,1251.99,1266.82,1271.25,1250.62,684270.0,1024461312.0,1.64,0.57,7.14,0.1,BK0629,concept,北斗导航
2013-04-19,1266.99,1286.22,1294.11,1266.13,794340.0,1191268176.0,2.21,1.53,19.4,0.11,BK0629,concept,北斗导航
2013-04-22,1282.0,1302.22,1303.21,1279.87,704449.0,1089918288.0,1.81,1.24,16.0,0.1,BK0629,concept,北斗导航
2013-04-23,1305.11,1257.58,1305.11,1257.27,654077.0,955588320.0,3.67,-3.43,-44.64,0.09,BK0629,concept,北斗导航
